env/completion_counter,env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
0,135,-0.213497803946957,1.58,0.72,300,300,,,,,,,,,,,,,,,,
,,,,,300,,1,0,479,0.44,2.2,-0.5699289300000001,,,,,,,,,,
0,265,-0.09290866595692933,1.3,0.88,600,600,,,,,,,0.0001,10,-1.9456677198410035,0.10474959760904312,-0.3330591917037964,0.2,0.26269678920507433,0.0,-0.005787536676507443,0.00067032594
,,,,,600,,2,0,940,0.39,2.31,-0.6216100799999998,,,,,,,,,,
0,400,-0.028725560950115324,1.18,0.94,900,900,,,,,,,0.0001,20,-1.9442085564136504,0.10719291865825653,-0.1581714153289795,0.2,0.23086546137928962,0.0,-0.0035447057892270097,0.0006484929
,,,,,900,,3,0,1379,0.46,2.18,-0.5394159900000001,,,,,,,,,,
0,537,-0.13765187728684394,1.38,0.84,1200,1200,,,,,,,0.0001,30,-1.9409509360790254,0.07287038117647171,0.022554099559783936,0.2,0.2044752985239029,0.0,-0.0051167401135899125,0.0011936892
,,,,,1200,,4,0,1843,0.49,2.12,-0.50527768,,,,,,,,,,
0,679,-0.07116889524739235,1.36,0.84,1500,1500,,,,,,,0.0001,40,-1.9347881257534028,0.09652765095233917,0.008625626564025879,0.2,0.2267175555229187,0.0,-0.00637559646711452,0.0020029242
,,,,,1500,,5,0,2293,0.49,2.16,-0.4751231700000001,,,,,,,,,,
0,825,-0.06983937782701105,1.2,0.94,1800,1800,,,,,,,0.0001,50,-1.922488009929657,0.0906175747513771,-0.06429910659790039,0.2,0.2634980969130993,0.0,-0.008959541727381292,0.0029572924
,,,,,1800,,6,0,2728,0.55,2.02,-0.43338447,,,,,,,,,,
0,971,-0.135577360317111,1.34,0.88,2100,2100,,,,,,,0.0001,60,-1.895869642496109,0.06805878132581711,-0.09905147552490234,0.2,0.2559047222137451,0.0,-0.014502229454228655,0.0049639205
,,,,,2100,,7,0,3155,0.54,2.01,-0.3871456400000001,,,,,,,,,,
0,1118,-0.04967212134040892,1.16,0.96,2400,2400,,,,,,,0.0001,70,-1.8552379786968232,0.08042816817760468,-0.07836723327636719,0.2,0.26699019894003867,0.0,-0.015571624477161095,0.005433377
,,,,,2400,,8,0,3597,0.53,2.0,-0.45187167999999994,,,,,,,,,,
0,1270,-0.04861483749933541,1.16,0.94,2700,2700,,,,,,,0.0001,80,-1.8006877839565276,0.07133951783180237,0.016025245189666748,0.2,0.22817530408501624,0.0,-0.011527253035455941,0.0057699513
,,,,,2700,,9,0,4033,0.6,1.88,-0.40452916,,,,,,,,,,
