time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,env/current_idx,env/n_steps,env/completion_counter,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/value_loss
300,1.66,-0.2985504000540823,0.7,137,300,0,,,,,,,,,,,,,,,,
300,,,,,,,-0.5305628900000001,0.48,2.16,456,0,1,,,,,,,,,,
600,1.22,-0.06966186087578535,0.9,273,600,0,,,,,,,10,-0.6569623947143555,0.2,-0.005297692536260001,-1.9455726444721222,0.0008141056,0.0,0.14806950092315674,0.0001,0.5700482450425625
600,,,,,,,-0.5719157100000001,0.42,2.28,888,0,2,,,,,,,,,,
900,1.38,-0.13079104607924819,0.86,409,900,0,,,,,,,20,-0.4091888666152954,0.2,-0.006683124867413426,-1.9439703285694123,0.0011103419,0.0,0.08274023979902267,0.0001,0.2818789541721344
900,,,,,,,-0.47416608999999993,0.46,2.19,1302,0,3,,,,,,,,,,
1200,1.2,-0.07031618338543921,0.94,542,1200,0,,,,,,,30,-0.3052999973297119,0.2,-0.009952253196388483,-1.9387894511222838,0.0027449415,0.0,0.1289098709821701,0.0001,0.27653154730796814
1200,,,,,,,-0.53483144,0.47,2.21,1711,0,4,,,,,,,,,,
1500,1.24,-0.10961583728902041,0.9,673,1500,0,,,,,,,40,-0.09068799018859863,0.2,-0.014505125733558088,-1.9240851402282715,0.004835896,0.0,0.09615708887577057,0.0001,0.2456656314432621
1500,,,,,,,-0.53819053,0.45,2.24,2114,0,5,,,,,,,,,,
1800,1.2,-0.08925732241012156,0.92,817,1800,0,,,,,,,50,-0.025598883628845215,0.2,-0.01336593606392853,-1.8966270446777345,0.0049557346,0.0,0.07230445742607117,0.0001,0.22743729054927825
1800,,,,,,,-0.4838275,0.54,2.04,2521,0,6,,,,,,,,,,
2100,1.3,-0.13105956458486617,0.88,969,2100,0,,,,,,,60,0.07802355289459229,0.2,-0.012791802294668742,-1.8608222961425782,0.004228843,0.0,0.05751673877239227,0.0001,0.2112304113805294
2100,,,,,,,-0.42220887000000007,0.58,1.99,2948,0,7,,,,,,,,,,
2400,1.24,-0.10985416731331497,0.9,1119,2400,0,,,,,,,70,0.15938591957092285,0.2,-0.012985239308909513,-1.8083368182182311,0.00699416,0.0,0.048932842910289764,0.0001,0.20861297249794006
2400,,,,,,,-0.39572118,0.56,1.98,3347,0,8,,,,,,,,,,
2700,1.18,-0.0697397658508271,0.94,1266,2700,0,,,,,,,80,0.05415916442871094,0.2,-0.006729875769815407,-1.7467240393161774,0.0038890261,0.0,0.09133804589509964,0.0001,0.22325034961104392
2700,,,,,,,-0.40400841,0.56,2.06,3774,0,9,,,,,,,,,,
3000,1.1,-0.04717222144361585,0.96,1431,3000,0,,,,,,,90,-0.04616701602935791,0.2,-0.011376205796841532,-1.679400384426117,0.0049996665,0.0,0.11028923094272614,0.0001,0.2477307416498661
3000,,,,,,,-0.30267653000000005,0.66,1.84,4204,0,10,,,,,,,,,,
3300,1.1,-0.028184071010909976,0.98,1580,3300,0,,,,,,,100,0.11185568571090698,0.2,-0.008756946798530407,-1.593646627664566,0.0046518715,0.0,0.06433218717575073,0.0001,0.21451665386557578
3300,,,,,,,-0.36919888000000006,0.55,2.06,4636,0,11,,,,,,,,,,
3600,1.16,-0.029003910087049008,0.96,1749,3600,0,,,,,,,110,-0.02814316749572754,0.2,-0.00545984143827809,-1.511716014146805,0.0023614091,0.0,0.11753383278846741,0.0001,0.24038487151265145
3600,,,,,,,-0.24580066000000003,0.75,1.67,5058,0,12,,,,,,,,,,
3900,1.22,-0.0928087663045153,0.9,1912,3900,0,,,,,,,120,0.027430355548858643,0.2,-0.010007264240994119,-1.4281670212745667,0.0043193465,0.0,0.08434408903121948,0.0001,0.23066992461681365
3900,,,,,,,-0.28337729,0.7,1.79,5498,0,13,,,,,,,,,,
4200,1.28,-0.11074542172253132,0.88,2081,4200,0,,,,,,,130,0.057104647159576416,0.2,-0.004990677890600636,-1.3196785211563111,0.0033444925,0.0,0.0848720371723175,0.0001,0.21637125685811043
4200,,,,,,,-0.34315816,0.63,1.93,5940,0,14,,,,,,,,,,
4500,1.24,-0.09302780405618251,0.9,2245,4500,0,,,,,,,140,0.13863831758499146,0.2,-0.004434664223663276,-1.2337946116924285,0.00257201,0.000390625,0.06239364668726921,0.0001,0.18251240327954293
4500,,,,,,,-0.21169791999999998,0.7,1.78,6399,0,15,,,,,,,,,,
4800,1.24,-0.06877891330514103,0.92,2420,4800,0,,,,,,,150,0.11714166402816772,0.2,-0.005965970899706008,-1.1422546207904816,0.0027391878,0.000390625,0.0467449352145195,0.0001,0.1936376504600048
4800,,,,,,,-0.28363291,0.72,1.69,6841,0,16,,,,,,,,,,
5100,1.18,-0.0717400809051469,0.92,2582,5100,0,,,,,,,160,0.053217947483062744,0.2,-0.008612742041805177,-1.045347774028778,0.0030837315,0.0,0.06233425810933113,0.0001,0.21236571073532104
5100,,,,,,,-0.31561046000000004,0.66,1.81,7266,0,17,,,,,,,,,,
5400,1.34,-0.09483416064642369,0.9,2749,5400,0,,,,,,,170,0.04325038194656372,0.2,-0.006343296037812252,-0.9566529601812362,0.0030653798,0.0,0.06773728877305984,0.0001,0.2302710823714733
5400,,,,,,,-0.31836948,0.65,1.79,7709,0,18,,,,,,,,,,
5700,1.32,-0.13019563037902115,0.88,2920,5700,0,,,,,,,180,0.08565777540206909,0.2,-0.00298156266726437,-0.8762227416038513,0.0017734333,0.0,0.08896481990814209,0.0001,0.21031589582562446
5700,,,,,,,-0.37544551,0.62,1.88,8132,0,19,,,,,,,,,,
6000,1.2,-0.09057986773550511,0.92,3091,6000,0,,,,,,,190,0.13792628049850464,0.2,-0.004469718673499301,-0.8084186106920243,0.0021858502,0.0,0.07394414395093918,0.0001,0.2058698259294033
6000,,,,,,,-0.28055345000000004,0.66,1.79,8570,0,20,,,,,,,,,,
6300,1.32,-0.09124917462468148,0.88,3263,6300,0,,,,,,,200,0.1216355562210083,0.2,-0.0029049583448795603,-0.7456664919853211,0.000647461,0.0,0.11009004712104797,0.0001,0.20360893495380877
6300,,,,,,,-0.24506985000000003,0.72,1.72,9018,0,21,,,,,,,,,,
6600,1.44,-0.1332127923518419,0.84,3431,6600,0,,,,,,,210,0.10807162523269653,0.2,-0.002304464281041874,-0.6884632557630539,0.0009001564,0.0,0.1082928404211998,0.0001,0.19564594849944114
6600,,,,,,,-0.25304585999999996,0.75,1.7,9471,0,22,,,,,,,,,,
6900,1.2,-0.09103523582220077,0.92,3627,6900,0,,,,,,,220,0.2001432180404663,0.2,-0.0012889439727587159,-0.641638258099556,0.0004889427,0.0,0.07455404102802277,0.0001,0.1991622932255268
6900,,,,,,,-0.22390169000000001,0.78,1.55,9898,0,23,,,,,,,,,,
