env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance
300,0,151,-0.1734595438512042,0.8,300,1.46,,,,,,,,,,,,,,,,
,,,,,300,,1,0.52,2.12,449,0,-0.43968216,,,,,,,,,,
600,0,289,-0.06913198270369321,0.92,600,1.18,,,,,,,0.0001,-0.004856245394330471,0.4621393047273159,0.1343746781349182,0.2,0.00061581214,-1.9456612408161162,10,0.0,-0.20681869983673096
,,,,,600,,2,0.5,2.15,885,0,-0.5283605699999999,,,,,,,,,,
900,0,422,-0.17320711687207221,0.84,900,1.34,,,,,,,0.0001,-0.005766365906310966,0.2503035835921764,0.09920845180749893,0.2,0.0009433213,-1.9440381705760956,20,0.0,-0.10505950450897217
,,,,,900,,3,0.48,2.23,1300,0,-0.49047526,,,,,,,,,,
1200,0,560,-0.0694941101782024,0.92,1200,1.22,,,,,,,0.0001,-0.008728299170616082,0.22631205320358277,0.07211145758628845,0.2,0.003281682,-1.9381491839885712,30,0.0,-0.010479569435119629
,,,,,1200,,4,0.48,2.18,1715,0,-0.53058934,,,,,,,,,,
1500,0,710,-0.1510898981243372,0.84,1500,1.34,,,,,,,0.0001,-0.00840633106417954,0.23951038271188735,0.12819254398345947,0.2,0.0030882787,-1.9233673989772797,40,0.0,-0.10741555690765381
,,,,,1500,,5,0.57,2.06,2142,0,-0.4345024,,,,,,,,,,
1800,0,851,-0.09165919170249254,0.9,1800,1.28,,,,,,,0.0001,-0.009844090545084328,0.21769630163908005,0.06404788792133331,0.2,0.0036942312,-1.8997736692428588,50,0.0,0.09678596258163452
,,,,,1800,,6,0.51,2.11,2548,0,-0.44805623999999994,,,,,,,,,,
2100,0,1008,-0.1731669036531821,0.8,2100,1.42,,,,,,,0.0001,-0.010529405396664516,0.21786971017718315,0.059385091066360474,0.2,0.004107317,-1.8668965756893159,60,0.0,0.0547524094581604
,,,,,2100,,7,0.61,1.92,2975,0,-0.32840086,,,,,,,,,,
2400,0,1158,-0.11851856791414321,0.88,2400,1.3,,,,,,,0.0001,-0.010222025733673945,0.2475823350250721,0.08191918581724167,0.2,0.004470594,-1.8232008695602417,70,0.0,-0.046000003814697266
,,,,,2400,,8,0.56,2.0,3409,0,-0.4611820100000001,,,,,,,,,,
