eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
1.86,0.82,91,0,300,-0.18616362866945566,300,,,,,,,,,,,,,,,,
,,,,300,,,3.2888888888888888,1,0,-0.6536737444444444,0.4888888888888889,531,,,,,,,,,,
1.3,0.94,182,0,600,-0.07246522940695285,600,,,,,,,0.55365801602602,-1.9456864297389984,0.0001,-0.007185989532445092,10,0.2,-0.30426692962646484,0.1149962767958641,0.0,0.0007483064
,,,,600,,,3.3,2,0,-0.4439987699999999,0.55,992,,,,,,,,,,
1.2,0.96,274,0,900,-0.050239080595783886,900,,,,,,,0.3217965379357338,-1.9445476293563844,0.0001,-0.0029284260919666847,20,0.2,-0.21523606777191162,0.1441350281238556,0.0,0.00045746588
,,,,900,,,3.3,3,0,-0.47482267000000006,0.54,1404,,,,,,,,,,
1.42,0.96,363,0,1200,-0.03375726088881493,1200,,,,,,,0.23729970082640647,-1.9430194735527038,0.0001,-0.003560735862265574,30,0.2,-0.07492256164550781,0.11034727841615677,0.0,0.0010628563
,,,,1200,,,3.45,4,0,-0.55824979,0.51,1871,,,,,,,,,,
1.24,0.98,450,0,1500,-0.030533693600445985,1500,,,,,,,0.2330552101135254,-1.9372779965400695,0.0001,-0.0064211569057079036,40,0.2,0.015082359313964844,0.08178180456161499,0.0,0.002212391
,,,,1500,,,3.44,5,0,-0.58716631,0.52,2300,,,,,,,,,,
1.34,0.96,552,0,1800,-0.03228913004510105,1800,,,,,,,0.22339461520314216,-1.9220376849174499,0.0001,-0.006282420703792013,50,0.2,0.006372570991516113,0.08892665058374405,0.0,0.0033605858
,,,,1800,,,2.97,6,0,-0.4622144900000001,0.64,2752,,,,,,,,,,
1.44,0.92,660,0,2100,-0.07345787456724792,2100,,,,,,,0.26221092268824575,-1.8954035580158233,0.0001,-0.008125228399876505,60,0.2,-0.04595661163330078,0.08790099620819092,0.0,0.004268852
,,,,2100,,,2.82,7,0,-0.40895748,0.68,3210,,,,,,,,,,
1.14,0.98,763,0,2400,-0.0295441494230181,2400,,,,,,,0.22625660598278047,-1.8546411275863648,0.0001,-0.01099605159516841,70,0.2,0.14526808261871338,0.06511037796735764,0.0,0.005021736
,,,,2400,,,2.93,8,0,-0.43333618,0.62,3654,,,,,,,,,,
1.4,0.92,881,0,2700,-0.09782397378236056,2700,,,,,,,0.21998549923300742,-1.800744390487671,0.0001,-0.008309897224717134,80,0.2,0.055807650089263916,0.0807647705078125,0.0,0.005431989
,,,,2700,,,2.5,9,0,-0.35337003999999994,0.71,4120,,,,,,,,,,
1.64,0.88,982,0,3000,-0.10678852679673582,3000,,,,,,,0.23398279920220375,-1.7398643434047698,0.0001,-0.010325813933741301,90,0.2,0.03452867269515991,0.07525308430194855,0.0,0.0049743084
,,,,3000,,,2.98,10,0,-0.41243933,0.62,4574,,,,,,,,,,
1.52,0.94,1087,0,3300,-0.05402665463276207,3300,,,,,,,0.2316364325582981,-1.6756047427654266,0.0001,-0.0037342472845921294,100,0.2,0.04318147897720337,0.08729210495948792,0.0,0.0034488402
,,,,3300,,,2.79,11,0,-0.39781577999999995,0.67,5061,,,,,,,,,,
1.3,0.96,1200,0,3600,-0.013240301935002207,3600,,,,,,,0.2302434802055359,-1.6045726835727692,0.0001,-0.006381903908186359,110,0.2,0.14841711521148682,0.13173846900463104,0.0,0.0049387305
,,,,3600,,,2.71,12,0,-0.32913977000000005,0.73,5511,,,,,,,,,,
1.24,0.98,1322,0,3900,-0.029648641734384,3900,,,,,,,0.21936546936631202,-1.5085376679897309,0.0001,-0.006101192138157785,120,0.2,0.028611481189727783,0.0864330381155014,0.0,0.005181347
,,,,3900,,,2.41,13,0,-0.32030514000000004,0.74,5985,,,,,,,,,,
1.3,0.98,1448,0,4200,-0.029981360998936,4200,,,,,,,0.23222248181700705,-1.4084907472133636,0.0001,-0.00904762894497253,130,0.2,0.10200923681259155,0.12025415897369385,0.0,0.0053474344
,,,,4200,,,2.41,14,0,-0.29504255,0.75,6451,,,,,,,,,,
1.26,0.96,1585,0,4500,-0.05102829260285944,4500,,,,,,,0.22720470428466796,-1.3041940569877624,0.0001,-0.005295133276376873,140,0.2,0.09352147579193115,0.09558887779712677,0.0,0.002920851
,,,,4500,,,2.36,15,0,-0.25197054,0.78,6928,,,,,,,,,,
1.72,0.86,1713,0,4800,-0.14086217661388217,4800,,,,,,,0.1942802220582962,-1.229158914089203,0.0001,-0.005350916830593633,150,0.2,0.05471688508987427,0.056010983884334564,0.0011363636702299118,0.002284878
,,,,4800,,,2.39,16,0,-0.2696303,0.74,7406,,,,,,,,,,
1.34,0.94,1859,0,5100,-0.05453210809733719,5100,,,,,,,0.17807231843471527,-1.146710216999054,0.0001,-0.0015452407285920344,160,0.2,0.14403748512268066,0.06958397477865219,0.0001953125,0.0013238995
,,,,5100,,,2.01,17,0,-0.19383524999999996,0.84,7880,,,,,,,,,,
1.58,0.9,1983,0,5400,-0.11431332088075578,5400,,,,,,,0.21389833837747574,-1.087611848115921,0.0001,-0.00352992732077837,170,0.2,0.07216066122055054,0.08387114107608795,0.0,0.001937543
,,,,5400,,,2.54,18,0,-0.31496748,0.71,8361,,,,,,,,,,
1.08,1.0,2132,0,5700,-0.010539754685014486,5700,,,,,,,0.2155890978872776,-1.008106106519699,0.0001,-0.0021423837140901016,180,0.2,0.19053977727890015,0.09652581065893173,0.0,0.001379112
,,,,5700,,,1.95,19,0,-0.18191726000000005,0.83,8824,,,,,,,,,,
1.44,0.92,2267,0,6000,-0.07251439083367586,6000,,,,,,,0.18149642273783684,-0.9508728235960007,0.0001,-0.004305851995013654,190,0.2,0.25578129291534424,0.07288692891597748,0.0,0.0018190363
,,,,6000,,,2.25,20,0,-0.22934652000000003,0.79,9309,,,,,,,,,,
1.2,0.96,2403,0,6300,-0.04847423225641251,6300,,,,,,,0.20101473815739154,-0.8584678828716278,0.0001,-0.005853511730674654,200,0.2,0.050157129764556885,0.047394607216119766,0.0,0.0030992765
,,,,6300,,,2.14,21,0,-0.24469038999999998,0.81,9762,,,,,,,,,,
