env/current_idx,env/n_steps,eval/success_rate,eval/mean_ep_length,env/completion_counter,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/clip_fraction,train/value_loss,train/entropy_loss
100,300,0.86,1.68,0,300,-0.16959479381795972,,,,,,,,,,,,,,,,
,,,,,300,,453,1,0,3.0303030303030303,-0.5380672828282829,0.5757575757575758,,,,,,,,,,
205,600,0.9,1.6,0,600,-0.11828863767441362,,,,,,,-0.27255547046661377,-0.003383386081259232,0.0001,0.00050826685,0.2,0.07573389261960983,10,0.0,0.2502421997487545,-1.945751953125
,,,,,600,,900,2,0,2.86,-0.43959845000000003,0.66,,,,,,,,,,
292,900,0.84,1.7,0,900,-0.17839364449027925,,,,,,,-0.004442453384399414,-0.0049830074771307405,0.0001,0.0008597882,0.2,0.11276956647634506,20,0.0,0.245034421980381,-1.9446503102779389
,,,,,900,,1337,3,0,3.38,-0.5594853900000001,0.53,,,,,,,,,,
387,1200,0.96,1.34,0,1200,-0.05215672304388136,,,,,,,-0.00021457672119140625,-0.006834266852820292,0.0001,0.0020109084,0.2,0.07178942114114761,30,0.0,0.20823507755994797,-1.9412971079349517
,,,,,1200,,1758,4,0,3.23,-0.53676548,0.55,,,,,,,,,,
488,1500,0.86,1.72,0,1500,-0.16189312102738768,,,,,,,0.04096400737762451,-0.006463495066418546,0.0001,0.0024793586,0.2,0.07825914025306702,40,0.0,0.23763450235128403,-1.933194535970688
,,,,,1500,,2197,5,0,2.97,-0.5159432500000001,0.57,,,,,,,,,,
596,1800,0.96,1.38,0,1800,-0.052403373904526235,,,,,,,-0.05000865459442139,-0.006739477603696286,0.0001,0.001954969,0.2,0.0755821168422699,50,0.0,0.22152485847473144,-1.9197822332382202
,,,,,1800,,2625,6,0,2.77,-0.40373858999999995,0.65,,,,,,,,,,
700,2100,0.94,1.34,0,2100,-0.05221837440971285,,,,,,,-0.05899465084075928,-0.010203295305836945,0.0001,0.003304578,0.2,0.08830886334180832,60,0.0,0.27073254659771917,-1.8976946711540221
,,,,,2100,,3078,7,0,2.82,-0.41989395,0.66,,,,,,,,,,
