env/n_steps,env/completion_counter,env/current_idx,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_rew_mean,time/iterations,time/fps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/clip_range,train/entropy_loss,train/loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_fraction,train/n_updates
300,0,100,300,1.72,-0.17037274620961398,0.86,,,,,,,,,,,,,,,,
,,,300,,,,-0.44784673737373737,1,0,0.6161616161616161,2.98989898989899,474,,,,,,,,,,
600,0,203,600,1.98,-0.20305848796851933,0.82,,,,,,,-0.0019706594292074444,0.27195526883006094,0.2,-1.9457997858524323,0.12603574991226196,-0.10926663875579834,0.0001,0.00023611358,0.0,10
,,,600,,,,-0.40152965,2,0,0.63,2.86,923,,,,,,,,,,
900,0,311,900,1.14,-0.0286446806229651,0.98,,,,,,,-0.002694224374135956,0.23860574662685394,0.2,-1.9452689647674561,0.0935625210404396,-0.1824876070022583,0.0001,0.00042579375,0.0,20
,,,900,,,,-0.33624948000000004,3,0,0.7,2.77,1338,,,,,,,,,,
1200,0,403,1200,1.62,-0.09924112582579254,0.92,,,,,,,-0.004282059165416285,0.21560755223035813,0.2,-1.943341112136841,0.061360687017440796,0.021381139755249023,0.0001,0.0012943847,0.0,30
,,,1200,,,,-0.44299015999999997,4,0,0.57,3.19,1773,,,,,,,,,,
1500,0,507,1500,1.4,-0.07345886896364391,0.94,,,,,,,-0.002086210568086244,0.20495854318141937,0.2,-1.9380877554416656,0.0755179151892662,0.007666587829589844,0.0001,0.0011574056,0.0,40
,,,1500,,,,-0.41674082,5,0,0.66,2.92,2209,,,,,,,,,,
1800,0,620,1800,1.36,-0.07337800038047135,0.94,,,,,,,-0.005960796658473555,0.24635515883564948,0.2,-1.929979407787323,0.11335832625627518,3.337860107421875e-05,0.0001,0.0020647277,0.0,50
,,,1800,,,,-0.36812931000000004,6,0,0.69,2.63,2640,,,,,,,,,,
