env/current_idx,env/n_steps,eval/mean_reward,time/total_timesteps,eval/mean_ep_length,eval/success_rate,env/completion_counter,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl
128,300,-0.028917624559253455,300,1.16,0.94,0,,,,,,,,,,,,,,,,
,,,300,,,,453,0,2.42,0.34,-0.6649453600000002,1,,,,,,,,,,
268,600,-0.1329413750115782,600,1.34,0.86,0,,,,,,,0.0,5,-0.4208794832229614,0.2,0.3324735760688782,-1.9458631992340087,1.3620109617710114,-0.0016183538027689792,0.0001,7.415397e-05
,,,600,,,,916,0,2.12,0.47,-0.57152945,2,,,,,,,,,,
403,900,-0.09402869173325598,900,1.3,0.86,0,,,,,,,0.0,10,-0.42994189262390137,0.2,0.12857851386070251,-1.9457176685333253,0.340881809592247,-0.0010713450392358936,0.0001,3.6444835e-05
,,,900,,,,1341,0,2.14,0.48,-0.5084429,3,,,,,,,,,,
553,1200,-0.1121508145937696,1200,1.26,0.9,0,,,,,,,0.0,15,-0.4362666606903076,0.2,0.14264404773712158,-1.9455261468887328,0.33150807619094846,-0.0015370106237241998,0.0001,8.995298e-05
,,,1200,,,,1777,0,1.94,0.57,-0.41380914999999996,4,,,,,,,,,,
692,1500,-0.027995842434465887,1500,1.12,0.94,0,,,,,,,0.0,20,-0.19460344314575195,0.2,0.13994130492210388,-1.9449950456619263,0.28301302045583726,-0.002840068643763516,0.0001,0.0001761243
,,,1500,,,,2198,0,2.14,0.49,-0.47401014,5,,,,,,,,,,
841,1800,-0.04901489550247788,1800,1.12,0.96,0,,,,,,,0.0,25,-0.051726341247558594,0.2,0.1300281286239624,-1.9435773968696595,0.26205388456583023,-0.004739600251195952,0.0001,0.00047921017
,,,1800,,,,2645,0,2.03,0.51,-0.47593529999999995,6,,,,,,,,,,
