eval/mean_ep_length,env/completion_counter,time/total_timesteps,env/n_steps,eval/success_rate,env/current_idx,eval/mean_reward,time/iterations,time/fps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss
1.3,0,300,300,0.88,144,-0.08966792355291546,,,,,,,,,,,,,,,,
,,300,,,,,1,0,0.49,2.09,456,-0.50644081,,,,,,,,,,
1.22,0,600,600,0.9,289,-0.10961062774062157,,,,,,,0.0,8.3834304e-05,0.17119240760803223,-0.0026360840420238674,0.2,0.0001,-0.44910192489624023,-1.945860743522644,5,0.6106683552265167
,,600,,,,,2,0,0.5,2.09,889,-0.4760207700000001,,,,,,,,,,
1.26,0,900,900,0.92,423,-0.030513954600319266,,,,,,,0.0,8.794919e-05,0.1699851006269455,-0.0019575039797928183,0.2,0.0001,-0.28767669200897217,-1.945620048046112,10,0.33063883036375047
,,900,,,,,3,0,0.4,2.29,1292,-0.6286822199999998,,,,,,,,,,
1.1,0,1200,1200,0.98,559,-0.027805947423912583,,,,,,,0.0,0.00010662346,0.1326838582754135,-0.002072738057540846,0.2,0.0001,-0.3168330192565918,-1.945136833190918,15,0.2843953534960747
,,1200,,,,,4,0,0.42,2.28,1694,-0.57926252,,,,,,,,,,
1.2,0,1500,1500,0.94,688,-0.048681197143159806,,,,,,,0.0,0.0001678768,0.11937867105007172,-0.0014176366064930334,0.2,0.0001,-0.09752655029296875,-1.9442504405975343,20,0.2488998755812645
,,1500,,,,,5,0,0.37,2.36,2093,-0.6201689899999999,,,,,,,,,,
1.22,0,1800,1800,0.92,827,-0.05305611077230424,,,,,,,0.0,0.00024198086,0.11633510142564774,-0.00234697571140714,0.2,0.0001,-0.14776384830474854,-1.9426548838615418,25,0.2491995871067047
,,1800,,,,,6,0,0.53,2.13,2512,-0.48437803,,,,,,,,,,
1.22,0,2100,2100,0.9,962,-0.09487767659593374,,,,,,,0.0,0.0002590948,0.11013025045394897,-0.0012819074856452062,0.2,0.0001,-0.056325435638427734,-1.9400342226028442,30,0.26749844998121264
,,2100,,,,,7,0,0.42,2.23,2927,-0.55783301,,,,,,,,,,
1.2,0,2400,2400,0.92,1100,-0.06894286616239696,,,,,,,0.0,0.0003447419,0.059068288654088974,-0.0029795216003549287,0.2,0.0001,0.02960902452468872,-1.9368321418762207,35,0.2210085242986679
,,2400,,,,,8,0,0.48,2.19,3346,-0.55890093,,,,,,,,,,
1.26,0,2700,2700,0.9,1242,-0.11143094449769705,,,,,,,0.0,0.00073216273,0.11873292177915573,-0.0031326692318543793,0.2,0.0001,0.004256486892700195,-1.931545913219452,40,0.25177026093006133
,,2700,,,,,9,0,0.57,2.04,3776,-0.41191729999999993,,,,,,,,,,
1.24,0,3000,3000,0.92,1388,-0.06986150951124728,,,,,,,0.0,0.0006747114,0.13803325593471527,-0.004342675794032402,0.2,0.0001,-0.005544304847717285,-1.924340796470642,45,0.2527062103152275
