env/completion_counter,eval/mean_reward,eval/mean_ep_length,env/current_idx,time/total_timesteps,eval/success_rate,env/n_steps,rollout/ep_len_mean,rollout/success_rate,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/clip_range,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss
0,-0.09054225472733378,1.22,131,300,0.9,300,,,,,,,,,,,,,,,,
,,,,300,,,2.31,0.41,0,449,1,-0.5369595400000001,,,,,,,,,,
0,-0.09029929572250694,1.26,264,600,0.9,600,,,,,,,0.2,0.3253326117992401,0.0001,0.0,-1.9458755254745483,5,7.204062e-05,-0.2831305265426636,1.394268375635147,-0.0013971687876619399
,,,,600,,,2.23,0.45,0,889,2,-0.50595821,,,,,,,,,,
0,-0.11079149227589369,1.2,405,900,0.9,900,,,,,,,0.2,0.14263810217380524,0.0001,0.0,-1.9456710815429688,10,0.00012918541,-0.39899301528930664,0.39872617125511167,-0.0024977075518108904
,,,,900,,,2.11,0.5,0,1319,3,-0.49159579999999997,,,,,,,,,,
0,-0.049018067186698315,1.22,542,1200,0.92,1200,,,,,,,0.2,0.1449350118637085,0.0001,0.0,-1.9450806617736816,15,0.00015349741,-0.23087430000305176,0.3284227252006531,-0.0015629406610969455
,,,,1200,,,2.22,0.46,0,1749,4,-0.5827895399999999,,,,,,,,,,
0,-0.08942267703823745,1.26,683,1500,0.88,1500,,,,,,,0.2,0.11092998087406158,0.0001,0.0,-1.9442094564437866,20,0.00016770727,-0.11336803436279297,0.23618703782558442,-0.0012277424131752924
,,,,1500,,,2.17,0.51,0,2163,5,-0.49388684999999993,,,,,,,,,,
0,-0.04807279236149043,1.16,814,1800,0.96,1800,,,,,,,0.2,0.07706695050001144,0.0001,0.0,-1.9434686779975892,25,7.91199e-05,-0.04915797710418701,0.2560652792453766,-0.000542442924779607
,,,,1800,,,2.33,0.41,0,2563,6,-0.6084019500000001,,,,,,,,,,
0,-0.04811947253998369,1.14,955,2100,0.94,2100,,,,,,,0.2,0.105033278465271,0.0001,0.0,-1.9424383401870728,30,0.00014429505,0.02769416570663452,0.24617552310228347,-0.0010669260103895795
,,,,2100,,,2.08,0.52,0,2987,7,-0.4170271000000001,,,,,,,,,,
0,-0.04861421609297395,1.2,1102,2400,0.94,2400,,,,,,,0.2,0.12138272821903229,0.0001,0.0,-1.9405943870544433,35,0.00038689264,-0.09011054039001465,0.2628242164850235,-0.0036780060036107898
,,,,2400,,,2.06,0.53,0,3389,8,-0.4910720500000001,,,,,,,,,,
0,-0.11401202023494988,1.28,1239,2700,0.9,2700,,,,,,,0.2,0.09088878333568573,0.0001,0.0,-1.9360214114189147,40,0.00075984723,-0.03777468204498291,0.2466724097728729,-0.005713727523107082
,,,,2700,,,2.17,0.5,0,3822,9,-0.47841482,,,,,,,,,,
0,-0.04848310715984553,1.18,1383,3000,0.94,3000,,,,,,,0.2,0.0873975157737732,0.0001,0.0,-1.927956509590149,45,0.0010812692,0.011254072189331055,0.23791628032922746,-0.006037304596975446
,,,,3000,,,2.11,0.54,0,4241,10,-0.4178635200000001,,,,,,,,,,
0,-0.088904197672382,1.2,1526,3300,0.92,3300,,,,,,,0.2,0.09672041982412338,0.0001,0.0,-1.9153895020484923,50,0.0012162782,0.02925419807434082,0.24517927914857865,-0.007467913324944675
,,,,3300,,,2.14,0.5,0,4650,11,-0.45504796999999997,,,,,,,,,,
0,-0.009100237158127128,1.18,1670,3600,0.96,3600,,,,,,,0.2,0.09553922712802887,0.0001,0.0,-1.898169183731079,55,0.0013059266,0.05794501304626465,0.23511121273040772,-0.006565685570240021
,,,,3600,,,2.11,0.51,0,5075,12,-0.45693409000000007,,,,,,,,,,
0,-0.07072656471282243,1.18,1822,3900,0.94,3900,,,,,,,0.2,0.12521691620349884,0.0001,0.0,-1.8789122939109801,60,0.0011658883,-0.08719050884246826,0.263332886993885,-0.0036676873016403986
,,,,3900,,,1.96,0.6,0,5516,13,-0.36965367999999993,,,,,,,,,,
0,-0.06904724977910519,1.2,1968,4200,0.92,4200,,,,,,,0.2,0.10748190432786942,0.0001,0.0,-1.8541727304458617,65,0.0010060433,0.017670929431915283,0.24573230743408203,-0.004643729579402134
,,,,4200,,,2.05,0.54,0,5963,14,-0.38162132,,,,,,,,,,
0,-0.09050824270118028,1.26,2113,4500,0.9,4500,,,,,,,0.2,0.09721449017524719,0.0001,0.0,-1.8279598593711852,70,0.0012109494,0.10512477159500122,0.21471463292837142,-0.0057163307908922436
,,,,4500,,,2.0,0.57,0,6390,15,-0.3958982200000001,,,,,,,,,,
0,-0.07045382217504084,1.28,2270,4800,0.88,4800,,,,,,,0.2,0.08436781167984009,0.0001,0.0,-1.7950901508331298,75,0.0014033939,0.0604056715965271,0.2426941454410553,-0.007082318281754851
,,,,4800,,,1.89,0.65,0,6829,16,-0.29534793,,,,,,,,,,
0,-0.09263074590358883,1.32,2423,5100,0.88,5100,,,,,,,0.2,0.12323711067438126,0.0001,0.0,-1.7578510880470275,80,0.0012967444,0.0072029829025268555,0.2473526880145073,-0.005761193350190296
,,,,5100,,,1.93,0.61,0,7267,17,-0.38474501000000005,,,,,,,,,,
0,-0.09204534999094903,1.24,2564,5400,0.9,5400,,,,,,,0.2,0.11062569916248322,0.0001,0.0,-1.7135692238807678,85,0.0014986091,0.034706950187683105,0.22954607456922532,-0.004688027978409082
,,,,5400,,,2.1,0.51,0,7699,18,-0.4530657100000001,,,,,,,,,,
0,-0.13245480629615486,1.36,2728,5700,0.86,5700,,,,,,,0.2,0.12147902697324753,0.0001,0.0,-1.670832598209381,90,0.0012441968,0.09073686599731445,0.2340676411986351,-0.006136232271092013
,,,,5700,,,1.84,0.65,0,8150,19,-0.31077452,,,,,,,,,,
0,-0.029059100514277816,1.06,2894,6000,0.98,6000,,,,,,,0.2,0.10309602320194244,0.0001,0.0,-1.6209884762763977,95,0.0014574251,0.1178099513053894,0.21776839047670365,-0.0066872341325506564
,,,,6000,,,1.75,0.67,0,8616,20,-0.30740823999999994,,,,,,,,,,
0,-0.09034729888662696,1.26,3054,6300,0.9,6300,,,,,,,0.2,0.09351660311222076,0.0001,0.0,-1.5660889744758606,100,0.0014722889,0.23514002561569214,0.2021268680691719,-0.006546553311636671
,,,,6300,,,1.95,0.61,0,9057,21,-0.35865570999999996,,,,,,,,,,
0,-0.0958007490541786,1.3,3218,6600,0.92,6600,,,,,,,0.2,0.09056474268436432,0.0001,0.0,-1.516012954711914,105,0.0011897031,0.1817752718925476,0.19796096086502074,-0.0049368425188731635
,,,,6600,,,1.99,0.6,0,9498,22,-0.3512232900000001,,,,,,,,,,
0,-0.11331156658940017,1.24,3389,6900,0.9,6900,,,,,,,0.2,0.07968194782733917,0.0001,0.0,-1.4579213976860046,110,0.0013834445,0.1879051923751831,0.18660859763622284,-0.0037899727298281506
,,,,6900,,,1.82,0.66,0,9947,23,-0.25493856000000004,,,,,,,,,,
0,-0.11257473350968211,1.32,3548,7200,0.86,7200,,,,,,,0.2,0.1106717512011528,0.0001,0.0,-1.4089182019233704,115,0.000778569,0.07143992185592651,0.2020522177219391,-0.001964937730372185
,,,,7200,,,1.86,0.63,0,10408,24,-0.35089651000000005,,,,,,,,,,
0,-0.030029908679425718,1.22,3715,7500,0.96,7500,,,,,,,0.2,0.1082916408777237,0.0001,0.0,-1.3666983246803284,120,0.0003978778,0.08645176887512207,0.23590637296438216,-0.001736288779648021
,,,,7500,,,1.75,0.69,0,10874,25,-0.29462781999999993,,,,,,,,,,
0,-0.0699370503053069,1.18,3879,7800,0.94,7800,,,,,,,0.2,0.06527437269687653,0.0001,0.0,-1.330063033103943,125,0.00042125618,0.09856349229812622,0.2398247539997101,-0.003295959543902427
,,,,7800,,,1.86,0.64,0,11302,26,-0.29331187,,,,,,,,,,
0,-0.07032909977715462,1.22,4041,8100,0.92,8100,,,,,,,0.2,0.08681751042604446,0.0001,0.0,-1.2913756370544434,130,0.0007979467,0.18732231855392456,0.19610103815793992,-0.0033773441973607987
,,,,8100,,,1.89,0.64,0,11746,27,-0.28754288,,,,,,,,,,
0,-0.13007075410336255,1.34,4213,8400,0.84,8400,,,,,,,0.2,0.0706428587436676,0.0001,0.0,-1.2406010985374452,135,0.0006888852,0.18835651874542236,0.19252486228942872,-0.005281472733622649
,,,,8400,,,1.7,0.74,0,12184,28,-0.27785331999999996,,,,,,,,,,
0,-0.0477576785068959,1.14,4370,8700,0.96,8700,,,,,,,0.2,0.09596408903598785,0.0001,0.0,-1.1892475366592408,140,0.0005814935,0.18231326341629028,0.1914363756775856,-0.0026415352302137764
,,,,8700,,,1.94,0.6,0,12617,29,-0.40853073999999995,,,,,,,,,,
0,-0.15039345593657344,1.32,4546,9000,0.84,9000,,,,,,,0.2,0.08310403674840927,0.0001,0.0,-1.1446402430534364,145,0.0003845736,0.15147900581359863,0.2340802952647209,-0.0007604753482155502
,,,,9000,,,1.74,0.71,0,13056,30,-0.26170811,,,,,,,,,,
0,-0.0898094485886395,1.24,4729,9300,0.92,9300,,,,,,,0.2,0.09826908260583878,0.0001,0.0,-1.1139497399330138,150,0.0001737763,0.1928107738494873,0.21525526642799378,-0.0007290982473932672
,,,,9300,,,1.64,0.76,0,13492,31,-0.21016166000000003,,,,,,,,,,
0,-0.027825696249492465,1.1,4910,9600,0.96,9600,,,,,,,0.2,0.0775180459022522,0.0001,0.0,-1.0917179465293885,155,0.00042233325,0.04608196020126343,0.20401532649993898,-0.002823139278916642
,,,,9600,,,1.79,0.64,0,13961,32,-0.30322926999999994,,,,,,,,,,
0,-0.028772844914346934,1.18,5088,9900,0.96,9900,,,,,,,0.2,0.09779141843318939,0.0001,0.0,-1.04233375787735,160,0.00065760093,0.09637373685836792,0.21449995487928392,-0.002106656215619296
,,,,9900,,,1.82,0.69,0,14422,33,-0.30420398000000004,,,,,,,,,,
0,-0.07043391559273005,1.24,5267,10200,0.92,10200,,,,,,,0.2,0.08112674206495285,0.0001,0.0,-0.9914637923240661,165,0.0005692559,0.1221165657043457,0.19745368361473084,-0.0023398784280288963
,,,,10200,,,1.56,0.81,0,14849,34,-0.20742196999999993,,,,,,,,,,
0,-0.028305752440355717,1.14,5444,10500,0.96,10500,,,,,,,0.2,0.07092803716659546,0.0001,0.0,-0.9489624857902527,170,0.0004036767,0.18347787857055664,0.19121204912662507,-0.0010247746191453188
,,,,10500,,,1.75,0.7,0,15260,35,-0.26600397000000003,,,,,,,,,,
0,-0.08949730828870088,1.24,5626,10800,0.92,10800,,,,,,,0.2,0.09542897343635559,0.0001,0.0,-0.9175401389598846,175,0.00028816692,0.15173768997192383,0.19846271425485612,-0.0008892193669453263
,,,,10800,,,1.65,0.74,0,15711,36,-0.24636448000000005,,,,,,,,,,
0,-0.11632120172958821,1.32,5800,11100,0.88,11100,,,,,,,0.2,0.06512460112571716,0.0001,0.0,-0.8826614916324615,180,0.00022579072,0.15233594179153442,0.1923641562461853,-0.0011093043605796993
,,,,11100,,,1.74,0.71,0,16150,37,-0.26167734,,,,,,,,,,
0,-0.09161868409719318,1.22,5987,11400,0.92,11400,,,,,,,0.2,0.09930771589279175,0.0001,0.0,-0.8511701583862304,185,0.0003364957,0.22127187252044678,0.18766615986824037,-0.0015887622590526006
,,,,11400,,,1.69,0.74,0,16622,38,-0.25500139999999993,,,,,,,,,,
0,-0.06885757151059807,1.18,6170,11700,0.92,11700,,,,,,,0.2,0.10227686911821365,0.0001,0.0,-0.8192842721939086,190,0.0003329119,0.20742923021316528,0.1760629564523697,-0.0009065160353202373
,,,,11700,,,1.61,0.78,0,17069,39,-0.24180483999999997,,,,,,,,,,
0,-0.06846948210150003,1.16,6343,12000,0.94,12000,,,,,,,0.2,0.08775579184293747,0.0001,0.00078125,-0.7828814089298248,195,0.0004590529,0.2680535912513733,0.16400009766221046,-0.001406134431636019
,,,,12000,,,1.75,0.69,0,17516,40,-0.29792451,,,,,,,,,,
0,-0.029677181402221323,1.22,6514,12300,0.92,12300,,,,,,,0.2,0.08667659759521484,0.0001,0.0,-0.7463282763957977,200,0.00029525912,0.19754046201705933,0.19587881118059158,-0.0014311721781268716
,,,,12300,,,1.65,0.73,0,17961,41,-0.25314807999999994,,,,,,,,,,
0,-0.1147355811111629,1.4,6682,12600,0.84,12600,,,,,,,0.2,0.07726376503705978,0.0001,0.00078125,-0.7154291093349456,205,0.0003812134,0.28274422883987427,0.18115385621786118,-0.0012224976380821317
,,,,12600,,,1.73,0.69,0,18417,42,-0.28776091000000004,,,,,,,,,,
0,-0.049352621650323274,1.24,6855,12900,0.92,12900,,,,,,,0.2,0.0812329649925232,0.0001,0.0,-0.6935380578041077,210,6.0693754e-05,0.17721623182296753,0.20309693962335587,0.0002875322854379192
,,,,12900,,,1.77,0.72,0,18858,43,-0.2696382400000001,,,,,,,,,,
0,-0.09333464365452528,1.42,7037,13200,0.82,13200,,,,,,,0.2,0.07186960428953171,0.0001,0.0,-0.6925810217857361,215,1.1527551e-06,0.13801461458206177,0.20202536284923553,-7.245738743222319e-06
,,,,13200,,,1.66,0.74,0,19313,44,-0.23402835000000002,,,,,,,,,,
0,-0.048451126744039355,1.16,7203,13500,0.96,13500,,,,,,,0.2,0.07151883840560913,0.0001,0.0,-0.6895656406879425,220,1.8964427e-05,0.22303301095962524,0.15892012864351274,-0.0003499302896670997
,,,,13500,,,1.7,0.7,0,19739,45,-0.27024648,,,,,,,,,,
0,-0.11058044065255672,1.34,7387,13800,0.84,13800,,,,,,,0.2,0.08285880088806152,0.0001,0.0,-0.694486552476883,225,7.775896e-05,0.23677873611450195,0.18716153204441072,-0.0006789075909182429
,,,,13800,,,1.68,0.74,0,20182,46,-0.21519409999999994,,,,,,,,,,
0,-0.10958916703704745,1.26,7571,14100,0.9,14100,,,,,,,0.2,0.12313345819711685,0.0001,0.0,-0.6882044076919556,230,2.8032555e-05,0.18783241510391235,0.18180611729621887,-0.0003624666111136321
,,,,14100,,,1.59,0.76,0,20620,47,-0.23245051,,,,,,,,,,
0,-0.05066672372166067,1.14,7749,14400,0.94,14400,,,,,,,0.2,0.1010676920413971,0.0001,0.0,-0.6943417131900788,235,5.7593676e-05,0.26000577211380005,0.17882733792066574,-0.0010563193063717335
,,,,14400,,,1.66,0.74,0,21064,48,-0.24370482000000002,,,,,,,,,,
0,-0.04852618378121406,1.2,7929,14700,0.94,14700,,,,,,,0.2,0.0996737852692604,0.0001,0.0,-0.6655535340309143,240,9.364875e-05,0.23353451490402222,0.18149015307426453,-0.00038287547649815676
,,,,14700,,,1.65,0.75,0,21522,49,-0.25340197,,,,,,,,,,
0,-0.1095695288758725,1.3,8113,15000,0.88,15000,,,,,,,0.2,0.06864622980356216,0.0001,0.0,-0.6485852122306823,245,0.00011325948,0.1897069811820984,0.1765186980366707,-0.0011997110908851028
,,,,15000,,,1.66,0.71,0,21965,50,-0.21711235999999995,,,,,,,,,,
0,-0.06983141741715372,1.22,8296,15300,0.92,15300,,,,,,,0.2,0.08786603808403015,0.0001,0.0,-0.6276277065277099,250,6.387159e-05,0.24443137645721436,0.1805027589201927,-6.17365469224751e-05
,,,,15300,,,1.77,0.71,0,22403,51,-0.27039947999999997,,,,,,,,,,
0,-0.09001716880127787,1.22,8470,15600,0.92,15600,,,,,,,0.2,0.08082481473684311,0.0001,0.004225852340459824,-0.628626573085785,255,0.0020723604,0.20291417837142944,0.17283718436956405,-0.0024543851796352103
,,,,15600,,,1.81,0.66,0,22832,52,-0.31415985,,,,,,,,,,
0,-0.048144149631261825,1.12,8653,15900,0.96,15900,,,,,,,0.2,0.12051589787006378,0.0001,0.0,-0.6090050637722015,260,8.809581e-06,0.11231327056884766,0.20047195702791215,0.00016948760458035395
,,,,15900,,,1.56,0.74,0,23265,53,-0.22227544000000002,,,,,,,,,,
0,-0.048965629851445557,1.16,8844,16200,0.94,16200,,,,,,,0.2,0.0863051787018776,0.0001,0.0,-0.6089078724384308,265,2.3502593e-05,0.16164112091064453,0.18692650496959687,-0.0003981369843131688
,,,,16200,,,1.56,0.81,0,23713,54,-0.18171665,,,,,,,,,,
0,-0.09380909545347095,1.26,9026,16500,0.9,16500,,,,,,,0.2,0.0825076475739479,0.0001,0.0,-0.6000859797000885,270,1.8809329e-05,0.22971242666244507,0.16838538497686387,-0.00015966411301633344
,,,,16500,,,1.66,0.7,0,24139,55,-0.28744382,,,,,,,,,,
0,-0.047269215136766435,1.1,9208,16800,0.96,16800,,,,,,,0.2,0.10248098522424698,0.0001,0.0,-0.6026393949985505,275,2.880022e-05,0.18000227212905884,0.21575220674276352,-0.0007333028708671919
,,,,16800,,,1.59,0.78,0,24576,56,-0.20895146,,,,,,,,,,
0,-0.19306087066419422,1.44,9389,17100,0.82,17100,,,,,,,0.2,0.10848367214202881,0.0001,0.0,-0.5901594817638397,280,0.00010906607,0.15958178043365479,0.19757737517356871,-0.0012372519879136235
,,,,17100,,,1.73,0.69,0,25011,57,-0.28106853,,,,,,,,,,
0,-0.10853428423404693,1.24,9578,17400,0.88,17400,,,,,,,0.2,0.07460979372262955,0.0001,0.0022727273404598235,-0.5723491966724396,285,0.0016534174,0.19387304782867432,0.18135395348072053,-0.0016975543545413529
,,,,17400,,,1.52,0.79,0,25428,58,-0.13680576,,,,,,,,,,
0,-0.0303317206306383,1.14,9757,17700,0.96,17700,,,,,,,0.2,0.07282733172178268,0.0001,0.0,-0.5542216360569,290,3.3148903e-05,0.20164567232131958,0.15652857944369317,-0.00027053797675762324
,,,,17700,,,1.65,0.75,0,25856,59,-0.22661615999999998,,,,,,,,,,
0,-0.11042502933181822,1.3,9926,18000,0.88,18000,,,,,,,0.2,0.1090315505862236,0.0001,0.0,-0.5490874707698822,295,1.4067331e-05,0.2273237705230713,0.17539290487766265,0.00013285562017699702
