eval/mean_reward,eval/mean_ep_length,env/n_steps,time/total_timesteps,env/completion_counter,eval/success_rate,env/current_idx,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_fraction
-0.14359104976058007,1.62,300,300,0,0.88,102,,,,,,,,,,,,,,,,
,,,300,,,,470,2.92,1,0,-0.44966354,0.66,,,,,,,,,,
-0.09302740355953575,1.42,600,600,0,0.92,195,,,,,,,-1.9458637595176698,7.097835e-05,0.0001,5,0.3737325623631477,-0.47194981575012207,-0.001778259070124477,0.2,0.09033775329589844,0.0
,,,600,,,,929,3.26,2,0,-0.57007699,0.53,,,,,,,,,,
-0.07606903885956853,1.46,900,900,0,0.92,288,,,,,,,-1.945694589614868,4.656012e-05,0.0001,10,0.31230421364307404,-0.3207862377166748,-0.0008460360724711791,0.2,0.11802498996257782,0.0
,,,900,,,,1376,3.14,3,0,-0.4735112299999999,0.58,,,,,,,,,,
-0.029990636534057556,1.3,1200,1200,0,0.98,391,,,,,,,-1.9454758524894715,5.392219e-05,0.0001,15,0.3025357723236084,-0.38296663761138916,-0.000731041507970076,0.2,0.13292153179645538,0.0
,,,1200,,,,1800,2.96,4,0,-0.4895581499999999,0.59,,,,,,,,,,
-0.02893338111694902,1.22,1500,1500,0,0.96,494,,,,,,,-1.945068860054016,0.00013002244,0.0001,20,0.2528229296207428,-0.010601997375488281,-0.0014393546793144197,0.2,0.11962147802114487,0.0
,,,1500,,,,2245,2.97,5,0,-0.40711110000000006,0.63,,,,,,,,,,
-0.0328672839095816,1.2,1800,1800,0,0.98,596,,,,,,,-1.944174838066101,0.00021212362,0.0001,25,0.2496136322617531,-0.02723526954650879,-0.0023145755054429173,0.2,0.10576359182596207,0.0
,,,1800,,,,2672,2.91,6,0,-0.40985192,0.65,,,,,,,,,,
-0.00948065537493676,1.2,2100,2100,0,0.98,697,,,,,,,-1.9422460794448853,0.00028628286,0.0001,30,0.2622919544577599,0.007825314998626709,-0.0018081256828736513,0.2,0.1026771292090416,0.0
,,,2100,,,,3129,2.94,7,0,-0.50251161,0.6,,,,,,,,,,
-0.07274533589370549,1.36,2400,2400,0,0.94,799,,,,,,,-1.9393951296806335,0.00042837518,0.0001,35,0.2248546674847603,0.0851060152053833,-0.00397522963467054,0.2,0.09802510589361191,0.0
,,,2400,,,,3581,2.9,8,0,-0.4325979499999999,0.63,,,,,,,,,,
-0.09717052765190601,1.52,2700,2700,0,0.9,893,,,,,,,-1.9356733918190003,0.00043677003,0.0001,40,0.3196769833564758,-0.026993393898010254,-0.0006931485258974135,0.2,0.17150360345840454,0.0
,,,2700,,,,4060,3.23,9,0,-0.54898256,0.56,,,,,,,,,,
-0.09366875675972551,1.4,3000,3000,0,0.92,990,,,,,,,-1.9318068861961364,0.0002893911,0.0001,45,0.2895072102546692,0.032373785972595215,-0.0027486675302498043,0.2,0.12830787897109985,0.0
,,,3000,,,,4541,3.12,10,0,-0.48473242,0.58,,,,,,,,,,
-0.0764254612242803,1.5,3300,3300,0,0.94,1090,,,,,,,-1.9259445190429687,0.00045454392,0.0001,50,0.26743519902229307,0.06036221981048584,-0.003340078855399042,0.2,0.12547139823436737,0.0
,,,3300,,,,5026,3.03,11,0,-0.5044206099999999,0.61,,,,,,,,,,
-0.030499940821900964,1.32,3600,3600,0,0.94,1189,,,,,,,-1.9165216207504272,0.00076294824,0.0001,55,0.29582113325595855,-0.053534626960754395,-0.004459044971736148,0.2,0.11976238340139389,0.0
,,,3600,,,,5471,3.05,12,0,-0.46906794000000007,0.6,,,,,,,,,,
-0.07242114325985312,1.38,3900,3900,0,0.94,1293,,,,,,,-1.9021916151046754,0.00105175,0.0001,60,0.2877319395542145,0.053502440452575684,-0.006201346636225935,0.2,0.1499781310558319,0.0
,,,3900,,,,5939,2.85,13,0,-0.5128325500000002,0.62,,,,,,,,,,
-0.03095475325360894,1.12,4200,4200,0,0.98,1388,,,,,,,-1.8858391284942626,0.0007320737,0.0001,65,0.23940191864967347,0.13958561420440674,-0.004317750864720438,0.2,0.1167500764131546,0.0
,,,4200,,,,6401,3.18,14,0,-0.50804957,0.56,,,,,,,,,,
-0.0518783720722422,1.4,4500,4500,0,0.94,1490,,,,,,,-1.8665774464607239,0.0008108995,0.0001,70,0.26213420033454893,0.08891880512237549,-0.0034721579519100486,0.2,0.10510901361703873,0.0
,,,4500,,,,6887,2.91,15,0,-0.42962635000000005,0.66,,,,,,,,,,
-0.05223711555823684,1.38,4800,4800,0,0.92,1594,,,,,,,-1.8454551339149474,0.0010157912,0.0001,75,0.22911987006664275,0.1363278031349182,-0.004087600175989792,0.2,0.11055982857942581,0.0
,,,4800,,,,7395,2.88,16,0,-0.41626169999999996,0.61,,,,,,,,,,
-0.053826805083081124,1.44,5100,5100,0,0.92,1707,,,,,,,-1.8198339700698853,0.0011734815,0.0001,80,0.2181622326374054,0.08939087390899658,-0.004510133416624739,0.2,0.08015517145395279,0.0
,,,5100,,,,7882,2.67,17,0,-0.35276678000000006,0.71,,,,,,,,,,
-0.05028035602532327,1.28,5400,5400,0,0.94,1813,,,,,,,-1.7910003066062927,0.0010298791,0.0001,85,0.2377185121178627,0.125663161277771,-0.004188601381611079,0.2,0.11399064213037491,0.0
,,,5400,,,,8335,2.86,18,0,-0.3951725199999999,0.66,,,,,,,,,,
-0.028273031543940307,1.16,5700,5700,0,0.98,1925,,,,,,,-1.7597790122032166,0.0007958842,0.0001,90,0.23247100561857223,0.14401131868362427,-0.0015518039232119917,0.2,0.11990660429000854,0.0
,,,5700,,,,8790,2.66,19,0,-0.34808512999999996,0.69,,,,,,,,,,
-0.07633919696323574,1.4,6000,6000,0,0.92,2040,,,,,,,-1.734601044654846,0.0004762542,0.0001,95,0.254145023226738,0.024468183517456055,-0.0007178483464485907,0.2,0.12206476181745529,0.0
,,,6000,,,,9233,2.69,20,0,-0.3836289799999999,0.7,,,,,,,,,,
-0.05413910558912903,1.4,6300,6300,0,0.94,2150,,,,,,,-1.7099425554275514,0.0004372915,0.0001,100,0.2372204452753067,0.13172686100006104,-0.002843488228973001,0.2,0.09030776470899582,0.0
,,,6300,,,,9712,2.8,21,0,-0.36199911000000007,0.67,,,,,,,,,,
-0.09524852810893208,1.42,6600,6600,0,0.92,2272,,,,,,,-1.681319808959961,0.00075317395,0.0001,105,0.24961878955364228,0.034888267517089844,-0.004305162135278806,0.2,0.10932838916778564,0.0
,,,6600,,,,10165,2.47,22,0,-0.30276058,0.74,,,,,,,,,,
-0.10624934869352728,1.62,6900,6900,0,0.9,2400,,,,,,,-1.64673752784729,0.0008411604,0.0001,110,0.21698714047670364,0.05723637342453003,-0.002953906082257163,0.2,0.09454619139432907,0.0
,,,6900,,,,10735,2.29,23,0,-0.27652521,0.78,,,,,,,,,,
-0.02876896385103464,1.18,7200,7200,0,0.98,2530,,,,,,,-1.609770619869232,0.000663884,0.0001,115,0.214313542842865,0.12467348575592041,-0.0005510592483915389,0.2,0.11382345855236053,0.0
,,,7200,,,,11202,2.4,24,0,-0.32514809,0.74,,,,,,,,,,
-0.09396856036968529,1.42,7500,7500,0,0.92,2643,,,,,,,-1.5734180212020874,0.0007058111,0.0001,120,0.22659408748149873,0.18011778593063354,-0.002885172894457355,0.2,0.10576307028532028,0.0
,,,7500,,,,11663,2.7,25,0,-0.42235781000000017,0.67,,,,,,,,,,
-0.05703092132229358,1.36,7800,7800,0,0.96,2772,,,,,,,-1.5291629791259767,0.0009319955,0.0001,125,0.23213280588388444,0.13104981184005737,-0.004777428213856183,0.2,0.1011824905872345,0.0
,,,7800,,,,12113,2.41,26,0,-0.2652759,0.77,,,,,,,,,,
-0.07377850013319404,1.62,8100,8100,0,0.9,2907,,,,,,,-1.4814175844192505,0.00082580873,0.0001,130,0.24851658940315247,0.022931218147277832,-0.002411462330201175,0.2,0.09929508715867996,0.0
,,,8100,,,,12605,2.32,27,0,-0.28451761000000003,0.76,,,,,,,,,,
-0.07517628370784223,1.44,8400,8400,0,0.94,3037,,,,,,,-1.4375616192817688,0.00067416206,0.0001,135,0.23636145144701004,0.09924232959747314,-0.0021309719581040555,0.2,0.1331494003534317,0.0
,,,8400,,,,13065,2.36,28,0,-0.25221496,0.82,,,,,,,,,,
-0.03297093647532165,1.36,8700,8700,0,0.96,3176,,,,,,,-1.3922953248023986,0.0008571061,0.0001,140,0.20078755021095276,0.25050342082977295,-0.004416136344661936,0.2,0.0862073004245758,0.0
,,,8700,,,,13518,2.19,29,0,-0.27154801,0.78,,,,,,,,,,
-0.05264180858619511,1.4,9000,9000,0,0.94,3316,,,,,,,-1.3379691958427429,0.0011313392,0.0001,145,0.23945467323064804,0.15838277339935303,-0.003909494730942242,0.2,0.07572561502456665,0.0
,,,9000,,,,13975,2.07,30,0,-0.18630322,0.84,,,,,,,,,,
-0.051603980758227405,1.26,9300,9300,0,0.96,3443,,,,,,,-1.2815088748931884,0.0007754413,0.0001,150,0.2091018170118332,0.0467911958694458,-0.0019309545925352723,0.2,0.10431744903326035,0.0
,,,9300,,,,14431,2.32,31,0,-0.27269905,0.77,,,,,,,,,,
-0.06392684218473732,1.4,9600,9600,0,0.96,3591,,,,,,,-1.2306063413619994,0.0005900526,0.0001,155,0.22316154688596726,0.0920717716217041,-0.0020521891783573665,0.2,0.10517087578773499,0.0
,,,9600,,,,14896,1.96,32,0,-0.18128281000000002,0.88,,,,,,,,,,
-0.0505523224407807,1.3,9900,9900,0,0.96,3719,,,,,,,-1.184185838699341,0.000502052,0.0001,160,0.21428888738155366,0.13836383819580078,-0.0017128553525253664,0.2,0.12202108651399612,0.0
,,,9900,,,,15366,2.31,33,0,-0.29596361000000004,0.75,,,,,,,,,,
-0.07230396927334368,1.4,10200,10200,0,0.94,3850,,,,,,,-1.1423715829849244,0.0004336926,0.0001,165,0.23219529539346695,0.16561412811279297,-0.0014644189242972061,0.2,0.09318263828754425,0.0
,,,10200,,,,15825,2.34,34,0,-0.28727891,0.74,,,,,,,,,,
-0.09228594885207712,1.46,10500,10500,0,0.9,3977,,,,,,,-1.1008721232414245,0.0006587762,0.0001,170,0.2106368988752365,0.18847328424453735,-0.0029417574172839523,0.2,0.10404602438211441,0.0
,,,10500,,,,16314,2.39,35,0,-0.31072211000000005,0.75,,,,,,,,,,
-0.007120474418625236,1.1,10800,10800,0,1.0,4108,,,,,,,-1.056281578540802,0.0005883931,0.0001,175,0.2057706743478775,0.17689162492752075,-0.0016879425587831066,0.2,0.10806338489055634,0.00078125
,,,10800,,,,16818,2.35,36,0,-0.24958892,0.78,,,,,,,,,,
-0.07504634083714336,1.38,11100,11100,0,0.94,4247,,,,,,,-1.0180416345596313,0.00035127567,0.0001,180,0.23227751404047012,0.014274239540100098,-0.0016091332421638072,0.2,0.10366813838481903,0.0
,,,11100,,,,17314,2.15,37,0,-0.24012618999999996,0.81,,,,,,,,,,
-0.032024494144134226,1.3,11400,11400,0,0.98,4373,,,,,,,-0.9841386795043945,0.00020985119,0.0001,185,0.21672287732362747,0.202262282371521,-0.00047407930542249234,0.2,0.09763392060995102,0.0
,,,11400,,,,17775,2.36,38,0,-0.25673519,0.77,,,,,,,,,,
