env/n_steps,eval/success_rate,eval/mean_ep_length,time/total_timesteps,env/current_idx,eval/mean_reward,env/completion_counter,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/approx_kl,train/clip_range,train/policy_gradient_loss
300,0.84,1.84,300,101,-0.18571759337559343,0,,,,,,,,,,,,,,,,
,,,300,,,,466,0,-0.5139612299999999,1,0.58,2.99,,,,,,,,,,
600,0.92,1.36,600,204,-0.09431778144091368,0,,,,,,,0.0001,0.5418534934520721,-1.9458830595016479,0.15843458473682404,5,0.0,-0.3854081630706787,6.434866e-05,0.2,-0.001543576356561971
,,,600,,,,892,0,-0.41982146,2,0.67,2.88,,,,,,,,,,
900,0.88,1.56,900,308,-0.09589203169569373,0,,,,,,,0.0001,0.3662328988313675,-1.9457589149475099,0.19157850742340088,10,0.0,-0.16662395000457764,5.382656e-05,0.2,-0.0015287538692064118
,,,900,,,,1307,0,-0.41391489,3,0.65,2.87,,,,,,,,,,
1200,0.98,1.34,1200,411,-0.03236438298132271,0,,,,,,,0.0001,0.2898103028535843,-1.9454493999481202,0.11498381942510605,15,0.0,-0.1347569227218628,0.00011180164,0.2,-0.0012754049530485645
,,,1200,,,,1713,0,-0.4304481,4,0.66,2.92,,,,,,,,,,
1500,0.94,1.38,1500,521,-0.07626469673588872,0,,,,,,,0.0001,0.3064525932073593,-1.9448282122612,0.14279413223266602,20,0.0,-0.14178478717803955,0.00017170869,0.2,-0.0013140538125298918
,,,1500,,,,2137,0,-0.38933461999999996,5,0.71,2.72,,,,,,,,,,
1800,0.86,1.66,1800,616,-0.13790435343049467,0,,,,,,,0.0001,0.29815484285354615,-1.943915843963623,0.141272634267807,25,0.0,-0.20622265338897705,0.000164873,0.2,-0.0015568354399874806
,,,1800,,,,2577,0,-0.54979046,6,0.6,3.15,,,,,,,,,,
2100,0.94,1.4,2100,705,-0.052264276598580184,0,,,,,,,0.0001,0.2873352900147438,-1.9424612879753114,0.11849316954612732,30,0.0,-0.11553990840911865,0.00025942927,0.2,-0.0030860150029184295
,,,2100,,,,3010,0,-0.61409731,7,0.51,3.36,,,,,,,,,,
2400,0.98,1.3,2400,814,-0.030404411260969936,0,,,,,,,0.0001,0.25380396842956543,-1.9388784885406494,0.10587351024150848,35,0.0,-0.08582019805908203,0.00062894914,0.2,-0.006010673369746655
,,,2400,,,,3433,0,-0.39656902000000005,8,0.68,2.6,,,,,,,,,,
2700,0.94,1.4,2700,919,-0.07146167170256376,0,,,,,,,0.0001,0.2499886840581894,-1.9324451327323913,0.1261805146932602,40,0.0,0.051931679248809814,0.00084910414,0.2,-0.004623004887253046
,,,2700,,,,3856,0,-0.42706270999999996,9,0.64,2.75,,,,,,,,,,
3000,0.98,1.18,3000,1014,-0.028439368531107904,0,,,,,,,0.0001,0.25883288532495496,-1.9234021186828614,0.12347482144832611,45,0.0,-0.0564885139465332,0.00095540285,0.2,-0.005687823379412293
,,,3000,,,,4281,0,-0.48845323999999996,10,0.61,3.2,,,,,,,,,,
3300,0.96,1.42,3300,1121,-0.05616891172714531,0,,,,,,,0.0001,0.2675567984580994,-1.9119897961616517,0.13409888744354248,50,0.0,-0.04109621047973633,0.0005778979,0.2,-0.0009683432035672013
,,,3300,,,,4707,0,-0.42409744000000005,11,0.66,2.74,,,,,,,,,,
3600,0.96,1.42,3600,1229,-0.05618504765909165,0,,,,,,,0.0001,0.2340768337249756,-1.900802779197693,0.10864480584859848,55,0.0,0.11709219217300415,0.00069271075,0.2,-0.00433363980264403
,,,3600,,,,5133,0,-0.43890282999999997,12,0.65,2.82,,,,,,,,,,
3900,0.94,1.3,3900,1346,-0.05045619765296579,0,,,,,,,0.0001,0.2614530473947525,-1.88464435338974,0.11999497562646866,60,0.0,0.01753610372543335,0.0012105131,0.2,-0.005244273698190227
,,,3900,,,,5568,0,-0.3165924,13,0.73,2.5,,,,,,,,,,
4200,0.96,1.4,4200,1446,-0.05092842198908329,0,,,,,,,0.0001,0.2201971873641014,-1.863242781162262,0.10398741066455841,65,0.0,0.14269155263900757,0.0009947189,0.2,-0.004795015836134553
,,,4200,,,,5998,0,-0.44686614999999996,14,0.6,3.0,,,,,,,,,,
4500,0.98,1.32,4500,1554,-0.030513716950081288,0,,,,,,,0.0001,0.23843605667352677,-1.8383824348449707,0.11411489546298981,70,0.0,0.012065708637237549,0.0011906265,0.2,-0.007374976901337505
,,,4500,,,,6454,0,-0.41448247000000005,15,0.66,2.75,,,,,,,,,,
4800,0.98,1.34,4800,1679,-0.03248025739565492,0,,,,,,,0.0001,0.24764686673879624,-1.8079607367515564,0.08545197546482086,75,0.0,0.1093292236328125,0.0011448911,0.2,-0.004711400272208266
,,,4800,,,,6896,0,-0.30858334,16,0.75,2.43,,,,,,,,,,
5100,0.98,1.16,5100,1789,-0.02882353977765888,0,,,,,,,0.0001,0.2512541338801384,-1.7762542963027954,0.123586006462574,80,0.0,0.14001864194869995,0.0011135396,0.2,-0.007075375851854915
,,,5100,,,,7326,0,-0.38352099,17,0.68,2.8,,,,,,,,,,
5400,0.98,1.14,5400,1902,-0.034346669702790676,0,,,,,,,0.0001,0.21831928342580795,-1.7412672638893127,0.09649670124053955,85,0.0,0.14980792999267578,0.0011289238,0.2,-0.004208913631737232
,,,5400,,,,7773,0,-0.38873618,18,0.71,2.64,,,,,,,,,,
5700,0.94,1.38,5700,2030,-0.05144841113127768,0,,,,,,,0.0001,0.2363264411687851,-1.7004517793655396,0.1159643679857254,90,0.0,0.15615969896316528,0.001462691,0.2,-0.007792271370999515
,,,5700,,,,8202,0,-0.33458903000000007,19,0.75,2.31,,,,,,,,,,
6000,0.98,1.18,6000,2158,-0.02870155368000269,0,,,,,,,0.0001,0.2507521539926529,-1.6541970729827882,0.10826988518238068,95,0.0,0.1050255298614502,0.0011771976,0.2,-0.004002599834348075
,,,6000,,,,8635,0,-0.19695241999999996,20,0.82,2.18,,,,,,,,,,
6300,0.94,1.36,6300,2270,-0.05618487173225731,0,,,,,,,0.0001,0.2193809524178505,-1.6099395513534547,0.08967418968677521,100,0.0,0.05831325054168701,0.00092980434,0.2,-0.0033604693046072496
,,,6300,,,,9063,0,-0.3590803600000001,21,0.71,2.64,,,,,,,,,,
6600,0.94,1.34,6600,2401,-0.0768610716611147,0,,,,,,,0.0001,0.24002401083707808,-1.5673686146736145,0.1202232837677002,105,0.0,0.08177721500396729,0.0009003642,0.2,-0.0021469606552273037
,,,6600,,,,9490,0,-0.26575518000000004,22,0.77,2.3,,,,,,,,,,
