env/n_steps,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,env/completion_counter,env/current_idx,eval/success_rate,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_range
300,300,-0.11751342922914773,1.72,0,99,0.88,,,,,,,,,,,,,,,,
,300,,,,,,451,1,0.6122448979591837,3.0510204081632653,-0.44955692857142854,0,,,,,,,,,,
600,600,-0.050730172405019404,1.36,0,195,0.94,,,,,,,-0.5530436038970947,0.000101682934,0.0001,0.3029997617006302,0.0,-0.0020158924293355086,5,0.1241898164153099,-1.9458406209945678,0.2
,600,,,,,,887,2,0.6,3.09,-0.49408898000000007,0,,,,,,,,,,
900,900,-0.0932062339084223,1.42,0,297,0.92,,,,,,,-0.2844197750091553,6.42993e-05,0.0001,0.29723738729953764,0.0,-0.0013499490254616831,10,0.18710032105445862,-1.9455893754959106,0.2
,900,,,,,,1428,3,0.64,2.98,-0.43097772999999995,0,,,,,,,,,,
1200,1200,-0.028203932074829935,1.14,0,400,0.98,,,,,,,-0.06948685646057129,0.00015789678,0.0001,0.27206279188394544,0.0,-0.0022780264451284895,15,0.11156628280878067,-1.9450630068778991,0.2
,1200,,,,,,1819,4,0.63,2.93,-0.40572600000000003,0,,,,,,,,,,
1500,1500,-0.075713896676898,1.46,0,506,0.92,,,,,,,0.03585571050643921,0.0001640255,0.0001,0.21182211190462114,0.0,-0.0016329041915014385,20,0.07691658288240433,-1.9440438866615295,0.2
,1500,,,,,,2254,5,0.66,2.82,-0.37561354,0,,,,,,,,,,
1800,1800,-0.07055442194920034,1.28,0,611,0.94,,,,,,,-0.03799450397491455,0.00035736826,0.0001,0.25745421946048735,0.0,-0.0028976476460229605,25,0.137649804353714,-1.942094361782074,0.2
,1800,,,,,,2678,6,0.66,2.9,-0.42172621,0,,,,,,,,,,
2100,2100,-0.05442269082646817,1.54,0,710,0.92,,,,,,,-0.07619357109069824,0.0004425326,0.0001,0.2765463724732399,0.0,-0.00243221745477058,30,0.09770788997411728,-1.9385687828063964,0.2
,2100,,,,,,3120,7,0.61,3.05,-0.43205416999999996,0,,,,,,,,,,
2400,2400,-0.030676284967921675,1.14,0,814,0.98,,,,,,,0.09984630346298218,0.00059183745,0.0001,0.23824949264526368,0.0,-0.0038158669020049276,35,0.11894829571247101,-1.9336837887763978,0.2
,2400,,,,,,3538,8,0.67,2.86,-0.41699977999999993,0,,,,,,,,,,
2700,2700,-0.1326046524103731,1.48,0,926,0.88,,,,,,,0.14457178115844727,0.000528682,0.0001,0.21205279380083084,0.0,-0.00309435780509375,40,0.0903100073337555,-1.9275065064430237,0.2
,2700,,,,,,4009,9,0.72,2.74,-0.38180114000000004,0,,,,,,,,,,
3000,3000,-0.09579741966444999,1.44,0,1036,0.92,,,,,,,0.09462672472000122,0.0007009479,0.0001,0.25024510025978086,0.0,-0.004646475258050486,45,0.12120399624109268,-1.919113314151764,0.2
,3000,,,,,,4454,10,0.68,2.67,-0.37514633000000003,0,,,,,,,,,,
3300,3300,-0.1150319651979953,1.62,0,1148,0.88,,,,,,,0.04740548133850098,0.00070555496,0.0001,0.23237859606742858,0.0,-0.004652041546069086,50,0.12724906206130981,-1.9085512280464172,0.2
,3300,,,,,,4901,11,0.7,2.64,-0.36058273999999996,0,,,,,,,,,,
3600,3600,-0.07330602562986314,1.42,0,1263,0.92,,,,,,,0.1870754361152649,0.00077976787,0.0001,0.20623526722192764,0.0,-0.0050077545689418915,55,0.07419023662805557,-1.8941295266151428,0.2
,3600,,,,,,5343,12,0.71,2.53,-0.34031978,0,,,,,,,,,,
3900,3900,-0.05438165258150548,1.6,0,1375,0.92,,,,,,,0.05648601055145264,0.00084457395,0.0001,0.22626275420188904,0.0,-0.003230308729689568,60,0.07537373155355453,-1.8777145981788634,0.2
,3900,,,,,,5788,13,0.74,2.59,-0.37767993,0,,,,,,,,,,
4200,4200,-0.07691760890651494,1.44,0,1489,0.94,,,,,,,0.14557933807373047,0.0008806126,0.0001,0.2675271466374397,0.0,-0.005891361844260245,65,0.14499029517173767,-1.8599137306213378,0.2
,4200,,,,,,6243,14,0.73,2.52,-0.29560944,0,,,,,,,,,,
4500,4500,-0.03062600177247077,1.28,0,1604,0.98,,,,,,,0.19187188148498535,0.001172201,0.0001,0.19091126769781114,0.0,-0.005809325602604077,70,0.07667037099599838,-1.835172915458679,0.2
,4500,,,,,,6680,15,0.73,2.58,-0.30834498,0,,,,,,,,,,
4800,4800,-0.09178347183857113,1.38,0,1707,0.92,,,,,,,0.2321394681930542,0.0012300841,0.0001,0.19195357710123062,0.0,-0.006158664904069156,75,0.09659804403781891,-1.8061674237251282,0.2
,4800,,,,,,7130,16,0.63,2.91,-0.35911713,0,,,,,,,,,,
5100,5100,-0.07356751453131437,1.36,0,1816,0.94,,,,,,,-0.06221961975097656,0.0012353577,0.0001,0.24193158447742463,0.0,-0.005519187427125871,80,0.1115981861948967,-1.7724776148796082,0.2
,5100,,,,,,7577,17,0.71,2.76,-0.30593252000000004,0,,,,,,,,,,
5400,5400,-0.0782192934397608,1.52,0,1931,0.94,,,,,,,0.044606804847717285,0.0010162254,0.0001,0.21108349412679672,0.0,-0.004118199160438962,85,0.08438766002655029,-1.7371315002441405,0.2
,5400,,,,,,8029,18,0.72,2.69,-0.2947108,0,,,,,,,,,,
5700,5700,-0.049958290988579394,1.28,0,2052,0.96,,,,,,,0.23552602529525757,0.0007038756,0.0001,0.17765193432569504,0.0,-0.002243526699021459,90,0.08795243501663208,-1.7044858813285828,0.2
,5700,,,,,,8479,19,0.77,2.52,-0.24912652999999998,0,,,,,,,,,,
6000,6000,-0.11781407964415848,1.54,0,2172,0.9,,,,,,,0.12198346853256226,0.0004053115,0.0001,0.19499317705631256,0.0,-0.0011443871218943969,95,0.10145753622055054,-1.6743210196495055,0.2
,6000,,,,,,8921,20,0.73,2.51,-0.31356429999999996,0,,,,,,,,,,
6300,6300,-0.031658199978992344,1.26,0,2292,0.98,,,,,,,0.1770627498626709,0.00025781937,0.0001,0.21576662361621857,0.0,-0.0014297961839474737,100,0.12145069241523743,-1.6540056824684144,0.2
,6300,,,,,,9350,21,0.77,2.51,-0.25454102999999995,0,,,,,,,,,,
6600,6600,-0.02901184167712927,1.16,0,2405,0.98,,,,,,,0.10490667819976807,0.0006423391,0.0001,0.19366265684366227,0.0,-0.004538787936326116,105,0.07532722502946854,-1.6291410684585572,0.2
,6600,,,,,,9820,22,0.7,2.71,-0.3280067,0,,,,,,,,,,
6900,6900,-0.07395093688741326,1.38,0,2545,0.94,,,,,,,0.2217424511909485,0.0005642865,0.0001,0.18006928712129594,0.0,-0.0010005477801314556,110,0.07219688594341278,-1.5922256350517272,0.2
,6900,,,,,,10250,23,0.77,2.18,-0.27081029,0,,,,,,,,,,
