eval/mean_ep_length,env/completion_counter,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,train/clip_fraction,train/explained_variance,train/loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,train/n_updates,train/learning_rate,train/entropy_loss
1.3,0,0.86,133,300,300,-0.11142587940674276,,,,,,,,,,,,,,,,
,,,,,300,,1,2.32,463,-0.6166074300000001,0,0.38,,,,,,,,,,
1.3,0,0.86,268,600,600,-0.13196646820753813,,,,,,,0.0,-0.6168938875198364,0.0984073206782341,0.0013795084,-0.005179885030956939,0.2674562051892281,0.2,10,0.0001,-1.9454882550239563
,,,,,600,,2,2.17,929,-0.49567320000000004,0,0.46,,,,,,,,,,
1.3,0,0.88,409,900,900,-0.07087461148854345,,,,,,,0.05303977280855179,-0.05740344524383545,0.04694531112909317,0.0123560615,-0.02895397309679538,0.21389562755823135,0.2,20,0.0001,-1.9376136994361877
,,,,,900,,3,2.15,1363,-0.47946797999999996,0,0.48,,,,,,,,,,
1.16,0,0.94,546,1200,1200,-0.06785985302645713,,,,,,,0.0,0.019846558570861816,0.06486324965953827,0.0059266402,-0.007812664823723026,0.1839403699338436,0.2,30,0.0001,-1.9139832091331481
,,,,,1200,,4,2.2,1781,-0.54792361,0,0.46,,,,,,,,,,
1.22,0,0.92,690,1500,1500,-0.068814966971986,,,,,,,0.08661931842565536,-0.12584185600280762,0.09939040243625641,0.007721469,-0.013814209984848275,0.22988805443048477,0.2,40,0.0001,-1.8723713660240173
,,,,,1500,,5,2.07,2222,-0.42824169000000006,0,0.53,,,,,,,,,,
1.44,0,0.8,831,1800,1800,-0.13268852851353585,,,,,,,0.11920454502105712,0.017285585403442383,0.014080166816711426,0.013948394,-0.0244801079435274,0.21300586968660354,0.2,50,0.0001,-1.819430983066559
,,,,,1800,,6,2.17,2675,-0.51234073,0,0.47,,,,,,,,,,
1.16,0,0.96,976,2100,2100,-0.02837745888158679,,,,,,,0.04670454561710358,0.05870288610458374,0.06930657476186752,0.014066666,-0.012574308906914666,0.2005547171831131,0.2,60,0.0001,-1.7469459748268128
,,,,,2100,,7,1.99,3132,-0.37357856,0,0.57,,,,,,,,,,
1.22,0,0.92,1135,2400,2400,-0.030277523198165,,,,,,,0.0,-0.0495915412902832,0.07593429088592529,0.004014545,-0.0033462622089427897,0.20605091482400895,0.2,70,0.0001,-1.654458372592926
,,,,,2400,,8,1.95,3566,-0.41060479,0,0.56,,,,,,,,,,
