env/current_idx,eval/mean_ep_length,eval/success_rate,eval/mean_reward,time/total_timesteps,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,train/clip_fraction,train/value_loss,train/explained_variance,train/clip_range,train/n_updates
141,1.4,0.84,-0.18077794909477235,300,0,300,,,,,,,,,,,,,,,,
,,,,300,,,2.12,458,0.51,-0.4643579,0,1,,,,,,,,,,
277,1.08,0.98,-0.027468536738306282,600,0,600,,,,,,,-1.9446410989761354,0.004130727,-0.013357678682077677,0.0318974070250988,0.0001,0.013352272808551788,0.23923128873109817,-0.16293120384216309,0.2,10
,,,,600,,,2.19,852,0.49,-0.52847402,0,2,,,,,,,,,,
416,1.24,0.9,-0.0943268101895228,900,0,900,,,,,,,-1.9313528084754943,0.008293919,-0.016754577478859573,0.075995534658432,0.0001,0.06750000014901161,0.18871798127889633,0.016032099723815918,0.2,20
,,,,900,,,2.16,1260,0.45,-0.55153821,0,3,,,,,,,,,,
554,1.08,0.96,-0.027210848391987383,1200,0,1200,,,,,,,-1.9124122500419616,0.006070043,-0.009573987364419737,0.048158977180719376,0.0001,0.0,0.18770215898752213,-0.024356603622436523,0.2,30
,,,,1200,,,2.17,1655,0.47,-0.5073218700000001,0,4,,,,,,,,,,
700,1.18,0.94,-0.029858776088804006,1500,0,1500,,,,,,,-1.865642249584198,0.0074492292,-0.01633534226566553,0.04736201837658882,0.0001,0.1013352270424366,0.19324301853775977,0.0028043389320373535,0.2,40
,,,,1500,,,2.04,2064,0.54,-0.42752655000000006,0,5,,,,,,,,,,
859,1.24,0.92,-0.08895912273786961,1800,0,1800,,,,,,,-1.8280430626869202,0.0115579525,-0.013188065721915337,0.020466934889554977,0.0001,0.050681818127632144,0.1985445113480091,0.0565495491027832,0.2,50
,,,,1800,,,1.85,2526,0.65,-0.32440087,0,6,,,,,,,,,,
1020,1.3,0.9,-0.08995092975907028,2100,0,2100,,,,,,,-1.7353377866744994,0.014704889,-0.017335946285165847,0.023226212710142136,0.0001,0.08045454561710358,0.18435975253582002,0.07602661848068237,0.2,60
,,,,2100,,,1.86,2962,0.66,-0.30163705999999996,0,7,,,,,,,,,,
1177,1.14,0.96,-0.029558041291311385,2400,0,2400,,,,,,,-1.618554174900055,0.012177562,-0.009521875251084565,0.026550937443971634,0.0001,0.0010795454680919648,0.17994922265410424,0.036856114864349365,0.2,70
,,,,2400,,,1.98,3367,0.59,-0.41703399,0,8,,,,,,,,,,
1352,1.18,0.92,-0.0723260622518137,2700,0,2700,,,,,,,-1.4099024844169616,0.023999354,-0.030124284846242518,0.040634069591760635,0.0001,0.19852272734045984,0.20842005759477616,0.0625811219215393,0.2,80
,,,,2700,,,1.68,3784,0.75,-0.2440985,0,9,,,,,,,,,,
1529,1.3,0.88,-0.1316683800611645,3000,0,3000,,,,,,,-1.281212170124054,0.005495089,-0.006225719837239012,0.06154404953122139,0.0001,0.0041761364042758944,0.19708984553813935,-0.03395521640777588,0.2,90
,,,,3000,,,1.72,4221,0.7,-0.29939064000000004,0,10,,,,,,,,,,
1702,1.2,0.94,-0.02914373464882374,3300,0,3300,,,,,,,-1.1096804809570313,0.012477714,-0.018392956679454075,0.02179669961333275,0.0001,0.09943181797862052,0.1736831271648407,0.16487157344818115,0.2,100
,,,,3300,,,1.75,4664,0.73,-0.27130127,0,11,,,,,,,,,,
1875,1.22,0.92,-0.08920221089851112,3600,0,3600,,,,,,,-0.9556767630577088,0.010131294,-0.013923010801663622,0.05174341797828674,0.0001,0.05164772748947143,0.18336353957653045,0.13385552167892456,0.2,110
,,,,3600,,,1.82,5094,0.68,-0.31052856,0,12,,,,,,,,,,
2042,1.24,0.88,-0.09183161763008683,3900,0,3900,,,,,,,-0.7934598839282989,0.008040679,-0.012292046648799442,0.04910535365343094,0.0001,0.045170454680919646,0.1532980501651764,0.2745494246482849,0.2,120
,,,,3900,,,1.82,5519,0.66,-0.31952111,0,13,,,,,,,,,,
2215,1.36,0.86,-0.09207316284999251,4200,0,4200,,,,,,,-0.6786909234523774,0.0027499185,-0.004030833770520985,0.035073719918727875,0.0001,0.012045454680919648,0.19212593272328377,0.020791947841644287,0.2,130
,,,,4200,,,1.85,5988,0.61,-0.38463607000000005,0,14,,,,,,,,,,
2394,1.28,0.88,-0.1304104788042605,4500,0,4500,,,,,,,-0.615201770067215,0.0007926092,-0.0021160797218908556,0.06840800493955612,0.0001,0.0,0.16729485243558884,0.17982226610183716,0.2,140
,,,,4500,,,1.63,6435,0.74,-0.23789616999999996,0,15,,,,,,,,,,
2574,1.28,0.9,-0.05013384146615863,4800,0,4800,,,,,,,-0.5869128835201264,0.0004746609,-0.0022014341861358844,0.05219385772943497,0.0001,0.000625,0.17220201551914216,0.11460554599761963,0.2,150
,,,,4800,,,1.64,6885,0.73,-0.24403587999999998,0,16,,,,,,,,,,
2759,1.12,0.94,-0.028378214980475606,5100,0,5100,,,,,,,-0.5860753881931305,0.00022109966,-0.0014037325652316213,0.04486183077096939,0.0001,0.0,0.1998579204082489,-0.03952765464782715,0.2,160
,,,,5100,,,1.58,7326,0.75,-0.25840514,0,17,,,,,,,,,,
2954,1.34,0.84,-0.11569829036016017,5400,0,5400,,,,,,,-0.540177447795868,0.0026879532,-0.0067304373557271905,0.06679027527570724,0.0001,0.015028409212827682,0.1748472446203232,0.16525930166244507,0.2,170
,,,,5400,,,1.53,7788,0.77,-0.23423977999999998,0,18,,,,,,,,,,
3134,1.32,0.86,-0.15047495220322163,5700,0,5700,,,,,,,-0.49845896422863006,0.003037745,-0.006622517180803697,0.06009034439921379,0.0001,0.012386363744735718,0.17338617712259294,0.13457870483398438,0.2,180
,,,,5700,,,1.66,8259,0.74,-0.21878159,0,19,,,,,,,,,,
3313,1.18,0.92,-0.08848492665216327,6000,0,6000,,,,,,,-0.5002693521976471,0.0018024355,-0.00538407061714679,0.040482908487319946,0.0001,0.01784090921282768,0.15732465028762818,0.1706729531288147,0.2,190
,,,,6000,,,1.69,8709,0.71,-0.30380847000000005,0,20,,,,,,,,,,
3504,1.22,0.9,-0.06984788115136326,6300,0,6300,,,,,,,-0.4657840794324875,0.0016959397,-0.005091237120795995,0.03885074704885483,0.0001,0.008210227340459824,0.16125071093440055,0.21570801734924316,0.2,200
,,,,6300,,,1.51,9153,0.82,-0.19499552,0,21,,,,,,,,,,
3687,1.28,0.92,-0.05035578877199441,6600,0,6600,,,,,,,-0.5016342425346374,0.0027425736,-0.007789453711593524,0.054666824638843536,0.0001,0.029232954680919646,0.14875649973750116,0.25021564960479736,0.2,210
