eval/mean_ep_length,env/n_steps,time/total_timesteps,env/completion_counter,eval/mean_reward,env/current_idx,eval/success_rate,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,train/clip_range,train/loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/n_updates
1.38,300,300,0,-0.09407090833410621,143,0.86,,,,,,,,,,,,,,,,
,,300,,,,,-0.5230007000000001,1,0,457,2.12,0.51,,,,,,,,,,
1.26,600,600,0,-0.1093453084025532,277,0.88,,,,,,,0.2,0.05204283446073532,-0.2990992069244385,0.0018181818723678588,0.0001,-1.9445053267478942,0.3015738859772682,0.0043124883,-0.01094239838887006,10
,,600,,,,,-0.5283029699999999,2,0,886,2.3,0.43,,,,,,,,,,
1.34,900,900,0,-0.1116829893598333,419,0.86,,,,,,,0.2,0.060788482427597046,-0.1188967227935791,0.06690340906381607,0.0001,-1.9290796780586243,0.21644186168909074,0.008095771,-0.015361302010715007,20
,,900,,,,,-0.46519102,3,0,1323,2.14,0.5,,,,,,,,,,
1.26,1200,1200,0,-0.08933187414892017,562,0.88,,,,,,,0.2,0.04057127609848976,-0.05239677429199219,0.06028409078717232,0.0001,-1.9005475759506225,0.20828852146863938,0.0102650225,-0.01722194895381108,30
,,1200,,,,,-0.40118786,4,0,1765,2.09,0.58,,,,,,,,,,
1.36,1500,1500,0,-0.1743028646800667,714,0.84,,,,,,,0.2,0.058763377368450165,0.07488435506820679,0.09201704531908035,0.0001,-1.8427215242385864,0.19544125348329544,0.010768727,-0.01818098110263236,40
,,1500,,,,,-0.38093289000000014,5,0,2191,1.92,0.6,,,,,,,,,,
1.32,1800,1800,0,-0.1524129200587049,875,0.86,,,,,,,0.2,0.0428294911980629,-0.0377960205078125,0.0773863634467125,0.0001,-1.775690085887909,0.21747470438480376,0.014397876,-0.021259616239694877,50
,,1800,,,,,-0.34350622000000003,6,0,2631,1.86,0.61,,,,,,,,,,
1.16,2100,2100,0,-0.07100539311766624,1033,0.92,,,,,,,0.2,0.035321738570928574,-0.007085204124450684,0.05582386374473572,0.0001,-1.669889657497406,0.1997469186782837,0.014065775,-0.014687181370100007,60
,,2100,,,,,-0.27635812,7,0,3075,1.82,0.71,,,,,,,,,,
1.3,2400,2400,0,-0.09324843117967248,1197,0.88,,,,,,,0.2,0.057310182601213455,0.08344459533691406,0.02488636374473572,0.0001,-1.5418864321708678,0.19321093693375588,0.012627492,-0.012317172733601183,70
,,2400,,,,,-0.34045744000000006,8,0,3513,1.92,0.61,,,,,,,,,,
1.14,2700,2700,0,-0.04987286112271249,1370,0.96,,,,,,,0.2,-0.032345306128263474,0.15530580282211304,0.05511363625526428,0.0001,-1.3565274000167846,0.1735669331252575,0.018824358,-0.01776797202299349,80
,,2700,,,,,-0.24971960000000004,9,0,3962,1.69,0.73,,,,,,,,,,
1.16,3000,3000,0,-0.048235659929923715,1557,0.94,,,,,,,0.2,0.046007271856069565,0.04718017578125,0.059829545617103574,0.0001,-1.1636264181137086,0.18225499913096427,0.011757892,-0.01482212821370922,90
,,3000,,,,,-0.20594714,10,0,4394,1.56,0.78,,,,,,,,,,
1.26,3300,3300,0,-0.07073643177747727,1729,0.9,,,,,,,0.2,0.043185412883758545,0.021275341510772705,0.05005681842565537,0.0001,-0.9917485320568085,0.18651341199874877,0.010247596,-0.012012273946311325,100
,,3300,,,,,-0.27836907,11,0,4845,1.73,0.7,,,,,,,,,,
1.16,3600,3600,0,-0.06816013514064252,1904,0.94,,,,,,,0.2,0.06385180354118347,0.038272857666015625,0.0,0.0001,-0.8715946197509765,0.1824476869404316,0.0016328462,-0.0019301801016626996,110
,,3600,,,,,-0.19764936000000002,12,0,5285,1.6,0.76,,,,,,,,,,
1.12,3900,3900,0,-0.04737029864452779,2082,0.96,,,,,,,0.2,0.06169046461582184,0.07829403877258301,0.010369318276643754,0.0001,-0.8031297171115875,0.16155644297599792,0.0015976077,-0.005246101667289622,120
,,3900,,,,,-0.24863830000000003,13,0,5723,1.73,0.73,,,,,,,,,,
1.14,4200,4200,0,-0.06918904487509281,2257,0.94,,,,,,,0.2,0.05880723148584366,0.11393636465072632,0.01125,0.0001,-0.8435545754432678,0.16436015352606773,0.002642313,-0.004215103136721155,130
,,4200,,,,,-0.31227387,14,0,6171,1.78,0.68,,,,,,,,,,
1.26,4500,4500,0,-0.08946560856886208,2440,0.9,,,,,,,0.2,0.07445079833269119,0.08567678928375244,0.01678977280855179,0.0001,-0.82979208111763,0.18606029823422432,0.0031966388,-0.005987251795013435,140
,,4500,,,,,-0.21023493999999998,15,0,6651,1.62,0.78,,,,,,,,,,
1.24,4800,4800,0,-0.08974495500326157,2622,0.9,,,,,,,0.2,0.051114629954099655,0.0760849118232727,0.0,0.0001,-0.778313661813736,0.16018553018569948,0.00040498638,-0.001037182888831012,150
,,4800,,,,,-0.27355292000000003,16,0,7096,1.65,0.72,,,,,,,,,,
1.3,5100,5100,0,-0.1100019403314218,2807,0.86,,,,,,,0.2,0.014613144099712372,0.23959797620773315,0.05136363670229912,0.0001,-0.7028649282455445,0.15211921989917754,0.006109149,-0.01053230543853715,160
,,5100,,,,,-0.19734317,17,0,7543,1.67,0.76,,,,,,,,,,
1.38,5400,5400,0,-0.17399861870799213,2987,0.84,,,,,,,0.2,0.04771954193711281,0.00011968612670898438,0.007301136404275894,0.0001,-0.6195617258548737,0.16701620757579805,0.0018398233,-0.004182051649549976,170
,,5400,,,,,-0.23801404999999998,18,0,8005,1.67,0.73,,,,,,,,,,
1.14,5700,5700,0,-0.028515409929677844,3172,0.96,,,,,,,0.2,0.04598701000213623,0.0810198187828064,0.016647727340459825,0.0001,-0.5405377912521362,0.17115126103162764,0.0045546973,-0.004971622481243685,180
,,5700,,,,,-0.23655547999999998,19,0,8451,1.67,0.75,,,,,,,,,,
1.24,6000,6000,0,-0.04939624280203134,3355,0.92,,,,,,,0.2,0.05440526828169823,0.06061255931854248,0.006875,0.0001,-0.47580546855926514,0.18079233184456825,0.004336155,-0.0037176597884649707,190
,,6000,,,,,-0.23705367000000002,20,0,8884,1.58,0.76,,,,,,,,,,
1.24,6300,6300,0,-0.10856108546257019,3540,0.88,,,,,,,0.2,0.07967919111251831,0.20424729585647583,0.0,0.0001,-0.43380766808986665,0.17440857812762262,0.00042036147,-0.0014705777805647813,200
