time/total_timesteps,eval/mean_ep_length,eval/success_rate,env/n_steps,env/completion_counter,eval/mean_reward,env/current_idx,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/loss
300,1.38,0.92,300,0,-0.09331074084155261,99,,,,,,,,,,,,,,,,
300,,,,,,,0.5714285714285714,-0.4762840714285714,3.0306122448979593,1,0,440,,,,,,,,,,
600,1.18,0.98,600,0,-0.009592456724494696,204,,,,,,,-0.010934230784187093,-0.11414599418640137,0.0001,0.2,0.0066477273404598235,10,-1.944857931137085,0.0036078026,0.18869185224175453,0.05485039949417114
600,,,,,,,0.66,-0.44591958,2.87,2,0,830,,,,,,,,,,
900,1.46,0.92,900,0,-0.09432337081991136,309,,,,,,,-0.011267827497795225,-0.11501646041870117,0.0001,0.2,0.02525568202137947,20,-1.9347561025619506,0.0059373765,0.2046603500843048,0.030674830079078674
900,,,,,,,0.64,-0.43007324,2.87,3,0,1253,,,,,,,,,,
1200,1.22,0.96,1200,0,-0.02957630862016231,417,,,,,,,-0.010514422906562687,-0.004503130912780762,0.0001,0.2,0.018295454680919646,30,-1.9134278392791748,0.0076594152,0.19715184435248376,0.03412090986967087
1200,,,,,,,0.69,-0.38327193000000004,2.77,4,0,1658,,,,,,,,,,
1500,1.34,0.94,1500,0,-0.07116069084964692,524,,,,,,,-0.02641791078262031,-0.06009364128112793,0.0001,0.2,0.12025568246841431,40,-1.8638590788841247,0.012640854,0.21129514455795287,0.04471361264586449
1500,,,,,,,0.66,-0.39457381,2.8,5,0,2082,,,,,,,,,,
1800,1.36,0.94,1800,0,-0.059119212199002506,632,,,,,,,-0.019144289712421596,-0.061484575271606445,0.0001,0.2,0.09079545468091965,50,-1.8007169771194458,0.013936649,0.20008002191781998,0.049441926181316376
1800,,,,,,,0.72,-0.31813714000000004,2.78,6,0,2491,,,,,,,,,,
2100,1.62,0.86,2100,0,-0.16554413562640546,744,,,,,,,-0.01665098548226524,0.0851641297340393,0.0001,0.2,0.04485795438289642,60,-1.6990758800506591,0.015580932,0.18902336820960045,0.11147042363882065
2100,,,,,,,0.72,-0.33971736,2.6,7,0,2928,,,,,,,,,,
2400,1.48,0.94,2400,0,-0.07490219458471983,875,,,,,,,-0.026493877384345978,-0.018271446228027344,0.0001,0.2,0.11846590965986252,70,-1.5313994550704957,0.021734666,0.21899923980236052,0.00399201363325119
