env/n_steps,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/success_rate,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/n_updates
300,0.86,0,107,1.66,-0.11577223687898368,300,,,,,,,,,,,,,,,,
,,,,,,300,0.69,0,1,2.87,472,-0.33605275000000007,,,,,,,,,,
600,0.88,0,205,1.54,-0.1350913228886202,600,,,,,,,0.19414198487997056,0.0035386248,0.0007670454680919648,-0.009205775942537003,-0.45461201667785645,-1.9448170757293701,0.0001,0.017009755596518517,0.2,10
,,,,,,600,0.61,0,2,3.09,916,-0.47497211,,,,,,,,,,
900,0.94,0,321,1.32,-0.05571833302266896,900,,,,,,,0.19755886673927306,0.009966755,0.05642045482993126,-0.020580905517563225,-0.10249006748199463,-1.932177917957306,0.0001,0.04766262322664261,0.2,20
,,,,,,900,0.74,0,3,2.55,1327,-0.31570338000000003,,,,,,,,,,
1200,0.94,0,426,1.38,-0.07234525880776346,1200,,,,,,,0.18664954200387002,0.0075377664,0.06752840936183929,-0.013071013065055013,0.03664851188659668,-1.9022111582756043,0.0001,0.03767433762550354,0.2,30
,,,,,,1200,0.7,0,4,2.8,1737,-0.35523710000000003,,,,,,,,,,
1500,0.92,0,537,1.52,-0.09782296529505402,1500,,,,,,,0.2017850896716118,0.009927095,0.023096590638160705,-0.010209816700662486,-0.08029055595397949,-1.8686530661582947,0.0001,0.08450233936309814,0.2,40
,,,,,,1500,0.7,0,5,2.77,2168,-0.3390195700000001,,,,,,,,,,
1800,0.98,0,646,1.2,-0.028922310317866504,1800,,,,,,,0.1819507059454918,0.009776775,0.00866477280855179,-0.010084594842046499,-0.05896031856536865,-1.8148491716384887,0.0001,0.021645288914442062,0.2,50
,,,,,,1800,0.71,0,6,2.72,2602,-0.32768891999999994,,,,,,,,,,
2100,0.94,0,761,1.36,-0.05522199446335435,2100,,,,,,,0.14747443199157714,0.011908204,0.0809659093618393,-0.01814245351473801,0.18156981468200684,-1.7431106758117676,0.0001,0.021640213206410408,0.2,60
,,,,,,2100,0.71,0,7,2.62,3044,-0.34622836999999995,,,,,,,,,,
2400,0.98,0,880,1.28,-0.030407357485964893,2400,,,,,,,0.18614567771553994,0.0064345943,0.0171875,-0.006859137931605801,0.05161845684051514,-1.6712705826759338,0.0001,0.08192779123783112,0.2,70
,,,,,,2400,0.73,0,8,2.62,3478,-0.34560438999999993,,,,,,,,,,
2700,0.96,0,999,1.34,-0.05130073250737041,2700,,,,,,,0.1760621924698353,0.008764188,0.02394886389374733,-0.010061370077601169,0.10737228393554688,-1.5961679434776306,0.0001,0.042825546115636826,0.2,80
,,,,,,2700,0.78,0,9,2.39,3923,-0.27486871,,,,,,,,,,
