eval/mean_ep_length,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,env/current_idx,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/learning_rate
1.34,300,-0.15494028658140452,0.84,0,300,137,,,,,,,,,,,,,,,,
,300,,,,,,1,483,0,-0.50225287,2.13,0.49,,,,,,,,,,
1.18,600,-0.04907992559485137,0.96,0,600,266,,,,,,,-1.945635323524475,5,-0.0055601569218561055,0.5516511297225952,0.2,0.000721763,0.14819538593292236,-0.4456692934036255,0.0,0.0001
,600,,,,,,2,911,0,-0.58403975,2.24,0.42,,,,,,,,,,
1.42,900,-0.13804151475429535,0.84,0,900,404,,,,,,,-1.9437007761001588,10,-0.004220434628805379,0.231782511472702,0.2,0.00091885997,0.09091316908597946,-0.20117902755737305,0.0,0.0001
,900,,,,,,3,1359,0,-0.55722497,2.18,0.45,,,,,,,,,,
1.28,1200,-0.11026580582838505,0.88,0,1200,543,,,,,,,-1.9386471891403199,15,-0.007084356844425202,0.23241623997688293,0.2,0.0020690532,0.0981217622756958,-0.06429994106292725,0.0,0.0001
,1200,,,,,,4,1830,0,-0.49569376,2.12,0.48,,,,,,,,,,
1.1,1500,-0.027713561388663946,0.98,0,1500,677,,,,,,,-1.925822877883911,20,-0.011784753066021949,0.24121744573116302,0.2,0.0038861695,0.05732737109065056,-0.032921791076660156,0.000625,0.0001
,1500,,,,,,5,2265,0,-0.52102558,2.21,0.43,,,,,,,,,,
1.26,1800,-0.06978482716251165,0.92,0,1800,821,,,,,,,-1.8971313190460206,25,-0.015023299474269152,0.22373213052749633,0.2,0.0067588286,0.10092134773731232,-0.02106642723083496,0.004545454680919647,0.0001
,1800,,,,,,6,2699,0,-0.42960329,2.08,0.52,,,,,,,,,,
1.26,2100,-0.07106506559532136,0.88,0,2100,970,,,,,,,-1.8512984895706177,30,-0.011119331931695342,0.24438275933265685,0.2,0.0050549614,0.10840030759572983,-0.0056915283203125,0.0,0.0001
,2100,,,,,,7,3145,0,-0.48962720000000004,2.07,0.51,,,,,,,,,,
1.34,2400,-0.09163370187859982,0.86,0,2400,1123,,,,,,,-1.7891736268997191,35,-0.015203465525992214,0.2207804298400879,0.2,0.0064780167,0.05735992640256882,0.05559641122817993,0.0,0.0001
,2400,,,,,,8,3597,0,-0.3882461,1.9,0.58,,,,,,,,,,
1.4,2700,-0.1139409244665876,0.82,0,2700,1286,,,,,,,-1.691349401473999,40,-0.026390481274574995,0.2103736287355423,0.2,0.009610517,0.051042139530181885,0.1478089690208435,0.0,0.0001
,2700,,,,,,9,4053,0,-0.27461080000000004,1.75,0.69,,,,,,,,,,
1.22,3000,-0.0890713241090998,0.92,0,3000,1438,,,,,,,-1.5716947221755981,45,-0.010346951740793885,0.23932060956954956,0.2,0.0062739826,0.07829102128744125,-0.0034688711166381836,0.0,0.0001
,3000,,,,,,10,4503,0,-0.40270638,2.01,0.55,,,,,,,,,,
1.2,3300,-0.0517732176464051,0.92,0,3300,1586,,,,,,,-1.4685625457763671,50,-0.012976382579654454,0.22689540088176727,0.2,0.0059572915,0.07838504761457443,0.05171018838882446,0.003125,0.0001
,3300,,,,,,11,4964,0,-0.40593046,2.04,0.56,,,,,,,,,,
1.32,3600,-0.13480556619353593,0.86,0,3600,1751,,,,,,,-1.3362888765335084,55,-0.019436710290610792,0.21390606701374054,0.2,0.00823459,0.06462801992893219,0.11446923017501831,0.0,0.0001
,3600,,,,,,12,5431,0,-0.3495623100000001,1.79,0.64,,,,,,,,,,
1.3,3900,-0.11024724301416428,0.86,0,3900,1914,,,,,,,-1.1804579019546508,60,-0.01549197692424059,0.21410801470279694,0.2,0.006915982,0.05969415605068207,0.10050290822982788,0.0009090909361839294,0.0001
,3900,,,,,,13,5903,0,-0.3624307699999999,1.88,0.6,,,,,,,,,,
1.18,4200,-0.009980496019124985,0.94,0,4200,2088,,,,,,,-1.0409817790985108,65,-0.008437248085392639,0.20739147782325745,0.2,0.0040260395,0.08611659705638885,0.1837795376777649,0.0036363637447357176,0.0001
,4200,,,,,,14,6390,0,-0.2680249599999999,1.71,0.7,,,,,,,,,,
1.14,4500,-0.047624783059582114,0.94,0,4500,2257,,,,,,,-0.9311204576492309,70,-0.007713071126490831,0.2100359171628952,0.2,0.0032538034,0.10741076618432999,0.0919981598854065,0.0,0.0001
,4500,,,,,,15,6844,0,-0.27710103,1.78,0.65,,,,,,,,,,
1.32,4800,-0.08995314504485577,0.88,0,4800,2427,,,,,,,-0.8410404801368714,75,-0.0010143481683917344,0.21947160840034485,0.2,0.0008273771,0.11353998631238937,-0.013650298118591309,0.0,0.0001
,4800,,,,,,16,7317,0,-0.26038637,1.7,0.69,,,,,,,,,,
