eval/success_rate,env/n_steps,env/current_idx,eval/mean_ep_length,env/completion_counter,eval/mean_reward,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/learning_rate
0.82,300,132,1.38,0,-0.1574097823118791,300,,,,,,,,,,,,,,,,
,,,,,,300,456,2.32,0.41,1,0,-0.6043311600000001,,,,,,,,,,
0.98,600,272,1.1,0,-0.02762019580230117,600,,,,,,,0.00024467107,-0.0028552701929584145,0.10931786149740219,0.0,-1.9458381175994872,-0.36506056785583496,0.2,0.3255974727869034,5,0.0001
,,,,,,600,862,2.04,0.55,2,0,-0.41512854000000005,,,,,,,,,,
0.9,900,404,1.22,0,-0.08889658396597952,900,,,,,,,0.00046496326,-0.0036798766534775497,0.08770309388637543,0.0,-1.9452264642715453,-0.24911725521087646,0.2,0.2631011390686035,10,0.0001
,,,,,,900,1276,2.26,0.46,3,0,-0.55434949,,,,,,,,,,
0.86,1200,534,1.34,0,-0.13127280611544848,1200,,,,,,,0.0014381806,-0.008002196867018939,0.08940313756465912,0.0,-1.9424435091018677,-0.07457947731018066,0.2,0.23848520636558532,15,0.0001
,,,,,,1200,1735,2.32,0.39,4,0,-0.6211730000000001,,,,,,,,,,
0.92,1500,667,1.22,0,-0.06986302725039423,1500,,,,,,,0.0033288754,-0.011515352642163634,0.11203669011592865,0.0,-1.9325652074813844,-0.0909423828125,0.2,0.2396246474981308,20,0.0001
,,,,,,1500,2146,2.27,0.43,5,0,-0.5915326599999999,,,,,,,,,,
0.9,1800,810,1.24,0,-0.0901718076877296,1800,,,,,,,0.0040398245,-0.010457299834233708,0.07430312037467957,0.0,-1.9107831621170044,0.011055171489715576,0.2,0.19715782403945922,25,0.0001
,,,,,,1800,2580,2.02,0.57,6,0,-0.41279654,,,,,,,,,,
0.96,2100,961,1.12,0,-0.04849094863049686,2100,,,,,,,0.0045812693,-0.011484185196459294,0.07993355393409729,0.0,-1.875898561477661,-0.04572498798370361,0.2,0.24743578612804412,30,0.0001
,,,,,,2100,3011,2.04,0.56,7,0,-0.4616786399999999,,,,,,,,,,
0.96,2400,1107,1.18,0,-0.049929965063929556,2400,,,,,,,0.00944647,-0.025022743456065654,0.05390040576457977,0.02113636374473572,-1.8157859182357787,0.023258209228515625,0.2,0.23011726438999175,35,0.0001
,,,,,,2400,3443,2.01,0.58,8,0,-0.42713857000000005,,,,,,,,,,
0.92,2700,1252,1.16,0,-0.06857854234520346,2700,,,,,,,0.008214967,-0.017124789813533426,0.10532447695732117,0.0,-1.725626187324524,0.01021575927734375,0.2,0.2389778047800064,40,0.0001
,,,,,,2700,3873,1.96,0.61,9,0,-0.36325151000000006,,,,,,,,,,
0.88,3000,1408,1.32,0,-0.11152184491977096,3000,,,,,,,0.006588316,-0.01292018562555313,0.09923814982175827,0.0009090909361839294,-1.6154210186004638,0.03573697805404663,0.2,0.21646599650382994,45,0.0001
,,,,,,3000,4322,1.93,0.59,10,0,-0.3689856799999999,,,,,,,,,,
0.92,3300,1569,1.2,0,-0.07088929910212755,3300,,,,,,,0.006284344,-0.011294125029817224,0.0850135013461113,0.0,-1.4954778671264648,0.07403743267059326,0.2,0.20738063097000123,50,0.0001
,,,,,,3300,4745,1.8,0.65,11,0,-0.31854203999999997,,,,,,,,,,
0.9,3600,1735,1.26,0,-0.09324232422281056,3600,,,,,,,0.006312579,-0.011374596287496389,0.08915553241968155,0.0018181818723678588,-1.3620041131973266,0.03327202796936035,0.2,0.23264667630195618,55,0.0001
,,,,,,3600,5182,1.83,0.66,12,0,-0.28968520999999997,,,,,,,,,,
0.94,3900,1906,1.2,0,-0.06929997364524752,3900,,,,,,,0.005169849,-0.010452411118894816,0.06823956221342087,0.0,-1.2307602834701539,0.10683238506317139,0.2,0.20437696993350982,60,0.0001
,,,,,,3900,5640,1.85,0.68,13,0,-0.32477462,,,,,,,,,,
0.9,4200,2082,1.26,0,-0.08995119360741227,4200,,,,,,,0.00353263,-0.007590954829938709,0.06521891057491302,0.0,-1.1094588565826415,0.11918103694915771,0.2,0.18804187536239625,65,0.0001
,,,,,,4200,6074,1.67,0.75,14,0,-0.20582041,,,,,,,,,,
0.94,4500,2258,1.12,0,-0.06742371109314263,4500,,,,,,,0.0024028323,-0.006742835883051157,0.06463596224784851,0.0021590909361839297,-1.0056195592880248,0.11354827880859375,0.2,0.19552248239517211,70,0.0001
,,,,,,4500,6529,1.7,0.73,15,0,-0.24895857999999993,,,,,,,,,,
0.9,4800,2434,1.28,0,-0.07005516831297427,4800,,,,,,,0.00084330514,-0.0014191497210413217,0.08918985724449158,0.0,-0.9324999475479125,0.11771214008331299,0.2,0.19531784772872926,75,0.0001
,,,,,,4800,6968,1.63,0.78,16,0,-0.20367685,,,,,,,,,,
0.9,5100,2606,1.24,0,-0.06966184422373772,5100,,,,,,,0.0009175815,-0.003115265388041735,0.06533493101596832,0.0,-0.8747364258766175,0.05773979425430298,0.2,0.19242998719215393,80,0.0001
,,,,,,5100,7401,1.77,0.72,17,0,-0.25752985,,,,,,,,,,
0.84,5400,2789,1.36,0,-0.11296811110340059,5400,,,,,,,0.003356977,-0.007981569739058614,0.05307081341743469,0.003068181872367859,-0.7949101185798645,0.17054355144500732,0.2,0.1749218398332596,85,0.0001
,,,,,,5400,7859,1.74,0.71,18,0,-0.25148585,,,,,,,,,,
0.9,5700,2971,1.26,0,-0.09103685763664543,5700,,,,,,,0.0014715778,-0.0029758819472044708,0.08479581028223038,0.0,-0.6917004227638245,0.13285797834396362,0.2,0.19372954964637756,90,0.0001
,,,,,,5700,8299,1.72,0.72,19,0,-0.26485069,,,,,,,,,,
0.92,6000,3168,1.2,0,-0.030051073767244817,6000,,,,,,,0.0012979454,-0.004109239559620619,0.07259632647037506,0.0,-0.6242579674720764,0.1964716911315918,0.2,0.17704592645168304,95,0.0001
,,,,,,6000,8741,1.49,0.79,20,0,-0.22515577999999997,,,,,,,,,,
0.92,6300,3348,1.26,0,-0.07054020411334933,6300,,,,,,,0.0017092008,-0.00627596715465188,0.074717216193676,0.0018181818723678588,-0.5479343008995056,0.20519179105758667,0.2,0.18173373758792877,100,0.0001
,,,,,,6300,9180,1.62,0.73,21,0,-0.25606187,,,,,,,,,,
0.88,6600,3538,1.36,0,-0.13046469572000205,6600,,,,,,,0.00035764877,-0.0010553768467798364,0.062276631593704224,0.0,-0.4843457114696503,0.2560446262359619,0.2,0.1688760632276535,105,0.0001
,,,,,,6600,9658,1.58,0.76,22,0,-0.18071960999999997,,,,,,,,,,
0.92,6900,3726,1.24,0,-0.07108159815892577,6900,,,,,,,0.00016912966,-0.0004328251004335471,0.08824705332517624,0.0,-0.46866623640060423,0.05642116069793701,0.2,0.19706044614315033,110,0.0001
,,,,,,6900,10096,1.52,0.79,23,0,-0.14908004000000002,,,,,,,,,,
0.96,7200,3895,1.08,0,-0.02783104940317571,7200,,,,,,,0.0006031323,-0.002776809035858605,0.06485502421855927,0.0,-0.43724241852760315,0.12546175718307495,0.2,0.1749313861131668,115,0.0001
,,,,,,7200,10534,1.74,0.7,24,0,-0.28131978,,,,,,,,,,
0.9,7500,4085,1.22,0,-0.08937380344141274,7500,,,,,,,0.0030371952,-0.0020810856408206746,0.10838384181261063,0.004943181872367859,-0.4087061858177185,0.11329543590545654,0.2,0.2100278204679489,120,0.0001
,,,,,,7500,10975,1.53,0.81,25,0,-0.20764881,,,,,,,,,,
0.94,7800,4278,1.14,0,-0.0481066710036248,7800,,,,,,,0.0001905384,-0.0008617481881810818,0.0840531662106514,0.0,-0.39203356266021727,0.10876679420471191,0.2,0.19960641324520112,125,0.0001
,,,,,,7800,11417,1.55,0.81,26,0,-0.18347329,,,,,,,,,,
0.88,8100,4466,1.3,0,-0.11483510539401323,8100,,,,,,,0.00018160115,-0.0011858623443004035,0.05912824720144272,0.0,-0.3749230921268463,0.2704409956932068,0.2,0.1539352282881737,130,0.0001
,,,,,,8100,11848,1.63,0.75,27,0,-0.229443,,,,,,,,,,
0.86,8400,4651,1.3,0,-0.15360235317610205,8400,,,,,,,8.944737e-05,-0.00014625779702328145,0.06983956694602966,0.0,-0.34059047341346743,0.1932605504989624,0.2,0.17767550885677338,135,0.0001
,,,,,,8400,12296,1.5,0.82,28,0,-0.20039543,,,,,,,,,,
0.86,8700,4838,1.3,0,-0.13380734199192376,8700,,,,,,,0.00017935658,-0.0010717814951203763,0.06101805716753006,0.0,-0.3282524609565735,0.128828227519989,0.2,0.1913225257396698,140,0.0001
,,,,,,8700,12745,1.68,0.73,29,0,-0.26728985,,,,,,,,,,
