eval/mean_reward,eval/mean_ep_length,env/current_idx,eval/success_rate,env/completion_counter,env/n_steps,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/loss
-0.12738408441189678,1.74,98,0.88,0,300,300,,,,,,,,,,,,,,,,
,,,,,,300,-0.4806545463917526,0,1,527,0.5979381443298969,3.082474226804124,,,,,,,,,,
-0.0726385209755972,1.44,201,0.9,0,600,600,,,,,,,-0.003974779298296198,0.2,0.0,-1.945731406211853,0.0001,5,0.36780812561511994,0.0004610823,-0.4418201446533203,0.1305159628391266
,,,,,,600,-0.4305321000000001,0,2,995,0.65,2.95,,,,,,,,,,
-0.05550320123787969,1.44,307,0.94,0,900,900,,,,,,,-0.007386402108240872,0.2,0.0,-1.9442513084411621,0.0001,10,0.2689546954631805,0.0012212459,-0.2291947603225708,0.08662883192300797
,,,,,,900,-0.3662144,0,3,1444,0.67,2.81,,,,,,,,,,
-0.009093878073617816,1.2,409,1.0,0,1200,1200,,,,,,,-0.005659402669407427,0.2,0.0,-1.93892427444458,0.0001,15,0.23720403850078584,0.0016647713,-0.05443692207336426,0.07190503180027008
,,,,,,1200,-0.41248299999999993,0,4,1869,0.62,2.9,,,,,,,,,,
-0.03233103960286826,1.44,505,0.98,0,1500,1500,,,,,,,-0.004147119665285573,0.2,0.0,-1.930902123451233,0.0001,20,0.2354230737686157,0.0013448575,0.04725593328475952,0.10008623450994492
,,,,,,1500,-0.55042278,0,5,2327,0.57,3.11,,,,,,,,,,
-0.07596580467186868,1.64,602,0.92,0,1800,1800,,,,,,,-0.009919154401868581,0.2,0.0,-1.917806339263916,0.0001,25,0.2580035400390625,0.003161259,0.022245168685913086,0.09024178981781006
,,,,,,1800,-0.5587696100000001,0,6,2817,0.55,3.12,,,,,,,,,,
-0.052426848700270055,1.36,711,0.96,0,2100,2100,,,,,,,-0.009229998937807977,0.2,0.0,-1.8857320594787597,0.0001,30,0.2271879345178604,0.005016022,-0.007170319557189941,0.10011347383260727
,,,,,,2100,-0.34664225000000004,0,7,3263,0.69,2.71,,,,,,,,,,
-0.031149807460606097,1.32,825,0.98,0,2400,2400,,,,,,,-0.007306746332906186,0.2,0.0,-1.841110987663269,0.0001,35,0.2406577807664871,0.004407388,0.07557260990142822,0.14328043162822723
,,,,,,2400,-0.29331024000000006,0,8,3738,0.74,2.61,,,,,,,,,,
-0.04861508364323527,1.22,937,0.96,0,2700,2700,,,,,,,-0.009640545235015452,0.2,0.0,-1.788237862586975,0.0001,40,0.18741795301437378,0.0045647947,0.23377519845962524,0.05586891621351242
,,,,,,2700,-0.35530826000000004,0,9,4182,0.71,2.57,,,,,,,,,,
-0.07109080918133259,1.32,1052,0.94,0,3000,3000,,,,,,,-0.013087533707293915,0.2,0.0,-1.711507749557495,0.0001,45,0.24919911861419677,0.0062197787,-0.005804777145385742,0.055952299386262894
,,,,,,3000,-0.28544896000000003,0,10,4633,0.77,2.54,,,,,,,,,,
-0.02967255325987935,1.18,1179,0.98,0,3300,3300,,,,,,,-0.01006143174599856,0.2,0.0,-1.6175207710266113,0.0001,50,0.2458883935213089,0.0054549505,-0.07504892349243164,0.05450868234038353
,,,,,,3300,-0.31007851,0,11,5074,0.75,2.39,,,,,,,,,,
-0.053469016710296274,1.38,1298,0.96,0,3600,3600,,,,,,,-0.00335625336272642,0.2,0.0,-1.5469251680374145,0.0001,55,0.22100821912288665,0.0021370172,0.066203773021698,0.08944366127252579
,,,,,,3600,-0.34472694000000004,0,12,5534,0.71,2.54,,,,,,,,,,
