eval/success_rate,time/total_timesteps,env/current_idx,eval/mean_reward,env/completion_counter,eval/mean_ep_length,env/n_steps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,train/clip_fraction,train/entropy_loss,train/clip_range,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl
0.8,300,96,-0.22358250542543828,0,2.0,300,,,,,,,,,,,,,,,,
,300,,,,,,3.1157894736842104,495,1,0,-0.5051702947368423,0.5578947368421052,,,,,,,,,,
0.92,600,191,-0.0754134971415624,0,1.52,600,,,,,,,0.0,-1.945774703025818,0.2,0.08417889475822449,0.0001,5,0.26222580671310425,-0.31679022312164307,-0.002491849147772882,0.00034992906
,600,,,,,,3.13,940,2,0,-0.5499002200000002,0.57,,,,,,,,,,
0.92,900,290,-0.09379518481902778,0,1.58,900,,,,,,,0.0,-1.9450369119644164,0.2,0.12179732322692871,0.0001,10,0.2663685816526413,-0.06894409656524658,-0.0036120520625263454,0.00053787464
,900,,,,,,3.04,1392,3,0,-0.50830883,0.62,,,,,,,,,,
0.98,1200,394,-0.027983653508126736,0,1.14,1200,,,,,,,0.0,-1.9422557306289674,0.2,0.10027307271957397,0.0001,15,0.26641439378261567,-0.1274888515472412,-0.0058560950844548645,0.0015081682
,1200,,,,,,2.8,1806,4,0,-0.43973195,0.65,,,,,,,,,,
0.98,1500,494,-0.03271054713986814,0,1.34,1500,,,,,,,0.0,-1.933970332145691,0.2,0.04821158945560455,0.0001,20,0.25911366045475004,0.005904257297515869,-0.009139620177447795,0.0024892772
,1500,,,,,,3.01,2235,5,0,-0.48311063,0.62,,,,,,,,,,
0.94,1800,597,-0.07650460669305176,0,1.38,1800,,,,,,,0.0,-1.9184776306152345,0.2,0.10293902456760406,0.0001,25,0.2285289841890335,0.10552030801773071,-0.0035009299474768342,0.0016562225
,1800,,,,,,2.91,2652,6,0,-0.47605021000000014,0.63,,,,,,,,,,
0.96,2100,708,-0.032858162871561944,0,1.42,2100,,,,,,,0.0,-1.9018503999710084,0.2,0.04756360128521919,0.0001,30,0.22142312347888946,0.09312266111373901,-0.013437241548672318,0.004326757
,2100,,,,,,2.74,3085,7,0,-0.34355349,0.69,,,,,,,,,,
0.96,2400,819,-0.04885938100982457,0,1.2,2400,,,,,,,0.0009090909361839294,-1.8651761722564697,0.2,0.09981130063533783,0.0001,35,0.226155127286911,-0.04822134971618652,-0.00969378462759778,0.006003965
,2400,,,,,,2.67,3514,8,0,-0.36819515,0.71,,,,,,,,,,
0.9,2700,943,-0.09616317309439182,0,1.6,2700,,,,,,,0.0,-1.8092619895935058,0.2,0.1314668357372284,0.0001,40,0.2467448580265045,0.0779833197593689,-0.013847220623865723,0.0063769696
,2700,,,,,,2.31,3979,9,0,-0.27914611000000006,0.79,,,,,,,,,,
0.94,3000,1052,-0.07403122132644058,0,1.42,3000,,,,,,,0.0018181818723678588,-1.715057282447815,0.2,0.08801593631505966,0.0001,45,0.22536062240600585,0.06191772222518921,-0.01943840928375721,0.009337233
,3000,,,,,,2.78,4433,10,0,-0.40786493,0.67,,,,,,,,,,
0.94,3300,1185,-0.052562663108110426,0,1.32,3300,,,,,,,0.0,-1.6071239614486694,0.2,0.06756561994552612,0.0001,50,0.2124212598800659,0.2136128544807434,-0.006482833763875533,0.0044363374
,3300,,,,,,2.21,4882,11,0,-0.22650712999999997,0.82,,,,,,,,,,
0.94,3600,1322,-0.07196094467304646,0,1.36,3600,,,,,,,0.0,-1.5212839460372924,0.2,0.05600994825363159,0.0001,55,0.20314233243465424,0.1681748628616333,-0.006605486366897822,0.0033804562
,3600,,,,,,2.11,5314,12,0,-0.22470236,0.82,,,,,,,,,,
0.98,3900,1458,-0.030574850332923235,0,1.2,3900,,,,,,,0.0,-1.4295712661743165,0.2,0.08802583068609238,0.0001,60,0.23610883176326752,0.02905327081680298,-0.005893981964327395,0.0037118853
,3900,,,,,,2.15,5748,13,0,-0.24622001000000002,0.8,,,,,,,,,,
0.96,4200,1592,-0.050794909354299304,0,1.26,4200,,,,,,,0.0,-1.310566897392273,0.2,0.09134624153375626,0.0001,65,0.22789872705936431,0.07432883977890015,-0.012355867708101868,0.00585945
,4200,,,,,,2.13,6169,14,0,-0.23957187000000005,0.8,,,,,,,,,,
0.94,4500,1728,-0.06917564516421408,0,1.26,4500,,,,,,,0.0,-1.1835001039505004,0.2,0.08273161947727203,0.0001,70,0.19758472979068756,0.10761886835098267,-0.004574086752254516,0.0032885317
,4500,,,,,,2.15,6614,15,0,-0.25366533999999996,0.82,,,,,,,,,,
0.9,4800,1857,-0.09446168621070683,0,1.62,4800,,,,,,,0.0,-1.1222812986373902,0.2,0.08862235397100449,0.0001,75,0.22073861956596375,0.12692534923553467,-0.0013445630669593812,0.00038908803
,4800,,,,,,2.26,7076,16,0,-0.28012845999999997,0.77,,,,,,,,,,
0.94,5100,2013,-0.07223930126987398,0,1.32,5100,,,,,,,0.0,-1.0966233587265015,0.2,0.06346237659454346,0.0001,80,0.20522174954414368,0.27563363313674927,-0.006708254155237228,0.0020610094
,5100,,,,,,1.95,7520,17,0,-0.16870359000000001,0.85,,,,,,,,,,
0.94,5400,2156,-0.06935702228918672,0,1.26,5400,,,,,,,0.0,-1.0068872094154357,0.2,0.08191776275634766,0.0001,85,0.21293203473091127,0.029325544834136963,-0.0008635912323370576,0.0009369748
,5400,,,,,,1.96,7977,18,0,-0.18469479,0.86,,,,,,,,,,
0.96,5700,2300,-0.04983051603194326,0,1.32,5700,,,,,,,0.0,-0.9505441999435424,0.2,0.03693785518407822,0.0001,90,0.18526575744152068,0.21698826551437378,-0.007319728620350361,0.0019637756
,5700,,,,,,2.14,8442,19,0,-0.24927936000000003,0.81,,,,,,,,,,
0.96,6000,2443,-0.05633354697376489,0,1.44,6000,,,,,,,0.0039772728085517885,-0.839667809009552,0.2,0.059387996792793274,0.0001,95,0.20006041646003722,0.11697840690612793,-0.009294210528969416,0.004140905
,6000,,,,,,2.06,8920,20,0,-0.22406388,0.83,,,,,,,,,,
0.96,6300,2585,-0.05257298935204744,0,1.28,6300,,,,,,,0.009886363744735718,-0.740191195011139,0.2,0.08167359977960587,0.0001,100,0.1966637307405472,0.1865626573562622,-0.007030914779752493,0.0021634693
,6300,,,,,,2.13,9349,21,0,-0.24120820999999995,0.8,,,,,,,,,,
0.88,6600,2733,-0.11927418650127947,0,1.52,6600,,,,,,,0.0,-0.6928264665603637,0.2,0.07630285620689392,0.0001,105,0.19624700129032135,0.1085515022277832,-0.002274628492887132,0.0006257062
,6600,,,,,,2.16,9787,22,0,-0.22931291,0.81,,,,,,,,,,
0.9,6900,2878,-0.1123199430666864,0,1.46,6900,,,,,,,0.0,-0.6705855584144592,0.2,0.08607125282287598,0.0001,110,0.18069009482860565,0.15897732973098755,-0.0020210477453656496,0.00049734034
,6900,,,,,,2.08,10241,23,0,-0.22711289,0.84,,,,,,,,,,
0.96,7200,3012,-0.052295586969703434,0,1.2,7200,,,,,,,0.0,-0.6319760847091674,0.2,0.05954587832093239,0.0001,115,0.1954902333021164,0.18363416194915771,-0.0014586323651019483,0.00063067727
,7200,,,,,,2.23,10694,24,0,-0.27130612,0.76,,,,,,,,,,
1.0,7500,3155,-0.006844165781512856,0,1.04,7500,,,,,,,0.0,-0.5854007768630981,0.2,0.0776185467839241,0.0001,120,0.23716960430145265,0.016813337802886963,-0.0010209509637206793,0.00033761904
,7500,,,,,,2.13,11127,25,0,-0.2554040000000001,0.8,,,,,,,,,,
0.94,7800,3290,-0.0533318403782323,0,1.32,7800,,,,,,,0.0,-0.5491150569915771,0.2,0.09034863859415054,0.0001,125,0.19084033131599426,0.23364830017089844,-0.001788764288648963,0.00052656664
,7800,,,,,,2.26,11563,26,0,-0.32295108,0.74,,,,,,,,,,
0.92,8100,3447,-0.0772563961474225,0,1.42,8100,,,,,,,0.0,-0.5058275520801544,0.2,0.09150762856006622,0.0001,130,0.20666057527065276,0.21822255849838257,-0.0017318358016200363,0.00039345972
,8100,,,,,,1.9,11998,27,0,-0.18540221,0.85,,,,,,,,,,
0.9,8400,3603,-0.09524630483239889,0,1.46,8400,,,,,,,0.0,-0.4789938199520111,0.2,0.06855994462966919,0.0001,135,0.16765897035598754,0.2707964777946472,-0.0011598821985535324,0.00023501246
,8400,,,,,,1.9,12446,28,0,-0.16457300000000002,0.87,,,,,,,,,,
0.96,8700,3759,-0.04941100939642638,0,1.26,8700,,,,,,,0.0,-0.4644463086128235,0.2,0.10416461527347565,0.0001,140,0.17631459146738052,0.12961244583129883,-5.5410268250852825e-05,5.7599693e-05
,8700,,,,,,1.89,12892,29,0,-0.17095636,0.84,,,,,,,,,,
0.88,9000,3927,-0.098072794303298,0,1.58,9000,,,,,,,0.0,-0.46651803016662596,0.2,0.058029428124427795,0.0001,145,0.16208459615707396,0.2888779044151306,-0.0007767993729794398,6.9622394e-05
,9000,,,,,,1.72,13337,30,0,-0.1613581,0.88,,,,,,,,,,
