eval/success_rate,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,env/current_idx,env/completion_counter,env/n_steps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl
0.84,1.82,300,-0.1840698811970651,95,0,300,,,,,,,,,,,,,,,,
,,300,,,,,455,1,0.6170212765957447,-0.4508833936170213,0,3.1702127659574466,,,,,,,,,,
0.96,1.3,600,-0.05363705305382609,203,0,600,,,,,,,0.0,-1.9457721090316773,-0.3854120969772339,0.10820042341947556,5,0.2,0.0001,0.26656971156597137,-0.002895570448599756,0.00032130547
,,600,,,,,876,2,0.69,-0.39297985999999996,0,2.8,,,,,,,,,,
0.98,1.12,900,-0.007960351244546473,299,0,900,,,,,,,0.0,-1.9448540019989013,0.07751178741455078,0.1020827442407608,10,0.2,0.0001,0.20986295759677887,-0.0037681835505645723,0.0005762937
,,900,,,,,1275,3,0.59,-0.48588466999999996,0,3.17,,,,,,,,,,
0.96,1.24,1200,-0.04959700576029718,408,0,1200,,,,,,,0.0,-1.9412997102737426,-0.2080364227294922,0.0704139918088913,15,0.2,0.0001,0.27306171774864196,-0.007131806746619986,0.0014005855
,,1200,,,,,1672,4,0.66,-0.4112682799999999,0,2.78,,,,,,,,,,
0.92,1.54,1500,-0.08137922828551382,512,0,1500,,,,,,,0.0,-1.9311857843399047,0.028520286083221436,0.08706390112638474,20,0.2,0.0001,0.23332194328308106,-0.0068685113335959615,0.0023204298
,,1500,,,,,2124,5,0.63,-0.43258947,0,2.96,,,,,,,,,,
0.94,1.38,1800,-0.05258928928989917,618,0,1800,,,,,,,0.0,-1.913401575088501,-0.10333025455474854,0.07627624273300171,25,0.2,0.0001,0.2532597440481186,-0.0077595728030428295,0.0032903575
,,1800,,,,,2571,6,0.71,-0.31647157,0,2.84,,,,,,,,,,
0.98,1.24,2100,-0.03456251409370452,739,0,2100,,,,,,,0.0,-1.8823591375350952,0.01811957359313965,0.03792222589254379,30,0.2,0.0001,0.1986103567481041,-0.010631991047412158,0.0047862586
,,2100,,,,,3006,7,0.74,-0.28357147,0,2.56,,,,,,,,,,
0.94,1.32,2400,-0.0719882481964305,858,0,2400,,,,,,,0.0,-1.8335402393341065,0.07716155052185059,0.0720464363694191,35,0.2,0.0001,0.19627990812063217,-0.007672681352123618,0.0049251826
,,2400,,,,,3429,8,0.73,-0.34005297,0,2.56,,,,,,,,,,
0.9,1.54,2700,-0.11799276019446552,967,0,2700,,,,,,,0.0,-1.7751085758209229,0.08973944187164307,0.08232958614826202,40,0.2,0.0001,0.21500570714473724,-0.01099717704579234,0.005136301
,,2700,,,,,3889,9,0.71,-0.33807405999999995,0,2.71,,,,,,,,,,
0.94,1.36,3000,-0.0537632759148255,1093,0,3000,,,,,,,0.0,-1.7096108150482179,0.11061882972717285,0.08861269056797028,45,0.2,0.0001,0.19265369206666946,-0.0034911828907206654,0.0024633126
,,3000,,,,,4334,10,0.8,-0.23994907999999998,0,2.41,,,,,,,,,,
0.9,1.64,3300,-0.11490642704535275,1212,0,3300,,,,,,,0.0,-1.6683812427520752,0.11178481578826904,0.06432512402534485,50,0.2,0.0001,0.18023304462432863,-0.004906105725094676,0.002078407
,,3300,,,,,4797,11,0.73,-0.32243666000000004,0,2.53,,,,,,,,,,
0.86,1.62,3600,-0.1411969211185351,1332,0,3600,,,,,,,0.0,-1.617998676300049,0.03038579225540161,0.10389796644449234,55,0.2,0.0001,0.20598030179739,-0.0015669600921683013,0.0008521313
,,3600,,,,,5290,12,0.8,-0.27463438,0,2.39,,,,,,,,,,
0.86,1.6,3900,-0.11769809842575342,1458,0,3900,,,,,,,0.0,-1.6055717039108277,0.15833699703216553,0.06997840106487274,60,0.2,0.0001,0.20763729333877565,-0.004296233491040766,0.0014097817
,,3900,,,,,5727,13,0.78,-0.24171379,0,2.32,,,,,,,,,,
0.88,1.58,4200,-0.09737696840427816,1584,0,4200,,,,,,,0.0,-1.5828677368164064,0.1774696707725525,0.08099303394556046,65,0.2,0.0001,0.1705668330192566,-0.004713969053700567,0.0026274342
,,4200,,,,,6174,14,0.75,-0.29809322,0,2.32,,,,,,,,,,
0.9,1.52,4500,-0.11971204426605254,1711,0,4500,,,,,,,0.0021590909361839297,-1.4995451498031616,0.22646605968475342,0.0353708416223526,70,0.2,0.0001,0.17546558409929275,-0.004124735649675131,0.0036546334
,,4500,,,,,6649,15,0.77,-0.26071542999999997,0,2.44,,,,,,,,,,
0.96,1.28,4800,-0.030620747255161406,1842,0,4800,,,,,,,0.0,-1.4214212799072266,0.1859910488128662,0.04048890247941017,75,0.2,0.0001,0.18381041556596756,-0.005610755444940878,0.0026443584
,,4800,,,,,7095,16,0.72,-0.3525783100000001,0,2.42,,,,,,,,,,
0.96,1.4,5100,-0.03367848823778331,1973,0,5100,,,,,,,0.0,-1.3415959787368774,0.18145233392715454,0.09962193667888641,80,0.2,0.0001,0.18946778893470764,-0.005259252777323127,0.002070948
,,5100,,,,,7572,17,0.79,-0.20130098000000005,0,2.32,,,,,,,,,,
0.98,1.28,5400,-0.03217011698521674,2089,0,5400,,,,,,,0.0,-1.2944898223876953,0.0232083797454834,0.08089067041873932,85,0.2,0.0001,0.18918465793132783,-8.916671155020594e-05,0.0002488676
,,5400,,,,,8015,18,0.73,-0.37317663999999995,0,2.55,,,,,,,,,,
0.94,1.32,5700,-0.05350666036363691,2214,0,5700,,,,,,,0.0,-1.2839283800125123,0.2456223964691162,0.09105125814676285,90,0.2,0.0001,0.2041161572933197,-0.0014042782475007698,0.00030617003
,,5700,,,,,8479,19,0.8,-0.25225202,0,2.35,,,,,,,,,,
0.92,1.38,6000,-0.09193852972239255,2346,0,6000,,,,,,,0.0,-1.242503423690796,0.1467624306678772,0.10614118725061417,95,0.2,0.0001,0.18368375539779663,-0.002095021060667932,0.0011037678
,,6000,,,,,8932,20,0.76,-0.28560056,0,2.3,,,,,,,,,,
0.92,1.38,6300,-0.09087362541817129,2479,0,6300,,,,,,,0.0015340909361839295,-1.2249814653396607,0.1116020679473877,0.06478012353181839,100,0.2,0.0001,0.19969928294420242,-0.00205622945795767,0.00049625046
,,6300,,,,,9382,21,0.81,-0.24271895999999998,0,2.21,,,,,,,,,,
0.94,1.48,6600,-0.07236292333807796,2623,0,6600,,,,,,,0.00375,-1.2316162204742431,0.028854012489318848,0.07627665996551514,105,0.2,0.0001,0.2220250415802002,-0.0015716416062787175,0.00094502384
,,6600,,,,,9826,22,0.8,-0.2354209,0,2.14,,,,,,,,,,
0.9,1.46,6900,-0.09395782400388271,2764,0,6900,,,,,,,0.0,-1.2015634489059448,0.2152652144432068,0.0833180770277977,110,0.2,0.0001,0.1922021234035492,-0.00496946937404573,0.0018701237
,,6900,,,,,10292,23,0.83,-0.1959067,0,2.11,,,,,,,,,,
0.9,1.62,7200,-0.11493674979545176,2891,0,7200,,,,,,,0.0,-1.1106616401672362,0.17408901453018188,0.09936295449733734,115,0.2,0.0001,0.1985619169473648,-0.003570257422979921,0.001994105
,,7200,,,,,10771,24,0.76,-0.30723284999999995,0,2.34,,,,,,,,,,
1.0,1.22,7500,-0.01162016718648374,3027,0,7500,,,,,,,0.0,-1.0397065782546997,0.1547684669494629,0.06668883562088013,120,0.2,0.0001,0.20766083419322967,-0.00406868988648057,0.0016894942
,,7500,,,,,11218,25,0.76,-0.27918806,0,2.27,,,,,,,,,,
0.92,1.48,7800,-0.09300677951425314,3179,0,7800,,,,,,,0.000625,-0.9867371082305908,0.27064740657806396,0.07962407916784286,125,0.2,0.0001,0.1824190831184387,-0.0017827146625495516,0.00085662166
,,7800,,,,,11666,26,0.86,-0.17625250999999995,0,2.07,,,,,,,,,,
0.9,1.44,8100,-0.1034331538528204,3328,0,8100,,,,,,,0.0,-0.9416212558746337,0.14476549625396729,0.04859718680381775,130,0.2,0.0001,0.16999930202960967,-0.0021385324187576773,0.0009846906
,,8100,,,,,12129,27,0.86,-0.18483529,0,1.94,,,,,,,,,,
0.96,1.22,8400,-0.028875422095879913,3456,0,8400,,,,,,,0.0,-0.8884134936332703,0.10230433940887451,0.062409915030002594,135,0.2,0.0001,0.19712751269340514,-0.0012780427500547376,0.0006314111
,,8400,,,,,12569,28,0.74,-0.28643305,0,2.43,,,,,,,,,,
0.98,1.16,8700,-0.030746454331092535,3585,0,8700,,,,,,,0.0,-0.8772987580299377,0.12158548831939697,0.0758340060710907,140,0.2,0.0001,0.19262865722179412,-0.0010963487101253123,0.00024398122
,,8700,,,,,13015,29,0.77,-0.28082978,0,2.35,,,,,,,,,,
0.9,1.46,9000,-0.1143861677357927,3725,0,9000,,,,,,,0.0,-0.896001262664795,0.25590234994888306,0.06444099545478821,145,0.2,0.0001,0.168676495552063,-0.0007090381777379662,0.00017024939
,,9000,,,,,13472,30,0.82,-0.23792860000000005,0,2.05,,,,,,,,,,
0.98,1.24,9300,-0.00956455503590405,3868,0,9300,,,,,,,0.0,-0.9060707759857177,0.30534088611602783,0.08526650816202164,150,0.2,0.0001,0.17750650465488435,-0.0004572347983412328,0.0002784223
,,9300,,,,,13921,31,0.81,-0.18837932999999998,0,2.13,,,,,,,,,,
0.88,1.56,9600,-0.09907776094507426,4018,0,9600,,,,,,,0.004659090936183929,-0.9225205183029175,0.19965749979019165,0.08411762118339539,155,0.2,0.0001,0.17173025965690614,-0.0019273621897445991,0.0013874278
,,9600,,,,,14380,32,0.85,-0.19996201,0,1.9,,,,,,,,,,
0.98,1.14,9900,-0.0075934055959805844,4148,0,9900,,,,,,,0.003125,-0.8850574398040771,0.33226579427719116,0.06070782616734505,160,0.2,0.0001,0.16545337021350862,-0.001598525787703693,0.0008920155
,,9900,,,,,14805,33,0.76,-0.27750858,0,2.33,,,,,,,,,,
