env/current_idx,time/total_timesteps,eval/success_rate,env/completion_counter,env/n_steps,eval/mean_ep_length,eval/mean_reward,time/fps,rollout/success_rate,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss
12,30,0.76,0,30,1.56,-0.19889462985564024,,,,,,,,,,,,,,,,
,30,,,,,,0,0.2727272727272727,-0.7706634545454545,1,177,2.5454545454545454,,,,,,,,,,
24,60,0.8,0,60,1.5,-0.19368904914241283,,,,,,,0.0002798458,0.0,-1.9458495855331421,0.2,0.3439668267965317,10,0.0001,0.09198768436908722,-2.040508508682251,-0.008687576742377167
,60,,,,,,0,0.2608695652173913,-0.6594556086956521,2,313,2.5652173913043477,,,,,,,,,,
39,90,0.9,0,90,1.22,-0.08864509928971528,,,,,,,4.4244527e-05,0.0,-1.9455525398254394,0.2,0.18760745972394943,20,0.0001,0.06909401714801788,0.21621227264404297,-0.001101379071915254
,90,,,,,,0,0.3684210526315789,-0.5317506052631579,3,431,2.3421052631578947,,,,,,,,,,
52,120,0.86,0,120,1.4,-0.11094052357133478,,,,,,,0.00010458032,0.0,-1.945301115512848,0.2,0.2935710549354553,30,0.0001,0.11495871841907501,-0.38351869583129883,-0.00278789800805197
,120,,,,,,0,0.35294117647058826,-0.5660906666666667,4,552,2.3529411764705883,,,,,,,,,,
69,150,0.94,0,150,1.16,-0.048715279032476244,,,,,,,5.2358708e-05,0.0,-1.9447197794914246,0.2,0.3013937473297119,40,0.0001,0.09169697016477585,-0.18206655979156494,-0.0008792020896120079
,150,,,,,,0,0.4264705882352941,-0.5323120294117647,5,661,2.2058823529411766,,,,,,,,,,
84,180,0.9,0,180,1.2,-0.09027062233537436,,,,,,,0.00024511616,0.0,-1.9440202832221984,0.2,0.3385335862636566,50,0.0001,0.13083405792713165,-0.27116644382476807,-0.0065003986714873285
,180,,,,,,0,0.4578313253012048,-0.5183062891566266,6,764,2.1686746987951806,,,,,,,,,,
98,210,0.9,0,210,1.28,-0.09027383248787374,,,,,,,0.000349011,0.0,-1.9423116087913512,0.2,0.24140527695417405,60,0.0001,0.08065807819366455,-0.13929545879364014,-0.005574430647538975
,210,,,,,,0,0.4639175257731959,-0.514009680412371,7,886,2.1649484536082473,,,,,,,,,,
