env/n_steps,env/completion_counter,eval/mean_ep_length,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,time/time_elapsed,time/fps,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/approx_kl
30,0,1.4,14,-0.1588186944555491,30,0.84,,,,,,,,,,,,,,,,
,,,,,30,,153,0,0.46153846153846156,2.230769230769231,-0.5287382307692308,1,,,,,,,,,,
60,0,1.18,28,-0.07108667822089046,60,0.94,,,,,,,0.15148913860321045,0.5269665986299514,0.0,-1.945859158039093,-0.7717117071151733,0.0001,-0.005189730139294113,10,0.2,0.00022178689
,,,,,60,,254,0,0.48148148148148145,2.1481481481481484,-0.5402717407407407,2,,,,,,,,,,
90,0,1.4,42,-0.17524106895551086,90,0.82,,,,,,,0.056234657764434814,0.1827143669128418,0.0,-1.945482110977173,-0.0315934419631958,0.0001,-0.007230848676214574,20,0.2,0.0003365338
,,,,,90,,377,0,0.4634146341463415,2.1707317073170733,-0.5580026829268293,3,,,,,,,,,,
120,0,1.38,56,-0.15177925036754458,120,0.86,,,,,,,0.0928134024143219,0.26441998332738875,0.0,-1.9446716547012328,-0.3075627088546753,0.0001,-0.001963460076513002,30,0.2,0.000121806064
,,,,,120,,486,0,0.4727272727272727,2.1454545454545455,-0.5530801818181817,4,,,,,,,,,,
150,0,1.3,70,-0.11117963877040893,150,0.88,,,,,,,0.048136092722415924,0.15116595104336739,0.0,-1.9440810680389404,0.11935544013977051,0.0001,-0.004896586428706939,40,0.2,0.00021608273
,,,,,150,,613,0,0.4782608695652174,2.1449275362318843,-0.5352768695652174,5,,,,,,,,,,
180,0,1.5,84,-0.23265375060029328,180,0.76,,,,,,,0.07035838067531586,0.2100732907652855,0.0,-1.9430761218070984,-0.05649697780609131,0.0001,-0.005245981417829171,50,0.2,0.0003649771
,,,,,180,,737,0,0.46987951807228917,2.1686746987951806,-0.5536297710843373,6,,,,,,,,,,
210,0,1.32,98,-0.07404963181354106,210,0.9,,,,,,,0.036928996443748474,0.1308473214507103,0.0,-1.9405208587646485,0.29214388132095337,0.0001,-0.008139672873076088,60,0.2,0.00067688624
,,,,,210,,848,0,0.4845360824742268,2.154639175257732,-0.5167071649484536,7,,,,,,,,,,
240,0,1.3,109,-0.09415744811296463,240,0.9,,,,,,,0.11944223940372467,0.368817600607872,0.0,-1.936643385887146,-0.4522128105163574,0.0001,-0.0036582042971467386,70,0.2,0.0005664706
,,,,,240,,956,0,0.46,2.2,-0.54583289,8,,,,,,,,,,
270,0,1.16,125,-0.08810751840937883,270,0.92,,,,,,,0.08442709594964981,0.27513794004917147,0.0,-1.932553517818451,0.22666513919830322,0.0001,-0.00544551423750832,80,0.2,0.0002788484
,,,,,270,,1069,0,0.48,2.16,-0.50145371,9,,,,,,,,,,
300,0,1.42,139,-0.1351459092926234,300,0.82,,,,,,,0.07548496872186661,0.25004868805408476,0.0,-1.9281082987785338,-0.22847485542297363,0.0001,-0.0073552454821765425,90,0.2,0.00065832934
,,,,,300,,1189,0,0.48,2.17,-0.5160071,10,,,,,,,,,,
