eval/success_rate,eval/mean_reward,eval/mean_ep_length,time/total_timesteps,env/completion_counter,env/n_steps,env/current_idx,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/clip_range,train/loss,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss
0.74,-0.277655813973397,1.58,30,0,30,16,,,,,,,,,,,,,,,,
,,,30,,,,177,0,2.0,0.5333333333333333,-0.5017574666666667,1,,,,,,,,,,
0.92,-0.09106666489038616,1.24,60,0,60,31,,,,,,,0.2,0.08668893575668335,0.0001,0.41771762520074845,-1.9458266615867614,-0.30618882179260254,0.00027261773,0.0,10,-0.006572961963247437
,,,60,,,,289,0,2.0,0.5666666666666667,-0.44398103333333333,2,,,,,,,,,,
0.9,-0.08945363050326705,1.26,90,0,90,46,,,,,,,0.2,0.09654521942138672,0.0001,0.28441507667303084,-1.9453881859779358,-0.006359577178955078,0.00031885903,0.0,20,-0.003237117047344018
,,,90,,,,401,0,1.9555555555555555,0.5777777777777777,-0.3918901777777778,3,,,,,,,,,,
0.84,-0.1718889802740887,1.46,120,0,120,61,,,,,,,0.2,0.07724180072546005,0.0001,0.2434945285320282,-1.9448494076728822,-0.3559199571609497,0.00032017034,0.0,30,-0.005621768900503632
,,,120,,,,523,0,2.0,0.55,-0.418585,4,,,,,,,,,,
0.92,-0.08780184886883945,1.18,150,0,150,73,,,,,,,0.2,0.06059225648641586,0.0001,0.19084082096815108,-1.9436572313308715,0.25025516748428345,0.00033240716,0.0,40,-0.005614312931429666
,,,150,,,,631,0,2.0555555555555554,0.5277777777777778,-0.41749668055555555,5,,,,,,,,,,
0.92,-0.05135630279313773,1.2,180,0,180,89,,,,,,,0.2,0.03914342075586319,0.0001,0.14447468817234038,-1.9420360565185546,0.19072860479354858,0.0005405724,0.0,50,-0.004799220038500351
,,,180,,,,737,0,2.0454545454545454,0.5340909090909091,-0.4062151022727273,6,,,,,,,,,,
0.88,-0.11111706824973226,1.3,210,0,210,106,,,,,,,0.2,0.07581419497728348,0.0001,0.2355666935443878,-1.9393903374671937,-0.11740899085998535,0.00069436827,0.0,60,-0.005773722012527216
