rollout/success_rate,rollout/ep_rew_mean,time/iterations,env/current_idx,env/completion_counter,rollout/ep_len_mean,env/n_steps,time/total_timesteps,time/fps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/value_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
0.9545454545454546,-0.05600018181818183,1,23,0,1.2272727272727273,30,30,0,34,,,,,,,,,,,,,
0.8974358974358975,-0.04048002564102565,2,40,0,1.4871794871794872,60,60,0,70,-0.004619473595327506,0.00014984608,-1.9458646416664123,-0.10102880001068115,0.0,0.0001,0.011810282245278358,0.2,10,0.08857058361172676,,,
0.8113207547169812,-0.13523669811320754,3,54,0,1.6981132075471699,90,90,0,103,-0.002605179844346539,7.2449446e-05,-1.9457189440727234,-2.1923060417175293,0.0,0.0001,0.01678323745727539,0.2,20,0.07659615054726601,,,
0.8533333333333334,-0.11230141333333336,4,76,0,1.5866666666666667,120,120,0,135,-0.000150578014897107,3.3764045e-05,-1.9455851912498474,-0.21978700160980225,0.0,0.0001,0.10894565284252167,0.2,30,0.32836953997612,,,
0.8645833333333334,-0.111779375,5,97,0,1.5625,150,150,0,172,-0.00219217231128539,5.914966e-05,-1.9456067562103272,0.3706793189048767,0.0,0.0001,0.05234872177243233,0.2,40,0.18367512822151183,,,
0.85,-0.11791133999999998,6,118,0,1.58,180,180,0,205,-0.004046786136071479,0.00015571117,-1.9454099774360656,-0.06394457817077637,0.0,0.0001,0.05276281386613846,0.2,50,0.15719476193189622,,,
0.89,-0.10575182,7,142,0,1.47,210,210,0,242,-0.0025271821671049464,0.00013481379,-1.9449782967567444,-0.1491907835006714,0.0,0.0001,0.06164141744375229,0.2,60,0.1790286585688591,,,
0.93,-0.07290164,8,161,0,1.35,240,240,0,275,-0.003454727305797878,0.00017510851,-1.9447564840316773,-257.111083984375,0.0,0.0001,0.018665701150894165,0.2,70,0.07136811576783657,,,
0.89,-0.0946865,9,177,0,1.45,270,270,0,321,-0.001150372640550046,9.979606e-05,-1.944268023967743,-0.06820237636566162,0.0,0.0001,0.06597190350294113,0.2,80,0.21603128910064698,,,
0.87,-0.11484582,10,197,0,1.48,300,300,0,354,-0.004894998858605249,0.00030146242,-1.943269181251526,-0.23880517482757568,0.0,0.0001,0.09371047466993332,0.2,90,0.24473522752523422,,,
0.85,-0.13828488,11,214,0,1.55,330,330,0,400,-0.0026828618517420466,0.0001682798,-1.9412999153137207,0.3767523765563965,0.0,0.0001,0.04460824653506279,0.2,100,0.15037119016051292,,,
0.8,-0.19405072,12,227,0,1.71,360,360,0,432,-0.004422803331399372,0.00032745005,-1.9386457324028015,0.23440855741500854,0.0,0.0001,0.05312701314687729,0.2,110,0.17612212747335435,,,
0.79,-0.20342407,13,249,0,1.7,390,390,0,466,-0.006215848142746871,0.00053020916,-1.9339663147926331,0.020817697048187256,0.0,0.0001,0.058382291346788406,0.2,120,0.1988450273871422,,,
0.79,-0.21219429,14,270,0,1.68,420,420,0,500,-0.0032137600670102628,0.0006464402,-1.9277359962463378,0.017559289932250977,0.0,0.0001,0.07483736425638199,0.2,130,0.24072507470846177,,,
0.83,-0.18011249999999998,15,290,0,1.56,450,450,0,538,-0.010345103594008842,0.0011024376,-1.9223452448844909,-0.136519193649292,0.0,0.0001,0.06203979253768921,0.2,140,0.2266564831137657,,,
0.84,-0.16761336,16,308,0,1.58,480,480,0,571,-0.0037686470019011155,0.0004437665,-1.9128796577453613,0.2218017578125,0.0,0.0001,0.029084794223308563,0.2,150,0.12065611705183983,,,
