env/current_idx,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/fps,time/total_timesteps,env/n_steps,rollout/ep_rew_mean,env/completion_counter,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
21,34,1.5,1,0.85,0,30,30,-0.17261155,0,,,,,,,,,,,,,
38,68,1.6216216216216217,2,0.8378378378378378,0,60,60,-0.18534186486486487,0,0.2,0.0001,0.30188031792640685,-0.1708383560180664,-1.9458325266838075,10,0.0,0.00029248398,-0.00744259538051395,0.08030898123979568,,,
58,103,1.5789473684210527,3,0.8421052631578947,0,90,90,-0.1601700701754386,0,0.2,0.0001,0.21797962486743927,-0.2386690378189087,-1.9456414580345154,20,0.0,4.6000878e-05,-0.0013295660483708892,0.06288944184780121,,,
79,137,1.5384615384615385,4,0.8589743589743589,0,120,120,-0.14596326923076922,0,0.2,0.0001,0.17941603884100915,-0.30008983612060547,-1.9456125736236571,30,0.0,7.207393e-05,-0.001999768021729942,0.053248967975378036,,,
97,173,1.53125,5,0.8645833333333334,0,150,150,-0.13224664583333332,0,0.2,0.0001,0.2359309121966362,-0.7356288433074951,-1.945560586452484,40,0.0,0.00012949904,-0.003283814416984843,0.06986496597528458,,,
121,209,1.49,6,0.88,0,180,180,-0.10588829000000002,0,0.2,0.0001,0.16556767076253892,-0.29195261001586914,-1.9452828645706177,50,0.0,8.4712105e-05,-0.0017268596530629842,0.05320975184440613,,,
141,252,1.46,7,0.88,0,210,210,-0.10616242,0,0.2,0.0001,0.13636901155114173,-0.5205615758895874,-1.9451426267623901,60,0.0,0.00018531283,-0.003431600352244679,0.034453388303518295,,,
158,286,1.47,8,0.88,0,240,240,-0.11759348999999998,0,0.2,0.0001,0.22143531665205957,0.07487344741821289,-1.945048201084137,70,0.0,0.00018853943,-0.0026381847803714107,0.05112669989466667,,,
176,322,1.53,9,0.85,0,270,270,-0.15032869,0,0.2,0.0001,0.15490747168660163,0.16966569423675537,-1.9443079710006714,80,0.0,0.00019570788,-0.003364152118253294,0.04872536659240723,,,
197,359,1.53,10,0.85,0,300,300,-0.15960311,0,0.2,0.0001,0.2035573571920395,0.16466063261032104,-1.9438217043876649,90,0.0,4.3159722e-05,-0.0009407712021007875,0.07317512482404709,,,
214,393,1.61,11,0.82,0,330,330,-0.19256413000000003,0,0.2,0.0001,0.15672815293073655,0.23808211088180542,-1.943695056438446,100,0.0,9.976427e-05,-0.003345755868940614,0.04401595890522003,,,
237,427,1.58,12,0.84,0,360,360,-0.16105651999999995,0,0.2,0.0001,0.16899498477578162,0.14290696382522583,-1.9442269682884217,110,0.0,0.0002825757,-0.0046886564034502864,0.046104107052087784,,,
257,460,1.51,13,0.87,0,390,390,-0.12702729,0,0.2,0.0001,0.11178078651428222,-118.47018432617188,-1.9444098711013793,120,0.0,5.085667e-05,0.00017615317124501927,0.025273960083723068,,,
278,494,1.48,14,0.89,0,420,420,-0.09594312,0,0.2,0.0001,0.05073162913322449,0.5169069766998291,-1.9441749453544617,130,0.0,0.00029560525,-0.0069434347127875105,0.0009008925408124924,,,
297,544,1.5,15,0.88,0,450,450,-0.09648535000000001,0,0.2,0.0001,0.21621374934911727,-0.2951016426086426,-1.9426700592041015,140,0.0,0.00046290358,-0.007271452632267028,0.06882306933403015,,,
315,579,1.49,16,0.89,0,480,480,-0.09639844000000002,0,0.2,0.0001,0.11765926629304886,0.23993277549743652,-1.940917706489563,150,0.0,0.00086021423,-0.008727528932504391,0.023237209767103195,,,
334,612,1.54,17,0.88,0,510,510,-0.11787463,0,0.2,0.0001,0.2241534098982811,-0.13970088958740234,-1.9380074262619018,160,0.0,0.0003138423,-0.0027033450245653513,0.0753183364868164,,,
357,645,1.53,18,0.87,0,540,540,-0.12769149999999999,0,0.2,0.0001,0.14352651908993722,-0.004612326622009277,-1.9386348128318787,170,0.0,0.0005165855,-0.005224532337524579,0.031242288649082184,,,
380,678,1.48,19,0.88,0,570,570,-0.11602401000000001,0,0.2,0.0001,0.10846389606595039,0.3979390859603882,-1.9406888604164123,180,0.0,0.00026709834,-0.0025010601075580396,0.03598877415060997,,,
400,749,1.47,20,0.88,0,600,600,-0.11554681,0,0.2,0.0001,0.2509372025728226,-1.000089168548584,-1.9410076856613159,190,0.0,9.650588e-05,-0.0013299320441244155,0.07730235159397125,,,
422,786,1.4,21,0.89,0,630,630,-0.10285418,0,0.2,0.0001,0.1359459027647972,0.4488409161567688,-1.9393909931182862,200,0.0,0.00019502839,-0.004223405622178688,0.03705143928527832,,,
436,820,1.45,22,0.87,0,660,660,-0.12284076,0,0.2,0.0001,0.1274973765015602,0.2136484980583191,-1.9376826405525207,210,0.0,0.00041479865,-0.006296372712822773,0.03412463515996933,,,
459,854,1.48,23,0.87,0,690,690,-0.12350261,0,0.2,0.0001,0.17679576724767684,0.27178841829299927,-1.9373493909835815,220,0.0,0.00024791955,-0.003010677882508972,0.05720394849777222,,,
482,891,1.45,24,0.89,0,720,720,-0.11384533000000002,0,0.2,0.0001,0.2138597473502159,-0.8032218217849731,-1.9360913038253784,230,0.0,0.00019333958,-0.003164792906997249,0.07151960581541061,,,
496,933,1.56,25,0.85,0,750,750,-0.14547869,0,0.2,0.0001,0.1018858201801777,0.027193307876586914,-1.9356449007987977,240,0.0,0.0005056719,-0.007820230922467707,0.023469330742955208,,,
517,967,1.56,26,0.86,0,780,780,-0.13501171,0,0.2,0.0001,0.2636261686682701,-0.026730775833129883,-1.9344527840614318,250,0.0,0.00046629706,-0.00484672286664134,0.08254461735486984,,,
535,1006,1.49,27,0.88,0,810,810,-0.10445968,0,0.2,0.0001,0.11857706904411316,0.2871096134185791,-1.9323804140090943,260,0.0,0.00019209186,-0.003643094399764557,0.04063449800014496,,,
554,1043,1.56,28,0.86,0,840,840,-0.1269654,0,0.2,0.0001,0.238160902261734,-0.514750599861145,-1.9290168762207032,270,0.0,0.0002751867,-0.0025711585687470786,0.08091616630554199,,,
574,1077,1.63,29,0.84,0,870,870,-0.14917631,0,0.2,0.0001,0.1038875125348568,0.5361911058425903,-1.9237263679504395,280,0.0,0.0011427124,-0.007330814357846905,0.02752377837896347,,,
596,1116,1.51,30,0.88,0,900,900,-0.12635447,0,0.2,0.0001,0.07646392621099948,0.5535234212875366,-1.9150336384773254,290,0.0,0.0008140922,-0.003891700991657032,0.016050666570663452,,,
620,1157,1.42,31,0.91,0,930,930,-0.10530655000000001,0,0.2,0.0001,0.15045611932873726,0.28108805418014526,-1.9133437514305114,300,0.0,0.00028039812,-0.0010045299695048194,0.05155002698302269,,,
640,1191,1.36,32,0.92,0,960,960,-0.09430917,0,0.2,0.0001,0.10868892446160316,-0.22977793216705322,-1.9078215479850769,310,0.0,0.00032906732,-0.004140728491086776,0.030865151435136795,,,
657,1228,1.41,33,0.91,0,990,990,-0.10195248,0,0.2,0.0001,0.12481425255537033,0.2777528762817383,-1.9014961957931518,320,0.0,0.0012007614,-0.007888350972595149,0.03301383554935455,,,
680,1263,1.41,34,0.91,0,1020,1020,-0.10192314999999999,0,0.2,0.0001,0.1771659202873707,-0.16167283058166504,-1.8865600943565368,330,0.0,0.0019283632,-0.010012764127459394,0.03958480432629585,,,
700,1298,1.46,35,0.9,0,1050,1050,-0.11416814000000003,0,0.2,0.0001,0.09407776668667793,0.22626274824142456,-1.8647889852523805,340,0.0,0.0014444073,-0.005911581464267357,0.023497458547353745,,,
720,1340,1.5,36,0.88,0,1080,1080,-0.13492748000000002,0,0.2,0.0001,0.25278024822473527,0.3909316062927246,-1.8445419907569884,350,0.0,0.0007401705,-0.003973768916136234,0.06547268480062485,,,
739,1379,1.54,37,0.87,0,1110,1110,-0.14584892,0,0.2,0.0001,0.14775574654340745,0.33100616931915283,-1.8337294459342957,360,0.0,0.00031088392,-0.003501907033593632,0.058091677725315094,,,
757,1412,1.49,38,0.88,0,1140,1140,-0.13524398999999998,0,0.2,0.0001,0.13959802612662314,0.35769617557525635,-1.827521765232086,370,0.0,0.00046811104,-0.0034975449876462504,0.041200798004865646,,,
779,1449,1.51,39,0.87,0,1170,1170,-0.12569784,0,0.2,0.0001,0.15632584020495416,-0.0361933708190918,-1.8169069766998291,380,0.0,0.00062378246,-0.0027011440966211,0.05264212191104889,,,
797,1483,1.51,40,0.87,0,1200,1200,-0.11473755000000001,0,0.2,0.0001,0.06848067082464696,-4.396702289581299,-1.802636182308197,390,0.0,0.000368764,-0.001952187011677964,0.013226195238530636,,,
816,1518,1.54,41,0.86,0,1230,1230,-0.1276336,0,0.2,0.0001,0.33419369161129,-0.4649757146835327,-1.7967374920845032,400,0.0,0.00065491,-0.006445233362028091,0.11709141731262207,,,
836,1561,1.53,42,0.88,0,1260,1260,-0.10730703000000003,0,0.2,0.0001,0.26272218525409696,0.11379921436309814,-1.7837714791297912,410,0.0,0.0005474309,-0.002536029621260383,0.07632748782634735,,,
857,1599,1.51,43,0.88,0,1290,1290,-0.09710753,0,0.2,0.0001,0.2744570553302765,0.14579051733016968,-1.7725476384162904,420,0.0,0.0004289031,-0.0008295425828933389,0.10721451044082642,,,
875,1638,1.56,44,0.86,0,1320,1320,-0.12881302000000003,0,0.2,0.0001,0.12654357329010962,0.1178504228591919,-1.767555046081543,430,0.0,0.000858134,-0.006261602747254358,0.038804616779088974,,,
896,1673,1.53,45,0.87,0,1350,1350,-0.1277391,0,0.2,0.0001,0.1515518106520176,0.2523273825645447,-1.7608698725700378,440,0.0,0.00025120575,-0.0005205482628662494,0.056232452392578125,,,
914,1708,1.52,46,0.89,0,1380,1380,-0.09482977999999999,0,0.2,0.0001,0.11117673814296722,0.31042665243148804,-1.7535421133041382,450,0.0,0.0008073231,-0.00584321484590582,0.029856713488698006,,,
935,1743,1.52,47,0.89,0,1410,1410,-0.08489659000000001,0,0.2,0.0001,0.18838715106248854,-1.1503984928131104,-1.744290566444397,460,0.0,0.00063486496,-0.0036236317981579447,0.06471897661685944,,,
960,1777,1.44,48,0.92,0,1440,1440,-0.06328558000000001,0,0.2,0.0001,0.04592755548655987,-91.2733383178711,-1.7450347065925598,470,0.0,0.00081641675,-0.00590335377962532,0.0007099676877260208,,,
982,1810,1.37,49,0.95,0,1470,1470,-0.041726200000000005,0,0.2,0.0001,0.029202557541429995,-61.638755798339844,-1.7623157501220703,480,0.0,0.0012769322,-0.007024316547516107,-0.005652238614857197,,,
998,1844,1.43,50,0.93,0,1500,1500,-0.04352366,0,0.2,0.0001,0.09835547655820846,0.0954430103302002,-1.7665108561515808,490,0.0,0.002816703,-0.013509155828505825,0.009547492489218712,,,
