env/n_steps,eval/success_rate,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/completion_counter,eval/mean_reward,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/learning_rate,train/entropy_loss,train/clip_fraction
30,0.88,14,1.68,30,0,-0.13767482283525168,,,,,,,,,,,,,,,,
,,,,30,,,1,0,2.230769230769231,164,-0.2471967692307692,0.7692307692307693,,,,,,,,,,
60,0.92,21,1.56,60,0,-0.054352889349684116,,,,,,,0.27417305707931516,0.00028351546,0.07624760270118713,10,-0.005337837716409233,0.2,-0.5631803274154663,0.0001,-1.9458452343940735,0.0
,,,,60,,,2,0,2.8,299,-0.3888265000000001,0.65,,,,,,,,,,
90,0.88,30,1.6,90,0,-0.09756447940133511,,,,,,,0.1596905082464218,0.00011451443,0.032716475427150726,20,-0.002177156770291333,0.2,0.4230163097381592,0.0001,-1.9455592632293701,0.0
,,,,90,,,3,0,3.103448275862069,421,-0.5229525862068966,0.5862068965517241,,,,,,,,,,
120,0.96,40,1.28,120,0,-0.051719621857628226,,,,,,,0.22883088737726212,0.000106314816,0.08687297254800797,30,-0.0023626043221641525,0.2,0.12406784296035767,0.0001,-1.9451466083526612,0.0
,,,,120,,,4,0,3.0,546,-0.49840902564102574,0.6153846153846154,,,,,,,,,,
150,0.98,49,1.2,150,0,-0.00956396479625255,,,,,,,0.2895300179719925,7.4944895e-05,0.08910791575908661,40,-0.0017289755371166394,0.2,0.10830777883529663,0.0001,-1.9447169184684754,0.0
,,,,150,,,5,0,3.0416666666666665,654,-0.5129828125,0.6041666666666666,,,,,,,,,,
180,0.94,58,1.32,180,0,-0.053207015451043845,,,,,,,0.21345800310373306,0.00014420747,0.0673922747373581,50,-0.003573621061708199,0.2,-0.35150694847106934,0.0001,-1.9444628834724427,0.0
,,,,180,,,6,0,3.1403508771929824,764,-0.5224104561403508,0.5789473684210527,,,,,,,,,,
210,0.92,69,1.46,210,0,-0.07476946998387575,,,,,,,0.337626126408577,0.00015499591,0.12290554493665695,60,-0.0030704511186437243,0.2,-0.5102300643920898,0.0001,-1.9441305637359618,0.0
,,,,210,,,7,0,3.088235294117647,897,-0.5057425147058823,0.6029411764705882,,,,,,,,,,
240,0.98,78,1.14,240,0,-0.028954612747766076,,,,,,,0.3279028296470642,0.0003611823,0.09983038902282715,70,-0.00573839107140266,0.2,-0.22630035877227783,0.0001,-1.9438366174697876,0.0
,,,,240,,,8,0,3.0779220779220777,1002,-0.5083565584415586,0.5974025974025974,,,,,,,,,,
270,0.98,87,1.16,270,0,-0.028674838542938234,,,,,,,0.16949744075536727,0.00036369762,0.05731518939137459,80,-0.0053563099240030885,0.2,0.019090890884399414,0.0001,-1.9421488285064696,0.0
,,,,270,,,9,0,3.127906976744186,1115,-0.518641976744186,0.5813953488372093,,,,,,,,,,
300,0.96,98,1.44,300,0,-0.051923009399324656,,,,,,,0.39795305728912356,0.00032215714,0.15158037841320038,90,-0.002983231551867682,0.2,-0.9858913421630859,0.0001,-1.9411142110824584,0.0
,,,,300,,,10,0,3.0721649484536084,1249,-0.5093543195876289,0.5876288659793815,,,,,,,,,,
330,0.96,107,1.32,330,0,-0.05052060842514038,,,,,,,0.2012802854180336,0.00017935237,0.06923461705446243,100,-0.0015588696926593926,0.2,-0.06038320064544678,0.0001,-1.9393733978271483,0.0
,,,,330,,,11,0,3.16,1357,-0.51633514,0.58,,,,,,,,,,
360,1.0,120,1.26,360,0,-0.011686146464198828,,,,,,,0.2610793963074684,0.00017706354,0.09112118184566498,110,-0.0019724738743388316,0.2,-0.18537092208862305,0.0001,-1.9376009821891784,0.0
,,,,360,,,12,0,3.05,1478,-0.48677982,0.6,,,,,,,,,,
390,0.96,131,1.28,390,0,-0.05298566235695034,,,,,,,0.17397746592760086,0.0003078083,0.0568222776055336,120,-0.003960669976659137,0.2,-0.17881906032562256,0.0001,-1.9357149243354796,0.0
,,,,390,,,13,0,2.95,1590,-0.44536468000000007,0.62,,,,,,,,,,
420,0.92,140,1.52,420,0,-0.07373251798562705,,,,,,,0.38787307441234586,0.00020039082,0.1315607875585556,130,-0.0011160958918967623,0.2,-0.43942904472351074,0.0001,-1.9344541311264039,0.0
,,,,420,,,14,0,3.01,1722,-0.45453283,0.6,,,,,,,,,,
450,0.92,148,1.5,450,0,-0.07859107721596956,,,,,,,0.2236527532339096,0.00023847222,0.07783134281635284,140,-0.003522880501695891,0.2,0.010467827320098877,0.0001,-1.9340351819992065,0.0
,,,,450,,,15,0,3.09,1859,-0.46504143,0.58,,,,,,,,,,
480,0.9,156,1.5,480,0,-0.11303914536722004,,,,,,,0.29606162905693056,0.00077946583,0.09860111027956009,150,-0.011416475009173154,0.2,-0.686447024345398,0.0001,-1.9298413872718811,0.0
,,,,480,,,16,0,3.04,1979,-0.46868153,0.59,,,,,,,,,,
