eval/mean_ep_length,env/n_steps,eval/success_rate,time/total_timesteps,env/current_idx,env/completion_counter,eval/mean_reward,time/fps,time/iterations,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance,train/approx_kl,train/loss,train/clip_range
2.06,30,0.76,30,11,0,-0.21121135516092182,,,,,,,,,,,,,,,,
,,,30,,,,0,1,0.7,-0.2882673,2.8,157,,,,,,,,,,
1.66,60,0.86,60,21,0,-0.13953547227662055,,,,,,,-1.9458277225494385,0.32758950144052507,-0.004350866148403654,0.0,0.0001,10,-0.13816165924072266,0.00016255378,0.08215649425983429,0.2
,,,60,,,,0,2,0.7,-0.34726329999999994,2.9,294,,,,,,,,,,
1.66,90,0.9,90,32,0,-0.11975946213118732,,,,,,,-1.9454496502876282,0.14156085550785064,-0.005262325822453206,0.0,0.0001,20,0.16725850105285645,0.000240014,0.03335840255022049,0.2
,,,90,,,,0,3,0.6774193548387096,-0.3222981290322581,2.838709677419355,430,,,,,,,,,,
1.76,120,0.86,120,45,0,-0.15973986629862338,,,,,,,-1.9446434259414673,0.32940429002046584,-0.0049901610298547895,0.0,0.0001,30,-1.09110426902771,0.00038087965,0.09617555141448975,0.2
,,,120,,,,0,4,0.7045454545454546,-0.3157888181818182,2.7045454545454546,569,,,,,,,,,,
1.52,150,0.92,150,55,0,-0.09736002925317734,,,,,,,-1.9433791399002076,0.3320132434368134,-0.0022814850210368222,0.0,0.0001,40,-0.5320676565170288,0.00021839142,0.11941394209861755,0.2
,,,150,,,,0,5,0.7037037037037037,-0.30587929629629634,2.7037037037037037,693,,,,,,,,,,
1.64,180,0.9,180,64,0,-0.11747979276813567,,,,,,,-1.9421982526779176,0.24020466804504395,-0.004151278595090879,0.0,0.0001,50,-0.11452722549438477,0.0002690673,0.0758926123380661,0.2
,,,180,,,,0,6,0.6666666666666666,-0.3454806031746032,2.8253968253968256,825,,,,,,,,,,
1.38,210,0.94,210,72,0,-0.07729657148942351,,,,,,,-1.940293550491333,0.26813742965459825,-0.002325549972350416,0.0,0.0001,60,0.16418009996414185,0.00018711487,0.08805431425571442,0.2
,,,210,,,,0,7,0.6619718309859155,-0.3636360422535211,2.943661971830986,961,,,,,,,,,,
1.52,240,0.92,240,85,0,-0.0996722253318876,,,,,,,-1.940836453437805,0.22645740509033202,-0.006577906354796159,0.0,0.0001,70,0.10007274150848389,0.00038958588,0.07702438533306122,0.2
,,,240,,,,0,8,0.6785714285714286,-0.3576518690476191,2.8452380952380953,1082,,,,,,,,,,
1.3,270,0.96,270,97,0,-0.031047537960112094,,,,,,,-1.9403127193450929,0.25037915259599686,-0.004652604666225635,0.0,0.0001,80,0.04848968982696533,0.00033682387,0.07912041246891022,0.2
