eval/mean_ep_length,time/total_timesteps,env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/iterations,time/time_elapsed,time/fps,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/loss,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss
1.66,30,30,0,12,-0.1352661123359576,0.86,,,,,,,,,,,,,,,,
,30,,,,,,1,160,0,0.7272727272727273,2.727272727272727,-0.3234191818181818,,,,,,,,,,
1.32,60,60,0,22,-0.051076666451990604,0.94,,,,,,,-0.8483009338378906,10,-0.007179926910903589,0.0,0.00026747584,0.15159456431865692,0.2,0.0001,0.871217542886734,-1.9458449125289916
,60,,,,,,2,272,0,0.7619047619047619,2.6666666666666665,-0.31056333333333336,,,,,,,,,,
1.44,90,90,0,32,-0.09526754627935588,0.92,,,,,,,-0.07255387306213379,20,-0.003237832404556684,0.0,0.00010803342,0.0787423774600029,0.2,0.0001,0.22094445079565048,-1.9456635117530823
,90,,,,,,3,391,0,0.7419354838709677,2.806451612903226,-0.34956690322580647,,,,,,,,,,
1.6,120,120,0,40,-0.11625194748863578,0.9,,,,,,,-0.33805155754089355,30,-0.004885171124866883,0.0,0.00021005273,0.08285229653120041,0.2,0.0001,0.24404893815517426,-1.9454219818115235
,120,,,,,,4,528,0,0.6666666666666666,3.0256410256410255,-0.4162700512820513,,,,,,,,,,
2.24,150,150,0,51,-0.29299235607963053,0.74,,,,,,,0.0007977485656738281,40,-0.0013895025011152029,0.0,0.00013808807,0.07273928076028824,0.2,0.0001,0.2687573105096817,-1.9448555707931519
,150,,,,,,5,684,0,0.68,2.92,-0.3708192,,,,,,,,,,
1.94,180,180,0,65,-0.16049176930449904,0.84,,,,,,,-0.399000883102417,50,-0.004646256198951449,0.0,0.00024038354,0.06892701983451843,0.2,0.0001,0.2314294084906578,-1.943932259082794
,180,,,,,,6,823,0,0.6875,2.8125,-0.369969078125,,,,,,,,,,
1.82,210,210,0,76,-0.19373877907171846,0.84,,,,,,,-0.3179827928543091,60,-0.006502154114811453,0.0,0.0005582353,0.10880377888679504,0.2,0.0001,0.3298209682106972,-1.9420390129089355
,210,,,,,,7,958,0,0.72,2.76,-0.3239176266666666,,,,,,,,,,
2.06,240,240,0,88,-0.2229385304171592,0.76,,,,,,,-0.8547055721282959,70,-0.0007023837172894787,0.0,0.00022973816,0.05516701564192772,0.2,0.0001,0.2018927127122879,-1.9394176483154297
,240,,,,,,8,1099,0,0.7241379310344828,2.735632183908046,-0.30877189655172416,,,,,,,,,,
