rollout/ep_rew_mean,rollout/ep_len_mean,env/completion_counter,time/fps,rollout/success_rate,time/total_timesteps,time/iterations,time/time_elapsed,env/current_idx,env/n_steps,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
-0.1657215714285714,2.0,0,0,0.8571428571428571,30,1,36,15,30,,,,,,,,,,,,,
-0.12770813888888888,1.6666666666666667,0,0,0.8611111111111112,60,2,72,37,60,0.0001,-1.9422464895248412,0.015294729,0.02000000059604645,0.031032019001431762,50,0.2,-0.0891694724559784,-0.06225442886352539,-0.041787391943546644,,,
-0.1457931090909091,1.6363636363636365,0,0,0.8545454545454545,90,3,107,56,90,0.0001,-1.925057601928711,0.016045753,0.10133333660662175,0.05003668292192742,100,0.2,-0.0966716930270195,-0.3143768310546875,-0.05328984253240442,,,
-0.10323086250000002,1.5,0,0,0.9,120,4,140,81,120,0.0001,-1.9124769425392152,0.012318603,0.07733333550393581,0.09567635512910783,150,0.2,-0.0830400362610817,-0.7636090517044067,-0.04073518446900803,,,
-0.08473088000000002,1.46,0,0,0.9,150,5,173,103,150,0.0001,-1.922989046573639,0.018257435,0.22733333617448806,0.019999577767448498,200,0.2,-0.12315857410430908,-882.3011474609375,-0.06802101673093297,,,
-0.0844271,1.41,0,0,0.9,180,6,209,121,180,0.0001,-1.9072780776023865,0.019477492,0.15133333645761013,0.004488657740294002,250,0.2,-0.12994681298732758,-69.24515533447266,-0.07175464686099438,,,
-0.07483586,1.46,0,0,0.89,210,7,246,139,210,0.0001,-1.9216172647476197,0.012292778,0.138666670396924,0.04907351402565837,300,0.2,-0.10970450192689896,0.03455299139022827,-0.05529601034584143,,,
-0.06328623,1.45,0,0,0.89,240,8,282,159,240,0.0001,-1.9110361003875733,0.024225313,0.19266667045652866,0.03455542830750346,350,0.2,-0.1223677545785904,-1.472559928894043,-0.07583599605713971,,,
-0.07424621,1.5,0,0,0.86,270,9,316,181,270,0.0001,-1.8968967604637146,0.019855846,0.1933333382755518,0.034702765699476,400,0.2,-0.1394408792257309,0.16835373640060425,-0.07846354967573038,,,
-0.08803973000000002,1.53,0,0,0.86,300,10,351,201,300,0.0001,-1.8358049964904786,0.021696186,0.2640000080317259,0.021677986783906818,450,0.2,-0.11692094802856445,-0.16220355033874512,-0.06928759046907848,,,
-0.09813282999999999,1.54,0,0,0.86,330,11,387,218,330,0.0001,-1.7982211327552795,0.023327408,0.2760000032931566,0.035683431562501935,500,0.2,-0.1262160688638687,-0.038797736167907715,-0.07847334288852295,,,
-0.08797636,1.47,0,0,0.89,360,12,424,241,360,0.0001,-1.7971018266677856,0.021531008,0.19466667138040067,0.055098903861362486,550,0.2,-0.1452065110206604,0.07896316051483154,-0.07672602972054543,,,
-0.08647504999999997,1.41,0,0,0.91,390,13,458,263,390,0.0001,-1.7203608846664429,0.031443134,0.3820000035315752,0.040408504270017145,600,0.2,-0.1401621252298355,-0.14487671852111816,-0.09457717028291271,,,
-0.10915720999999999,1.5,0,0,0.89,420,14,494,281,420,0.0001,-1.800355348587036,0.027984578,0.31000000454485416,0.03471031490538735,650,0.2,-0.1521008461713791,0.21175354719161987,-0.09396367318198699,,,
-0.08607535999999999,1.39,0,0,0.92,450,15,529,306,450,0.0001,-1.766274974346161,0.02933706,0.4613333377242088,0.058154860660433766,700,0.2,-0.14833393692970276,-0.38856327533721924,-0.10362593151008088,,,
-0.0740232,1.33,0,0,0.93,480,16,564,329,480,0.0001,-1.690555486679077,0.032214202,0.25200000435113906,0.01966320365667343,750,0.2,-0.12473524361848831,0.38732558488845825,-0.08369796170744422,,,
-0.0748283,1.33,0,0,0.93,510,17,598,354,510,0.0001,-1.6832103252410888,0.02935667,0.3060000056773424,0.012589334368240088,800,0.2,-0.13478435575962067,-10.868239402770996,-0.09084712190941595,,,
-0.07429108,1.28,0,0,0.94,540,18,634,377,540,0.0001,-1.6309824585914612,0.01702505,0.2760000049322844,0.03840899192728102,850,0.2,-0.11653789132833481,-0.03872025012969971,-0.07663976680704707,,,
-0.08337345000000002,1.29,0,0,0.93,570,19,674,398,570,0.0001,-1.6572592616081239,0.023141036,0.2713333394378424,0.06283350307494402,900,0.2,-0.14627605676651,0.0751500129699707,-0.08610485511956113,,,
-0.08395343999999998,1.33,0,0,0.92,600,20,715,419,600,0.0001,-1.6410508227348328,0.035643704,0.30066666901111605,0.04518343373201787,950,0.2,-0.1400527060031891,0.35568445920944214,-0.08601767223217756,,,
-0.09370300999999998,1.33,0,0,0.91,630,21,751,441,630,0.0001,-1.61016122341156,0.025755012,0.22466667383909225,0.031586267026141285,1000,0.2,-0.11855775117874146,-1.0949585437774658,-0.06760924527452637,,,
-0.08306669000000001,1.33,0,0,0.92,660,22,786,465,660,0.0001,-1.5601471090316772,0.031724837,0.31533334039151667,0.09463774806819857,1050,0.2,-0.14437368512153625,-0.054596781730651855,-0.08578183933118509,,,
-0.07326406000000002,1.35,0,0,0.93,690,23,820,489,690,0.0001,-1.6281979727745055,0.032012213,0.320666671693325,0.027376950453035533,1100,0.2,-0.1448836773633957,0.38938891887664795,-0.09506720713432877,,,
-0.06330073000000001,1.4,0,0,0.93,720,24,857,506,720,0.0001,-1.6949155807495118,0.036611304,0.4706666758656502,0.007742450997466221,1150,0.2,-0.14703314006328583,-386.0495300292969,-0.10323136106180027,,,
-0.07622497,1.41,0,0,0.92,750,25,890,526,750,0.0001,-1.7172431302070619,0.021954328,0.2586666730046272,0.04119504975154996,1200,0.2,-0.11912565678358078,-0.1787790060043335,-0.08090214211509253,,,
-0.06551542999999999,1.41,0,0,0.92,780,26,938,545,780,0.0001,-1.5329540872573852,0.04275479,0.33333334043622015,0.11044124171137809,1250,0.2,-0.14115135371685028,-0.47793543338775635,-0.09852210535295314,,,
-0.07622794,1.47,0,0,0.9,810,27,975,566,810,0.0001,-1.637232961654663,0.029770399,0.3300000085681677,0.05810890968888998,1300,0.2,-0.12532441318035126,-0.46029484272003174,-0.09264474157833806,,,
-0.09718712,1.5,0,0,0.88,840,28,1020,586,840,0.0001,-1.317779986858368,0.03179587,0.2713333373516798,0.0435994719248265,1350,0.2,-0.12764324247837067,-0.07067692279815674,-0.0821366366902366,,,
-0.08269677,1.43,0,0,0.9,870,29,1059,608,870,0.0001,-1.24427973985672,0.044236556,0.31866667076945304,0.03182668370660394,1400,0.2,-0.14531487226486206,0.5921381711959839,-0.09802512600490204,,,
-0.10303654999999999,1.47,0,0,0.89,900,30,1101,626,900,0.0001,-1.379168450832367,0.04256278,0.36466667637228967,0.026961565103847535,1450,0.2,-0.1247246116399765,-0.07831180095672607,-0.08188581054657697,,,
