env/n_steps,env/completion_counter,time/fps,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,env/current_idx,time/iterations,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
30,0,0,30,34,0.9130434782608695,1.3043478260869565,24,1,-0.10987665217391304,,,,,,,,,,,,,
60,0,0,60,69,0.9111111111111111,1.3333333333333333,46,2,-0.10746662222222224,0.11088196776807308,0.0001,0.2,0.03933333426713943,-0.0365756393719154,-1.9429880094528198,0.011416986,50,0.1772952675819397,-0.08003441989421844,,,
90,0,0,90,101,0.9090909090909091,1.3484848484848484,67,3,-0.09204287878787878,0.052521787339355794,0.0001,0.2,0.04400000147521496,-0.04258262041853836,-1.9338848638534545,0.010884853,100,0.08960378170013428,-0.0969594419002533,,,
120,0,0,120,134,0.9069767441860465,1.3953488372093024,87,4,-0.08555681395348838,0.02446560451760888,0.0001,0.2,0.1833333383500576,-0.060601167067186906,-1.929038281440735,0.011187047,150,-0.4386664628982544,-0.10442762076854706,,,
150,0,0,150,170,0.88,1.49,102,5,-0.11672105,0.02816632536472753,0.0001,0.2,0.10733333639800549,-0.05553635573642296,-1.9318142771720885,0.01361564,200,-0.13226830959320068,-0.10768532007932663,,,
180,0,0,180,203,0.86,1.56,121,6,-0.13457556,0.09484967116266489,0.0001,0.2,0.17333333678543567,-0.07175030778207776,-1.9213195323944092,0.020070018,250,-0.2761589288711548,-0.14151743054389954,,,
210,0,0,210,237,0.85,1.6,139,7,-0.13635091000000002,0.04432274436578155,0.0001,0.2,0.1900000038743019,-0.08499937469632521,-1.9281414675712585,0.021050362,300,0.08322834968566895,-0.15244202315807343,,,
240,0,0,240,272,0.86,1.56,162,8,-0.13576213,0.04942477453034371,0.0001,0.2,0.23266667157411575,-0.08153572519061467,-1.900904357433319,0.021033375,350,-0.03332412242889404,-0.13718146085739136,,,
270,0,0,270,306,0.85,1.57,181,9,-0.14633522000000004,0.05819607612909749,0.0001,0.2,0.2980000045150518,-0.09197090785279094,-1.8768692779541016,0.023171492,400,-0.18832898139953613,-0.15405185520648956,,,
300,0,0,300,341,0.85,1.54,201,10,-0.14568356,0.049456929848529396,0.0001,0.2,0.2800000062584877,-0.08142273868837703,-1.8371396589279174,0.017156778,450,-0.042667388916015625,-0.1370285600423813,,,
330,0,0,330,372,0.84,1.61,212,11,-0.15855253000000002,0.07684690727852285,0.0001,0.2,0.16000000298023223,-0.08118676168611273,-1.8235206246376037,0.022532757,500,-0.26057517528533936,-0.14546479284763336,,,
360,0,0,360,405,0.85,1.6,233,12,-0.12793021000000004,0.12144419116899371,0.0001,0.2,0.22066667042672633,-0.0794746357348437,-1.8190899610519409,0.021883745,550,-0.8957796096801758,-0.14912480115890503,,,
390,0,0,390,439,0.86,1.55,257,13,-0.12714740000000002,0.03405788850504905,0.0001,0.2,0.23733333706855775,-0.071411343417208,-1.7404111051559448,0.020489443,600,-6.423011779785156,-0.12558135390281677,,,
420,0,0,420,470,0.83,1.63,273,14,-0.13905742,0.06792895395308733,0.0001,0.2,0.15200000315904616,-0.06347702584960885,-1.695138394832611,0.015178775,650,-0.21812593936920166,-0.13226769864559174,,,
450,0,0,450,503,0.84,1.64,291,15,-0.13932793,0.03716001184191555,0.0001,0.2,0.24733333848416805,-0.08229189292065954,-1.7050771617889404,0.028284805,700,0.2565549612045288,-0.13886041939258575,,,
480,0,0,480,545,0.87,1.53,311,16,-0.10730959999999998,0.07976693825796247,0.0001,0.2,0.23733333833515644,-0.07936480892217272,-1.719082486629486,0.018690536,750,-0.20385539531707764,-0.13321790099143982,,,
510,0,0,510,578,0.86,1.56,328,17,-0.13719651000000002,0.06525052382145077,0.0001,0.2,0.30933333724737166,-0.08892918839099001,-1.7030100750923156,0.02250572,800,-0.12380492687225342,-0.1367769092321396,,,
540,0,0,540,613,0.84,1.66,345,18,-0.14835387,0.0811960742995143,0.0001,0.2,0.1626666694879532,-0.07156534459783384,-1.7304950737953186,0.017483072,850,-0.14722585678100586,-0.13864697515964508,,,
570,0,0,570,647,0.85,1.63,368,19,-0.14035963999999998,0.06345079954713582,0.0001,0.2,0.31266667015850547,-0.08438939923172196,-1.6831254935264588,0.026823355,900,-0.4387005567550659,-0.13392435014247894,,,
600,0,0,600,687,0.85,1.62,385,20,-0.13926508999999998,0.033715449562296274,0.0001,0.2,0.18933333829045296,-0.06248924225165199,-1.6500744819641113,0.013962086,950,-0.12294125556945801,-0.1090073511004448,,,
630,0,0,630,883,0.87,1.52,409,21,-0.11725392000000001,0.09655598612502217,0.0001,0.2,0.20333333656191827,-0.0808393868484612,-1.5968433213233948,0.018913629,1000,-0.023030400276184082,-0.144892156124115,,,
660,0,0,660,916,0.87,1.5,428,22,-0.11649395,0.027675991915166377,0.0001,0.2,0.2146666706353426,-0.07914655754591031,-1.5240258932113648,0.020623686,1050,0.2172136902809143,-0.12441521883010864,,,
690,0,0,690,953,0.9,1.44,448,23,-0.10611756000000001,0.07435069033876061,0.0001,0.2,0.2546666726469994,-0.08254976299203313,-1.5382209086418153,0.03395531,1100,0.2610088586807251,-0.1453496366739273,,,
720,0,0,720,988,0.88,1.51,467,24,-0.11425442000000001,0.022698985268361865,0.0001,0.2,0.23866667188704013,-0.08271775901069243,-1.5802811408042907,0.030407699,1150,0.049969375133514404,-0.12707413733005524,,,
750,0,0,750,1023,0.89,1.47,488,25,-0.11439321000000001,0.04503386943601072,0.0001,0.2,0.27000000737607477,-0.08441880879054468,-1.441442859172821,0.025364071,1200,0.24891406297683716,-0.1275915652513504,,,
780,0,0,780,1058,0.88,1.5,509,26,-0.12430025999999998,0.05850151638500392,0.0001,0.2,0.24866666905581952,-0.08201941586270309,-1.3599633121490478,0.027198141,1250,0.2848496437072754,-0.13959667086601257,,,
810,0,0,810,1093,0.9,1.45,531,27,-0.10361211000000001,0.08036562375724315,0.0001,0.2,0.33133333951234817,-0.08883166104547371,-1.3436235499382019,0.023621457,1300,-0.02823483943939209,-0.13218002021312714,,,
840,0,0,840,1129,0.88,1.49,546,28,-0.11518105000000001,0.04654655033256858,0.0001,0.2,0.33266667284071444,-0.09583632303603615,-1.407001132965088,0.032145534,1350,-0.8631411790847778,-0.14415250718593597,,,
