env/current_idx,eval/mean_reward,env/n_steps,eval/success_rate,env/completion_counter,time/total_timesteps,eval/mean_ep_length,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss
13,-0.05379011875484139,30,0.92,0,30,1.3,,,,,,,,,,,,,,,,
,,,,,30,,0,145,0.25,2.5,1,-0.7196394166666665,,,,,,,,,,
29,-0.02840386414900422,60,0.96,0,60,1.14,,,,,,,0.060315050184726715,0.2,5,0.0001,0.3251376748085022,-1.9458856105804443,0.0,0.19063966870307922,5.9644382e-05,-0.0035293984040620785
,,,,,60,,0,247,0.4642857142857143,2.142857142857143,2,-0.5597234285714285,,,,,,,,,,
45,-0.02977107523009181,90,0.92,0,90,1.24,,,,,,,0.08217648416757584,0.2,10,0.0001,0.3575083613395691,-1.9457620620727538,0.0,0.1881239503622055,4.566113e-05,-0.0018493517542570003
,,,,,90,,0,371,0.5,2.0454545454545454,3,-0.5348161818181818,,,,,,,,,,
59,-0.10978879078757017,120,0.9,0,120,1.26,,,,,,,0.1229664534330368,0.2,15,0.0001,-0.21856403350830078,-1.94556405544281,0.0,0.26868160367012023,2.2496779e-05,-0.0012278485317559706
,,,,,120,,0,478,0.5,2.0344827586206895,4,-0.514463103448276,,,,,,,,,,
75,-0.048130429643206296,150,0.94,0,150,1.12,,,,,,,0.166152223944664,0.2,20,0.0001,-0.4184976816177368,-1.9453460454940796,0.0,0.3574064791202545,2.0782152e-05,-0.0007951990720659552
,,,,,150,,0,578,0.5135135135135135,2.027027027027027,5,-0.4729712297297297,,,,,,,,,,
87,-0.04923742863815278,180,0.94,0,180,1.16,,,,,,,0.15412637591362,0.2,25,0.0001,-0.3955700397491455,-1.9453361749649047,0.0,0.3312812507152557,1.6784668e-05,-0.0009360066894444685
,,,,,180,,0,686,0.4883720930232558,2.0930232558139537,6,-0.4976174302325582,,,,,,,,,,
100,-0.1507167354831472,210,0.84,0,210,1.38,,,,,,,0.14141802489757538,0.2,30,0.0001,0.06948596239089966,-1.9453482151031494,0.0,0.3114354729652405,1.1285146e-05,-1.0066828108357128e-05
,,,,,210,,0,805,0.48484848484848486,2.111111111111111,7,-0.5062770101010101,,,,,,,,,,
