env/completion_counter,time/total_timesteps,eval/mean_reward,eval/success_rate,env/n_steps,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/fps,rollout/success_rate,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance,train/learning_rate,train/clip_range,train/n_updates,train/value_loss,train/clip_fraction,train/entropy_loss
0,30,-0.17337999451439828,0.78,30,16,1.56,,,,,,,,,,,,,,,,
,30,,,,,,-0.3925782666666667,0,0.6,1.9333333333333333,1,142,,,,,,,,,,
0,60,-0.21847922156564892,0.76,60,29,1.54,,,,,,,-0.001959388973967435,2.6480357e-05,0.39490896463394165,0.26603108644485474,0.0001,0.2,5,1.1665297031402588,0.0,-1.9458948135375977
,60,,,,,,-0.5057798571428571,0,0.5,2.142857142857143,2,261,,,,,,,,,,
0,90,-0.31761268817819654,0.7,90,42,1.62,,,,,,,-0.0015286811200581952,2.4420024e-05,0.34161925315856934,-0.3914823532104492,0.0001,0.2,10,0.9901562213897706,0.0,-1.9458516120910645
,90,,,,,,-0.5571394390243902,0,0.4634146341463415,2.1951219512195124,3,472,,,,,,,,,,
0,120,-0.06891421071253717,0.94,120,54,1.18,,,,,,,-0.0010446282324849676,2.0732483e-05,0.1799679398536682,-0.5647764205932617,0.0001,0.2,15,0.5506347775459289,0.0,-1.9457650899887085
,120,,,,,,-0.5397401698113208,0,0.4339622641509434,2.2452830188679247,4,572,,,,,,,,,,
0,150,-0.027604726389981807,0.96,150,66,1.1,,,,,,,-0.0014253390060426697,2.3533901e-05,0.119936004281044,-0.07421541213989258,0.0001,0.2,20,0.24575174748897552,0.0,-1.9456806659698487
,150,,,,,,-0.5637775076923077,0,0.4,2.3076923076923075,5,665,,,,,,,,,,
0,180,-0.09029553393367679,0.9,180,82,1.28,,,,,,,-0.0014333927864209172,3.573497e-05,0.11012974381446838,-0.2463322877883911,0.0001,0.2,25,0.24587925374507905,0.0,-1.9455544233322144
,180,,,,,,-0.5161490864197531,0,0.4567901234567901,2.2098765432098766,6,773,,,,,,,,,,
0,210,-0.11079473454505205,0.9,210,95,1.26,,,,,,,-0.00033442376981831503,2.4471681e-05,0.1468481570482254,-0.0018582344055175781,0.0001,0.2,30,0.3249274790287018,0.0,-1.9454144716262818
,210,,,,,,-0.541532414893617,0,0.44680851063829785,2.234042553191489,7,894,,,,,,,,,,
0,240,-0.15023743318393826,0.86,240,108,1.3,,,,,,,-0.0007265222059018583,1.2006362e-05,0.1605537384748459,-0.23814034461975098,0.0001,0.2,35,0.33271934390068053,0.0,-1.9453524112701417
,240,,,,,,-0.5826447399999999,0,0.41,2.29,8,1005,,,,,,,,,,
0,270,-0.1981856965366751,0.82,270,122,1.5,,,,,,,-0.0007777210107697385,1.7589331e-05,0.12245688587427139,-0.5330255031585693,0.0001,0.2,40,0.2746406555175781,0.0,-1.9452433109283447
,270,,,,,,-0.58122106,0,0.42,2.28,9,1120,,,,,,,,,,
0,300,-0.048916982682421804,0.96,300,134,1.2,,,,,,,-0.0014987409056629985,3.312826e-05,0.10125556588172913,-0.13501477241516113,0.0001,0.2,45,0.22783656120300294,0.0,-1.9451168060302735
,300,,,,,,-0.5618360699999999,0,0.42,2.27,10,1220,,,,,,,,,,
0,330,-0.1545525055937469,0.84,330,148,1.34,,,,,,,-0.00142477155430214,2.9102961e-05,0.15362612903118134,0.05508852005004883,0.0001,0.2,50,0.32503110766410825,0.0,-1.9448230504989623
,330,,,,,,-0.57907769,0,0.43,2.26,11,1334,,,,,,,,,,
0,360,-0.11223415865562857,0.88,360,161,1.28,,,,,,,-0.0011344178606910837,3.0030807e-05,0.12088998407125473,-0.2994281053543091,0.0001,0.2,55,0.26291699707508087,0.0,-1.944463038444519
,360,,,,,,-0.54833398,0,0.44,2.24,12,1449,,,,,,,,,,
0,390,-0.13448667047545315,0.88,390,173,1.3,,,,,,,-0.0004499320202254964,2.1855036e-05,0.17444875836372375,-0.3604038953781128,0.0001,0.2,60,0.3704405725002289,0.0,-1.9440048217773438
,390,,,,,,-0.59224029,0,0.43,2.28,13,1569,,,,,,,,,,
0,420,-0.09017500344663859,0.9,420,185,1.22,,,,,,,-0.0010256381980916275,1.9347668e-05,0.12547914683818817,-0.21044528484344482,0.0001,0.2,65,0.2644332706928253,0.0,-1.9438796758651733
,420,,,,,,-0.61182251,0,0.4,2.33,14,1684,,,,,,,,,,
0,450,-0.10927342711016536,0.9,450,200,1.24,,,,,,,-0.0014545293672321158,3.5808484e-05,0.1342931091785431,-0.4444761276245117,0.0001,0.2,70,0.2965930998325348,0.0,-1.9434135913848878
,450,,,,,,-0.58064529,0,0.42,2.31,15,1794,,,,,,,,,,
0,480,-0.13016598101705312,0.88,480,214,1.26,,,,,,,-0.0008208151718524182,3.5075347e-05,0.07521382719278336,0.2927780747413635,0.0001,0.2,75,0.1672012686729431,0.0,-1.9427235126495361
,480,,,,,,-0.56143694,0,0.45,2.26,16,1900,,,,,,,,,,
0,510,-0.11430587891489268,0.86,510,229,1.28,,,,,,,-0.003288460589634834,6.4973035e-05,0.11372993141412735,-0.058249473571777344,0.0001,0.2,80,0.2496864914894104,0.0,-1.942218255996704
,510,,,,,,-0.56941775,0,0.46,2.24,17,2007,,,,,,,,,,
0,540,-0.13062405245378614,0.86,540,246,1.3,,,,,,,-0.0009874113216451264,6.712476e-05,0.10503917187452316,0.034712255001068115,0.0001,0.2,85,0.22597332596778869,0.0,-1.9407493352890015
,540,,,,,,-0.4946562800000001,0,0.53,2.14,18,2118,,,,,,,,,,
0,570,-0.07056374402251095,0.9,570,262,1.3,,,,,,,-0.0017258242696215121,5.0173203e-05,0.11370130628347397,0.3404480218887329,0.0001,0.2,90,0.25998572409152987,0.0,-1.9397744178771972
,570,,,,,,-0.45920358,0,0.57,2.07,19,2226,,,,,,,,,,
0,600,-0.02792089627124369,0.98,600,275,1.12,,,,,,,-0.00213166263342508,5.8241687e-05,0.12004183977842331,-0.09048140048980713,0.0001,0.2,95,0.2649698734283447,0.0,-1.9382019281387328
,600,,,,,,-0.4304961200000001,0,0.58,2.02,20,2334,,,,,,,,,,
0,630,-0.03251043020281941,0.94,630,291,1.24,,,,,,,-0.002033202693176861,8.983016e-05,0.13469989597797394,0.18970775604248047,0.0001,0.2,100,0.2835496664047241,0.0,-1.937123417854309
,630,,,,,,-0.39588820999999996,0,0.59,1.97,21,2439,,,,,,,,,,
0,660,-0.11363007385283709,0.9,660,303,1.26,,,,,,,-0.0038204518565908784,0.00018282334,0.09813783317804337,-0.023487448692321777,0.0001,0.2,105,0.22205707430839539,0.0,-1.9347979784011842
,660,,,,,,-0.42550807000000007,0,0.56,2.01,22,2557,,,,,,,,,,
0,690,-0.13021668645553292,0.88,690,317,1.24,,,,,,,-0.0001861979500002775,4.2633215e-05,0.1281351000070572,-0.5611299276351929,0.0001,0.2,110,0.3061822593212128,0.0,-1.932450294494629
,690,,,,,,-0.4163197900000001,0,0.57,2.01,23,2665,,,,,,,,,,
0,720,-0.15278054938651622,0.86,720,329,1.32,,,,,,,-0.005652210395783186,0.0001464208,0.1323537528514862,-0.21708893775939941,0.0001,0.2,115,0.29325940608978274,0.0,-1.9296791553497314
,720,,,,,,-0.45767727,0,0.51,2.1,24,2800,,,,,,,,,,
0,750,-0.08989764834288508,0.9,750,344,1.24,,,,,,,4.339297433038069e-05,6.521543e-05,0.08850551396608353,-0.08965897560119629,0.0001,0.2,120,0.19315385520458223,0.0,-1.9257293224334717
,750,,,,,,-0.50220144,0,0.47,2.13,25,2923,,,,,,,,,,
0,780,-0.1105475006531924,0.88,780,360,1.34,,,,,,,-0.003379324884153867,9.8822515e-05,0.05919681489467621,0.41346269845962524,0.0001,0.2,125,0.13729655146598815,0.0,-1.9240951776504516
,780,,,,,,-0.49473118000000005,0,0.48,2.13,26,3032,,,,,,,,,,
0,810,-0.13232514508534224,0.86,810,372,1.3,,,,,,,-0.0011692460463379462,0.00011631648,0.14114469289779663,0.2673211097717285,0.0001,0.2,130,0.3293882250785828,0.0,-1.92125244140625
,810,,,,,,-0.54107839,0,0.45,2.19,27,3139,,,,,,,,,,
0,840,-0.00919110030401498,0.96,840,386,1.2,,,,,,,-0.002785101323388517,9.56734e-05,0.14462584257125854,-0.6312774419784546,0.0001,0.2,135,0.30042659640312197,0.0,-1.918644165992737
,840,,,,,,-0.55248027,0,0.46,2.18,28,3243,,,,,,,,,,
0,870,-0.07177541523706168,0.92,870,400,1.26,,,,,,,-0.003553413012996032,0.00016124248,0.09066443145275116,-0.08484899997711182,0.0001,0.2,140,0.20925924479961394,0.0,-1.914134931564331
,870,,,,,,-0.5247299500000001,0,0.49,2.14,29,3356,,,,,,,,,,
0,900,-0.04787811189889908,0.96,900,413,1.12,,,,,,,-0.0034217262640595437,0.00023167928,0.1257769912481308,-0.15786921977996826,0.0001,0.2,145,0.2753142237663269,0.0,-1.907698917388916
,900,,,,,,-0.5027233400000001,0,0.48,2.17,30,3457,,,,,,,,,,
0,930,-0.13319728867616504,0.86,930,429,1.3,,,,,,,-0.004918855031331049,0.00025135875,0.11121544241905212,-0.17162060737609863,0.0001,0.2,150,0.25338215827941896,0.0,-1.9005246877670288
,930,,,,,,-0.48601771000000005,0,0.52,2.1,31,3572,,,,,,,,,,
0,960,-0.08991456388961523,0.9,960,440,1.26,,,,,,,-0.004170003655987564,0.00029551983,0.11484099179506302,-0.04058992862701416,0.0001,0.2,155,0.2581505239009857,0.0,-1.8921926975250245
,960,,,,,,-0.48825604,0,0.5,2.15,32,3687,,,,,,,,,,
0,990,-0.04904793365858495,0.94,990,453,1.16,,,,,,,-0.0029598403070121293,0.0002853334,0.07642802596092224,0.19905585050582886,0.0001,0.2,160,0.1779686242341995,0.0,-1.8831231832504272
,990,,,,,,-0.5353515,0,0.46,2.22,33,3790,,,,,,,,,,
0,1020,-0.09082434978801757,0.92,1020,469,1.18,,,,,,,-0.007765328412254746,0.00038683813,0.09279802441596985,-0.1560899019241333,0.0001,0.2,165,0.23833307325839997,0.0,-1.8696738481521606
,1020,,,,,,-0.47731239999999997,0,0.5,2.14,34,3897,,,,,,,,,,
0,1050,-0.08939967363607139,0.9,1050,486,1.24,,,,,,,-0.002707889250790174,0.00024229487,0.13896825909614563,0.006822645664215088,0.0001,0.2,170,0.2949555516242981,0.0,-1.855432915687561
,1050,,,,,,-0.46010754,0,0.52,2.1,35,4116,,,,,,,,,,
0,1080,-0.07039614845532924,0.9,1080,501,1.24,,,,,,,-0.009031264291455265,0.00033929944,0.08202983438968658,0.19176644086837769,0.0001,0.2,175,0.2133551597595215,0.0,-1.844638705253601
,1080,,,,,,-0.45103831,0,0.54,2.08,36,4238,,,,,,,,,,
0,1110,-0.04797431283164769,0.94,1110,513,1.18,,,,,,,-0.008514417726546509,0.00042535464,0.06567785888910294,0.3541949987411499,0.0001,0.2,180,0.1736588031053543,0.0,-1.8262091398239135
,1110,,,,,,-0.48481093000000003,0,0.52,2.1,37,4353,,,,,,,,,,
0,1140,-0.09256196551956236,0.88,1140,526,1.32,,,,,,,-0.005099850840245779,0.0003250758,0.11120056360960007,-0.28195178508758545,0.0001,0.2,185,0.2516423583030701,0.0,-1.8065125226974488
,1140,,,,,,-0.5087246,0,0.49,2.16,38,4479,,,,,,,,,,
0,1170,-0.08825012900866568,0.92,1170,541,1.16,,,,,,,-0.005489349896088314,0.00036395987,0.15171870589256287,-0.37292909622192383,0.0001,0.2,190,0.3448728144168854,0.0,-1.785611867904663
,1170,,,,,,-0.47171209000000003,0,0.52,2.08,39,4599,,,,,,,,,,
0,1200,-0.06853723064996302,0.94,1200,555,1.18,,,,,,,-0.00016532540495965974,0.00018065174,0.08975277096033096,0.04824721813201904,0.0001,0.2,195,0.19514745771884917,0.0,-1.7708025217056274
,1200,,,,,,-0.45222612999999995,0,0.53,2.08,40,4713,,,,,,,,,,
0,1230,-0.06939292731694877,0.92,1230,572,1.24,,,,,,,-0.002584245204925395,0.00015497804,0.15069684386253357,-0.24960577487945557,0.0001,0.2,200,0.32877583503723146,0.0,-1.7558740854263306
,1230,,,,,,-0.45922043999999995,0,0.54,2.05,41,4812,,,,,,,,,,
0,1260,-0.06893565529491752,0.92,1260,587,1.2,,,,,,,-0.0019274501075656758,0.00015987158,0.07404149323701859,0.35158270597457886,0.0001,0.2,205,0.16100896000862122,0.0,-1.7412735223770142
,1260,,,,,,-0.48155347,0,0.52,2.09,42,4918,,,,,,,,,,
0,1290,-0.04786579521372914,0.94,1290,603,1.16,,,,,,,-0.0005811460742068064,0.000110298395,0.11214978992938995,0.21436864137649536,0.0001,0.2,210,0.24309255480766295,0.0,-1.7298161029815673
,1290,,,,,,-0.44660776999999996,0,0.54,2.03,43,5021,,,,,,,,,,
0,1320,-0.1301619866443798,0.88,1320,619,1.28,,,,,,,-0.0032403350264454287,0.00020720363,0.08300066739320755,0.22949624061584473,0.0001,0.2,215,0.18578244745731354,0.0,-1.718683624267578
,1320,,,,,,-0.41144306999999997,0,0.59,1.96,44,5145,,,,,,,,,,
0,1350,-0.07018041024915873,0.88,1350,635,1.28,,,,,,,-0.002306499911161097,0.00019784173,0.092486172914505,0.15196329355239868,0.0001,0.2,220,0.2059630960226059,0.0,-1.710335946083069
,1350,,,,,,-0.41581224,0,0.59,1.96,45,5259,,,,,,,,,,
0,1380,-0.07374247401952744,0.92,1380,648,1.24,,,,,,,-0.00469247384307252,0.0002517442,0.1063036173582077,-0.003735184669494629,0.0001,0.2,225,0.23970752954483032,0.0,-1.691200280189514
,1380,,,,,,-0.4187105199999999,0,0.61,1.91,46,5365,,,,,,,,,,
0,1410,-0.17184935471042992,0.84,1410,663,1.38,,,,,,,-0.0032336874399334194,0.00031122367,0.1217869222164154,-0.1532362699508667,0.0001,0.2,230,0.2748196005821228,0.0,-1.6732274770736695
,1410,,,,,,-0.40552862999999995,0,0.61,1.96,47,5487,,,,,,,,,,
0,1440,-0.09080835181754082,0.86,1440,681,1.3,,,,,,,-0.00469302243242673,0.00021219651,0.11168622225522995,0.026114583015441895,0.0001,0.2,235,0.2444092184305191,0.0,-1.6552709579467773
,1440,,,,,,-0.37683753,0,0.63,1.9,48,5603,,,,,,,,,,
0,1470,-0.09631932279095054,0.88,1470,697,1.28,,,,,,,-0.004739944934844686,0.00036053656,0.1080608144402504,0.05102074146270752,0.0001,0.2,240,0.24339521527290345,0.0,-1.6346803426742553
,1470,,,,,,-0.34592449999999997,0,0.64,1.92,49,5721,,,,,,,,,,
0,1500,-0.09004563893657178,0.9,1500,717,1.24,,,,,,,-0.0007934816693886404,0.0002667407,0.13810379803180695,-0.34887588024139404,0.0001,0.2,245,0.3125018298625946,0.0,-1.6137373447418213
,1500,,,,,,-0.30550468,0,0.69,1.84,50,5835,,,,,,,,,,
0,1530,-0.028150059944018722,0.98,1530,733,1.1,,,,,,,-0.002286068537893726,0.00020844142,0.08861102908849716,0.050184547901153564,0.0001,0.2,250,0.19961496889591218,0.0,-1.5953271389007568
,1530,,,,,,-0.3048634,0,0.69,1.83,51,5941,,,,,,,,,,
0,1560,-0.09114998273551464,0.88,1560,752,1.28,,,,,,,-0.0070410894633582185,0.00026356976,0.15466898679733276,0.199008047580719,0.0001,0.2,255,0.33538295030593873,0.0,-1.567065954208374
,1560,,,,,,-0.24687805000000004,0,0.74,1.73,52,6058,,,,,,,,,,
0,1590,-0.08988065053708852,0.88,1590,765,1.26,,,,,,,-0.0038629842487474695,0.00031422178,0.0892852395772934,0.0350765585899353,0.0001,0.2,260,0.205584716796875,0.0,-1.5428505182266234
,1590,,,,,,-0.26750938,0,0.71,1.76,53,6178,,,,,,,,,,
0,1620,-0.13081659846007823,0.88,1620,784,1.3,,,,,,,0.00047289649024619964,0.00015406807,0.1102847084403038,0.1683669090270996,0.0001,0.2,265,0.24541999399662018,0.0,-1.5195778369903565
,1620,,,,,,-0.25446915000000003,0,0.72,1.74,54,6292,,,,,,,,,,
0,1650,-0.10990386306773871,0.88,1650,798,1.28,,,,,,,-0.002339514452032887,0.00011707942,0.07437139004468918,0.22101926803588867,0.0001,0.2,270,0.15470369458198546,0.0,-1.5018818616867065
,1650,,,,,,-0.29458665,0,0.7,1.77,55,6411,,,,,,,,,,
0,1680,-0.09026979314163328,0.88,1680,813,1.28,,,,,,,-0.0034426307352259044,0.00018608173,0.12299999594688416,-0.19265365600585938,0.0001,0.2,275,0.270894980430603,0.0,-1.4805264472961426
,1680,,,,,,-0.33950394,0,0.64,1.84,56,6536,,,,,,,,,,
0,1710,-0.049466623696498575,0.9,1710,831,1.24,,,,,,,-0.006862153839320229,0.00036253332,0.08726831525564194,0.014742612838745117,0.0001,0.2,280,0.21219274401664734,0.0,-1.4584697008132934
,1710,,,,,,-0.32133275000000006,0,0.64,1.84,57,6650,,,,,,,,,,
0,1740,-0.07426326763816178,0.92,1740,846,1.2,,,,,,,0.001945087718777394,8.0086786e-05,0.13858798146247864,-0.09108829498291016,0.0001,0.2,285,0.27828057408332824,0.0,-1.4320513725280761
