env/current_idx,eval/mean_ep_length,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,eval/success_rate,rollout/ep_rew_mean,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss
15,1.36,0,30,-0.15281566626392304,30,0.86,,,,,,,,,,,,,,,,
,,,30,,,,-0.4059818571428571,0.5,1,2.0714285714285716,132,0,,,,,,,,,,
29,1.3,0,60,-0.11095807530917227,60,0.86,,,,,,,0.2,-1.9458804607391358,0.2686514616012573,0.0,3.3209722e-05,-0.3813445568084717,0.0001,-0.0023434795377154315,5,0.10241381824016571
,,,60,,,,-0.47124964285714294,0.5,2,2.142857142857143,241,0,,,,,,,,,,
40,1.44,0,90,-0.15426542211323976,90,0.82,,,,,,,0.2,-1.9458272218704225,0.18897376358509063,0.0,5.9823196e-06,0.1668451428413391,0.0001,-0.00033489227760590267,10,0.07767574489116669
,,,90,,,,-0.6001137692307693,0.41025641025641024,3,2.282051282051282,360,0,,,,,,,,,,
53,1.14,0,120,-0.028926481371745468,120,0.96,,,,,,,0.2,-1.9458223819732665,0.2503297030925751,0.0,7.480383e-06,-1.2188985347747803,0.0001,-0.00027304490727448895,15,0.092267245054245
,,,120,,,,-0.5567251346153845,0.40384615384615385,4,2.3076923076923075,456,0,,,,,,,,,,
67,1.28,0,150,-0.07163302910514176,150,0.88,,,,,,,0.2,-1.945794153213501,0.3483896791934967,0.0,1.134475e-06,0.16633009910583496,0.0001,-0.00010327140261594537,20,0.17770107090473175
,,,150,,,,-0.5272563636363636,0.4393939393939394,5,2.257575757575758,564,0,,,,,,,,,,
80,1.4,0,180,-0.15508390631061048,180,0.84,,,,,,,0.2,-1.9457879781723022,0.3668273091316223,0.0,2.3206076e-06,-0.29500317573547363,0.0001,-0.0004972073446456449,25,0.1608913540840149
,,,180,,,,-0.4960668354430379,0.4430379746835443,6,2.2658227848101267,687,0,,,,,,,,,,
94,1.3,0,210,-0.09165109280496836,210,0.88,,,,,,,0.2,-1.9457551002502442,0.40115049481391907,0.0,3.139178e-06,-0.9197338819503784,0.0001,-0.0005374908517115529,30,0.1782192438840866
,,,210,,,,-0.5078017204301075,0.45161290322580644,7,2.2580645161290325,801,0,,,,,,,,,,
109,1.32,0,240,-0.1116196723934263,240,0.9,,,,,,,0.2,-1.9457204580307006,0.20583927631378174,0.0,6.8287054e-06,0.12941372394561768,0.0001,-0.000783486359481067,35,0.09583303332328796
,,,240,,,,-0.5168063199999999,0.45,8,2.26,919,0,,,,,,,,,,
122,1.34,0,270,-0.11567895952146501,270,0.86,,,,,,,0.2,-1.9456764698028564,0.28331223130226135,0.0,9.804964e-06,-0.10889923572540283,0.0001,-0.000747079830034636,40,0.12709146738052368
,,,270,,,,-0.5068223399999999,0.46,9,2.24,1028,0,,,,,,,,,,
139,1.2,0,300,-0.08813723939005286,300,0.9,,,,,,,0.2,-1.945667839050293,0.23193590342998505,0.0,1.660188e-05,-0.03689563274383545,0.0001,-0.0012812151627924705,45,0.1068582609295845
,,,300,,,,-0.43778290000000003,0.51,10,2.14,1134,0,,,,,,,,,,
154,1.46,0,330,-0.19360997893847526,330,0.82,,,,,,,0.2,-1.9456449270248413,0.3115967094898224,0.0,1.628399e-05,-0.2887071371078491,0.0001,-0.0005898173665627837,50,0.14723573625087738
,,,330,,,,-0.4426170899999999,0.53,11,2.08,1249,0,,,,,,,,,,
166,1.56,0,360,-0.1347952220775187,360,0.74,,,,,,,0.2,-1.945502471923828,0.2925094783306122,0.0,1.9824505e-05,-0.18877243995666504,0.0001,-0.0013263098495858827,55,0.13522830605506897
,,,360,,,,-0.46477237000000005,0.51,12,2.11,1380,0,,,,,,,,,,
179,1.16,0,390,-0.06872517116833478,390,0.94,,,,,,,0.2,-1.9453157424926757,0.136159685254097,0.0,2.9414892e-05,0.3222562074661255,0.0001,-0.0016539267221624243,60,0.060574401170015335
,,,390,,,,-0.4800428200000001,0.5,13,2.13,1492,0,,,,,,,,,,
193,1.1,0,420,-0.027734171678312124,420,0.98,,,,,,,0.2,-1.944937252998352,0.34868253469467164,0.0,2.7414162e-05,-0.29194962978363037,0.0001,-0.0007097168907057138,65,0.15968674421310425
,,,420,,,,-0.4804670900000001,0.49,14,2.13,1595,0,,,,,,,,,,
206,1.4,0,450,-0.15291743281763048,450,0.84,,,,,,,0.2,-1.944619393348694,0.2805780827999115,0.0,3.5895904e-05,-0.1749873161315918,0.0001,-0.002341922163808263,70,0.12870155274868011
,,,450,,,,-0.51211604,0.47,15,2.16,1716,0,,,,,,,,,,
218,1.2,0,480,-0.06880623022094369,480,0.92,,,,,,,0.2,-1.944051694869995,0.4019624173641205,0.0,2.8930108e-05,-0.11985182762145996,0.0001,-9.221950863640416e-05,75,0.17694875597953796
,,,480,,,,-0.53780394,0.46,16,2.2,1818,0,,,,,,,,,,
234,1.38,0,510,-0.17345975009724499,510,0.84,,,,,,,0.2,-1.943260407447815,0.15758719444274902,0.0,2.5763115e-05,0.27227073907852173,0.0001,-0.0009626080322778563,80,0.07247443497180939
,,,510,,,,-0.56010899,0.45,17,2.22,1929,0,,,,,,,,,,
249,1.16,0,540,-0.049029200272634625,540,0.94,,,,,,,0.2,-1.9429247617721557,0.19489796459674835,0.0,4.7791003e-05,0.2192583680152893,0.0001,-0.0027962316495056426,85,0.08847815543413162
,,,540,,,,-0.5276991099999999,0.47,18,2.22,2044,0,,,,,,,,,,
260,1.1,0,570,-0.047074034912511706,570,0.96,,,,,,,0.2,-1.942111897468567,0.35273855924606323,0.0,9.1975926e-05,-0.18125057220458984,0.0001,-0.002828828656735993,90,0.1552714705467224
,,,570,,,,-0.5542978,0.45,19,2.25,2161,0,,,,,,,,,,
