env/current_idx,eval/mean_reward,time/total_timesteps,eval/mean_ep_length,env/n_steps,eval/success_rate,env/completion_counter,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,train/approx_kl,train/value_loss,train/learning_rate,train/loss,train/clip_fraction,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_range
11,-0.16421566059347242,30,1.68,30,0.84,0,,,,,,,,,,,,,,,,
,,30,,,,,2.9,-0.3185653,1,0,145,0.6,,,,,,,,,,
19,-0.056116311424411834,60,1.48,60,0.94,0,,,,,,,5.7204565e-05,0.4539368450641632,0.0001,0.1711723506450653,0.0,5,-1.903641700744629,-0.0030019201881562375,-1.9458887577056885,0.2
,,60,,,,,3.111111111111111,-0.47162416666666673,2,0,300,0.5555555555555556,,,,,,,,,,
29,-0.10020314870867879,90,1.5,90,0.9,0,,,,,,,3.417333e-05,0.2929945707321167,0.0001,0.12282148748636246,0.0,10,-0.4212048053741455,-0.0011725115861430878,-1.9457807540893555,0.2
,,90,,,,,3.2142857142857144,-0.4835976785714285,3,0,422,0.5714285714285714,,,,,,,,,,
37,-0.055229489924386144,120,1.4,120,0.96,0,,,,,,,2.7090311e-05,0.2972723782062531,0.0001,0.13519282639026642,0.0,15,-0.20218944549560547,-0.0013933090578453823,-1.9456681489944458,0.2
,,120,,,,,3.2222222222222223,-0.5051314166666665,4,0,541,0.5555555555555556,,,,,,,,,,
48,-0.07620548989158124,150,1.52,150,0.92,0,,,,,,,2.2951763e-05,0.20128075778484344,0.0001,0.08759935200214386,0.0,20,-0.26904284954071045,-0.0018467607023193722,-1.9455261468887328,0.2
,,150,,,,,3.1702127659574466,-0.48526934042553194,5,0,666,0.5531914893617021,,,,,,,,,,
58,-0.027550474172458053,180,1.12,180,0.98,0,,,,,,,3.6638976e-05,0.1758180856704712,0.0001,0.07505001127719879,0.0,25,0.20680248737335205,-0.001567364177511621,-1.9452943086624146,0.2
,,180,,,,,3.1228070175438596,-0.45446659649122806,6,0,774,0.5614035087719298,,,,,,,,,,
71,-0.027868337775580586,210,1.1,210,0.98,0,,,,,,,3.961722e-05,0.20213359594345093,0.0001,0.08951549232006073,0.0,30,0.3194407820701599,-0.0004087444166849252,-1.9448410749435425,0.2
,,210,,,,,2.9571428571428573,-0.4218950428571427,7,0,876,0.6142857142857143,,,,,,,,,,
86,-0.11582986583001911,240,1.64,240,0.86,0,,,,,,,3.29415e-05,0.3979365587234497,0.0001,0.187794491648674,0.0,35,-0.11444592475891113,-0.002007398186251663,-1.9444053173065186,0.2
,,240,,,,,2.823529411764706,-0.38185568235294115,8,0,1023,0.6588235294117647,,,,,,,,,,
93,-0.03531073446851224,270,1.42,270,0.96,0,,,,,,,6.217162e-05,0.2445665955543518,0.0001,0.10697857290506363,0.0,40,-0.013383984565734863,-0.0029120773232232723,-1.9436142683029174,0.2
,,270,,,,,2.902173913043478,-0.38624877173913047,9,0,1143,0.6413043478260869,,,,,,,,,,
101,-0.02929423618596047,300,1.24,300,0.96,0,,,,,,,6.061991e-05,0.2609086811542511,0.0001,0.11868149042129517,0.0,45,-0.154413104057312,-0.00015730261706856652,-1.94244065284729,0.2
