eval/mean_ep_length,eval/success_rate,eval/mean_reward,env/completion_counter,env/current_idx,time/total_timesteps,env/n_steps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/n_updates,train/clip_range,train/entropy_loss
1.46,0.92,-0.09325877202209085,0,10,30,30,,,,,,,,,,,,,,,,
,,,,,30,,1,-0.5702623333333333,3.0,0.5555555555555556,153,0,,,,,,,,,,
1.38,0.92,-0.09121506447903811,0,19,60,60,,,,,,,-0.0025400400316961226,-0.33523809909820557,3.249049e-05,0.0001,0.0,1.0567838907241822,0.3590632379055023,5,0.2,-1.9458719730377196
,,,,,60,,2,-0.49360966666666667,3.111111111111111,0.6111111111111112,287,0,,,,,,,,,,
1.24,0.96,-0.05291137762367725,0,29,90,90,,,,,,,-0.0023886965898171296,0.08111172914505005,3.624956e-05,0.0001,0.0,0.23994593024253846,0.07807958871126175,10,0.2,-1.9457720994949341
,,,,,90,,3,-0.41518442857142857,3.107142857142857,0.6071428571428571,400,0,,,,,,,,,,
1.38,0.94,-0.07486592193134128,0,40,120,120,,,,,,,-0.0014298065511198388,-0.6185896396636963,2.6651223e-05,0.0001,0.0,0.3822010815143585,0.18552656471729279,15,0.2,-1.9456245183944703
,,,,,120,,4,-0.44519579487179484,3.0256410256410255,0.5897435897435898,516,0,,,,,,,,,,
1.48,0.92,-0.09665290891658515,0,50,150,150,,,,,,,-0.000721486413579786,-0.4000955820083618,2.1133821e-05,0.0001,0.0,0.2504293411970139,0.10960742831230164,20,0.2,-1.9454105854034425
,,,,,150,,5,-0.4415732448979592,3.0408163265306123,0.5918367346938775,642,0,,,,,,,,,,
1.38,0.94,-0.07509787090588362,0,60,180,180,,,,,,,-0.0005429571938780243,-0.5648170709609985,1.5644233e-05,0.0001,0.0,0.411343514919281,0.19312869012355804,25,0.2,-1.945246124267578
,,,,,180,,6,-0.4016757457627118,3.016949152542373,0.6440677966101694,752,0,,,,,,,,,,
1.4,0.92,-0.07227821310516447,0,70,210,210,,,,,,,-0.0008644918278633895,-0.07133269309997559,1.9713243e-05,0.0001,0.0,0.38260846138000487,0.16217367351055145,30,0.2,-1.9450420141220093
,,,,,210,,7,-0.4247865072463768,3.028985507246377,0.6376811594202898,876,0,,,,,,,,,,
1.5,0.92,-0.10400082596112042,0,82,240,240,,,,,,,-0.001393870116832474,0.4435390830039978,3.1244756e-05,0.0001,0.0,0.1549457460641861,0.06401096284389496,35,0.2,-1.9449681520462037
,,,,,240,,8,-0.4054932592592593,2.962962962962963,0.654320987654321,1000,0,,,,,,,,,,
1.22,0.96,-0.04909543302841485,0,92,270,270,,,,,,,-0.0006393277563617516,0.3339177370071411,2.2838512e-05,0.0001,0.0,0.180009725689888,0.08207152783870697,40,0.2,-1.9446322441101074
,,,,,270,,9,-0.42082874725274727,2.967032967032967,0.6483516483516484,1107,0,,,,,,,,,,
1.5,0.9,-0.11296373715624214,0,99,300,300,,,,,,,-0.0005018474555498643,-0.3741872310638428,2.3017326e-05,0.0001,0.0,0.4163307785987854,0.18637052178382874,45,0.2,-1.9442709922790526
,,,,,300,,10,-0.4429072142857142,3.0510204081632653,0.6326530612244898,1234,0,,,,,,,,,,
1.32,0.94,-0.07106419029645622,0,106,330,330,,,,,,,-0.0010942230509435546,-0.0841062068939209,2.8606255e-05,0.0001,0.0,0.2328518271446228,0.10381118208169937,50,0.2,-1.9438923120498657
,,,,,330,,11,-0.45312885999999997,3.16,0.62,1348,0,,,,,,,,,,
1.34,0.94,-0.0734399062115699,0,117,360,360,,,,,,,-0.0019423174726155069,-0.9833979606628418,5.6030352e-05,0.0001,0.0,0.32087265849113467,0.14441266655921936,55,0.2,-1.9435087203979493
,,,,,360,,12,-0.45628884999999997,3.09,0.62,1461,0,,,,,,,,,,
1.26,0.96,-0.00966230480466038,0,127,390,390,,,,,,,-0.0016238788429957297,-0.3384486436843872,6.100138e-05,0.0001,0.0,0.3483144104480743,0.15533947944641113,60,0.2,-1.9427220106124878
,,,,,390,,13,-0.47215676,3.1,0.62,1582,0,,,,,,,,,,
1.22,0.98,-0.03409448554739356,0,134,420,420,,,,,,,-0.0007636467712778483,-0.016115665435791016,4.623135e-05,0.0001,0.0,0.28087941408157346,0.11606892198324203,65,0.2,-1.9415127038955688
,,,,,420,,14,-0.48442373000000005,3.18,0.61,1692,0,,,,,,,,,,
1.32,0.96,-0.03874448040034622,0,143,450,450,,,,,,,-0.0009553909600558796,-0.16912662982940674,4.9302977e-05,0.0001,0.0,0.22687358558177947,0.10609016567468643,70,0.2,-1.9404238224029542
,,,,,450,,15,-0.48949104,3.21,0.61,1798,0,,,,,,,,,,
1.56,0.88,-0.14174504559487106,0,153,480,480,,,,,,,-0.0010592738826137094,-0.3609349727630615,2.7783712e-05,0.0001,0.0,0.31997674107551577,0.14177721738815308,75,0.2,-1.9395119428634644
,,,,,480,,16,-0.4975554000000001,3.19,0.61,1926,0,,,,,,,,,,
1.46,0.94,-0.07614600888919085,0,162,510,510,,,,,,,-0.002821869435720181,-0.7717273235321045,8.126299e-05,0.0001,0.0,0.4432223975658417,0.2100144326686859,80,0.2,-1.9382805585861207
,,,,,510,,17,-0.52778758,3.26,0.57,2059,0,,,,,,,,,,
1.3,0.94,-0.04999412167817354,0,172,540,540,,,,,,,-0.002559642737420731,-0.17571401596069336,0.000105901556,0.0001,0.0,0.16092117726802826,0.06975981593132019,85,0.2,-1.9355616092681884
