env/current_idx,eval/mean_ep_length,env/completion_counter,env/n_steps,eval/success_rate,eval/mean_reward,time/total_timesteps,time/iterations,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/n_updates,train/learning_rate
12,1.64,0,30,0.86,-0.16946904258336873,30,,,,,,,,,,,,,,,,
,,,,,,30,1,0.6363636363636364,-0.45040518181818184,2.727272727272727,0,168,,,,,,,,,,
21,2.08,0,60,0.76,-0.2722753821359947,60,,,,,,,-1.9458662748336792,1.0854087948799134,-0.8519656658172607,0.2,4.1502713e-05,-0.0021903992273536233,0.0,0.3482154309749603,5,0.0001
,,,,,,60,2,0.6,-0.4233231,2.9,0,319,,,,,,,,,,
31,1.84,0,90,0.84,-0.1579162790020928,90,,,,,,,-1.9457895040512085,0.30490868985652925,-0.330450177192688,0.2,2.8095643e-05,-0.0017809415096417425,0.0,0.10587155818939209,10,0.0001
,,,,,,90,3,0.6,-0.4579394,2.966666666666667,0,456,,,,,,,,,,
40,1.94,0,120,0.82,-0.20235828840639442,120,,,,,,,-1.9457355976104735,0.19858378469944,0.10951757431030273,0.2,2.8387705e-05,-0.001164517371604923,0.0,0.09431549161672592,15,0.0001
,,,,,,120,4,0.5897435897435898,-0.47875833333333334,3.076923076923077,0,590,,,,,,,,,,
48,1.78,0,150,0.84,-0.15691482341382654,150,,,,,,,-1.9456379890441895,0.27832821011543274,-0.34362971782684326,0.2,3.1399726e-05,-0.0014134605966198421,0.0,0.12479390949010849,20,0.0001
,,,,,,150,5,0.574468085106383,-0.509331659574468,3.1914893617021276,0,721,,,,,,,,,,
61,1.64,0,180,0.88,-0.11791337432805449,180,,,,,,,-1.9453540802001954,0.34805595874786377,-0.842440128326416,0.2,4.89374e-05,-0.001927269725905134,0.0,0.1577904373407364,25,0.0001
,,,,,,180,6,0.6,-0.4793252,3.0,0,843,,,,,,,,,,
68,1.66,0,210,0.86,-0.13759665676392616,210,,,,,,,-1.945006251335144,0.1919508010149002,0.15500855445861816,0.2,4.9448012e-05,-0.0027779277740046736,0.0,0.08509980142116547,30,0.0001
,,,,,,210,7,0.5671641791044776,-0.5220944925373134,3.08955223880597,0,973,,,,,,,,,,
82,1.66,0,240,0.86,-0.11534488609060645,240,,,,,,,-1.9444227457046508,0.11909368634223938,-0.041730523109436035,0.2,5.9274833e-05,-0.0016840934831027,0.0,0.04517718404531479,35,0.0001
,,,,,,240,8,0.6049382716049383,-0.47219929629629637,2.925925925925926,0,1095,,,,,,,,,,
92,1.54,0,270,0.9,-0.11920503485016525,270,,,,,,,-1.9438511371612548,0.5341064095497131,-0.11503684520721436,0.2,3.927946e-05,-0.0007444365780493456,0.0,0.26137375831604004,40,0.0001
,,,,,,270,9,0.5934065934065934,-0.4843213956043955,2.956043956043956,0,1210,,,,,,,,,,
108,1.74,0,300,0.84,-0.17702263101935387,300,,,,,,,-1.9431627988815308,0.18717657625675202,-0.054079651832580566,0.2,7.983049e-05,-0.0031757079809903387,0.0,0.07932311296463013,45,0.0001
,,,,,,300,10,0.65,-0.4196806800000001,2.76,0,1341,,,,,,,,,,
