eval/success_rate,eval/mean_reward,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_ep_length,env/completion_counter,rollout/ep_rew_mean,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,train/approx_kl,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_fraction,train/value_loss,train/learning_rate
0.78,-0.17541234578937293,13,30,30,1.48,0,,,,,,,,,,,,,,,,
,,,,30,,,-0.6703345833333335,0,1,0.3333333333333333,2.3333333333333335,153,,,,,,,,,,
0.86,-0.09180635811761022,28,60,60,1.36,0,,,,,,,0.000307703,0.15412883460521698,0.2,-1.9458218097686768,-0.008065152063500136,-0.6724873781204224,10,0.0,0.8112727552652359,0.0001
,,,,60,,,-0.49186407407407406,0,2,0.4444444444444444,2.2222222222222223,270,,,,,,,,,,
0.98,-0.02732354633975774,40,90,90,1.08,0,,,,,,,0.00012059808,0.20500005781650543,0.2,-1.945456051826477,-0.0031545418823952787,-1.144878625869751,20,0.0,0.5548008710145951,0.0001
,,,,90,,,-0.5554806410256409,0,3,0.41025641025641024,2.282051282051282,373,,,,,,,,,,
0.98,-0.028998271161690355,56,120,120,1.18,0,,,,,,,0.00015689334,0.10142997652292252,0.2,-1.945271944999695,-0.0031769991165492505,-0.2769283056259155,30,0.0,0.2887281060218811,0.0001
,,,,120,,,-0.4897260363636362,0,4,0.509090909090909,2.1636363636363636,482,,,,,,,,,,
0.96,-0.027394378976896405,70,150,150,1.1,0,,,,,,,0.00014753938,0.1205776035785675,0.2,-1.9451846837997437,-0.0028190956596517935,0.03887307643890381,40,0.0,0.3521301656961441,0.0001
,,,,150,,,-0.492325927536232,0,5,0.5217391304347826,2.1594202898550723,583,,,,,,,,,,
0.96,-0.027919936827383935,83,180,180,1.14,0,,,,,,,0.000119610624,0.07394587248563766,0.2,-1.9446372151374818,-0.0028813824565925737,0.09773224592208862,50,0.0,0.20619022697210312,0.0001
,,,,180,,,-0.49501742682926825,0,6,0.5121951219512195,2.182926829268293,682,,,,,,,,,,
0.86,-0.13994532188400627,95,210,210,1.36,0,,,,,,,0.00046441556,0.03265988826751709,0.2,-1.9435909390449524,-0.007067186139368742,0.2823519706726074,60,0.0,0.13574908375740052,0.0001
,,,,210,,,-0.5095697234042553,0,7,0.48936170212765956,2.234042553191489,806,,,,,,,,,,
0.9,-0.0905042330455035,109,240,240,1.28,0,,,,,,,0.00023042162,0.13606883585453033,0.2,-1.9411638617515563,-0.002194267485659296,-0.4748018980026245,70,0.0,0.3566897869110107,0.0001
,,,,240,,,-0.52180669,0,8,0.5,2.22,929,,,,,,,,,,
0.92,-0.06921460181009025,123,270,270,1.2,0,,,,,,,0.0006614129,0.06750930845737457,0.2,-1.9387704730033875,-0.010499736783870816,-0.0847022533416748,80,0.0,0.22817550599575043,0.0001
,,,,270,,,-0.5423040499999999,0,9,0.5,2.22,1047,,,,,,,,,,
0.98,-0.027535021752119065,135,300,300,1.06,0,,,,,,,0.00064833957,0.09923617541790009,0.2,-1.9347919583320619,-0.005832217558442388,-0.2937154769897461,90,0.0,0.27902891784906386,0.0001
,,,,300,,,-0.56727534,0,10,0.49,2.23,1146,,,,,,,,,,
0.84,-0.17191997985355556,148,330,330,1.38,0,,,,,,,0.0009999832,0.05004320293664932,0.2,-1.9285130023956298,-0.008393282108784917,-0.5927449464797974,100,0.0,0.16875577121973037,0.0001
,,,,330,,,-0.56791962,0,11,0.46,2.26,1259,,,,,,,,,,
0.88,-0.10944274785462767,161,360,360,1.28,0,,,,,,,0.0005599419,0.12773840129375458,0.2,-1.9221773386001586,-0.007550100956577666,-0.15535187721252441,110,0.0,0.38951447010040285,0.0001
,,,,360,,,-0.5632797,0,12,0.44,2.28,1373,,,,,,,,,,
0.94,-0.07062723242677749,173,390,390,1.24,0,,,,,,,0.0006191949,0.08272234350442886,0.2,-1.9144791841506958,-0.004374277713359476,-0.2040618658065796,120,0.0,0.2490428701043129,0.0001
,,,,390,,,-0.58519976,0,13,0.42,2.3,1483,,,,,,,,,,
0.92,-0.088143829270266,189,420,420,1.16,0,,,,,,,0.00067568023,0.1048426553606987,0.2,-1.9061526894569396,-0.004455892601593625,-0.3727073669433594,130,0.0,0.2912186160683632,0.0001
,,,,420,,,-0.58716378,0,14,0.43,2.25,1591,,,,,,,,,,
0.92,-0.06958979424554855,207,450,450,1.22,0,,,,,,,0.0015661339,0.05554788187146187,0.2,-1.8918829798698424,-0.01463175774241492,0.07570379972457886,140,0.0,0.2234829217195511,0.0001
,,,,450,,,-0.5169296099999999,0,15,0.49,2.12,1702,,,,,,,,,,
0.94,-0.06866393012925982,221,480,480,1.16,0,,,,,,,0.0022422692,0.10767455399036407,0.2,-1.8712266325950622,-0.01315908202746261,-0.46509408950805664,150,0.0,0.3201503664255142,0.0001
,,,,480,,,-0.5207760300000001,0,16,0.47,2.14,1810,,,,,,,,,,
