env/n_steps,eval/success_rate,eval/mean_reward,time/total_timesteps,env/current_idx,env/completion_counter,eval/mean_ep_length,time/iterations,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/n_updates,train/value_loss
30,0.84,-0.1561302013276145,30,14,0,1.44,,,,,,,,,,,,,,,,
,,,30,,,,1,-0.7161374615384617,0.38461538461538464,2.3076923076923075,156,0,,,,,,,,,,
60,0.8,-0.20008693814277648,60,28,0,1.44,,,,,,,0.0001,-0.006534478353958662,-0.2770897150039673,0.0002643625,0.2,0.0,0.1116304025053978,-1.94579758644104,10,0.6841225162148475
,,,60,,,,2,-0.6018438888888888,0.4444444444444444,2.2222222222222223,275,0,,,,,,,,,,
90,0.82,-0.17232826786581426,90,42,0,1.42,,,,,,,0.0001,-0.006212397784305157,-0.161033034324646,0.0003551682,0.2,0.0,0.08543120324611664,-1.9451207041740417,20,0.23006210178136827
,,,90,,,,3,-0.5945453170731707,0.4634146341463415,2.1463414634146343,382,0,,,,,,,,,,
120,0.94,-0.04922586152330041,120,57,0,1.14,,,,,,,0.0001,-0.004529592659091586,-0.4928930997848511,0.00029654303,0.2,0.0,0.08885528892278671,-1.9440540552139283,30,0.26590062826871874
,,,120,,,,4,-0.5950882142857142,0.4642857142857143,2.142857142857143,488,0,,,,,,,,,,
150,0.9,-0.11233204603660851,150,73,0,1.26,,,,,,,0.0001,-0.004295755171915517,-0.16593587398529053,0.00026442012,0.2,0.0,0.07225313037633896,-1.9427949070930481,40,0.20184508562088013
,,,150,,,,5,-0.5223584861111111,0.5,2.0833333333333335,607,0,,,,,,,,,,
180,0.9,-0.11061892993748187,180,88,0,1.28,,,,,,,0.0001,-0.004283980516484043,-0.22437918186187744,0.00040251215,0.2,0.0,0.10327750444412231,-1.9406950712203979,50,0.3127854198217392
,,,180,,,,6,-0.4999937126436781,0.5172413793103449,2.0689655172413794,710,0,,,,,,,,,,
210,0.92,-0.06918115292210132,210,103,0,1.2,,,,,,,0.0001,-0.005665787734712246,-0.05779111385345459,0.0003969292,0.2,0.0,0.07019981741905212,-1.9385050773620605,60,0.22709611803293228
,,,210,,,,7,-0.46877370000000007,0.54,2.04,819,0,,,,,,,,,,
240,0.9,-0.07605796708725393,240,116,0,1.24,,,,,,,0.0001,-0.0016745865577831864,0.11804753541946411,0.00028811692,0.2,0.0,0.08112882822751999,-1.935991597175598,70,0.20182990431785583
,,,240,,,,8,-0.47802585999999997,0.53,2.07,929,0,,,,,,,,,,
270,0.9,-0.09265136191621423,270,131,0,1.26,,,,,,,0.0001,-0.0027954462970228634,0.31868046522140503,0.0003310899,0.2,0.0,0.04482421278953552,-1.9345727443695069,80,0.13409677743911744
,,,270,,,,9,-0.43638005999999996,0.58,2.01,1040,0,,,,,,,,,,
300,0.92,-0.05074285574723035,300,144,0,1.22,,,,,,,0.0001,-0.006643280970165577,-0.08829939365386963,0.0006997963,0.2,0.0,0.09212474524974823,-1.9295284032821656,90,0.27027399390935897
,,,300,,,,10,-0.45562934000000005,0.56,2.06,1143,0,,,,,,,,,,
330,0.9,-0.07403282152954489,330,155,0,1.26,,,,,,,0.0001,-0.006872266214340917,-0.17715656757354736,0.0005101224,0.2,0.0,0.09601424634456635,-1.9219167590141297,100,0.309544338285923
,,,330,,,,11,-0.4671214000000001,0.54,2.12,1245,0,,,,,,,,,,
360,0.9,-0.06952478270977736,360,168,0,1.22,,,,,,,0.0001,-0.005192388634507772,-0.15438759326934814,0.0004129072,0.2,0.0,0.10391196608543396,-1.9138831496238708,110,0.28308460414409636
,,,360,,,,12,-0.52115498,0.5,2.2,1346,0,,,,,,,,,,
390,0.88,-0.09378398073837162,390,187,0,1.36,,,,,,,0.0001,-0.005888704630003083,-0.09256935119628906,0.0006772101,0.2,0.0,0.07535646855831146,-1.906743323802948,120,0.20868876576423645
,,,390,,,,13,-0.49680533999999993,0.53,2.11,1456,0,,,,,,,,,,
420,0.88,-0.09200484236702323,420,202,0,1.3,,,,,,,0.0001,-0.00774371677233523,0.09681689739227295,0.0012576977,0.2,0.0,0.07849574089050293,-1.8947441935539246,130,0.21789704114198685
,,,420,,,,14,-0.50898735,0.53,2.1,1563,0,,,,,,,,,,
450,0.9,-0.1149262479878962,450,217,0,1.28,,,,,,,0.0001,-0.005925977867251841,-0.06329727172851562,0.0010760267,0.2,0.0,0.07953082770109177,-1.8799396991729735,140,0.2361643746495247
,,,450,,,,15,-0.48744561999999986,0.53,2.07,1669,0,,,,,,,,,,
480,0.86,-0.14974228201434017,480,231,0,1.3,,,,,,,0.0001,-0.0017160277744308061,-0.1493692398071289,0.0006092012,0.2,0.0,0.10186056047677994,-1.8639527797698974,150,0.2733317822217941
,,,480,,,,16,-0.48203373000000005,0.53,2.08,1784,0,,,,,,,,,,
510,0.9,-0.08889233130030334,510,247,0,1.22,,,,,,,0.0001,-0.005203256985793469,0.1391701102256775,0.0006955544,0.2,0.0,0.07092995196580887,-1.8571898937225342,160,0.19667289704084395
,,,510,,,,17,-0.45828089000000005,0.55,2.02,1893,0,,,,,,,,,,
540,0.96,-0.04708693611435592,540,260,0,1.08,,,,,,,0.0001,-0.004856879864431107,-0.3428494930267334,0.0006049295,0.2,0.0,0.11849687248468399,-1.842738139629364,170,0.353083410859108
,,,540,,,,18,-0.4265902200000001,0.57,1.97,1989,0,,,,,,,,,,
570,0.88,-0.1289082451025024,570,275,0,1.24,,,,,,,0.0001,-0.004649951600003988,0.3129085898399353,0.0005095184,0.2,0.0,0.07860191911458969,-1.823721420764923,180,0.21045689880847931
,,,570,,,,19,-0.4460896099999999,0.56,1.99,2101,0,,,,,,,,,,
600,0.84,-0.1705987967643887,600,288,0,1.4,,,,,,,0.0001,-0.012028019647113909,0.17350590229034424,0.0014233013,0.2,0.0,0.04838571697473526,-1.8098039269447326,190,0.16654361933469772
,,,600,,,,20,-0.48983281,0.51,2.08,2214,0,,,,,,,,,,
630,0.98,-0.027813013675622642,630,303,0,1.1,,,,,,,0.0001,-0.014015888948924804,-0.4628000259399414,0.0023431322,0.2,0.0,0.07998314499855042,-1.7708237528800965,200,0.25707243084907533
,,,630,,,,21,-0.49071651999999993,0.5,2.09,2315,0,,,,,,,,,,
660,0.94,-0.07138369279447943,660,317,0,1.16,,,,,,,0.0001,-0.009267415046536654,0.05461311340332031,0.0017288685,0.2,0.0,0.0968102440237999,-1.739399254322052,210,0.2965881735086441
,,,660,,,,22,-0.4863621300000001,0.52,2.1,2418,0,,,,,,,,,,
690,1.0,-0.009010209240950645,690,333,0,1.16,,,,,,,0.0001,-0.009471853564027733,-0.07370960712432861,0.0017015596,0.2,0.0,0.08405023068189621,-1.701484453678131,220,0.24244149327278136
,,,690,,,,23,-0.47456339,0.54,2.06,2527,0,,,,,,,,,,
720,0.86,-0.15757421644404532,720,352,0,1.34,,,,,,,0.0001,-0.012896493230946372,0.38874953985214233,0.0026093284,0.2,0.0,0.04374872148036957,-1.6509860515594483,230,0.1577776163816452
,,,720,,,,24,-0.42951820000000007,0.59,1.99,2645,0,,,,,,,,,,
750,0.92,-0.07015597975347192,750,372,0,1.24,,,,,,,0.0001,-0.012101796053660418,0.014885246753692627,0.0020442666,0.2,0.0,0.05924505740404129,-1.587630271911621,240,0.2114448517560959
,,,750,,,,25,-0.3517,0.66,1.87,2753,0,,,,,,,,,,
780,0.94,-0.049305130527354774,780,390,0,1.18,,,,,,,0.0001,0.0012371240117744265,0.19364064931869507,0.0005107542,0.2,0.0,0.05191902443766594,-1.5354556679725646,250,0.13108658865094186
,,,780,,,,26,-0.27538133,0.72,1.76,2855,0,,,,,,,,,,
810,0.86,-0.15170073045417667,810,406,0,1.32,,,,,,,0.0001,-0.007580717859479247,0.5208886861801147,0.0007609884,0.2,0.0,0.018546760082244873,-1.5096874237060547,260,0.07555938363075257
,,,810,,,,27,-0.28418719000000003,0.73,1.74,2969,0,,,,,,,,,,
840,0.88,-0.05660866068676114,840,422,0,1.32,,,,,,,0.0001,-0.004731100524465149,0.1095128059387207,0.0008375088,0.2,0.0,0.1079179123044014,-1.4618348598480224,270,0.3307668447494507
,,,840,,,,28,-0.26129164,0.73,1.72,3090,0,,,,,,,,,,
870,0.94,-0.047902745734900234,870,439,0,1.16,,,,,,,0.0001,-0.0010526476254621997,0.060159385204315186,0.00035149057,0.2,0.0,0.0740523487329483,-1.4257799863815308,280,0.18940213173627854
,,,870,,,,29,-0.25653863,0.72,1.73,3192,0,,,,,,,,,,
900,0.94,-0.06889455808326601,900,453,0,1.16,,,,,,,0.0001,-0.005647072411763254,-0.09886133670806885,0.0006189982,0.2,0.0,0.08549879491329193,-1.400859534740448,290,0.23230210244655608
,,,900,,,,30,-0.27009376,0.7,1.79,3298,0,,,,,,,,,,
930,0.84,-0.15088154481258242,930,473,0,1.34,,,,,,,0.0001,-0.0047229764692019675,0.3053993582725525,0.0016142209,0.2,0.0,0.05630942061543465,-1.346830153465271,300,0.15963132530450821
,,,930,,,,31,-0.28037931,0.69,1.79,3419,0,,,,,,,,,,
960,0.9,-0.09036149411927909,960,488,0,1.22,,,,,,,0.0001,-0.006205947028550618,-0.11892950534820557,0.001013426,0.2,0.0,0.07647263258695602,-1.292060101032257,310,0.23065908700227739
,,,960,,,,32,-0.29418633999999994,0.66,1.86,3525,0,,,,,,,,,,
990,0.88,-0.1317735994886607,990,505,0,1.26,,,,,,,0.0001,-0.0045812505111098465,0.22588211297988892,0.001161311,0.2,0.0,0.04344736039638519,-1.2422675967216492,320,0.1323755018413067
,,,990,,,,33,-0.26817498999999995,0.68,1.81,3642,0,,,,,,,,,,
1020,0.96,-0.03165848042815924,1020,520,0,1.16,,,,,,,0.0001,-0.004713415107301788,-0.16011786460876465,0.00110418,0.2,0.0,0.08696474134922028,-1.1901199460029601,330,0.23885100781917573
,,,1020,,,,34,-0.29749154,0.68,1.82,3748,0,,,,,,,,,,
1050,0.86,-0.11094222687184811,1050,536,0,1.38,,,,,,,0.0001,-0.0011390092272571372,0.06653302907943726,0.00047438344,0.2,0.0,0.08117926120758057,-1.1312626957893372,340,0.21214606314897538
,,,1050,,,,35,-0.29931984000000006,0.68,1.81,3869,0,,,,,,,,,,
1080,0.86,-0.1547208988852799,1080,555,0,1.36,,,,,,,0.0001,-0.00390416167404819,0.00944530963897705,0.00085558294,0.2,0.0,0.07459375262260437,-1.0948516488075257,350,0.20440437495708466
,,,1080,,,,36,-0.28743373,0.69,1.78,3991,0,,,,,,,,,,
1110,0.86,-0.09428792094811797,1110,577,0,1.32,,,,,,,0.0001,-0.002979852251592163,-0.037596821784973145,0.00090545614,0.2,0.0,0.08231691271066666,-1.0553634285926818,360,0.20890608578920364
,,,1110,,,,37,-0.25242516000000004,0.72,1.72,4109,0,,,,,,,,,,
1140,0.9,-0.07100472470279783,1140,594,0,1.32,,,,,,,0.0001,-0.0027530603649211114,0.12873470783233643,0.0004385233,0.2,0.0,0.021102629601955414,-1.0123889684677123,370,0.08173595853149891
,,,1140,,,,38,-0.24805011,0.74,1.69,4231,0,,,,,,,,,,
1170,0.88,-0.11198899226263165,1170,611,0,1.24,,,,,,,0.0001,-0.005273086427089879,0.19902431964874268,0.000825578,0.2,0.0,0.09877996891736984,-0.9704239130020141,380,0.2819742485880852
,,,1170,,,,39,-0.25329405000000005,0.72,1.71,4340,0,,,,,,,,,,
1200,0.88,-0.11087218504399061,1200,631,0,1.3,,,,,,,0.0001,-0.002627728918062999,0.11349755525588989,0.00041012367,0.2,0.0,0.0782129094004631,-0.9305275678634644,390,0.18433185666799545
,,,1200,,,,40,-0.19437044,0.77,1.64,4452,0,,,,,,,,,,
1230,0.92,-0.04989680087659508,1230,646,0,1.22,,,,,,,0.0001,-0.0025467176776629687,0.4160080552101135,0.0005668799,0.2,0.0,0.029914341866970062,-0.9015555560588837,400,0.1362220197916031
,,,1230,,,,41,-0.18340984,0.77,1.64,4556,0,,,,,,,,,,
1260,0.92,-0.049608018440194426,1260,664,0,1.22,,,,,,,0.0001,-0.0021580328400403912,-0.0354924201965332,0.000301371,0.2,0.0,0.125361829996109,-0.8690708160400391,410,0.32254226207733155
,,,1260,,,,42,-0.21586076,0.76,1.67,4669,0,,,,,,,,,,
1290,0.94,-0.06912759241648019,1290,685,0,1.16,,,,,,,0.0001,-0.0029525408748304117,-0.037285804748535156,0.0004487137,0.2,0.0,0.10568225383758545,-0.8422492146492004,420,0.24652992635965348
,,,1290,,,,43,-0.24649932,0.74,1.69,4781,0,,,,,,,,,,
1320,0.96,-0.0077004060242325065,1320,709,0,1.1,,,,,,,0.0001,-0.0010909595890552736,0.11224210262298584,0.00016154647,0.2,0.0,0.08036363124847412,-0.8023460805416107,430,0.19921587705612182
,,,1320,,,,44,-0.18825646000000001,0.82,1.53,4886,0,,,,,,,,,,
1350,0.9,-0.09168281490914523,1350,726,0,1.22,,,,,,,0.0001,-0.00016997555996862702,-0.20349323749542236,7.012884e-05,0.2,0.0,0.038664255291223526,-0.7786768198013305,440,0.09306888431310653
,,,1350,,,,45,-0.23173396999999998,0.79,1.57,4999,0,,,,,,,,,,
1380,0.9,-0.029165185121819377,1380,745,0,1.22,,,,,,,0.0001,-0.004592419872254361,0.09774041175842285,0.0002655844,0.2,0.0,0.0993250161409378,-0.7691828489303589,450,0.2998268485069275
,,,1380,,,,46,-0.19081727,0.83,1.5,5105,0,,,,,,,,,,
1410,0.96,-0.04845550143159926,1410,761,0,1.16,,,,,,,0.0001,0.0004069250827889448,0.31202495098114014,7.617672e-05,0.2,0.0,0.06277145445346832,-0.745498102903366,460,0.15155597925186157
,,,1410,,,,47,-0.22288695000000003,0.79,1.57,5218,0,,,,,,,,,,
