env/current_idx,time/total_timesteps,eval/mean_ep_length,env/completion_counter,eval/mean_reward,env/n_steps,eval/success_rate,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/explained_variance,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction
15,30,1.48,0,-0.19527344230096788,30,0.8,,,,,,,,,,,,,,,,
,30,,,,,,2.0,1,0,-0.38916664285714286,0.5714285714285714,136,,,,,,,,,,
31,60,1.18,0,-0.06872638166416437,60,0.92,,,,,,,-0.27923059463500977,0.00019864242,0.43411844968795776,0.0001,0.2,-1.9458333849906921,0.11504281312227249,10,-0.0049527665150044696,0.0
,60,,,,,,2.0,2,0,-0.40305449999999987,0.5666666666666667,244,,,,,,,,,,
44,90,1.56,0,-0.21666044570039958,90,0.76,,,,,,,-0.35270261764526367,0.00022218625,0.35801312029361726,0.0001,0.2,-1.945534110069275,0.13106170296669006,20,-0.005575899041335397,0.0
,90,,,,,,2.0697674418604652,3,0,-0.48670209302325573,0.5116279069767442,377,,,,,,,,,,
57,120,1.42,0,-0.15937347997445614,120,0.84,,,,,,,-0.7831933498382568,0.00014583865,0.2967574134469032,0.0001,0.2,-1.9448672652244567,0.10583837330341339,30,-0.0017699246098832333,0.0
,120,,,,,,2.142857142857143,4,0,-0.5501359285714286,0.4642857142857143,490,,,,,,,,,,
70,150,1.34,0,-0.15154040341265498,150,0.86,,,,,,,-0.5890884399414062,0.0001775384,0.29441085159778596,0.0001,0.2,-1.9440054535865783,0.11423967778682709,40,-0.0039163237701481,0.0
,150,,,,,,2.1594202898550723,5,0,-0.5460337826086956,0.463768115942029,613,,,,,,,,,,
81,180,1.48,0,-0.21605174115858972,180,0.78,,,,,,,0.15371179580688477,0.00043094356,0.15983453541994094,0.0001,0.2,-1.9431317090988158,0.04529941454529762,50,-0.0054157270277695345,0.0
,180,,,,,,2.225,6,0,-0.550098525,0.4375,730,,,,,,,,,,
95,210,1.38,0,-0.13156924540176987,210,0.88,,,,,,,0.11684644222259521,0.00023403764,0.18168509900569915,0.0001,0.2,-1.9407657504081726,0.062092769891023636,60,-0.0014289906518630603,0.0
,210,,,,,,2.2127659574468086,7,0,-0.5526576808510638,0.44680851063829785,850,,,,,,,,,,
109,240,1.2,0,-0.0688677859120071,240,0.92,,,,,,,-0.41738200187683105,0.00043385028,0.31749260127544404,0.0001,0.2,-1.938195037841797,0.12052659690380096,70,-0.007144358335062861,0.0
,240,,,,,,2.23,8,0,-0.55793454,0.45,952,,,,,,,,,,
126,270,1.28,0,-0.0897876113979146,270,0.9,,,,,,,-0.10232424736022949,0.00063863595,0.24959037005901336,0.0001,0.2,-1.9346609711647034,0.08995983749628067,80,-0.0062459540712492155,0.0
,270,,,,,,2.14,9,0,-0.52451342,0.49,1066,,,,,,,,,,
143,300,1.16,0,-0.08943260425236076,300,0.92,,,,,,,-0.3131774663925171,0.0008378784,0.2709889531135559,0.0001,0.2,-1.9304041385650634,0.0949292927980423,90,-0.010229375231235061,0.0
,300,,,,,,2.12,10,0,-0.49117959000000005,0.51,1166,,,,,,,,,,
155,330,1.18,0,-0.06871060887817293,330,0.94,,,,,,,-0.05569911003112793,0.0011222323,0.23067704439163209,0.0001,0.2,-1.9257288098335266,0.07551183551549911,100,-0.010339403375207468,0.0
,330,,,,,,2.12,11,0,-0.49519313000000004,0.51,1274,,,,,,,,,,
169,360,1.32,0,-0.15309486719314008,360,0.86,,,,,,,-0.483004093170166,0.00045484703,0.27085783034563066,0.0001,0.2,-1.9263400912284852,0.08181082457304001,110,0.00025511076572002354,0.0
,360,,,,,,2.13,12,0,-0.48733295999999987,0.52,1388,,,,,,,,,,
184,390,1.3,0,-0.13067726207897068,390,0.86,,,,,,,0.07782351970672607,0.00018415849,0.3202908754348755,0.0001,0.2,-1.92616925239563,0.12519462406635284,120,-0.0022256623749854045,0.0
,390,,,,,,2.03,13,0,-0.44893885,0.57,1503,,,,,,,,,,
197,420,1.36,0,-0.17421674074139445,420,0.84,,,,,,,-0.045353055000305176,0.00021468996,0.2454446703195572,0.0001,0.2,-1.926566767692566,0.0902666300535202,130,-0.003663497896001644,0.0
,420,,,,,,2.06,14,0,-0.47176729,0.55,1622,,,,,,,,,,
209,450,1.24,0,-0.048978005480021236,450,0.92,,,,,,,0.04023498296737671,0.00042589704,0.2836491227149963,0.0001,0.2,-1.9201419472694397,0.0784713625907898,140,-0.006192230618713879,0.0
,450,,,,,,2.11,15,0,-0.50343304,0.52,1737,,,,,,,,,,
223,480,1.28,0,-0.11011717197950929,480,0.88,,,,,,,0.05260014533996582,0.00033705233,0.16348613947629928,0.0001,0.2,-1.91427743434906,0.06095393747091293,150,-0.0034745328370870965,0.0
,480,,,,,,2.15,16,0,-0.5056144,0.51,1848,,,,,,,,,,
242,510,1.14,0,-0.008323155296966433,510,0.96,,,,,,,-0.03973662853240967,0.0003374974,0.35591691434383393,0.0001,0.2,-1.9089502573013306,0.11588961631059647,160,-0.00438023449853091,0.0
,510,,,,,,2.11,17,0,-0.48609353,0.53,1958,,,,,,,,,,
256,540,1.26,0,-0.049867086349986496,540,0.92,,,,,,,0.06988078355789185,0.0006974141,0.19926539808511734,0.0001,0.2,-1.9007084131240846,0.07972841709852219,170,-0.0027283968871053333,0.0
,540,,,,,,2.07,18,0,-0.44923852000000003,0.56,2070,,,,,,,,,,
271,570,1.34,0,-0.07179734204430133,570,0.9,,,,,,,0.14642345905303955,0.00046747923,0.28882735818624494,0.0001,0.2,-1.8932093739509583,0.08901397138834,180,-0.002184009487973526,0.0
,570,,,,,,2.04,19,0,-0.46063715,0.55,2186,,,,,,,,,,
