time/total_timesteps,env/completion_counter,eval/success_rate,env/current_idx,eval/mean_ep_length,env/n_steps,eval/mean_reward,time/time_elapsed,rollout/success_rate,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss,train/value_loss
30,0,0.92,8,1.56,30,-0.09756889078766108,,,,,,,,,,,,,,,,
30,,,,,,,162,0.2857142857142857,0,3.857142857142857,1,-0.6785805714285714,,,,,,,,,,
60,0,0.98,18,1.32,60,-0.03127224153839052,,,,,,,0.2,0.0001,10,-0.003417511945202367,0.07237273454666138,0.0,0.020184844732284546,0.00010626515,-1.9458478927612304,0.10655531398952008
60,,,,,,,286,0.4117647058823529,0,3.4705882352941178,2,-0.6579515882352941,,,,,,,,,,
90,0,0.88,28,1.66,90,-0.12083440952934325,,,,,,,0.2,0.0001,20,-0.005275350025622139,-0.6010044813156128,0.0,0.16983456909656525,0.00019622446,-1.945617151260376,0.4724315583705902
90,,,,,,,430,0.5185185185185185,0,3.185185185185185,3,-0.5046538148148149,,,,,,,,,,
120,0,0.94,41,1.4,120,-0.05314495833124965,,,,,,,0.2,0.0001,30,-0.002666210520352941,-0.5592163801193237,0.0,0.10800196975469589,0.000108526154,-1.945034658908844,0.292975714802742
120,,,,,,,554,0.6,0,2.95,4,-0.40036955,,,,,,,,,,
150,0,0.96,49,1.38,150,-0.05164068884216249,,,,,,,0.2,0.0001,40,-0.001954869113930413,-0.41963326930999756,0.0,0.035038504749536514,0.00016299685,-1.9444122433662414,0.13294956758618354
150,,,,,,,671,0.6041666666666666,0,3.0625,5,-0.4222484583333333,,,,,,,,,,
180,0,0.96,59,1.44,180,-0.03591047444846481,,,,,,,0.2,0.0001,50,-0.003356791844125695,-0.17680156230926514,0.0,0.12107669562101364,0.00011853774,-1.9442814230918883,0.358145210146904
180,,,,,,,795,0.5862068965517241,0,3.086206896551724,6,-0.44132089655172413,,,,,,,,,,
