eval/mean_reward,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_rew_mean,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/clip_fraction,train/n_updates,train/value_loss,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/policy_gradient_loss
-0.07424939350225031,13,1.42,0.94,30,30,0,,,,,,,,,,,,,,,,
,,,,30,,,-0.4191201666666666,1,0.6666666666666666,2.5,0,129,,,,,,,,,,
-0.05221733332145959,24,1.3,0.96,60,60,0,,,,,,,0.0,10,0.30265854895114896,0.08906203508377075,0.0001,-0.39763569831848145,-1.9457324743270874,0.0003468712,0.2,-0.007724475247475127
,,,,60,,,-0.45194400000000007,2,0.6521739130434783,2.608695652173913,0,243,,,,,,,,,,
-0.09087451623752713,36,1.34,0.92,90,90,0,,,,,,,0.0,20,0.3738163858652115,0.12687700986862183,0.0001,-0.740813136100769,-1.9449636697769166,0.00041099786,0.2,-0.006052447887292711
,,,,90,,,-0.4396939142857142,3,0.6571428571428571,2.5714285714285716,0,378,,,,,,,,,,
-0.05305550716817379,43,1.28,0.96,120,120,0,,,,,,,0.0,30,0.3254489332437515,0.10977961868047714,0.0001,-0.25079524517059326,-1.9435706377029418,0.00045026542,0.2,-0.004593923551728984
,,,,120,,,-0.48188499999999995,4,0.5952380952380952,2.8333333333333335,0,494,,,,,,,,,,
-0.05478349374141544,51,1.32,0.94,150,150,0,,,,,,,0.0,40,0.2868658259510994,0.09010835736989975,0.0001,-0.2996959686279297,-1.9415562152862549,0.00041953722,0.2,-0.006511637127647773
,,,,150,,,-0.5448232999999999,5,0.56,2.98,0,605,,,,,,,,,,
-0.03785712912678719,60,1.28,0.96,180,180,0,,,,,,,0.0,50,0.21215406209230422,0.05822485685348511,0.0001,-0.026322007179260254,-1.939784002304077,0.0003870368,0.2,-0.0035216838488121736
,,,,180,,,-0.5608046440677965,6,0.5423728813559322,3.0338983050847457,0,717,,,,,,,,,,
-0.0959821861796081,71,1.42,0.92,210,210,0,,,,,,,0.0,60,0.11775283440947533,0.04097430408000946,0.0001,0.2244189977645874,-1.9363906502723693,0.00016248226,0.2,-0.0005264522455885156
,,,,210,,,-0.5421091428571428,7,0.5571428571428572,3.0,0,833,,,,,,,,,,
-0.05601081971079111,81,1.26,0.96,240,240,0,,,,,,,0.0,70,0.19632923752069473,0.05666249990463257,0.0001,0.05827212333679199,-1.9348560690879821,0.0005511443,0.2,-0.007204935701641624
,,,,240,,,-0.5282127125,8,0.5625,2.9875,0,940,,,,,,,,,,
-0.0514166376972571,95,1.18,0.96,270,270,0,,,,,,,0.0,80,0.2646456748247147,0.09331445395946503,0.0001,-0.056102633476257324,-1.928885555267334,0.0010061781,0.2,-0.006572390559595043
,,,,270,,,-0.4644782234042552,9,0.6170212765957447,2.8617021276595747,0,1047,,,,,,,,,,
-0.051662556822411713,102,1.4,0.94,300,300,0,,,,,,,0.0,90,0.17421166077256203,0.053175125271081924,0.0001,-0.4750438928604126,-1.9226346611976624,0.00050329167,0.2,-0.0021741550030615286
,,,,300,,,-0.50922739,10,0.59,2.97,0,1175,,,,,,,,,,
