env/current_idx,eval/mean_ep_length,eval/mean_reward,env/completion_counter,env/n_steps,eval/success_rate,time/total_timesteps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/n_updates
14,1.34,-0.11733435007277876,0,30,0.86,30,,,,,,,,,,,,,,,,
,,,,,,30,0.38461538461538464,1,141,-0.6854543076923076,0,2.230769230769231,,,,,,,,,,
28,1.28,-0.13162433532066642,0,60,0.86,60,,,,,,,0.0,-0.07653307914733887,-0.002396215357197207,0.34373360574245454,0.2,0.0915873572230339,0.0001,4.398624e-05,-1.9458943367004395,5
,,,,,,60,0.4444444444444444,2,254,-0.5938984074074075,0,2.1481481481481484,,,,,,,,,,
40,1.2,-0.06966005697380752,0,90,0.94,90,,,,,,,0.0,-0.43081820011138916,-0.0016356108772258792,0.3296030580997467,0.2,0.153282031416893,0.0001,2.3029248e-05,-1.9458383798599244,10
,,,,,,90,0.38461538461538464,3,362,-0.640341846153846,0,2.3076923076923075,,,,,,,,,,
52,1.46,-0.19390466324053704,0,120,0.8,120,,,,,,,0.0,-0.3464329242706299,-0.0010926775203552452,0.25174011290073395,0.2,0.11195024102926254,0.0001,2.3388862e-05,-1.9457439661026001,15
,,,,,,120,0.37254901960784315,4,491,-0.6502183921568626,0,2.3529411764705883,,,,,,,,,,
67,1.42,-0.17266597341746093,0,150,0.82,150,,,,,,,0.0,-0.3501321077346802,-0.0003081246222669698,0.2802059918642044,0.2,0.12261071056127548,0.0001,7.112821e-06,-1.9456879854202271,20
,,,,,,150,0.42424242424242425,5,620,-0.5629638030303031,0,2.257575757575758,,,,,,,,,,
82,1.5,-0.19378900084178896,0,180,0.78,180,,,,,,,0.0,-0.3110344409942627,-0.001195636987298343,0.3261487126350403,0.2,0.13580437004566193,0.0001,1.2556712e-05,-1.9455807685852051,25
,,,,,,180,0.4444444444444444,6,740,-0.5505241481481482,0,2.197530864197531,,,,,,,,,,
96,1.4,-0.13682998610660435,0,210,0.82,210,,,,,,,0.0,-0.374531626701355,-0.000874285290871768,0.3527580499649048,0.2,0.1707543134689331,0.0001,2.0035108e-05,-1.9453790664672852,30
,,,,,,210,0.45263157894736844,7,852,-0.5339773578947369,0,2.2,,,,,,,,,,
110,1.36,-0.11358416902367026,0,240,0.84,240,,,,,,,0.0,-0.3555203676223755,-0.0008010339899918506,0.3152428150177002,0.2,0.14426164329051971,0.0001,1.3029576e-05,-1.9451743841171265,35
,,,,,,240,0.45,8,966,-0.54615729,0,2.21,,,,,,,,,,
125,1.5,-0.21729559167753906,0,270,0.76,270,,,,,,,0.0,-0.17023658752441406,-0.000817724862523761,0.32353768944740297,0.2,0.1274813562631607,0.0001,1.7929076e-05,-1.9449475049972533,40
,,,,,,270,0.47,9,1088,-0.52106398,0,2.16,,,,,,,,,,
137,1.26,-0.06993022662121802,0,300,0.9,300,,,,,,,0.0,-0.12012088298797607,-0.0011906520572178892,0.2724660038948059,0.2,0.13204577565193176,0.0001,2.824068e-05,-1.944680881500244,45
,,,,,,300,0.47,10,1198,-0.51467783,0,2.16,,,,,,,,,,
152,1.32,-0.09129549969919026,0,330,0.88,330,,,,,,,0.0,-0.27493488788604736,-0.0003945616987767409,0.2681179404258728,0.2,0.1253431886434555,0.0001,1.356403e-05,-1.944402813911438,50
,,,,,,330,0.49,11,1312,-0.49940759999999995,0,2.1,,,,,,,,,,
165,1.42,-0.11361922834068537,0,360,0.84,360,,,,,,,0.0,-0.04815053939819336,-0.0002698699597388554,0.21036527454853057,0.2,0.09686771780252457,0.0001,7.164478e-06,-1.9443970441818237,55
,,,,,,360,0.47,12,1444,-0.5374164800000001,0,2.14,,,,,,,,,,
178,1.2,-0.04962791594211012,0,390,0.9,390,,,,,,,0.0,-0.12236225605010986,-0.0007463586270269218,0.286373496055603,0.2,0.1354593187570572,0.0001,1.3446808e-05,-1.9441061735153198,60
,,,,,,390,0.47,13,1553,-0.53065394,0,2.17,,,,,,,,,,
193,1.28,-0.11323456686921418,0,420,0.88,420,,,,,,,0.0,-0.317446231842041,-0.0018459165430005698,0.30403265357017517,0.2,0.1391107439994812,0.0001,3.0426185e-05,-1.943984055519104,65
,,,,,,420,0.48,14,1664,-0.5308269099999999,0,2.14,,,,,,,,,,
206,1.2,-0.06986060854047536,0,450,0.92,450,,,,,,,0.0,0.024218499660491943,-0.0018806190920683142,0.24520492553710938,0.2,0.11103200167417526,0.0001,6.19928e-05,-1.9436700820922852,70
,,,,,,450,0.47,15,1772,-0.5234428600000001,0,2.17,,,,,,,,,,
219,1.22,-0.07034123800694943,0,480,0.9,480,,,,,,,0.0,0.014736950397491455,-0.0023272986873053014,0.23235876858234406,0.2,0.10512854158878326,0.0001,9.117126e-05,-1.9429086685180663,75
,,,,,,480,0.45,16,1881,-0.54488414,0,2.22,,,,,,,,,,
