eval/success_rate,eval/mean_reward,eval/mean_ep_length,time/total_timesteps,env/completion_counter,env/n_steps,env/current_idx,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl
0.82,-0.15638900878839196,1.4,30,0,30,14,,,,,,,,,,,,,,,,
,,,30,,,,0.38461538461538464,142,-0.6082053846153846,1,0,2.230769230769231,,,,,,,,,,
0.8,-0.1923516154102981,1.46,60,0,60,29,,,,,,,5,0.0,0.8276338338851928,0.27273029088974,-0.6678041219711304,0.0001,-1.9458675861358643,-0.001937212158614443,0.2,4.1284165e-05
,,,60,,,,0.4642857142857143,261,-0.5503968928571429,2,0,2.142857142857143,,,,,,,,,,
0.84,-0.15677272049244492,1.38,90,0,90,44,,,,,,,10,0.0,0.294326189160347,0.12015985697507858,0.05909532308578491,0.0001,-1.9457917928695678,-0.00132698732040204,0.2,1.825293e-05
,,,90,,,,0.5116279069767442,386,-0.5009847674418605,3,0,2.046511627906977,,,,,,,,,,
0.94,-0.029456322649493813,1.18,120,0,120,58,,,,,,,15,0.0,0.3076140463352203,0.14828473329544067,-0.007977843284606934,0.0001,-1.9457035303115844,-0.0019082196499219605,0.2,2.5973717e-05
,,,120,,,,0.47368421052631576,491,-0.5540004561403509,4,0,2.1052631578947367,,,,,,,,,,
0.84,-0.11320352911949158,1.36,150,0,150,72,,,,,,,20,0.0,0.22161442041397095,0.10013454407453537,-0.4611743688583374,0.0001,-1.9455919981002807,-0.0011258260630224726,0.2,2.3476283e-05
,,,150,,,,0.5070422535211268,613,-0.5079575915492958,5,0,2.084507042253521,,,,,,,,,,
0.88,-0.13086591891944407,1.28,180,0,180,84,,,,,,,25,0.0,0.3350045919418335,0.15609000623226166,-0.09473121166229248,0.0001,-1.94541494846344,-0.0011711645227237,0.2,3.387928e-05
,,,180,,,,0.4578313253012048,719,-0.5085178433734939,6,0,2.1686746987951806,,,,,,,,,,
0.9,-0.09016785982996225,1.22,210,0,210,95,,,,,,,30,0.0,0.3016306638717651,0.13564829528331757,-0.044472336769104004,0.0001,-1.9451529026031493,5.171298789719004e-06,0.2,1.163284e-05
