eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/current_idx,env/n_steps,env/completion_counter,time/fps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/loss,train/n_updates,train/clip_range
-0.1117876956705004,1.32,0.88,30,13,30,0,,,,,,,,,,,,,,,,
,,,30,,,,0,141,0.25,1,2.5,-0.51867025,,,,,,,,,,
-0.17331475735176355,1.38,0.84,60,25,60,0,,,,,,,0.0,0.0001,0.206825453042984,-0.002434917750457943,4.1047733e-05,-1.9458820343017578,0.08010774850845337,0.08053283393383026,5,0.2
,,,60,,,,0,256,0.2916666666666667,2,2.5,-0.67254725,,,,,,,,,,
-0.15473650282714516,1.36,0.84,90,38,90,0,,,,,,,0.0,0.0001,0.3080179363489151,-0.0006492062580461422,1.945297e-05,-1.9457862377166748,-0.03896653652191162,0.1212584599852562,10,0.2
,,,90,,,,0,369,0.35135135135135137,3,2.4324324324324325,-0.6304608108108108,,,,,,,,,,
-0.21485034639481454,1.44,0.8,120,55,120,0,,,,,,,0.0,0.0001,0.36550196409225466,-0.0011204204758783476,1.8707911e-05,-1.9456729650497437,-0.42173314094543457,0.17140252888202667,15,0.2
,,,120,,,,0,488,0.5,4,2.2222222222222223,-0.4855486481481482,,,,,,,,,,
-0.13259992289356887,1.42,0.82,150,68,150,0,,,,,,,0.0,0.0001,0.46686855554580686,-0.0001297561307136874,1.0464589e-05,-1.9454856395721436,-0.3361629247665405,0.1991218477487564,20,0.2
,,,150,,,,0,605,0.4925373134328358,5,2.208955223880597,-0.49639044776119406,,,,,,,,,,
-0.02692023176699877,1.06,0.98,180,84,180,0,,,,,,,0.0,0.0001,0.2838702082633972,-0.0009858663989387394,1.0822217e-05,-1.9452926397323609,-0.351712703704834,0.1299460232257843,25,0.2
,,,180,,,,0,696,0.5060240963855421,6,2.1686746987951806,-0.46089393975903614,,,,,,,,,,
-0.1311582693643868,1.3,0.86,210,97,210,0,,,,,,,0.0,0.0001,0.2336219221353531,-0.000658641677970806,2.3051103e-05,-1.9451692581176758,-0.003534674644470215,0.10715240240097046,30,0.2
,,,210,,,,0,805,0.5208333333333334,7,2.1666666666666665,-0.45998391666666666,,,,,,,,,,
-0.08972953400574625,1.28,0.88,240,109,240,0,,,,,,,0.0,0.0001,0.16099487841129304,-0.0017798232861483854,3.5444897e-05,-1.9450462341308594,0.33965814113616943,0.0709090307354927,35,0.2
,,,240,,,,0,918,0.54,8,2.16,-0.46198484,,,,,,,,,,
-0.04843908304348588,1.12,0.96,270,125,270,0,,,,,,,0.0,0.0001,0.22215884625911714,-0.002073782229175336,5.6197245e-05,-1.9447260618209838,-0.04734194278717041,0.09992169588804245,40,0.2
,,,270,,,,0,1013,0.58,9,2.1,-0.40869353999999997,,,,,,,,,,
-0.09196259242016822,1.36,0.88,300,138,300,0,,,,,,,0.0,0.0001,0.2791912317276001,-0.00035152834153757696,3.780524e-05,-1.9442269802093506,-0.009406685829162598,0.13252536952495575,45,0.2
,,,300,,,,0,1128,0.59,10,2.09,-0.38237263000000005,,,,,,,,,,
-0.05014835551381111,1.28,0.9,330,153,330,0,,,,,,,0.0,0.0001,0.2488405793905258,-0.0008224920629678501,3.7101905e-05,-1.943921947479248,-0.16053223609924316,0.11302586644887924,50,0.2
,,,330,,,,0,1248,0.57,11,2.13,-0.36927796,,,,,,,,,,
-0.04890442900825292,1.2,0.92,360,167,360,0,,,,,,,0.0,0.0001,0.17839940190315245,-0.00044385532576924903,3.3569337e-05,-1.943353009223938,-0.5783436298370361,0.06626100093126297,55,0.2
