eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,env/n_steps,env/current_idx,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates
0.94,30,1.6,0,30,7,-0.056089534005150196,,,,,,,,,,,,,,,,
,30,,,,,,0,4.333333333333333,1,0.16666666666666666,156,-0.934872,,,,,,,,,,
0.88,60,1.58,0,60,15,-0.11519283236004413,,,,,,,-0.0018482160762260946,2.3722649e-05,0.0001,0.6749829649925232,0.0,0.2,-0.0686877965927124,-1.945899200439453,1.8703908443450927,5
,60,,,,,,0,4.142857142857143,2,0.2857142857142857,302,-0.8374257857142858,,,,,,,,,,
0.94,90,1.3,0,90,27,-0.07232667244970799,,,,,,,-0.002190876473517278,2.720356e-05,0.0001,0.392338365316391,0.0,0.2,-0.647563099861145,-1.9458656311035156,1.099744939804077,10
,90,,,,,,0,3.423076923076923,3,0.5769230769230769,412,-0.5268155769230769,,,,,,,,,,
0.88,120,1.68,0,120,38,-0.12025663415435701,,,,,,,-0.0020210965792649914,3.011624e-05,0.0001,0.13575682044029236,0.0,0.2,-1.436669111251831,-1.9458013772964478,0.2930731773376465,15
,120,,,,,,0,3.2432432432432434,4,0.5945945945945946,551,-0.5212893783783783,,,,,,,,,,
0.9,150,1.54,0,150,50,-0.0594988910946995,,,,,,,-9.257952711774208e-05,9.950002e-06,0.0001,0.3074246346950531,0.0,0.2,-0.6770497560501099,-1.9457053661346435,0.6979186058044433,20
,150,,,,,,0,3.061224489795918,5,0.6122448979591837,680,-0.47501453061224497,,,,,,,,,,
0.92,180,1.58,0,180,57,-0.06725467108655721,,,,,,,-0.0017827137435476813,2.018412e-05,0.0001,0.10182096064090729,0.0,0.2,0.1890074610710144,-1.9456060886383058,0.22939277589321136,25
,180,,,,,,0,3.142857142857143,6,0.5892857142857143,809,-0.5216697321428572,,,,,,,,,,
0.98,210,1.22,0,210,67,-0.009959433996118604,,,,,,,-0.0008819826595331647,2.279083e-05,0.0001,0.1116480901837349,0.0,0.2,-0.8109991550445557,-1.9456020832061767,0.2651395797729492,30
,210,,,,,,0,3.1515151515151514,7,0.5909090909090909,922,-0.5182705303030304,,,,,,,,,,
0.84,240,1.94,0,240,75,-0.16372798942029476,,,,,,,-0.0005490487837231939,1.2962023e-05,0.0001,0.2006107121706009,0.0,0.2,-0.48471784591674805,-1.9454820156097412,0.4179700553417206,35
,240,,,,,,0,3.2027027027027026,8,0.581081081081081,1070,-0.5200143648648649,,,,,,,,,,
0.86,270,1.86,0,270,85,-0.125092492881231,,,,,,,-0.0006624078585689474,9.403626e-06,0.0001,0.20426326990127563,0.0,0.2,-0.7198115587234497,-1.9453006982803345,0.45469375848770144,40
,270,,,,,,0,3.2023809523809526,9,0.5833333333333334,1211,-0.527331511904762,,,,,,,,,,
0.96,300,1.36,0,300,92,-0.03356109777465463,,,,,,,-0.0011801596298269602,1.0897716e-05,0.0001,0.11209794878959656,0.0,0.2,0.11090981960296631,-1.9452635049819946,0.24896095395088197,45
