time/total_timesteps,eval/mean_reward,env/n_steps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_ep_length,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/approx_kl,train/learning_rate
30,-0.12202605818398297,30,0.9,11,0,1.5,,,,,,,,,,,,,,,,
30,,,,,,,2.8,-0.46751119999999996,0.6,0,1,159,,,,,,,,,,
60,-0.18279887991491706,60,0.84,22,0,1.92,,,,,,,-0.002703618550052056,0.0,0.2,1.2636886954307556,-1.9458935260772705,0.45924195647239685,-0.17264986038208008,5,3.4475328e-05,0.0001
60,,,,,,,2.6666666666666665,-0.3947738095238095,0.6666666666666666,0,2,302,,,,,,,,,,
90,-0.13818191146012396,90,0.88,33,0,1.58,,,,,,,-0.001223917809159758,0.0,0.2,0.6266718685626984,-1.945842456817627,0.22236520051956177,-0.5246180295944214,10,2.8640032e-05,0.0001
90,,,,,,,2.71875,-0.417346375,0.65625,0,3,424,,,,,,,,,,
120,-0.05694687922950834,120,0.96,41,0,1.48,,,,,,,-0.001197652610717359,0.0,0.2,0.30500160455703734,-1.9457693338394164,0.11901955306529999,-0.019466519355773926,15,2.0649035e-05,0.0001
120,,,,,,,3.0,-0.5420022999999999,0.575,0,4,544,,,,,,,,,,
150,-0.07269894911441951,150,0.92,50,0,1.4,,,,,,,-6.279849124979364e-06,0.0,0.2,0.23990475833415986,-1.9457218885421752,0.07999469339847565,-0.12589740753173828,20,7.95722e-06,0.0001
150,,,,,,,3.061224489795918,-0.524737693877551,0.5714285714285714,0,5,662,,,,,,,,,,
180,-0.04866299375426024,180,0.96,57,0,1.2,,,,,,,-0.0007473953654214327,0.0,0.2,0.3753204822540283,-1.9457309246063232,0.19755132496356964,0.13068479299545288,25,8.447965e-06,0.0001
180,,,,,,,3.2142857142857144,-0.5709856607142856,0.5357142857142857,0,6,772,,,,,,,,,,
210,-0.07198035705368966,210,0.94,70,0,1.3,,,,,,,-0.0007329106303708421,0.0,0.2,0.1073758527636528,-1.9456998348236083,0.044365208595991135,0.3876805305480957,30,6.598234e-06,0.0001
210,,,,,,,3.0,-0.48417572463768116,0.6086956521739131,0,7,888,,,,,,,,,,
240,-0.028269626097753645,240,0.96,79,0,1.16,,,,,,,-1.035392087942455e-05,0.0,0.2,0.49679182171821595,-1.9456679821014404,0.21461588144302368,-0.2289426326751709,35,4.0709974e-06,0.0001
240,,,,,,,3.051282051282051,-0.5160534102564102,0.5897435897435898,0,8,991,,,,,,,,,,
270,-0.11348052673507482,270,0.9,88,0,1.5,,,,,,,-0.0012488977083314977,0.0,0.2,0.2111980587244034,-1.9456580877304077,0.10048739612102509,-0.14205670356750488,40,1.3417006e-05,0.0001
270,,,,,,,3.0689655172413794,-0.535036448275862,0.5747126436781609,0,9,1119,,,,,,,,,,
300,-0.1618128729239106,300,0.86,98,0,1.7,,,,,,,-0.0006601677291719454,0.0,0.2,0.20839189291000365,-1.9455678701400756,0.09031103551387787,-0.2248680591583252,45,1.3792514e-05,0.0001
300,,,,,,,3.082474226804124,-0.5465688144329897,0.5773195876288659,0,10,1253,,,,,,,,,,
330,-0.09845856540370733,330,0.9,106,0,1.54,,,,,,,-0.0028424558804061918,0.0,0.2,0.3518783450126648,-1.945398497581482,0.16134171187877655,-0.031400084495544434,50,4.998048e-05,0.0001
330,,,,,,,3.17,-0.57652939,0.56,0,11,1370,,,,,,,,,,
360,-0.09512641857378185,360,0.92,118,0,1.5,,,,,,,-0.0009674028685549452,0.0,0.2,0.2794224500656128,-1.9449898242950439,0.12550613284111023,-0.18956804275512695,55,2.7277072e-05,0.0001
360,,,,,,,3.14,-0.5881763999999999,0.56,0,12,1487,,,,,,,,,,
390,-0.09557824472431094,390,0.9,130,0,1.46,,,,,,,-0.002017407785945924,0.0,0.2,0.3406883776187897,-1.9445859432220458,0.15529492497444153,-0.21116530895233154,60,5.2390496e-05,0.0001
390,,,,,,,3.14,-0.58830766,0.55,0,13,1613,,,,,,,,,,
420,-0.07415104905609042,420,0.94,141,0,1.34,,,,,,,-0.00162677686195849,0.0,0.2,0.39237670302391053,-1.9437924385070802,0.1749534010887146,0.02988147735595703,65,4.35253e-05,0.0001
420,,,,,,,3.0,-0.5363407400000001,0.59,0,14,1736,,,,,,,,,,
450,-0.04982193539850414,450,0.96,149,0,1.32,,,,,,,-0.0016355944106667408,0.0,0.2,0.2993199288845062,-1.9431961297988891,0.13655301928520203,-0.2186802625656128,70,8.218686e-05,0.0001
450,,,,,,,3.03,-0.5336969600000001,0.58,0,15,1846,,,,,,,,,,
480,-0.07030792887322605,480,0.92,159,0,1.34,,,,,,,-0.002285806351186004,0.0,0.2,0.3475200057029724,-1.942619800567627,0.153464213013649,-0.9360669851303101,75,8.384188e-05,0.0001
480,,,,,,,2.96,-0.5212700800000001,0.6,0,16,1960,,,,,,,,,,
