Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.0001_ns60_bs256_ep10_ia0_el4_ftfew_shot_20250326-171746
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 49       |
|    n_steps            | 60       |
| rollout/              |          |
|    ep_len_mean        | 1.23     |
|    ep_rew_mean        | -0.0728  |
|    success_rate       | 0.938    |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 72       |
|    total_timesteps    | 60       |
------------------------------------
-------------------------------------------
| env/                    |               |
|    completion_counter   | 0             |
|    current_idx          | 86            |
|    n_steps              | 120           |
| rollout/                |               |
|    ep_len_mean          | 1.41          |
|    ep_rew_mean          | -0.0978       |
|    success_rate         | 0.906         |
| time/                   |               |
|    fps                  | 0             |
|    iterations           | 2             |
|    time_elapsed         | 141           |
|    total_timesteps      | 120           |
| train/                  |               |
|    approx_kl            | 0.00023426116 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.95         |
|    explained_variance   | -1.47         |
|    learning_rate        | 0.0001        |
|    loss                 | 0.102         |
|    n_updates            | 10            |
|    policy_gradient_loss | -0.00442      |
|    value_loss           | 0.314         |
-------------------------------------------
-------------------------------------------
| env/                    |               |
|    completion_counter   | 0             |
|    current_idx          | 125           |
|    n_steps              | 180           |
| rollout/                |               |
|    ep_len_mean          | 1.51          |
|    ep_rew_mean          | -0.127        |
|    success_rate         | 0.87          |
| time/                   |               |
|    fps                  | 0             |
|    iterations           | 3             |
|    time_elapsed         | 209           |
|    total_timesteps      | 180           |
| train/                  |               |
|    approx_kl            | 0.00019682448 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.95         |
|    explained_variance   | -0.547        |
|    learning_rate        | 0.0001        |
|    loss                 | 0.0828        |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.00335      |
|    value_loss           | 0.241         |
-------------------------------------------
-------------------------------------------
| env/                    |               |
|    completion_counter   | 0             |
|    current_idx          | 165           |
|    n_steps              | 240           |
| rollout/                |               |
|    ep_len_mean          | 1.52          |
|    ep_rew_mean          | -0.105        |
|    success_rate         | 0.87          |
| time/                   |               |
|    fps                  | 0             |
|    iterations           | 4             |
|    time_elapsed         | 282           |
|    total_timesteps      | 240           |
| train/                  |               |
