time/iterations,env/current_idx,time/fps,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,rollout/success_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
1,49,0,60,60,0,1.2291666666666667,-0.07280158333333332,72,0.9375,,,,,,,,,,,,,
2,86,0,120,120,0,1.411764705882353,-0.09775983529411764,141,0.9058823529411765,0.0,-0.004415920636383674,0.00023426116,0.0001,0.10205032676458359,0.2,0.3143150269985199,-1.9458183526992798,-1.4739000797271729,10,,,
3,125,0,180,180,0,1.51,-0.12685616000000002,209,0.87,0.0,-0.0033544613116342605,0.00019682448,0.0001,0.08283200114965439,0.2,0.24072666913270951,-1.945410418510437,-0.5473330020904541,20,,,
4,165,0,240,240,0,1.52,-0.10526056,282,0.87,0.0,-0.003070418879700121,0.00022046764,0.0001,0.07802032679319382,0.2,0.21333592683076857,-1.944725465774536,-0.2651784420013428,30,,,
5,208,0,300,300,0,1.41,-0.07528937,353,0.9,0.0,-0.002881956127142393,0.00023378829,0.0001,0.04920000955462456,0.2,0.14327684491872789,-1.9436951279640198,-0.333232045173645,40,,,
6,253,0,360,360,0,1.3,-0.062119089999999995,424,0.93,0.0,-0.002031078691167565,0.00015995602,0.0001,0.06610219180583954,0.2,0.19180981069803238,-1.9432509660720825,-0.2242412567138672,50,,,
7,291,0,420,420,0,1.4,-0.10462825000000002,504,0.89,0.0,-0.002958844161863894,0.00019455353,0.0001,0.0429718978703022,0.2,0.13082252740859984,-1.9427313804626465,-0.2821657657623291,60,,,
8,330,0,480,480,0,1.5,-0.15041736999999997,580,0.85,0.0,-0.002222040864483432,0.00018678606,0.0001,0.10795054584741592,0.2,0.2867742359638214,-1.9413102746009827,-0.08852660655975342,70,,,
9,368,0,540,540,0,1.58,-0.16108633,655,0.85,0.0,-0.0022624426430168042,0.00010579129,0.0001,0.07476741820573807,0.2,0.19040797054767608,-1.9407471299171448,0.14718008041381836,80,,,
10,404,0,600,600,0,1.61,-0.16045576999999997,753,0.84,0.0,-0.0016708575967156135,0.00012135506,0.0001,0.049383245408535004,0.2,0.13655169308185577,-1.9408515214920044,0.1886160969734192,90,,,
11,442,0,660,660,0,1.56,-0.13483674999999998,819,0.86,0.0,-0.006865721921979739,0.00058534543,0.0001,0.03156082704663277,0.2,0.11636749356985092,-1.9388529658317566,0.3724045753479004,100,,,
12,488,0,720,720,0,1.41,-0.10242775999999999,890,0.9,0.0,-0.0029467387003630384,0.0003948003,0.0001,0.06918640434741974,0.2,0.19024161994457245,-1.9356680512428284,0.04582422971725464,110,,,
13,531,0,780,780,0,1.39,-0.08231431999999997,965,0.92,0.0,-0.0022528924785243376,0.00040317277,0.0001,0.041759245097637177,0.2,0.12106147482991218,-1.930575430393219,-0.5231660604476929,120,,,
14,565,0,840,840,0,1.51,-0.11480338000000001,1048,0.88,0.0,-0.0032436668317919804,0.0005181432,0.0001,0.047263387590646744,0.2,0.13911852315068246,-1.926493525505066,0.10593909025192261,130,,,
15,605,0,900,900,0,1.49,-0.0851196,1126,0.89,0.0,-0.0008669011971992546,0.00023846129,0.0001,0.06753485649824142,0.2,0.18080995380878448,-1.920465314388275,0.006053566932678223,140,,,
16,649,0,960,960,0,1.48,-0.09664985999999999,1196,0.9,0.0,-0.0013017251511579175,0.00017739336,0.0001,0.039811599999666214,0.2,0.10839220806956291,-1.9181201219558717,-0.07868683338165283,150,,,
17,693,0,1020,1020,0,1.41,-0.07416521,1265,0.91,0.0,-0.00642329315344492,0.0007025232,0.0001,0.029525279998779297,0.2,0.10541836991906166,-1.914805519580841,0.2510903477668762,160,,,
18,734,0,1080,1080,0,1.41,-0.08387568,1332,0.92,0.0,-0.00744755749357866,0.001379315,0.0001,0.02868828922510147,0.2,0.10612951964139938,-1.9057872891426086,0.055213332176208496,170,,,
19,772,0,1140,1140,0,1.5,-0.11481447000000002,1410,0.89,0.0,-0.003042523235393091,0.0009481301,0.0001,0.056524112820625305,0.2,0.15761663317680358,-1.8903345704078673,0.0630497932434082,180,,,
20,815,0,1200,1200,0,1.49,-0.11436750999999998,1483,0.89,0.0,-0.00691860349926472,0.0010638416,0.0001,0.08392294496297836,0.2,0.21947243362665175,-1.8800117135047913,-0.1554650068283081,190,,,
21,858,0,1260,1260,0,1.46,-0.11590261,1558,0.89,0.0,-0.0020213192508283127,0.00073163805,0.0001,0.06879488378763199,0.2,0.1780079185962677,-1.8719808101654052,-0.14197158813476562,200,,,
22,904,0,1320,1320,0,1.37,-0.07797188000000001,1638,0.93,0.0,-0.0036496214318322727,0.00064266723,0.0001,0.046358391642570496,0.2,0.1437245450913906,-1.8778704524040222,0.03489774465560913,210,,,
23,942,0,1380,1380,0,1.36,-0.07774131000000001,1717,0.92,0.0,-0.0023553657733525134,0.00034620165,0.0001,0.03756982833147049,0.2,0.10581036135554314,-1.8860044956207276,0.2915794253349304,220,,,
24,976,0,1440,1440,0,1.54,-0.13934282,1786,0.85,0.0,-0.003461585757322627,0.00055807235,0.0001,0.04379331320524216,0.2,0.12039111331105232,-1.8827192783355713,0.0897642970085144,230,,,
