rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,env/completion_counter,rollout/ep_rew_mean,env/current_idx,env/n_steps,rollout/success_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1.5789473684210527,1,60,0,70,0,-0.2062051842105263,39,60,0.8157894736842105,,,,,,,,,,,,,
1.4814814814814814,2,120,0,141,0,-0.14174927160493828,82,120,0.8765432098765432,-0.003917263338031773,10,0.38457104861736296,0.0,-0.4953958988189697,-1.9458364963531494,0.12461187690496445,0.00021725794,0.2,0.0001,,,
1.57,3,180,0,214,0,-0.14617428,118,180,0.86,-0.0005501734224798938,20,0.28937131613492967,0.0,-0.8190023899078369,-1.945546293258667,0.09277284890413284,7.560352e-05,0.2,0.0001,,,
1.55,4,240,0,289,0,-0.12754415,156,240,0.86,-0.004033144129207367,30,0.22634179294109344,0.0,-0.11282885074615479,-1.9453100681304931,0.07757546752691269,0.0001794368,0.2,0.0001,,,
1.59,5,300,0,351,0,-0.17915381000000002,195,300,0.82,-0.0031777587893884627,40,0.2925017222762108,0.0,-0.7654260396957397,-1.9448769211769104,0.10807843506336212,0.00018453598,0.2,0.0001,,,
1.43,6,360,0,420,0,-0.13672823999999997,240,360,0.88,-0.0025143510272998882,50,0.1561611458659172,0.0,0.272188663482666,-1.9443726301193238,0.05425574630498886,0.00020672083,0.2,0.0001,,,
1.42,7,420,0,494,0,-0.12854353,280,420,0.89,-0.0015062957177484292,60,0.16288122832775115,0.0,0.22053486108779907,-1.9439273953437806,0.04740964248776436,0.00021203955,0.2,0.0001,,,
1.4,8,480,0,561,0,-0.10620007000000004,325,480,0.89,-0.0003503046430948231,70,0.18369934409856797,0.0,0.24453681707382202,-1.943401563167572,0.06853994727134705,4.8368176e-05,0.2,0.0001,,,
1.33,9,540,0,626,0,-0.0744127,370,540,0.91,-0.0033892168583891545,80,0.15321254283189772,0.0,-0.1780698299407959,-1.942595863342285,0.05201325565576553,0.0002033035,0.2,0.0001,,,
1.51,10,600,0,699,0,-0.13804366,397,600,0.87,-0.0072231592920918965,90,0.10326985120773316,0.0,0.1282351016998291,-1.9403111815452576,0.030044497922062874,0.000802057,0.2,0.0001,,,
1.72,11,660,0,762,0,-0.16304454000000004,430,660,0.82,-0.0034615585809419256,100,0.2873331159353256,0.0,0.03681802749633789,-1.935598075389862,0.08624255657196045,0.0005349129,0.2,0.0001,,,
1.87,12,720,0,830,0,-0.20436092000000003,465,720,0.78,-0.0024195624841377495,110,0.26526677161455153,0.0,-0.14125514030456543,-1.9313993811607362,0.10563991218805313,0.00040878454,0.2,0.0001,,,
1.64,13,780,0,904,0,-0.12932499000000003,507,780,0.84,-0.0034150307836049443,120,0.18885606825351714,0.0,0.08917301893234253,-1.928766655921936,0.06771565973758698,0.00032374662,0.2,0.0001,,,
1.51,14,840,0,971,0,-0.11609419000000001,549,840,0.88,-0.0022543409080632683,130,0.11991058513522149,0.0,0.15844368934631348,-1.9306520223617554,0.04304502531886101,0.00035163958,0.2,0.0001,,,
1.36,15,900,0,1040,0,-0.08378967000000001,594,900,0.91,-0.004036366753862275,140,0.11820395141839982,0.0,0.18506258726119995,-1.9322363257408142,0.04197433218359947,0.00045579672,0.2,0.0001,,,
1.37,16,960,0,1107,0,-0.06661070999999999,638,960,0.91,-0.0030374895428152194,150,0.08345570191740989,0.0,0.4003692865371704,-1.9317723870277406,0.025774557143449783,0.00050249597,0.2,0.0001,,,
1.45,17,1020,0,1171,0,-0.03620653,674,1020,0.9,-0.0034068759745181864,160,0.08612620495259762,0.0,-0.721051812171936,-1.9314461708068849,0.022302212193608284,0.00043097435,0.2,0.0001,,,
1.55,18,1080,0,1237,0,-0.06889300000000001,715,1080,0.86,-0.0024894655174770184,170,0.0942126028239727,0.0,-0.9393045902252197,-1.9298649430274963,0.030570784583687782,0.00028582016,0.2,0.0001,,,
1.47,19,1140,0,1310,0,-0.06565448000000002,759,1140,0.88,-0.0013400836848209252,180,0.15661814361810683,0.0,-0.055461764335632324,-1.9297682404518128,0.05871579796075821,0.00027615725,0.2,0.0001,,,
