time/time_elapsed,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,env/current_idx,env/n_steps,env/completion_counter,time/iterations,rollout/ep_rew_mean,train/value_loss,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
70,0,60,0.8461538461538461,1.5384615384615385,40,60,0,1,-0.14219928205128207,,,,,,,,,,,,,
141,0,120,0.8533333333333334,1.56,76,120,0,2,-0.14713782666666667,1.7549254179000855,10,0.3912654221057892,-1.9458562135696411,0.0,0.00019515952,-0.0039260814024601135,0.0001,-0.12265205383300781,0.2,,,
208,0,180,0.85,1.54,117,180,0,3,-0.16635562,0.4448108240962029,20,0.09399233758449554,-1.945579969882965,0.0,0.00013567606,-0.0016188923676963896,0.0001,-0.005747675895690918,0.2,,,
276,0,240,0.89,1.4,165,240,0,4,-0.12486707000000001,0.34279469549655917,30,0.13649746775627136,-1.945253574848175,0.0,0.00013282994,-0.0024560334746881905,0.0001,-0.6455888748168945,0.2,,,
340,0,300,0.9,1.38,205,300,0,5,-0.11162626000000002,0.22353306263685227,40,0.07767662405967712,-1.9449021577835084,0.0,0.00017134249,-0.003337490265257692,0.0001,-0.5779776573181152,0.2,,,
410,0,360,0.86,1.52,240,360,0,6,-0.12372341999999996,0.37157841622829435,50,0.1372820883989334,-1.9448170781135559,0.0,0.00022846957,-0.0027264425236110945,0.0001,-0.9998495578765869,0.2,,,
477,0,420,0.86,1.56,279,420,0,7,-0.10519145999999999,0.1970559149980545,60,0.06886966526508331,-1.9440481305122375,0.0,0.00020937025,-0.00228153897400869,0.0001,-0.347334623336792,0.2,,,
545,0,480,0.87,1.53,323,480,0,8,-0.09594487999999998,0.154424224793911,70,0.05376524478197098,-1.9425811886787414,0.0,0.00043906074,-0.003285560837054291,0.0001,-0.26429879665374756,0.2,,,
624,0,540,0.91,1.44,363,540,0,9,-0.07521525999999999,0.10821259021759033,80,0.03120037540793419,-1.9395498275756835,0.0,0.0008547475,-0.004861062065077304,0.0001,-0.16984355449676514,0.2,,,
702,0,600,0.86,1.57,399,600,0,10,-0.11963772,0.1669495850801468,90,0.06388884037733078,-1.9354344964027406,0.0,0.00042488673,-0.0021490850769805723,0.0001,-0.2765038013458252,0.2,,,
851,0,660,0.81,1.72,429,660,0,11,-0.18192609999999998,0.18396821320056916,100,0.06321274489164352,-1.9326566815376283,0.0,0.00028780897,-0.0024656057230702188,0.0001,-0.04985654354095459,0.2,,,
944,0,720,0.8,1.77,465,720,0,12,-0.20353063999999998,0.24311025589704513,110,0.09550917893648148,-1.930044460296631,0.0,0.00033373633,-0.0036151198352066594,0.0001,-0.03670215606689453,0.2,,,
1018,0,780,0.8,1.8,497,780,0,13,-0.19116553999999994,0.23377560526132585,120,0.0977749451994896,-1.9285393953323364,0.0,9.25988e-05,0.0007223628041296059,0.0001,-0.03662097454071045,0.2,,,
1085,0,840,0.84,1.65,536,840,0,14,-0.14678411,0.1491667151451111,130,0.05757883936166763,-1.9286304116249084,0.0,0.00034121872,-0.0036396562251805433,0.0001,0.08749008178710938,0.2,,,
1157,0,900,0.85,1.63,575,900,0,15,-0.15609102,0.15062412172555922,140,0.05517904460430145,-1.9261820912361145,0.0,0.0005125791,-0.003908553891427147,0.0001,0.22080785036087036,0.2,,,
1230,0,960,0.91,1.41,618,960,0,16,-0.09307444000000001,0.15983035415410995,150,0.058110594749450684,-1.9219531655311584,0.0,0.0005073577,-0.0033079075713613017,0.0001,0.15138453245162964,0.2,,,
1297,0,1020,0.92,1.39,658,1020,0,17,-0.06455688,0.09692996591329575,160,0.036554910242557526,-1.921888041496277,0.0,0.00014839371,-0.0010036272998937613,0.0001,0.3058745861053467,0.2,,,
1363,0,1080,0.89,1.48,695,1080,0,18,-0.09965169000000001,0.09098285064101219,170,0.025561321526765823,-1.9178388953208922,0.0,0.0009858619,-0.0066994541328555535,0.0001,0.1267419457435608,0.2,,,
1433,0,1140,0.85,1.61,729,1140,0,19,-0.1084484,0.14803919196128845,180,0.055488429963588715,-1.906302261352539,0.0,0.0006437043,-0.002462812754092747,0.0001,0.31195729970932007,0.2,,,
1513,0,1200,0.84,1.59,771,1200,0,20,-0.13965820000000004,0.14895572736859322,190,0.050672776997089386,-1.8958863258361816,0.0,0.00075017114,-0.004628262998691568,0.0001,-0.32796716690063477,0.2,,,
1592,0,1260,0.85,1.59,810,1260,0,21,-0.13659057,0.14342135190963745,200,0.05211940407752991,-1.8850781321525574,0.0,0.0004929642,-0.000206678132769067,0.0001,0.37786298990249634,0.2,,,
1669,0,1320,0.91,1.4,854,1320,0,22,-0.10375529,0.1919875204563141,210,0.07724861800670624,-1.8754968881607055,0.0,0.00021851262,-0.0018667107026946184,0.0001,0.08723968267440796,0.2,,,
1746,0,1380,0.89,1.48,890,1380,0,23,-0.12706253,0.1762741968035698,220,0.06803999841213226,-1.8673095941543578,0.0,0.000621897,-0.002909285918964777,0.0001,-0.2707951068878174,0.2,,,
1812,0,1440,0.93,1.37,938,1440,0,24,-0.07407251000000001,0.14649959951639174,230,0.044958002865314484,-1.861334776878357,0.0,0.0006685982,-0.0038225359234880683,0.0001,0.3351553678512573,0.2,,,
1879,0,1500,0.95,1.36,977,1500,0,25,-0.052569050000000006,0.16201434284448624,240,0.03572512045502663,-1.8526170372962951,0.0,0.00070142845,-0.00847893826585917,0.0001,-49.848079681396484,0.2,,,
1953,0,1560,0.9,1.58,1009,1560,0,26,-0.10688284999999997,0.15257561951875687,250,0.05478781461715698,-1.8478004097938538,0.0,0.00041954516,-0.004082798550371081,0.0001,-0.021792292594909668,0.2,,,
2018,0,1620,0.85,1.68,1046,1620,0,27,-0.13875481999999997,0.17728758305311204,260,0.06132589280605316,-1.8405555009841919,0.0,0.0012235423,-0.008284707004980473,0.0001,0.0994686484336853,0.2,,,
2088,0,1680,0.84,1.71,1084,1680,0,28,-0.14024759,0.18718720823526383,270,0.06344347447156906,-1.8122921466827393,0.0,0.0023641565,-0.009792310420113326,0.0001,-0.12459421157836914,0.2,,,
2149,0,1740,0.86,1.57,1125,1740,0,29,-0.09690205,0.10656098201870919,280,0.03261300548911095,-1.7729220151901246,0.0,0.0023542235,-0.006872319640436686,0.0001,0.26302337646484375,0.2,,,
2214,0,1800,0.88,1.53,1163,1800,0,30,-0.09770377999999999,0.12033427283167838,290,0.045729029923677444,-1.7440162658691407,0.0,0.00037909945,-0.0012153193222669057,0.0001,-0.27908217906951904,0.2,,,
2288,0,1860,0.87,1.51,1204,1860,0,31,-0.12951577999999997,0.14764002561569214,300,0.05871891602873802,-1.741838026046753,0.0,0.00037778815,-0.0015746206543433062,0.0001,0.14727360010147095,0.2,,,
2360,0,1920,0.91,1.37,1249,1920,0,32,-0.10492939,0.21278418153524398,310,0.09023489058017731,-1.7229235887527465,0.0,0.00088100333,-0.0027158254439321183,0.0001,-0.04000139236450195,0.2,,,
