env/completion_counter,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,env/n_steps,time/fps,rollout/success_rate,time/time_elapsed,env/current_idx,time/iterations,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length,eval/success_rate
0,-0.165648,1.7647058823529411,60,60,0,0.7941176470588235,76,35,1,,,,,,,,,,,,,
0,-0.11011322891566265,1.4457831325301205,120,120,0,0.8795180722891566,149,84,2,-0.026175952609861212,-0.053547345101833344,-0.7304985523223877,0.008386928,50,-1.943501465320587,0.003333333507180214,0.0001,0.18080681163817644,0.2,,,
0,-0.09288130000000003,1.44,180,180,0,0.89,227,120,3,-0.04749671449411348,-0.08597775548696518,-0.12709534168243408,0.010077606,100,-1.9255404496192932,0.10200000178068876,0.0001,0.03951624338049441,0.2,,,
0,-0.09442542,1.51,240,240,0,0.88,293,159,4,-0.04930868104631859,-0.09579679369926453,-0.44036102294921875,0.010844374,150,-1.932294933795929,0.09833333507180214,0.0001,0.050512932883575556,0.2,,,
0,-0.09645472999999999,1.62,300,300,0,0.87,364,197,5,-0.0643254956678332,-0.10680147260427475,-0.12447667121887207,0.0175714,200,-1.92262038230896,0.17533333364874124,0.0001,0.04890260116197169,0.2,,,
0,-0.10772352000000002,1.66,360,360,0,0.86,431,229,6,-0.058505010905597954,-0.10723727196455002,-0.060216307640075684,0.01353271,250,-1.8985414719581604,0.10700000233948231,0.0001,0.03859182332176715,0.2,,,
0,-0.08535361000000002,1.56,420,420,0,0.9,496,272,7,-0.07274853935449695,-0.12803959846496582,-0.42223989963531494,0.018596709,300,-1.9009969997406007,0.17533333383500577,0.0001,0.05640321539714933,0.2,,,
0,-0.11596843,1.57,480,480,0,0.87,566,309,8,-0.06241821963735855,-0.10193195939064026,-0.9132677316665649,0.01447446,350,-1.8897841930389405,0.14900000274181366,0.0001,0.050655226334929464,0.2,,,
0,-0.11589614000000001,1.57,540,540,0,0.88,631,344,9,-0.06974730493438255,-0.12121069431304932,-0.1492912769317627,0.01682035,400,-1.8489681696891784,0.19566666793078183,0.0001,0.10798792365938426,0.2,,,
0,-0.12963113999999998,1.62,600,600,0,0.87,706,385,10,-0.06349154481268489,-0.1104271411895752,-0.10850989818572998,0.01610011,450,-1.8231646299362183,0.14500000331550836,0.0001,0.07199371591210366,0.2,,,
