time/iterations,env/current_idx,rollout/ep_len_mean,rollout/ep_rew_mean,env/completion_counter,time/total_timesteps,time/time_elapsed,env/n_steps,rollout/success_rate,time/fps,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1,35,1.7647058823529411,-0.23735394117647063,0,60,74,60,0.7941176470588235,0,,,,,,,,,,,,,
2,75,1.6216216216216217,-0.1697726216216216,0,120,139,120,0.8378378378378378,0,0.0001,0.04066666826605797,0.011736572,-0.0342863475868168,0.16878383731469512,-0.9020956754684448,0.2,50,-0.06110459193587303,-1.9427582788467408,,,
3,119,1.46,-0.12362262000000002,0,180,202,180,0.88,0,0.0001,0.050666668638587,0.009449811,-0.03391320987309639,0.08586489632725716,-0.8012200593948364,0.2,100,-0.0714900940656662,-1.9271663546562194,,,
4,158,1.47,-0.14387795999999997,0,240,263,240,0.86,0,0.0001,0.2043333348631859,0.02061065,-0.06596997765288687,0.05763682100921869,0.07076400518417358,0.2,150,-0.11302544176578522,-1.934019341468811,,,
5,193,1.56,-0.16698384,0,300,329,300,0.83,0,0.0001,0.057333335056900976,0.012093738,-0.04882817244888672,0.07685182923451066,0.04304349422454834,0.2,200,-0.10033126920461655,-1.9244536471366882,,,
6,227,1.71,-0.20184154999999998,0,360,400,360,0.79,0,0.0001,0.0860000018775463,0.013276458,-0.05610731957668516,0.08180161694996059,-0.09311902523040771,0.2,250,-0.11455836147069931,-1.9146890950202942,,,
7,261,1.74,-0.21302127999999995,0,420,459,420,0.78,0,0.0001,0.14966666791588068,0.014825079,-0.06554257278937925,0.0946075571142137,-0.18162250518798828,0.2,300,-0.11569603532552719,-1.9059946894645692,,,
8,301,1.64,-0.1811698300000001,0,480,519,480,0.82,0,0.0001,0.25366666667163373,0.018346906,-0.07284277808627426,0.08202409833669662,0.18360859155654907,0.2,350,-0.11625562608242035,-1.901796419620514,,,
9,346,1.4,-0.08428621999999997,0,540,587,540,0.91,0,0.0001,0.17033333640545606,0.01314434,-0.06994043526437599,0.052025460060685876,0.08967328071594238,0.2,400,-0.11826532334089279,-1.903741285800934,,,
10,379,1.54,-0.13572546000000002,0,600,664,600,0.88,0,0.0001,0.1673333353549242,0.015314087,-0.06574742188910022,0.03257087095174938,-0.2951620817184448,0.2,450,-0.10563134402036667,-1.876101758480072,,,
11,418,1.59,-0.13681024,0,660,727,660,0.87,0,0.0001,0.18966666765511037,0.01779234,-0.06315274532837793,0.12962542112916708,-0.042665839195251465,0.2,500,-0.11340659856796265,-1.879800181388855,,,
12,466,1.42,-0.09407163,0,720,792,720,0.91,0,0.0001,0.1830000041052699,0.016552424,-0.0679833030810502,0.07405167013406753,-0.21994102001190186,0.2,550,-0.11731807887554169,-1.8408629751205445,,,
13,503,1.51,-0.11589146,0,780,857,780,0.87,0,0.0001,0.23866666857153176,0.019208796,-0.07537164462551785,0.05409610792994499,0.09409821033477783,0.2,600,-0.1248030960559845,-1.809726505279541,,,
14,542,1.48,-0.11580131000000003,0,840,925,840,0.88,0,0.0001,0.24166666775941847,0.017791701,-0.06939769606796713,0.07988194229081273,-0.23361945152282715,0.2,650,-0.12394486367702484,-1.8277064681053161,,,
15,581,1.56,-0.12869226,0,900,993,900,0.88,0,0.0001,0.2579999990388751,0.018410612,-0.07906117750510262,0.07549879063852132,-0.015332341194152832,0.2,700,-0.12826859951019287,-1.7496849393844605,,,
16,619,1.55,-0.10969486000000002,0,960,1057,960,0.89,0,0.0001,0.2803333334997296,0.021444043,-0.08330234214725593,0.04120776941068471,-0.13564825057983398,0.2,750,-0.12301665544509888,-1.7203004813194276,,,
17,660,1.54,-0.09541989999999999,0,1020,1128,1020,0.9,0,0.0001,0.28000000569969413,0.020606773,-0.07545588833924073,0.05306609850376844,0.13907480239868164,0.2,800,-0.11242620646953583,-1.6806519508361817,,,
18,703,1.42,-0.07504491999999999,0,1080,1192,1080,0.93,0,0.0001,0.2723333360999823,0.021964878,-0.08044931157911193,0.041891934648156166,0.2417128086090088,0.2,850,-0.12061978131532669,-1.7230633687973023,,,
19,756,1.3,-0.05319744000000001,0,1140,1264,1140,0.95,0,0.0001,0.2736666665971279,0.023382528,-0.08323414999991656,0.044192948825657365,-0.021802902221679688,0.2,900,-0.1185951977968216,-1.5815057134628296,,,
20,803,1.2,-0.042264399999999994,0,1200,1327,1200,0.97,0,0.0001,0.18700000174343587,0.021635195,-0.07131245736762261,0.023518931679427625,-0.05230116844177246,0.2,950,-0.12173163145780563,-1.5680523824691772,,,
21,841,1.37,-0.06509804999999999,0,1260,1391,1260,0.92,0,0.0001,0.3236666672676802,0.020188006,-0.06958572777267545,0.06268389977514743,-0.5961024761199951,0.2,1000,-0.10233738273382187,-1.523922004699707,,,
