Logging to ./LLM_train_results/PPO_LLM_Env-v0_MultiInputPolicy_lr0.0001_ns60_bs256_ep50_ia0_el4_ftzero_shot_20250326-213443
------------------------------------
| env/                  |          |
|    completion_counter | 0        |
|    current_idx        | 40       |
|    n_steps            | 60       |
| rollout/              |          |
|    ep_len_mean        | 1.51     |
|    ep_rew_mean        | -0.0659  |
|    success_rate       | 0.897    |
| time/                 |          |
|    fps                | 0        |
|    iterations         | 1        |
|    time_elapsed       | 77       |
|    total_timesteps    | 60       |
------------------------------------
------------------------------------------
| env/                    |              |
|    completion_counter   | 0            |
|    current_idx          | 77           |
|    n_steps              | 120          |
| rollout/                |              |
|    ep_len_mean          | 1.57         |
|    ep_rew_mean          | -0.0961      |
|    success_rate         | 0.882        |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 2            |
|    time_elapsed         | 147          |
|    total_timesteps      | 120          |
| train/                  |              |
|    approx_kl            | 0.0089453645 |
|    clip_fraction        | 0.00967      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.94        |
|    explained_variance   | -1.33        |
|    learning_rate        | 0.0001       |
|    loss                 | -0.0621      |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.028       |
|    value_loss           | 0.0732       |
------------------------------------------
----------------------------------------
| env/                    |            |
|    completion_counter   | 0          |
|    current_idx          | 122        |
|    n_steps              | 180        |
| rollout/                |            |
|    ep_len_mean          | 1.48       |
|    ep_rew_mean          | -0.0955    |
|    success_rate         | 0.9        |
| time/                   |            |
|    fps                  | 0          |
|    iterations           | 3          |
|    time_elapsed         | 219        |
|    total_timesteps      | 180        |
| train/                  |            |
|    approx_kl            | 0.01167495 |
|    clip_fraction        | 0.107      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.93      |
|    explained_variance   | -0.26      |
|    learning_rate        | 0.0001     |
|    loss                 | -0.0715    |
|    n_updates            | 100        |
|    policy_gradient_loss | -0.0407    |
|    value_loss           | 0.0781     |
----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 165         |
|    n_steps              | 240         |
| rollout/                |             |
|    ep_len_mean          | 1.4         |
|    ep_rew_mean          | -0.0947     |
|    success_rate         | 0.91        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 4           |
|    time_elapsed         | 291         |
|    total_timesteps      | 240         |
| train/                  |             |
|    approx_kl            | 0.012371832 |
|    clip_fraction        | 0.082       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.0317      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.0918     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0452     |
|    value_loss           | 0.0264      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 201         |
|    n_steps              | 300         |
| rollout/                |             |
|    ep_len_mean          | 1.5         |
|    ep_rew_mean          | -0.128      |
|    success_rate         | 0.88        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 5           |
|    time_elapsed         | 357         |
|    total_timesteps      | 300         |
| train/                  |             |
|    approx_kl            | 0.014460135 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | -0.13       |
|    learning_rate        | 0.0001      |
|    loss                 | -0.106      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.055      |
|    value_loss           | 0.0531      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 237         |
|    n_steps              | 360         |
| rollout/                |             |
|    ep_len_mean          | 1.55        |
|    ep_rew_mean          | -0.128      |
|    success_rate         | 0.88        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 6           |
|    time_elapsed         | 430         |
|    total_timesteps      | 360         |
| train/                  |             |
|    approx_kl            | 0.016748207 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.92       |
|    explained_variance   | 0.0645      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.115      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0656     |
|    value_loss           | 0.0658      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 279         |
|    n_steps              | 420         |
| rollout/                |             |
|    ep_len_mean          | 1.51        |
|    ep_rew_mean          | -0.126      |
|    success_rate         | 0.89        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 7           |
|    time_elapsed         | 498         |
|    total_timesteps      | 420         |
| train/                  |             |
|    approx_kl            | 0.015925925 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.9        |
|    explained_variance   | -0.105      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.123      |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0683     |
|    value_loss           | 0.059       |
-----------------------------------------
-----------------------------------------
| env/                    |             |
|    completion_counter   | 0           |
|    current_idx          | 321         |
|    n_steps              | 480         |
| rollout/                |             |
|    ep_len_mean          | 1.52        |
|    ep_rew_mean          | -0.134      |
|    success_rate         | 0.88        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 8           |
|    time_elapsed         | 567         |
|    total_timesteps      | 480         |
| train/                  |             |
|    approx_kl            | 0.015160069 |
|    clip_fraction        | 0.156       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.91       |
|    explained_variance   | -0.374      |
|    learning_rate        | 0.0001      |
|    loss                 | -0.118      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0636     |
|    value_loss           | 0.0724      |
-----------------------------------------
-----------------------------------------
| env/                    |             |
