time/total_timesteps,env/n_steps,time/time_elapsed,time/fps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,eval/mean_ep_length,eval/mean_reward,eval/success_rate
100,100,123,0,52,0,-0.28222323529411764,1.9215686274509804,0.9215686274509803,1,,,,,,,,,,,,,
200,200,255,0,126,0,-0.16984356,1.58,0.97,2,-1.9337425231933594,0.38957226276397705,0.001,10,-0.04076052276790145,-0.10939335823059082,0.026286683976650238,0.2,0.028765043,0.2109999969601631,,,
300,300,381,0,187,0,-0.1472493,1.56,0.99,3,-1.9225621819496155,0.06216074246913195,0.001,20,-0.030434747205115808,-2.579639434814453,-0.054134469479322433,0.2,0.014283087,0.058000000193715096,,,
400,400,510,0,244,0,-0.16116302999999998,1.58,0.97,4,-1.908595609664917,0.26974813640117645,0.001,30,-0.01957809159136379,-0.051069021224975586,0.01393994688987732,0.2,0.011134796,0.05499999932944775,,,
500,500,632,0,305,0,-0.19228317,1.71,0.96,5,-1.8580046772956849,0.5159379631280899,0.001,40,-0.015112152200192241,-0.11256957054138184,0.12018811702728271,0.2,0.0209565,0.19799999743700028,,,
600,600,758,0,366,0,-0.20222657,1.69,0.95,6,-1.8445477604866027,0.22276534885168076,0.001,50,-0.03749263388477266,0.31955862045288086,0.01063787192106247,0.2,0.024480786,0.11599999610334635,,,
700,700,892,0,440,0,-0.10730735,1.39,0.99,7,-1.730537974834442,0.4172112584114075,0.001,60,-0.03116847503557798,0.2924584746360779,0.0769108459353447,0.2,0.030581364,0.2559999981895089,,,
800,800,1017,0,504,0,-0.15919158,1.52,0.97,8,-1.780382764339447,0.08052398450672626,0.001,70,-0.02946930840238906,-3.0395941734313965,-0.03392656520009041,0.2,0.010188234,0.19899999760091305,,,
900,900,1139,0,564,0,-0.16578010999999995,1.63,0.98,9,-1.5989393234252929,0.5517140299081802,0.001,80,-0.013736595398048123,0.03618013858795166,0.14675657451152802,0.2,0.015858505,0.10999999828636646,,,
1000,1000,,,641,0,,,,,-1.6594375133514405,0.18285413831472397,0.001,90,-0.02338370917458086,-0.09251987934112549,0.014945514500141144,0.2,0.03522269,0.23699999339878558,1.78,-0.2137604452110827,0.96
1000,,1491,0,,,-0.11179578999999999,1.43,0.99,10,,,,,,,,,,,,,
1100,1100,1615,0,706,0,-0.11193894000000001,1.44,0.99,11,-1.6365742564201355,0.19816286414861678,0.001,100,-0.018920838588615884,0.09749990701675415,0.0348593145608902,0.2,0.024427947,0.15399999637156725,,,
1200,1200,1737,0,773,0,-0.13846108000000001,1.53,0.98,12,-1.6574109077453614,0.20421146601438522,0.001,110,-0.01706228186667431,-0.14259088039398193,0.019329968839883804,0.2,0.015327928,0.06999999843537807,,,
1300,1300,1862,0,846,0,-0.14656413999999998,1.43,0.97,13,-1.6455058336257935,0.18684525564312934,0.001,120,-0.025410032746382073,-0.006513237953186035,0.011773467063903809,0.2,0.02589805,0.2029999965801835,,,
1400,1400,1992,0,925,0,-0.062087140000000006,1.23,1.0,14,-1.5891928553581238,0.5024225801229477,0.001,130,-0.026930571317672715,0.2155563235282898,0.09845774620771408,0.2,0.018349174,0.10700000002980233,,,
1500,1500,2115,0,997,0,-0.09197367,1.37,0.99,15,-1.6650644540786743,0.048782176338136196,0.001,140,-0.03218036370538169,-0.9713293313980103,-0.0486333854496479,0.2,0.01957689,0.10399999767541886,,,
1600,1600,2244,0,1072,0,-0.07101601,1.28,1.0,16,-1.5946821808815002,0.043618519231677054,0.001,150,-0.03390621090494097,0.36742061376571655,-0.046605344861745834,0.2,0.007911185,0.1579999953508377,,,
1700,1700,2370,0,1151,0,-0.08064368999999999,1.33,1.0,17,-1.5936872124671937,0.035859990678727624,0.001,160,-0.03723586091212931,-0.5722697973251343,-0.04603405296802521,0.2,0.035286315,0.30799999088048935,,,
1800,1800,2496,0,1226,0,-0.10044840000000001,1.38,0.99,18,-1.487735879421234,0.025388663075864314,0.001,170,-0.03965646428614864,-0.12305068969726562,-0.057262077927589417,0.2,0.030594507,0.338999992609024,,,
1900,1900,2630,0,1309,0,-0.07934825999999999,1.28,0.99,19,-1.471888017654419,0.22784422785043718,0.001,180,-0.050653646342456324,-0.02982151508331299,0.02939983457326889,0.2,0.044066723,0.4839999958872795,,,
2000,2000,,,1374,0,,,,,-1.3992305636405944,0.02223812723532319,0.001,190,-0.03752962793852195,-0.23156392574310303,-0.04872840642929077,0.2,0.0549852,0.3239999977871776,1.13,-0.04636553393444046,0.99
2000,,2908,0,,,-0.11060918999999998,1.38,0.98,20,,,,,,,,,,,,,
