env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/iterations,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl
130,-0.217153611658141,1.52,0.76,300,300,0,,,,,,,,,,,,,,,,
,,,,300,,,-0.5899406100000001,0,2.33,495,0.38,1,,,,,,,,,,
266,-0.06940593299455941,1.2,0.92,600,600,0,,,,,,,-0.032520251465030015,-0.03309737890958786,-1.936310076713562,-0.6845096349716187,0.001,0.2,0.1298828125,10,0.2522462893277407,0.011613429
,,,,600,,,-0.56783073,0,2.21,930,0.44,2,,,,,,,,,,
405,-0.13340921928640456,1.48,0.8,900,900,0,,,,,,,-0.030172297364333644,-0.024473845958709717,-1.9245918214321136,-0.22757768630981445,0.001,0.2,0.09501065388321876,20,0.18142471723258496,0.011849714
,,,,900,,,-0.4465527100000001,0,2.11,1389,0.5,3,,,,,,,,,,
541,-0.08885732176247985,1.2,0.9,1200,1200,0,,,,,,,-0.032912070861493704,-0.021700046956539154,-1.9027412474155425,-0.11589837074279785,0.001,0.2,0.17155539952218532,30,0.18666440062224865,0.010431128
,,,,1200,,,-0.53190529,0,2.24,1819,0.42,4,,,,,,,,,,
683,-0.21778049338143318,1.48,0.78,1500,1500,0,,,,,,,-0.03187860067846486,-0.02168864756822586,-1.8733834326267242,-0.08023881912231445,0.001,0.2,0.1515447460114956,40,0.1869998723268509,0.007602295
,,,,1500,,,-0.5359289399999999,0,2.16,2266,0.5,5,,,,,,,,,,
830,-0.02777808468323201,1.12,0.96,1800,1800,0,,,,,,,-0.0408289702842012,0.021687161177396774,-1.8382823824882508,-0.11385250091552734,0.001,0.2,0.22379261404275894,50,0.19505002088844775,0.013184911
,,,,1800,,,-0.43740119,0,1.98,2694,0.54,6,,,,,,,,,,
981,-0.02850767457857728,1.12,0.98,2100,2100,0,,,,,,,-0.04861224218038842,-0.0004844292998313904,-1.7593849897384644,0.036118507385253906,0.001,0.2,0.347265625,60,0.18902197442948818,0.01953048
,,,,2100,,,-0.43972968,0,2.08,3139,0.51,7,,,,,,,,,,
1137,-0.02973478919826448,1.18,0.92,2400,2400,0,,,,,,,-0.05368790898937732,-0.004942730069160461,-1.6774311304092406,0.04701375961303711,0.001,0.2,0.3469282671809196,70,0.1971725754439831,0.022095907
,,,,2400,,,-0.33761739999999996,0,1.86,3572,0.63,8,,,,,,,,,,
1295,-0.06907144229859113,1.22,0.9,2700,2700,0,,,,,,,-0.038891437789425255,0.012414820492267609,-1.515132838487625,0.10508841276168823,0.001,0.2,0.3236860793083906,80,0.18238886818289757,0.028412394
,,,,2700,,,-0.3428047500000001,0,1.83,4030,0.63,9,,,,,,,,,,
1466,-0.05094061801210046,1.24,0.88,3000,3000,0,,,,,,,-0.03555810815887526,0.008868172764778137,-1.3557165920734406,0.020008206367492676,0.001,0.2,0.1575639195740223,90,0.21408904567360879,0.0142516885
,,,,3000,,,-0.26010083,0,1.69,4480,0.73,10,,,,,,,,,,
1638,-0.027655170802026986,1.14,0.94,3300,3300,0,,,,,,,-0.02545454171486199,0.04479266330599785,-1.2216443955898284,-0.017992138862609863,0.001,0.2,0.17329545468091964,100,0.18441576696932316,0.013249599
,,,,3300,,,-0.26830215999999996,0,1.83,4921,0.67,11,,,,,,,,,,
1808,-0.07112399541772901,1.2,0.92,3600,3600,0,,,,,,,-0.03659179696114734,-0.005477890372276306,-1.1134361028671265,-0.01375269889831543,0.001,0.2,0.1342684656381607,110,0.18027091585099697,0.022058606
,,,,3600,,,-0.24543677,0,1.77,5371,0.68,12,,,,,,,,,,
1976,-0.06942870475817471,1.26,0.92,3900,3900,0,,,,,,,-0.03516877471411135,-0.011300347745418549,-1.1090877056121826,0.1279342770576477,0.001,0.2,0.1223366480320692,120,0.17388617061078548,0.020878658
,,,,3900,,,-0.28863665,0,1.85,5820,0.62,13,,,,,,,,,,
2141,-0.04950979229994118,1.18,0.94,4200,4200,0,,,,,,,-0.037674374599009755,0.003218352794647217,-1.049920991063118,-0.060356974601745605,0.001,0.2,0.1700639206916094,130,0.1758497551083565,0.025446225
,,,,4200,,,-0.41422965,0,1.96,6264,0.57,14,,,,,,,,,,
2313,-0.07286913789808751,1.28,0.88,4500,4500,0,,,,,,,-0.029968200786970555,0.02235947921872139,-0.9552242279052734,0.031992554664611816,0.001,0.2,0.17148437574505807,140,0.2100291669368744,0.02482362
,,,,4500,,,-0.28053499000000004,0,1.82,6767,0.67,15,,,,,,,,,,
2485,-0.053874514559283854,1.32,0.88,4800,4800,0,,,,,,,-0.028468687395798043,0.00030700117349624634,-1.052817440032959,0.12725841999053955,0.001,0.2,0.13771306909620762,150,0.16445737034082414,0.022696959
,,,,4800,,,-0.31108544,0,1.76,7253,0.66,16,,,,,,,,,,
2660,-0.11292706279549748,1.26,0.9,5100,5100,0,,,,,,,-0.027659718762151897,0.03442566469311714,-0.9396939724683762,0.17315059900283813,0.001,0.2,0.13959517031908036,160,0.1840749092400074,0.020167768
,,,,5100,,,-0.29885722000000003,0,1.73,7733,0.69,17,,,,,,,,,,
2822,-0.08950727118179203,1.22,0.92,5400,5400,0,,,,,,,-0.031246774246392307,0.02854214236140251,-0.8127777695655822,0.15976238250732422,0.001,0.2,0.15051491595804692,170,0.1825218167155981,0.018973153
,,,,5400,,,-0.36555617999999995,0,1.91,8209,0.57,18,,,,,,,,,,
3011,-0.07007874587085099,1.22,0.92,5700,5700,0,,,,,,,-0.04156017904169858,-0.028218761086463928,-0.9513088673353195,0.1440730094909668,0.001,0.2,0.1864346604794264,180,0.16640118844807147,0.054459132
,,,,5700,,,-0.24332452000000004,0,1.54,8684,0.77,19,,,,,,,,,,
3178,-0.15676847844384612,1.36,0.84,6000,6000,0,,,,,,,-0.037629984493833035,-0.016362782567739487,-0.8418945729732513,0.24241995811462402,0.001,0.2,0.16276633515954017,190,0.1590752277523279,0.01874661
,,,,6000,,,-0.37769495999999997,0,1.87,9159,0.63,20,,,,,,,,,,
3353,-0.04848574321717024,1.12,0.96,6300,6300,0,,,,,,,-0.040711319487309085,-0.0020585395395755768,-0.8411611497402192,0.16396808624267578,0.001,0.2,0.21685014255344867,200,0.17374687492847443,0.022757493
,,,,6300,,,-0.28531704,0,1.73,9626,0.67,21,,,,,,,,,,
3529,-0.07053710889536888,1.24,0.88,6600,6600,0,,,,,,,-0.031116410344839095,0.010291263461112976,-0.7319478541612625,0.015199601650238037,0.001,0.2,0.17503551244735718,210,0.1892654586583376,0.017184714
,,,,6600,,,-0.26301394,0,1.67,10101,0.72,22,,,,,,,,,,
3710,-0.09115927533246576,1.28,0.9,6900,6900,0,,,,,,,-0.0358526839161641,-0.018605440855026245,-0.7828396201133728,0.13755404949188232,0.001,0.2,0.13259943276643754,220,0.18177394196391106,0.044560462
,,,,6900,,,-0.23385045000000002,0,1.6,10582,0.76,23,,,,,,,,,,
3895,-0.0490353187918663,1.22,0.94,7200,7200,0,,,,,,,-0.03630080444272608,0.01017138734459877,-0.7345492243766785,0.04131603240966797,0.001,0.2,0.18719815388321875,230,0.171477510035038,0.040350772
,,,,7200,,,-0.29443479,0,1.72,11062,0.69,24,,,,,,,,,,
4066,-0.11081482398323715,1.3,0.88,7500,7500,0,,,,,,,-0.03754306324990466,-0.014728043228387833,-0.6407144024968148,0.18155288696289062,0.001,0.2,0.13235085383057593,240,0.14814460054039955,0.03324397
,,,,7500,,,-0.31372424000000004,0,1.82,11527,0.63,25,,,,,,,,,,
4241,-0.13451092794537545,1.36,0.84,7800,7800,0,,,,,,,-0.032777608814649285,0.015182040631771088,-0.7349752128124237,0.09609240293502808,0.001,0.2,0.11550071127712727,250,0.18723907321691513,0.029622005
,,,,7800,,,-0.23960048,0,1.65,11992,0.71,26,,,,,,,,,,
4436,-0.06918123869225383,1.22,0.92,8100,8100,0,,,,,,,-0.03368235619564075,0.030481483787298203,-0.5716576963663101,0.04032403230667114,0.001,0.2,0.16029829606413842,260,0.20322576463222503,0.031704202
,,,,8100,,,-0.19294998999999996,0,1.51,12421,0.79,27,,,,,,,,,,
4614,-0.07066580577287823,1.3,0.88,8400,8400,0,,,,,,,-0.030459847737802193,-0.03130893036723137,-0.6760746359825134,0.250116765499115,0.001,0.2,0.12093395069241523,270,0.159348451346159,0.020937787
,,,,8400,,,-0.33585924,0,1.74,12873,0.67,28,,,,,,,,,,
4810,-0.1723155303671956,1.52,0.78,8700,8700,0,,,,,,,-0.036296275747008624,-0.005312025547027588,-0.6979536771774292,0.21659541130065918,0.001,0.2,0.1444069605320692,280,0.1597235668450594,0.028879806
,,,,8700,,,-0.17612713000000002,0,1.53,13351,0.82,29,,,,,,,,,,
4999,-0.05002856923267245,1.2,0.94,9000,9000,0,,,,,,,-0.03174468166544102,0.006527133285999298,-0.605897243320942,0.10726231336593628,0.001,0.2,0.12672230117022992,290,0.15097896084189416,0.037969712
,,,,9000,,,-0.21687222999999997,0,1.59,13792,0.74,30,,,,,,,,,,
5186,-0.09162968552671373,1.26,0.9,9300,9300,0,,,,,,,-0.02815974074183032,0.012650106102228165,-0.5793187081813812,0.17123615741729736,0.001,0.2,0.12107599526643753,300,0.15067926682531835,0.035565846
,,,,9300,,,-0.14650603,0,1.6,14247,0.75,31,,,,,,,,,,
5363,-0.07158081544097512,1.26,0.92,9600,9600,0,,,,,,,-0.027749278012197464,-0.02055777981877327,-0.5384671613574028,0.05290663242340088,0.001,0.2,0.10051491558551788,310,0.1560292113572359,0.025125604
,,,,9600,,,-0.27366131000000005,0,1.73,14687,0.7,32,,,,,,,,,,
