eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,eval/mean_reward,env/current_idx,env/n_steps,rollout/ep_len_mean,rollout/success_rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/loss,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
1.38,0.84,300,0,-0.1331213070359081,137,300,,,,,,,,,,,,,,,,
,,300,,,,,2.27,0.42,0,-0.58863366,457,1,,,,,,,,,,
1.36,0.82,600,0,-0.1729075359646231,272,600,,,,,,,0.2,0.001,-0.03315869198413566,0.010170719,10,0.04677968472242355,0.15284091010689735,-0.5616676807403564,0.3767031870782375,-1.9371992647647858
,,600,,,,,2.18,0.46,0,-0.5767450300000001,883,2,,,,,,,,,,
1.3,0.92,900,0,-0.09105893325060606,419,900,,,,,,,0.2,0.001,-0.03882225929410197,0.009289872,20,0.024601727724075317,0.2722301136702299,-0.05079507827758789,0.17389028519392014,-1.9075130224227905
,,900,,,,,1.93,0.6,0,-0.40786552,1306,3,,,,,,,,,,
1.28,0.88,1200,0,-0.10958182506728917,567,1200,,,,,,,0.2,0.001,-0.04434999470831826,0.015995957,30,-0.02204558253288269,0.22830255702137947,-0.08046305179595947,0.20642765164375304,-1.87540403008461
,,1200,,,,,2.06,0.55,0,-0.45701676999999996,1730,4,,,,,,,,,,
1.12,0.94,1500,0,-0.04807051536627114,704,1500,,,,,,,0.2,0.001,-0.053684161975979805,0.021019604,40,-0.0476304367184639,0.3553799696266651,0.08396631479263306,0.16944904066622257,-1.8314886271953583
,,1500,,,,,2.15,0.48,0,-0.52563506,2157,5,,,,,,,,,,
1.14,0.94,1800,0,-0.02820840652100742,854,1800,,,,,,,0.2,0.001,-0.04276521575520746,0.011098154,50,-0.009032364934682846,0.28950639367103576,-0.087319016456604,0.19823752380907536,-1.7499002873897553
,,1800,,,,,1.93,0.59,0,-0.3747418799999999,2562,6,,,,,,,,,,
