eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,env/completion_counter,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl
1.5,0.8,143,300,300,-0.1978166805813089,0,,,,,,,,,,,,,,,,
,,,,300,,,0,1,0.51,2.07,480,-0.46109419000000007,,,,,,,,,,
1.38,0.84,282,600,600,-0.112127128331922,0,,,,,,,-0.023240493540652097,0.001,0.4016612984240055,10,-1.9400623559951782,0.2,0.0933416198939085,-0.0010600648820400238,-0.735897421836853,0.008686446
,,,,600,,,0,2,0.54,2.12,900,-0.41978176,,,,,,,,,,
1.22,0.9,418,900,900,-0.08963608346879483,0,,,,,,,-0.0351854261389235,0.001,0.18685743175446987,20,-1.9152712106704712,0.2,0.22794744111597537,0.01843596249818802,-0.05303490161895752,0.009232643
,,,,900,,,0,3,0.48,2.19,1303,-0.5111364700000001,,,,,,,,,,
1.16,0.96,558,1200,1200,-0.048322367183864116,0,,,,,,,-0.04067310327664018,0.001,0.16664158254861833,30,-1.8862318992614746,0.2,0.22768110930919647,-0.01632600650191307,0.020447492599487305,0.011275584
,,,,1200,,,0,4,0.5,2.16,1730,-0.45081952000000003,,,,,,,,,,
1.32,0.86,709,1500,1500,-0.13147017918992787,0,,,,,,,-0.039320167398545894,0.001,0.1976898867636919,40,-1.841053569316864,0.2,0.22238991484045983,0.029460404068231583,-0.17593121528625488,0.012292209
,,,,1500,,,0,5,0.63,1.98,2142,-0.34723017,,,,,,,,,,
1.24,0.9,862,1800,1800,-0.08971937901340425,0,,,,,,,-0.04502732086693868,0.001,0.1724179919809103,50,-1.760104089975357,0.2,0.35724431946873664,-0.04779449477791786,0.12734252214431763,0.012812212
,,,,1800,,,0,6,0.68,1.88,2568,-0.2876686,,,,,,,,,,
1.26,0.9,1023,2100,2100,-0.09046790838241577,0,,,,,,,-0.035086346141179094,0.001,0.21223137229681016,60,-1.686888426542282,0.2,0.23421519733965396,0.0462028793990612,-0.08118641376495361,0.014158361
,,,,2100,,,0,7,0.67,1.85,2993,-0.32050056000000005,,,,,,,,,,
1.2,0.94,1188,2400,2400,-0.07024886359460653,0,,,,,,,-0.042698127069161276,0.001,0.17065718881785868,70,-1.6461441814899445,0.2,0.19238281212747096,-0.024007704108953476,0.08673828840255737,0.019725882
,,,,2400,,,0,8,0.68,1.83,3436,-0.26440171,,,,,,,,,,
1.2,0.92,1338,2700,2700,-0.0901520305685699,0,,,,,,,-0.05746134649962187,0.001,0.17794693410396575,80,-1.5659125208854676,0.2,0.322887072712183,-0.022819876670837402,0.01490795612335205,0.03384026
,,,,2700,,,0,9,0.55,2.08,3861,-0.35526339,,,,,,,,,,
1.28,0.88,1491,3000,3000,-0.13057232098653912,0,,,,,,,-0.05113776788348332,0.001,0.1857020862400532,90,-1.554216456413269,0.2,0.29506392031908035,-0.02970891445875168,0.00425875186920166,0.021908354
