env/current_idx,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/policy_gradient_loss
104,300,1.7,-0.1587786717619747,0.86,0,300,,,,,,,,,,,,,,,,
,300,,,,,,2.86,0,492,-0.41911736,0.65,1,,,,,,,,,,
201,600,1.58,-0.03921635520644486,0.94,0,600,,,,,,,0.22114358097314835,-1.937331348657608,0.001,0.011588624,-0.23646116256713867,0.2,0.10822088085114956,10,0.021105393767356873,-0.031048105149238836
,600,,,,,,3.12,0,954,-0.47755435000000007,0.59,2,,,,,,,,,,
307,900,1.26,-0.03342374666593969,0.96,0,900,,,,,,,0.17843814827501775,-1.9108285069465638,0.001,0.010580413,-0.09663593769073486,0.2,0.1544034108519554,20,-0.023562122136354446,-0.030937863438157364
,900,,,,,,2.8,0,1393,-0.43044589,0.65,3,,,,,,,,,,
422,1200,1.38,-0.05420726195909083,0.92,0,1200,,,,,,,0.21969796232879163,-1.8841909229755402,0.001,0.010490324,-0.1251760721206665,0.2,0.20774147473275661,30,-0.011828042566776276,-0.03277720265905373
,1200,,,,,,2.66,0,1859,-0.37552858000000006,0.71,4,,,,,,,,,,
532,1500,1.62,-0.07896091385744512,0.9,0,1500,,,,,,,0.1661939311772585,-1.8126232624053955,0.001,0.018098004,0.09065413475036621,0.2,0.3972656212747097,40,-0.01904621720314026,-0.04858682923950255
,1500,,,,,,2.64,0,2325,-0.33412036,0.72,5,,,,,,,,,,
639,1800,1.66,-0.06116574382409454,0.9,0,1800,,,,,,,0.1584661342203617,-1.8076609134674073,0.001,0.017520137,-0.0507124662399292,0.2,0.19371448941528796,50,-0.00815550610423088,-0.030310203098633793
,1800,,,,,,2.76,0,2778,-0.37034723999999997,0.68,6,,,,,,,,,,
760,2100,1.48,-0.07273362219333648,0.94,0,2100,,,,,,,0.20847074128687382,-1.7835719108581543,0.001,0.017888779,0.04980969429016113,0.2,0.2273259937763214,60,-0.041707657277584076,-0.04017167375423014
,2100,,,,,,2.41,0,3258,-0.23197636000000002,0.79,7,,,,,,,,,,
873,2400,1.28,-0.030417467295192183,0.98,0,2400,,,,,,,0.19448102749884127,-1.6583747625350953,0.001,0.019115493,-0.10263824462890625,0.2,0.29511718824505806,70,-0.02258995547890663,-0.039469779143109916
,2400,,,,,,2.69,0,3738,-0.37256419,0.69,8,,,,,,,,,,
992,2700,1.42,-0.05179748034104705,0.94,0,2700,,,,,,,0.20395447090268135,-1.5836228489875794,0.001,0.012516089,0.02732264995574951,0.2,0.2241832386702299,80,0.00034948810935020447,-0.03242115913890302
,2700,,,,,,2.58,0,4219,-0.28692697,0.72,9,,,,,,,,,,
1112,3000,1.48,-0.07715546573046594,0.92,0,3000,,,,,,,0.17748273201286793,-1.4776935756206513,0.001,0.01526856,0.0066332221031188965,0.2,0.3618252847343683,90,0.024028245359659195,-0.0407152503834368
,3000,,,,,,2.38,0,4665,-0.28879891,0.75,10,,,,,,,,,,
1229,3300,1.5,-0.09488405751530081,0.9,0,3300,,,,,,,0.15109555646777154,-1.3781494677066803,0.001,0.026726374,0.15986382961273193,0.2,0.20653409101068973,100,0.023846857249736786,-0.034658750862581654
,3300,,,,,,2.58,0,5139,-0.33286304,0.72,11,,,,,,,,,,
1354,3600,1.3,-0.030670128879137337,0.96,0,3600,,,,,,,0.19976269640028477,-1.3325076699256897,0.001,0.013389869,-0.14744746685028076,0.2,0.13851207494735718,110,0.011918149888515472,-0.0316129816143075
,3600,,,,,,2.45,0,5601,-0.30691809,0.74,12,,,,,,,,,,
1491,3900,1.24,-0.053463730658404526,0.96,0,3900,,,,,,,0.1897144816815853,-1.2182709097862243,0.001,0.01666579,0.014979362487792969,0.2,0.24064275696873666,120,-0.0010835938155651093,-0.0350260466337204
,3900,,,,,,2.09,0,6070,-0.16316651999999998,0.84,13,,,,,,,,,,
1639,4200,1.5,-0.03279405820183456,0.94,0,4200,,,,,,,0.18318533524870872,-1.1413419365882873,0.001,0.016209751,-0.05265474319458008,0.2,0.17888849414885044,130,0.03661385923624039,-0.029499201504222583
,4200,,,,,,1.95,0,6550,-0.18345151,0.87,14,,,,,,,,,,
