env/current_idx,env/n_steps,time/total_timesteps,eval/success_rate,env/completion_counter,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/approx_kl
94,300,300,0.8,0,1.94,-0.1844154318002984,,,,,,,,,,,,,,,,
,,300,,,,,461,-0.5448930645161291,0,3.21505376344086,1,0.5376344086021505,,,,,,,,,,
196,600,600,0.96,0,1.42,-0.03249804910738021,,,,,,,-1.9383364021778107,10,-0.20771849155426025,0.001,0.1327592335641384,0.19685169085860252,-0.025386347633320837,-0.0030439570546150208,0.2,0.00843285
,,600,,,,,874,-0.5216038899999998,0,2.95,2,0.59,,,,,,,,,,
302,900,900,0.84,0,1.84,-0.11960330054163933,,,,,,,-1.9203104615211486,20,-0.33904385566711426,0.001,0.1422230128198862,0.24388251900672914,-0.032957843691110614,0.02771850675344467,0.2,0.01308415
,,900,,,,,1303,-0.43366769,0,2.8,3,0.66,,,,,,,,,,
414,1200,1200,0.98,0,1.2,-0.029441954349167646,,,,,,,-1.8780111968517303,30,-0.05180060863494873,0.001,0.2633522730320692,0.1942601840943098,-0.04367265993496403,-0.02211970090866089,0.2,0.015571749
,,1200,,,,,1695,-0.38352947,0,2.61,4,0.72,,,,,,,,,,
512,1500,1500,0.94,0,1.4,-0.07603091903496534,,,,,,,-1.8632010102272034,40,-0.08897876739501953,0.001,0.27377485781908034,0.2355207908898592,-0.04684813648927957,-0.05097035691142082,0.2,0.016092498
,,1500,,,,,2123,-0.51737007,0,3.04,5,0.6,,,,,,,,,,
634,1800,1800,0.96,0,1.3,-0.04003227453213185,,,,,,,-1.7896288514137269,50,-0.1264435052871704,0.001,0.28716264069080355,0.23037544786930084,-0.03182538599940017,-0.014568299055099487,0.2,0.020603737
,,1800,,,,,2547,-0.32279945,0,2.42,6,0.75,,,,,,,,,,
756,2100,2100,0.94,0,1.34,-0.07187409905251116,,,,,,,-1.730068176984787,60,0.102572500705719,0.001,0.14261363707482816,0.22268198132514955,-0.024894129013409837,0.021701648831367493,0.2,0.016562108
,,2100,,,,,2963,-0.28855909999999996,0,2.39,7,0.78,,,,,,,,,,
874,2400,2400,0.98,0,1.1,-0.011747334888204931,,,,,,,-1.6564983546733856,70,0.06860893964767456,0.001,0.24820667505264282,0.17331231907010078,-0.0445521350717172,-0.03309360891580582,0.2,0.022006812
,,2400,,,,,3380,-0.40650798999999993,0,2.61,8,0.68,,,,,,,,,,
991,2700,2700,0.88,0,1.66,-0.09779191570822149,,,,,,,-1.5725964844226836,80,0.18732213973999023,0.001,0.3192116472870111,0.18435332402586938,-0.03884985468466766,0.021514859050512314,0.2,0.03555243
,,2700,,,,,3825,-0.31709069999999995,0,2.48,9,0.73,,,,,,,,,,
1131,3000,3000,0.92,0,1.4,-0.09348520182538778,,,,,,,-1.3470130503177642,90,0.013535559177398682,0.001,0.2774680394679308,0.18494091033935547,-0.03787159954663366,0.010805279016494751,0.2,0.029046776
,,3000,,,,,4261,-0.23198049999999998,0,2.19,10,0.8,,,,,,,,,,
1258,3300,3300,0.96,0,1.32,-0.05106430727057159,,,,,,,-1.3164975345134735,100,0.021900951862335205,0.001,0.18817471712827682,0.16123179532587528,-0.037991331296507266,-0.02741388976573944,0.2,0.031363197
,,3300,,,,,4688,-0.34829906,0,2.41,11,0.72,,,,,,,,,,
1393,3600,3600,0.98,0,1.2,-0.03037124049384147,,,,,,,-1.174039852619171,110,0.22203266620635986,0.001,0.23275923505425453,0.16237395778298377,-0.030819887446705253,0.020984383299946785,0.2,0.019241735
,,3600,,,,,5132,-0.28345526000000004,0,2.2,12,0.76,,,,,,,,,,
1535,3900,3900,0.98,0,1.28,-0.03438921597786248,,,,,,,-0.9266146779060364,120,0.15706467628479004,0.001,0.2715731553733349,0.14819610267877578,-0.02978487703949213,-0.013881053775548935,0.2,0.02387892
,,3900,,,,,5572,-0.21645791999999997,0,2.16,13,0.81,,,,,,,,,,
1671,4200,4200,0.92,0,1.5,-0.09400123036466539,,,,,,,-0.9082755476236344,130,0.05354940891265869,0.001,0.14066051244735717,0.17370737865567207,-0.02784799291403033,0.01848543807864189,0.2,0.011312641
,,4200,,,,,6026,-0.20064485,0,2.14,14,0.84,,,,,,,,,,
1830,4500,4500,0.96,0,1.3,-0.050912817511707543,,,,,,,-0.8499743461608886,140,0.0910419225692749,0.001,0.06557173393666745,0.1744353726506233,-0.02116577320412034,0.020593445748090744,0.2,0.016274046
,,4500,,,,,6481,-0.21748315000000001,0,1.97,15,0.83,,,,,,,,,,
1967,4800,4800,0.96,0,1.3,-0.06269920014310629,,,,,,,-0.7470614016056061,150,0.25580018758773804,0.001,0.1240056823939085,0.1503641687333584,-0.02502734209410846,0.012819688767194748,0.2,0.008081961
,,4800,,,,,6929,-0.19046578999999997,0,2.06,16,0.84,,,,,,,,,,
2119,5100,5100,0.96,0,1.32,-0.0518939781235531,,,,,,,-0.7374422997236252,160,-0.19765520095825195,0.001,0.14836647771298886,0.1966382570564747,-0.031259350769687444,0.0011548325419425964,0.2,0.030357778
,,5100,,,,,7419,-0.17527278,0,1.95,17,0.87,,,,,,,,,,
2254,5400,5400,0.98,0,1.22,-0.03526687815319747,,,,,,,-0.7154221445322037,170,0.1688520908355713,0.001,0.14728338196873664,0.14552536867558957,-0.026935328089166433,0.018429994583129883,0.2,0.024911974
,,5400,,,,,7876,-0.25502877999999995,0,2.09,18,0.81,,,,,,,,,,
2405,5700,5700,0.94,0,1.32,-0.07423463688697667,,,,,,,-0.6098085194826126,180,0.15851759910583496,0.001,0.08666548356413842,0.1448154117912054,-0.01634835549048148,0.017583688721060753,0.2,0.020386321
,,5700,,,,,8324,-0.16858980999999995,0,1.88,19,0.88,,,,,,,,,,
