env/n_steps,eval/mean_ep_length,eval/success_rate,time/total_timesteps,eval/mean_reward,env/completion_counter,env/current_idx,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/approx_kl,train/policy_gradient_loss
300,1.86,0.84,300,-0.2001998216006905,0,92,,,,,,,,,,,,,,,,
,,,300,,,,1,3.2527472527472527,0,-0.45951464835164835,0.5934065934065934,493,,,,,,,,,,
600,1.34,0.94,600,-0.05301506170071661,0,192,,,,,,,0.001,10,-1.9387724101543427,0.18299903813749552,0.2,-0.5830521583557129,0.14133522734045983,-0.05386674404144287,0.01409444,-0.03318240988301113
,,,600,,,,2,3.01,0,-0.39597110999999996,0.69,1020,,,,,,,,,,
900,1.68,0.86,900,-0.12046137735247613,0,294,,,,,,,0.001,20,-1.91747088432312,0.13509098291397095,0.2,0.04619276523590088,0.1682528406381607,-0.041134435683488846,0.007843019,-0.031873144887504166
,,,900,,,,3,2.98,0,-0.39495109999999994,0.65,1477,,,,,,,,,,
1200,1.46,0.92,1200,-0.05586581694893539,0,390,,,,,,,0.001,30,-1.9117918729782104,0.16138407811522484,0.2,-0.07025384902954102,0.228089489787817,-0.04600854590535164,0.014679797,-0.040910672483732924
,,,1200,,,,4,3.14,0,-0.47247470999999996,0.59,1908,,,,,,,,,,
1500,1.36,0.96,1500,-0.05172699881717563,0,500,,,,,,,0.001,40,-1.8796225547790528,0.17059214003384113,0.2,-0.016933679580688477,0.23815695755183697,-0.013782639056444168,0.012360647,-0.02702243545791134
,,,1500,,,,5,2.78,0,-0.34676935999999997,0.7,2313,,,,,,,,,,
1800,1.36,0.94,1800,-0.07072003991808742,0,608,,,,,,,0.001,50,-1.826444387435913,0.1376345671713352,0.2,0.10568445920944214,0.17478693090379238,-0.045795150101184845,0.01127922,-0.030416593222616937
,,,1800,,,,6,2.73,0,-0.34615043,0.7,2746,,,,,,,,,,
2100,1.54,0.92,2100,-0.10381602328270674,0,720,,,,,,,0.001,60,-1.7507754385471344,0.16928922925144435,0.2,-0.026041388511657715,0.2567471589893103,-0.006124610081315041,0.016996142,-0.03187535759061575
,,,2100,,,,7,2.68,0,-0.37133409000000006,0.68,3196,,,,,,,,,,
2400,1.18,0.98,2400,-0.02871260296087712,0,840,,,,,,,0.001,70,-1.6440320432186126,0.20978685691952706,0.2,-0.22623884677886963,0.2669566746801138,0.012091517448425293,0.012244824,-0.03862827296834439
,,,2400,,,,8,2.53,0,-0.29261465000000003,0.78,3613,,,,,,,,,,
2700,1.34,0.96,2700,-0.05677092405036092,0,977,,,,,,,0.001,80,-1.593663489818573,0.12555888816714286,0.2,0.19107627868652344,0.2743607945740223,-0.04631945863366127,0.021361858,-0.03627623115899041
,,,2700,,,,9,2.0,0,-0.16210811,0.87,4053,,,,,,,,,,
3000,1.4,0.92,3000,-0.07137937480583786,0,1110,,,,,,,0.001,90,-1.459872406721115,0.11827291082590818,0.2,0.09035217761993408,0.11875000111758709,-0.04960860311985016,0.013555173,-0.03184545425465331
,,,3000,,,,10,2.34,0,-0.21735064999999998,0.83,4494,,,,,,,,,,
3300,1.42,0.92,3300,-0.05500355250202119,0,1234,,,,,,,0.001,100,-1.3818164765834808,0.15390944331884385,0.2,-0.11717748641967773,0.19577414840459822,-0.010287478566169739,0.020149026,-0.030038692173548043
,,,3300,,,,11,2.55,0,-0.2810625,0.76,4939,,,,,,,,,,
3600,1.3,0.98,3600,-0.03068968773819506,0,1364,,,,,,,0.001,110,-1.218507081270218,0.16182287335395812,0.2,0.008005619049072266,0.1780362218618393,-0.03323882073163986,0.017893959,-0.03666217914724257
,,,3600,,,,12,2.33,0,-0.3369710000000001,0.74,5388,,,,,,,,,,
3900,1.26,0.96,3900,-0.050673921015113595,0,1509,,,,,,,0.001,120,-1.2273599088191987,0.18439070656895637,0.2,0.14954012632369995,0.14424716010689737,0.0017962902784347534,0.020843234,-0.036929596126719845
,,,3900,,,,13,1.98,0,-0.17964402000000004,0.87,5830,,,,,,,,,,
4200,1.4,0.92,4200,-0.09341469782404602,0,1656,,,,,,,0.001,130,-1.1616144895553588,0.14329856298863888,0.2,0.19444411993026733,0.1355468761175871,-0.035155441612005234,0.024289336,-0.03688455491210334
,,,4200,,,,14,2.05,0,-0.22158007000000002,0.82,6284,,,,,,,,,,
4500,1.4,0.92,4500,-0.0737937807943672,0,1805,,,,,,,0.001,140,-1.1555919587612151,0.17584125138819218,0.2,0.08556455373764038,0.09286221638321876,-0.0006600245833396912,0.010158342,-0.0312510346993804
,,,4500,,,,15,1.92,0,-0.1647899,0.84,6746,,,,,,,,,,
4800,1.38,0.96,4800,-0.05048852815758437,0,1932,,,,,,,0.001,150,-1.103880274295807,0.1247487986460328,0.2,0.29020440578460693,0.1304154831916094,0.020668327808380127,0.018720157,-0.030644632189068943
,,,4800,,,,16,2.28,0,-0.27616637,0.79,7206,,,,,,,,,,
5100,1.4,0.94,5100,-0.05637881224043667,0,2075,,,,,,,0.001,160,-1.1419832915067674,0.1906427454203367,0.2,0.07194751501083374,0.1620738636702299,0.03056570515036583,0.016892165,-0.02646147860068595
,,,5100,,,,17,2.07,0,-0.23142607999999995,0.84,7658,,,,,,,,,,
5400,1.24,0.94,5400,-0.07402284911833704,0,2214,,,,,,,0.001,170,-1.2238082468509675,0.17594410739839078,0.2,0.13382375240325928,0.17167968824505805,-0.03942389786243439,0.016531428,-0.031481726898346094
,,,5400,,,,18,2.25,0,-0.25761751,0.81,8125,,,,,,,,,,
5700,1.14,0.98,5700,-0.028303991672582924,0,2345,,,,,,,0.001,180,-1.1976027011871337,0.1617101352661848,0.2,0.14464426040649414,0.125941052287817,0.011565029621124268,0.01571938,-0.02877000590087846
,,,5700,,,,19,2.2,0,-0.22109305999999995,0.81,8568,,,,,,,,,,
6000,1.56,0.9,6000,-0.07325172701850534,0,2485,,,,,,,0.001,190,-1.0645504146814346,0.1686777789145708,0.2,0.08604878187179565,0.10550426207482815,0.00035009533166885376,0.020423304,-0.0265574682620354
,,,6000,,,,20,2.16,0,-0.181174,0.82,9023,,,,,,,,,,
6300,1.66,0.9,6300,-0.11461516828741879,0,2626,,,,,,,0.001,200,-1.089169406890869,0.1333918996155262,0.2,0.20538467168807983,0.1147372167557478,-0.006007827818393707,0.011500888,-0.027118784852791577
,,,6300,,,,21,2.1,0,-0.21211695000000003,0.82,9477,,,,,,,,,,
6600,1.34,0.94,6600,-0.07198585647158325,0,2760,,,,,,,0.001,210,-1.1423963189125061,0.14454434290528298,0.2,0.08635610342025757,0.18982599601149558,-0.03357158228754997,0.023718856,-0.037390061444602905
,,,6600,,,,22,2.26,0,-0.25478750999999994,0.8,9903,,,,,,,,,,
6900,1.4,0.92,6900,-0.07208410478197039,0,2903,,,,,,,0.001,220,-0.9611680746078491,0.15716269388794898,0.2,0.302099347114563,0.16012073941528798,0.022146672010421753,0.020372523,-0.030360095808282493
,,,6900,,,,23,1.9,0,-0.18191148,0.86,10353,,,,,,,,,,
7200,1.3,0.96,7200,-0.04990572436247021,0,3022,,,,,,,0.001,230,-0.9941327571868896,0.14112413190305234,0.2,0.09346354007720947,0.1455255702137947,0.006870679557323456,0.027725954,-0.033516486431472
,,,7200,,,,24,2.51,0,-0.30847401,0.74,10799,,,,,,,,,,
7500,1.32,0.96,7500,-0.052078092852607366,0,3148,,,,,,,0.001,240,-0.9517310827970504,0.1719044867902994,0.2,0.24229085445404053,0.17425426319241524,0.06630624830722809,0.034626894,-0.01875802007270977
,,,7500,,,,25,2.47,0,-0.29590848,0.74,11227,,,,,,,,,,
7800,1.36,0.94,7800,-0.05497360233217478,0,3296,,,,,,,0.001,250,-1.0374778389930726,0.16692248359322548,0.2,0.10343760251998901,0.12247869335114955,0.012005150318145752,0.019435212,-0.03267122334800661
,,,7800,,,,26,1.72,0,-0.09701821000000001,0.93,11668,,,,,,,,,,
8100,1.2,0.96,8100,-0.04982826444786042,0,3448,,,,,,,0.001,260,-0.9227206438779831,0.17684705518186092,0.2,0.041564881801605225,0.13391335271298885,-0.008464448153972626,0.02549508,-0.03134900811128318
,,,8100,,,,27,1.91,0,-0.13914161,0.89,12100,,,,,,,,,,
8400,1.38,0.96,8400,-0.05449413623660803,0,3578,,,,,,,0.001,270,-0.8989660799503326,0.11962085664272308,0.2,0.31561630964279175,0.16947798244655132,-0.007226269692182541,0.012888724,-0.03276026430539787
,,,8400,,,,28,2.24,0,-0.27751046000000007,0.79,12534,,,,,,,,,,
8700,1.36,0.94,8700,-0.07333843093831093,0,3715,,,,,,,0.001,280,-0.806192684173584,0.1730155736207962,0.2,0.21880656480789185,0.1591619323939085,0.05151636153459549,0.021609802,-0.02379472311004065
,,,8700,,,,29,2.19,0,-0.21469016,0.79,12981,,,,,,,,,,
9000,1.6,0.88,9000,-0.09585958500858396,0,3847,,,,,,,0.001,290,-0.7626239031553268,0.16248335167765618,0.2,0.2871500849723816,0.11084872148931027,0.027269363403320312,0.01633235,-0.02908873748674523
,,,9000,,,,30,2.34,0,-0.27867627999999994,0.76,13478,,,,,,,,,,
9300,1.5,0.94,9300,-0.053708172827027736,0,3978,,,,,,,0.001,300,-0.7476928800344467,0.14316401891410352,0.2,0.35322511196136475,0.08622159138321876,0.006442524492740631,0.015888477,-0.025365341888391412
,,,9300,,,,31,2.38,0,-0.29446734999999996,0.75,13917,,,,,,,,,,
9600,1.36,0.94,9600,-0.05129619313869625,0,4130,,,,,,,0.001,310,-0.8588800430297852,0.17198576144874095,0.2,0.14547520875930786,0.11495028547942639,-0.0003522932529449463,0.019701252,-0.030064017869881353
,,,9600,,,,32,2.05,0,-0.22249354000000005,0.83,14435,,,,,,,,,,
9900,1.36,0.94,9900,-0.07621329874265939,0,4266,,,,,,,0.001,320,-0.8578181326389313,0.13074139058589934,0.2,0.27534961700439453,0.13803267180919648,0.010046683251857758,0.03360799,-0.03017146894708276
,,,9900,,,,33,1.98,0,-0.20016162,0.86,14912,,,,,,,,,,
10200,1.32,0.94,10200,-0.050595368845388296,0,4395,,,,,,,0.001,330,-0.8304026097059249,0.13976824171841146,0.2,0.23094606399536133,0.11104403510689735,0.00841432809829712,0.020897258,-0.026506819174392147
,,,10200,,,,34,2.26,0,-0.26873359999999996,0.78,15355,,,,,,,,,,
10500,1.12,1.0,10500,-0.007927339300513267,0,4539,,,,,,,0.001,340,-0.8511449843645096,0.1759618878364563,0.2,0.14251017570495605,0.14936079569160937,0.051657259464263916,0.013473973,-0.022174277703743427
,,,10500,,,,35,2.08,0,-0.22260102999999998,0.82,15786,,,,,,,,,,
10800,1.4,0.94,10800,-0.03262827405706048,0,4662,,,,,,,0.001,350,-0.900765261054039,0.16491312347352505,0.2,0.25069868564605713,0.18220880590379238,-0.00201590359210968,0.03285414,-0.030332084512338042
,,,10800,,,,36,2.46,0,-0.35196498,0.73,16235,,,,,,,,,,
11100,1.28,0.96,11100,-0.03047396963927895,0,4803,,,,,,,0.001,360,-0.8889381736516953,0.17247465513646604,0.2,0.22605592012405396,0.1470525585114956,0.02981577068567276,0.017395984,-0.025598204258130863
,,,11100,,,,37,2.16,0,-0.23094520999999996,0.78,16693,,,,,,,,,,
11400,1.74,0.86,11400,-0.16651587539818138,0,4933,,,,,,,0.001,370,-0.8501344412565232,0.2050869483500719,0.2,-0.039832234382629395,0.14350142143666744,0.03622537851333618,0.023176124,-0.02848410967271775
,,,11400,,,,38,2.29,0,-0.2694374,0.78,17196,,,,,,,,,,
11700,1.12,0.98,11700,-0.02787806683219969,0,5079,,,,,,,0.001,380,-0.8876023411750793,0.16741290390491487,0.2,0.08781921863555908,0.15372869446873666,0.019539112225174904,0.017874232,-0.030705192836467176
,,,11700,,,,39,2.04,0,-0.14617317,0.86,17643,,,,,,,,,,
12000,1.5,0.92,12000,-0.07723097180947662,0,5215,,,,,,,0.001,390,-1.0224954694509507,0.1378767302259803,0.2,-0.15631520748138428,0.15491832457482815,-0.022605296224355698,0.034065537,-0.03329790220595896
,,,12000,,,,40,2.12,0,-0.19460191000000002,0.83,18113,,,,,,,,,,
12300,1.32,0.96,12300,-0.05340814766008407,0,5346,,,,,,,0.001,400,-1.092042577266693,0.1572274323552847,0.2,0.2745984196662903,0.1265092335641384,-0.020251579582691193,0.037591033,-0.028379122877959163
,,,12300,,,,41,2.42,0,-0.29303729,0.75,18556,,,,,,,,,,
12600,1.5,0.88,12600,-0.07464309613686054,0,5500,,,,,,,0.001,410,-1.1995975613594054,0.1494136516004801,0.2,0.27972501516342163,0.1979580968618393,-0.04815247654914856,0.026156673,-0.03337460197508335
,,,12600,,,,42,1.99,0,-0.21210858000000005,0.83,18990,,,,,,,,,,
12900,1.4,0.92,12900,-0.09364364669658244,0,5635,,,,,,,0.001,420,-1.1346817016601562,0.16474986150860788,0.2,0.1481231451034546,0.2487393468618393,-0.011709943413734436,0.03416471,-0.032753093939390965
,,,12900,,,,43,2.23,0,-0.27513493,0.8,19432,,,,,,,,,,
13200,1.32,0.96,13200,-0.05157997114118189,0,5759,,,,,,,0.001,430,-1.0419537395238876,0.17626629546284675,0.2,0.20798838138580322,0.17285156361758708,0.01167486235499382,0.010943236,-0.03249318076414056
,,,13200,,,,44,2.47,0,-0.25746010999999996,0.77,19867,,,,,,,,,,
13500,1.38,0.94,13500,-0.05201384307816625,0,5898,,,,,,,0.001,440,-1.0384459167718887,0.15234565287828444,0.2,0.11439687013626099,0.1522727284580469,-0.015241570770740509,0.015876077,-0.032364498195238414
,,,13500,,,,45,2.06,0,-0.1985819,0.83,20318,,,,,,,,,,
13800,1.24,0.96,13800,-0.05169582708273083,0,6022,,,,,,,0.001,450,-0.9638558059930802,0.16105388589203357,0.2,0.1830328106880188,0.1421164780855179,0.023314766585826874,0.020175505,-0.02710618799319491
,,,13800,,,,46,2.42,0,-0.27443848000000004,0.75,20743,,,,,,,,,,
14100,1.28,0.98,14100,-0.030429366091266275,0,6170,,,,,,,0.001,460,-0.9594595521688462,0.16208680532872677,0.2,0.18677502870559692,0.14325284101068975,-0.030741099268198013,0.023017075,-0.03474558397429064
,,,14100,,,,47,1.98,0,-0.19468972999999998,0.85,21175,,,,,,,,,,
14400,1.16,0.98,14400,-0.02882638214621693,0,6310,,,,,,,0.001,470,-0.9804918110370636,0.13809749223291873,0.2,0.20770859718322754,0.13964843787252904,-0.027478553354740143,0.030572504,-0.032692369050346316
,,,14400,,,,48,2.09,0,-0.20118817000000003,0.82,21628,,,,,,,,,,
14700,1.32,0.96,14700,-0.05125185944139957,0,6441,,,,,,,0.001,480,-0.9927758991718292,0.15491369664669036,0.2,0.06291067600250244,0.1771306809037924,-0.0046929530799388885,0.02082165,-0.03839859025320038
,,,14700,,,,49,2.4,0,-0.30577129999999997,0.75,22059,,,,,,,,,,
15000,1.48,0.92,15000,-0.07289646620862186,0,6571,,,,,,,0.001,490,-1.0476146936416626,0.16176396645605565,0.2,0.18822342157363892,0.15241477265954018,0.0005546584725379944,0.03343455,-0.03489718639175408
,,,15000,,,,50,2.37,0,-0.25703653000000004,0.76,22529,,,,,,,,,,
15300,1.14,1.0,15300,-0.00842602516990155,0,6706,,,,,,,0.001,500,-1.0495801120996475,0.16697868518531322,0.2,0.03249680995941162,0.2053799718618393,-0.016806360334157944,0.03269489,-0.039095092442585154
,,,15300,,,,51,2.27,0,-0.20544253,0.83,22970,,,,,,,,,,
15600,1.2,0.98,15600,-0.02860151239205152,0,6863,,,,,,,0.001,510,-1.1061086863279344,0.17058197893202304,0.2,-0.012566685676574707,0.1661399144679308,-0.027986634522676468,0.019601518,-0.03334094115998596
,,,15600,,,,52,1.81,0,-0.14231294,0.88,23388,,,,,,,,,,
15900,1.2,0.96,15900,-0.04952024942729622,0,7005,,,,,,,0.001,520,-1.0058318376541138,0.1473147165030241,0.2,0.005774557590484619,0.1622691761702299,-0.0020245537161827087,0.03202393,-0.03551471306709573
,,,15900,,,,53,2.13,0,-0.18960702000000001,0.82,23825,,,,,,,,,,
16200,1.48,0.9,16200,-0.11309299945831298,0,7144,,,,,,,0.001,530,-1.0813536643981934,0.15147411823272705,0.2,0.17620891332626343,0.15784801170229912,0.0005647912621498108,0.026543219,-0.031841962633188815
,,,16200,,,,54,2.3,0,-0.28156423,0.77,24281,,,,,,,,,,
16500,1.26,0.96,16500,-0.049219162547960875,0,7303,,,,,,,0.001,540,-0.8649533897638321,0.14579787626862525,0.2,0.2538555860519409,0.19314630702137947,-0.015028618276119232,0.024442932,-0.03026218170998618
,,,16500,,,,55,1.8,0,-0.19935805999999995,0.85,24710,,,,,,,,,,
16800,1.48,0.92,16800,-0.09917677237652242,0,7454,,,,,,,0.001,550,-0.9330320477485656,0.16202543266117572,0.2,0.22196125984191895,0.22171519957482816,-0.028226159512996674,0.0469304,-0.028974276105873286
,,,16800,,,,56,2.01,0,-0.18464243,0.83,25145,,,,,,,,,,
17100,1.44,0.94,17100,-0.05225070355460048,0,7591,,,,,,,0.001,560,-0.9293313264846802,0.16005454324185847,0.2,0.11231756210327148,0.14016335271298885,-0.021173145622015,0.020429015,-0.03790239308727905
,,,17100,,,,57,2.2,0,-0.24917825999999996,0.79,25586,,,,,,,,,,
17400,1.36,0.94,17400,-0.03136783858761191,0,7724,,,,,,,0.001,570,-0.9634097725152969,0.17621079906821252,0.2,0.14960074424743652,0.14490412101149558,0.042368173599243164,0.020499054,-0.033959994948236275
,,,17400,,,,58,2.27,0,-0.24098493000000004,0.8,26006,,,,,,,,,,
17700,1.46,0.92,17700,-0.053944021607749165,0,7872,,,,,,,0.001,580,-0.991730910539627,0.1805257558822632,0.2,0.13537967205047607,0.17761008627712727,0.0041652098298072815,0.020690322,-0.0342935147578828
,,,17700,,,,59,2.15,0,-0.25298961000000003,0.81,26426,,,,,,,,,,
18000,1.34,0.92,18000,-0.07632522264495492,0,7997,,,,,,,0.001,590,-0.8829933077096939,0.15754481852054597,0.2,0.26747119426727295,0.19454900547862053,-0.01540444791316986,0.027936684,-0.0392772607592633
,,,18000,,,,60,2.3,0,-0.29665987999999993,0.77,26844,,,,,,,,,,
18300,1.5,0.88,18300,-0.09982629135716707,0,8136,,,,,,,0.001,600,-0.8803726106882095,0.15944243222475052,0.2,0.24482393264770508,0.1401633530855179,0.016854599118232727,0.013711207,-0.03035264399368316
,,,18300,,,,61,2.13,0,-0.19304236,0.81,27280,,,,,,,,,,
18600,1.36,0.94,18600,-0.07373836915474385,0,8264,,,,,,,0.001,610,-0.9701547622680664,0.1649337787181139,0.2,0.11649280786514282,0.1552201710641384,0.006337352097034454,0.021401621,-0.032058453617355556
,,,18600,,,,62,2.36,0,-0.28178378,0.77,27722,,,,,,,,,,
18900,1.3,0.98,18900,-0.030230633816681802,0,8401,,,,,,,0.001,620,-0.9978166282176971,0.17526719644665717,0.2,0.1838178038597107,0.1697088062763214,0.035135939717292786,0.01752128,-0.032025057706050575
,,,18900,,,,63,2.06,0,-0.22397981999999994,0.83,28190,,,,,,,,,,
19200,1.46,0.94,19200,-0.05289377982262522,0,8556,,,,,,,0.001,630,-0.9698614090681076,0.1684948429465294,0.2,0.263933002948761,0.2074396312236786,-0.017958875745534897,0.02297223,-0.037162571167573336
,,,19200,,,,64,1.88,0,-0.17267583000000003,0.86,28639,,,,,,,,,,
19500,1.36,0.96,19500,-0.051951523954048756,0,8686,,,,,,,0.001,640,-0.8770530074834824,0.1515457309782505,0.2,0.27853935956954956,0.14792258702218533,-0.009111650288105011,0.015108483,-0.03069867959129624
,,,19500,,,,65,2.4,0,-0.30878202,0.73,29064,,,,,,,,,,
19800,1.2,0.96,19800,-0.04847356235608458,0,8814,,,,,,,0.001,650,-0.9574048399925232,0.17523233853280545,0.2,0.2621884346008301,0.1393643468618393,0.007121570408344269,0.014730453,-0.021281036466825755
,,,19800,,,,66,2.39,0,-0.33763646999999997,0.73,29487,,,,,,,,,,
20100,1.2,1.0,20100,-0.010203970833681525,0,8959,,,,,,,0.001,660,-0.9069097906351089,0.17100241407752037,0.2,0.3143535852432251,0.12123579569160939,-0.03190736472606659,0.018972095,-0.033970707833213966
,,,20100,,,,67,2.06,0,-0.20289031000000002,0.83,29903,,,,,,,,,,
20400,1.44,0.94,20400,-0.0765912414342165,0,9096,,,,,,,0.001,670,-0.9124724328517914,0.16462945751845837,0.2,0.20959335565567017,0.18401988707482814,0.045562565326690674,0.02921126,-0.033040412398986516
,,,20400,,,,68,2.28,0,-0.28922998,0.75,30330,,,,,,,,,,
20700,1.56,0.9,20700,-0.09758474766742438,0,9235,,,,,,,0.001,680,-0.9852755457162857,0.1682252150028944,0.2,0.2725825309753418,0.14978693276643754,-0.027816135436296463,0.026592767,-0.03760800234194903
,,,20700,,,,69,2.21,0,-0.22814333,0.8,30784,,,,,,,,,,
21000,1.68,0.88,21000,-0.12210626831278205,0,9382,,,,,,,0.001,690,-0.833456614613533,0.18702776357531548,0.2,0.10277801752090454,0.11740056909620762,0.0229402557015419,0.0131230485,-0.02889962394256145
,,,21000,,,,70,2.03,0,-0.20000432999999998,0.83,31225,,,,,,,,,,
21300,1.86,0.8,21300,-0.18791349621955306,0,9524,,,,,,,0.001,700,-0.8056247740983963,0.15078798905014992,0.2,0.2166386842727661,0.15546875149011613,-0.037624504417181015,0.025907923,-0.03696906404220499
,,,21300,,,,71,2.02,0,-0.19256177999999996,0.84,31670,,,,,,,,,,
21600,1.52,0.92,21600,-0.07645896910689771,0,9652,,,,,,,0.001,710,-0.8489864826202392,0.16332274228334426,0.2,0.31467515230178833,0.14108664803206922,0.017516521736979485,0.021726543,-0.027679998375242577
,,,21600,,,,72,2.37,0,-0.32391201,0.76,32132,,,,,,,,,,
21900,1.52,0.92,21900,-0.0927118050120771,0,9788,,,,,,,0.001,720,-0.8697065263986588,0.19868101552128792,0.2,0.11574983596801758,0.13767755702137946,0.025934085249900818,0.04038395,-0.02683055812958628
,,,21900,,,,73,2.25,0,-0.28401623000000004,0.76,32594,,,,,,,,,,
22200,1.14,0.98,22200,-0.028286236599087716,0,9917,,,,,,,0.001,730,-0.9536974519491196,0.16071280166506768,0.2,0.28540515899658203,0.16621093787252902,0.014055512845516205,0.022509376,-0.031627694121561946
,,,22200,,,,74,2.26,0,-0.32175058999999995,0.76,33026,,,,,,,,,,
22500,1.42,0.9,22500,-0.11408326632808893,0,10050,,,,,,,0.001,740,-0.8361081272363663,0.18779578283429146,0.2,0.2841385006904602,0.11993963047862052,-0.0040304288268089294,0.036907263,-0.02990424458112102
,,,22500,,,,75,2.25,0,-0.27943625,0.77,33474,,,,,,,,,,
22800,1.34,0.94,22800,-0.07020893251057714,0,10189,,,,,,,0.001,750,-0.7168049156665802,0.1664367701858282,0.2,0.20179635286331177,0.11972656324505807,-0.006692416965961456,0.015502244,-0.02828892411343986
,,,22800,,,,76,2.11,0,-0.22002793999999995,0.81,33900,,,,,,,,,,
23100,1.56,0.9,23100,-0.09548989386297763,0,10336,,,,,,,0.001,760,-0.8783132463693619,0.15433353707194328,0.2,0.30428165197372437,0.10875355266034603,0.029779139906167984,0.02506681,-0.03027052991092205
,,,23100,,,,77,2.05,0,-0.21896210000000005,0.82,34335,,,,,,,,,,
23400,1.38,0.94,23400,-0.07875212889164686,0,10501,,,,,,,0.001,770,-0.7193573564291,0.1737299080938101,0.2,0.05482429265975952,0.1217507116496563,0.004957146942615509,0.021057738,-0.034833267593057826
,,,23400,,,,78,1.9,0,-0.17908796,0.86,34784,,,,,,,,,,
23700,1.68,0.9,23700,-0.1163238037424162,0,10641,,,,,,,0.001,780,-0.606114475429058,0.16718217432498933,0.2,0.018419384956359863,0.12402343899011611,0.015838518738746643,0.027370784,-0.02942887973622419
,,,23700,,,,79,2.05,0,-0.23664924000000004,0.81,35265,,,,,,,,,,
24000,1.22,0.96,24000,-0.049224237985908983,0,10776,,,,,,,0.001,790,-0.663744655251503,0.1652896199375391,0.2,0.29011499881744385,0.10188210383057594,0.0201734509319067,0.01798939,-0.02143867747945478
,,,24000,,,,80,2.29,0,-0.24312562999999998,0.75,35703,,,,,,,,,,
24300,1.26,0.98,24300,-0.0305253381235525,0,10943,,,,,,,0.001,800,-0.6885464519262314,0.16684535183012486,0.2,0.21818900108337402,0.11523437537252904,0.02302490547299385,0.022404738,-0.028719106526114046
,,,24300,,,,81,1.75,0,-0.16054436000000002,0.89,36169,,,,,,,,,,
24600,1.22,0.98,24600,-0.02938334777485579,0,11092,,,,,,,0.001,810,-0.6314781904220581,0.1564756717532873,0.2,0.2712727189064026,0.12507102340459825,0.013979244977235794,0.019317707,-0.02645696405088529
,,,24600,,,,82,2.01,0,-0.25383786999999997,0.8,36591,,,,,,,,,,
24900,1.36,0.94,24900,-0.0777291047014296,0,11242,,,,,,,0.001,820,-0.63068727850914,0.1450609050691128,0.2,0.3165726661682129,0.10912642143666744,0.04041626304388046,0.020543393,-0.0219098596367985
,,,24900,,,,83,1.91,0,-0.18242719000000002,0.86,37015,,,,,,,,,,
25200,1.34,0.96,25200,-0.051929326383396986,0,11374,,,,,,,0.001,830,-0.5233528986573219,0.17775580808520317,0.2,0.19193512201309204,0.13196022808551788,0.031552720814943314,0.024179775,-0.026085719582624733
,,,25200,,,,84,2.34,0,-0.30314136999999997,0.73,37432,,,,,,,,,,
25500,1.68,0.9,25500,-0.09668295416049659,0,11506,,,,,,,0.001,840,-0.7499148845672607,0.18307438343763352,0.2,0.12851715087890625,0.1392578136175871,0.012430459260940552,0.035611838,-0.03519702749617863
,,,25500,,,,85,2.3,0,-0.30223816000000003,0.75,37861,,,,,,,,,,
