env/n_steps,eval/mean_reward,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/success_rate,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance
300,-0.1548769400222227,0,133,1.38,0.86,300,,,,,,,,,,,,,,,,
,,,,,,300,1,-0.59145341,2.36,481,0,0.38,,,,,,,,,,
600,-0.1549172731395811,0,270,1.48,0.78,600,,,,,,,0.20943152904510498,-1.9454845070838929,0.001,5,-0.0052998413564637305,0.6266442716121674,0.0,0.2,0.0011531629,-0.49159467220306396
,,,,,,600,2,-0.5369254099999999,2.18,939,0,0.47,,,,,,,,,,
900,-0.13107256235554815,0,410,1.32,0.88,900,,,,,,,0.11352725327014923,-1.9377947330474854,0.001,10,-0.019310087244957686,0.2483723893761635,0.12080965638160705,0.2,0.01543727,-0.0722203254699707
,,,,,,900,3,-0.5487710499999999,2.14,1384,0,0.46,,,,,,,,,,
1200,-0.06802107342518866,0,545,1.16,0.94,1200,,,,,,,0.04553011804819107,-1.9015890955924988,0.001,15,-0.017585312228038674,0.250625741481781,0.081640625,0.2,0.013299694,-0.05389201641082764
,,,,,,1200,4,-0.53055599,2.22,1811,0,0.42,,,,,,,,,,
1500,-0.07242349937558173,0,688,1.24,0.9,1500,,,,,,,0.06346650421619415,-1.8333027362823486,0.001,20,-0.015634037961717695,0.2212059900164604,0.21019176244735718,0.2,0.02430545,0.05681788921356201
,,,,,,1500,5,-0.42775517,2.06,2255,0,0.53,,,,,,,,,,
1800,-0.02725246370304376,0,835,1.08,0.98,1800,,,,,,,0.044556669890880585,-1.7548040270805358,0.001,25,-0.026863972225692125,0.23181633204221724,0.15102983117103577,0.2,0.021713782,0.0808367133140564
,,,,,,1800,6,-0.37411530999999987,2.04,2689,0,0.58,,,,,,,,,,
2100,-0.04702400784473866,0,996,1.1,0.96,2100,,,,,,,0.050625912845134735,-1.622666358947754,0.001,30,-0.02008735204581171,0.22892768383026124,0.19229403734207154,0.2,0.026151592,0.0957673192024231
,,,,,,2100,7,-0.3176471,1.82,3119,0,0.67,,,,,,,,,,
2400,-0.0279269913258031,0,1160,1.14,0.94,2400,,,,,,,0.09247028827667236,-1.4048921108245849,0.001,35,-0.01640445051016286,0.20270539373159407,0.2574928984045982,0.2,0.033760324,0.09387362003326416
,,,,,,2400,8,-0.27267216,1.79,3560,0,0.67,,,,,,,,,,
2700,-0.11409738108050078,0,1335,1.32,0.88,2700,,,,,,,0.06528744846582413,-1.1074687480926513,0.001,40,-0.027584516489878298,0.2151174947619438,0.14790482968091964,0.2,0.033802167,0.11979317665100098
,,,,,,2700,9,-0.35310317,1.8,4019,0,0.67,,,,,,,,,,
3000,-0.02912417468149215,0,1513,1.16,0.98,3000,,,,,,,0.08469788730144501,-0.772629052400589,0.001,45,-0.009093353105708957,0.20056003332138062,0.08284801170229912,0.2,0.018328607,0.12406378984451294
,,,,,,3000,10,-0.26768744999999994,1.72,4456,0,0.7,,,,,,,,,,
3300,-0.029414929593913258,0,1703,1.2,0.94,3300,,,,,,,0.07043454051017761,-0.6079789102077484,0.001,50,-0.0019762020092457533,0.16698764115571976,0.027166193723678587,0.2,0.003012417,0.26014572381973267
,,,,,,3300,11,-0.18426846000000002,1.61,4885,0,0.77,,,,,,,,,,
3600,-0.0680393972992897,0,1879,1.18,0.92,3600,,,,,,,0.07722438871860504,-0.5641785621643066,0.001,55,-0.0016408751384005883,0.1788982480764389,0.0,0.2,0.001120771,0.07174819707870483
,,,,,,3600,12,-0.32501845,1.75,5331,0,0.69,,,,,,,,,,
3900,-0.030814711721614003,0,2059,1.32,0.94,3900,,,,,,,0.10815213620662689,-0.43189558684825896,0.001,60,-0.00531964983092621,0.23226177841424941,0.057137785106897356,0.2,0.0059406096,0.09010767936706543
,,,,,,3900,13,-0.25290964000000005,1.6,5784,0,0.73,,,,,,,,,,
4200,-0.15094257933087646,0,2245,1.3,0.86,4200,,,,,,,0.09285926818847656,-0.36581130027770997,0.001,65,-0.0016450363007606938,0.2027065321803093,0.0034446023404598237,0.2,0.0007941412,0.1374937891960144
,,,,,,4200,14,-0.21999869,1.52,6241,0,0.78,,,,,,,,,,
4500,-0.11203698141500354,0,2429,1.36,0.86,4500,,,,,,,0.06585799157619476,-0.32433574497699735,0.001,70,-0.009596739256403452,0.1892265871167183,0.019566761702299117,0.2,0.0037201117,0.16818636655807495
,,,,,,4500,15,-0.19497737999999998,1.57,6720,0,0.75,,,,,,,,,,
4800,-0.13184173240326344,0,2604,1.36,0.86,4800,,,,,,,0.11979228258132935,-0.23031687885522842,0.001,75,-0.0007288460590643808,0.22431162744760513,0.015660511702299117,0.2,0.0018584906,0.09298783540725708
,,,,,,4800,16,-0.21347374000000005,1.6,7220,0,0.74,,,,,,,,,,
5100,-0.06978131508920342,0,2790,1.22,0.92,5100,,,,,,,0.1354862004518509,-0.19491141140460969,0.001,80,-0.001084914937382564,0.23050604164600372,0.0061079546809196476,0.2,0.001317631,0.04259920120239258
,,,,,,5100,17,-0.28056075,1.63,7693,0,0.71,,,,,,,,,,
5400,-0.0684849959379062,0,2961,1.18,0.94,5400,,,,,,,0.10172564536333084,-0.14801330864429474,0.001,85,-0.0016440592256913079,0.19938033372163771,0.0046164773404598234,0.2,0.00039030545,0.06643903255462646
,,,,,,5400,18,-0.23100885000000002,1.65,8154,0,0.73,,,,,,,,,,
5700,-0.028712588236667214,0,3142,1.18,0.94,5700,,,,,,,0.08066821843385696,-0.11819527596235276,0.001,90,-0.005146136600524187,0.21151906698942186,0.010333807021379472,0.2,0.001617012,0.14154356718063354
,,,,,,5700,19,-0.20911106999999998,1.58,8623,0,0.78,,,,,,,,,,
6000,-0.02963355913758278,0,3325,1.18,0.96,6000,,,,,,,0.08454062044620514,-0.0960860401391983,0.001,95,-0.0009504521471853878,0.1810534656047821,0.00078125,0.2,0.00016145094,0.18328619003295898
,,,,,,6000,20,-0.23752029000000005,1.65,9085,0,0.75,,,,,,,,,,
6300,-0.027603547452017665,0,3509,1.1,0.98,6300,,,,,,,0.0676562637090683,-0.08435060456395149,0.001,100,-0.0012408413278722108,0.1881910651922226,0.0022727273404598235,0.2,0.00034956072,0.15207481384277344
,,,,,,6300,21,-0.26347683,1.65,9541,0,0.72,,,,,,,,,,
6600,-0.0279614635463804,0,3690,1.16,0.96,6600,,,,,,,0.09177195280790329,-0.08084837347269058,0.001,105,-4.270044578547072e-05,0.20887407213449477,0.0,0.2,3.9411243e-06,0.12167143821716309
,,,,,,6600,22,-0.24440384,1.75,10021,0,0.68,,,,,,,,,,
6900,-0.04931746749673039,0,3878,1.2,0.94,6900,,,,,,,0.07168509811162949,-0.07924554944038391,0.001,110,-0.00039071984303689077,0.1712947428226471,0.0,0.2,0.00015707023,0.19442403316497803
,,,,,,6900,23,-0.21416302,1.55,10507,0,0.76,,,,,,,,,,
7200,-0.10957725558895617,0,4052,1.22,0.9,7200,,,,,,,0.09726729243993759,-0.07124462649226189,0.001,115,-0.00039206527766530994,0.19681045413017273,0.001171875,0.2,0.0012664817,0.2406899333000183
,,,,,,7200,24,-0.27887787,1.71,11002,0,0.69,,,,,,,,,,
7500,-0.04812876240815967,0,4231,1.16,0.94,7500,,,,,,,0.10646495223045349,-0.0658642180263996,0.001,120,-0.0006190429541163666,0.19531796276569366,0.0,0.2,0.00014380459,0.21643275022506714
,,,,,,7500,25,-0.30607007,1.73,11474,0,0.7,,,,,,,,,,
7800,-0.05021651652641594,0,4414,1.24,0.88,7800,,,,,,,0.06176291033625603,-0.06506517864763736,0.001,125,-0.000974529797465351,0.18627406284213066,0.0030539773404598238,0.2,0.00031834136,0.20788496732711792
,,,,,,7800,26,-0.27750581,1.72,11921,0,0.69,,,,,,,,,,
8100,-0.049265725472941994,0,4603,1.16,0.94,8100,,,,,,,0.057359062135219574,-0.054269127547740936,0.001,130,-0.0005304492156767537,0.17841788679361342,0.000390625,0.2,0.00010117029,0.22077012062072754
,,,,,,8100,27,-0.25705004000000004,1.61,12364,0,0.75,,,,,,,,,,
8400,-0.09132627393584698,0,4792,1.26,0.9,8400,,,,,,,0.09263509511947632,-0.04549144394695759,0.001,135,-0.00018524696669430796,0.18671450316905974,0.0,0.2,8.249262e-05,0.21072208881378174
,,,,,,8400,28,-0.20067752999999997,1.48,12812,0,0.8,,,,,,,,,,
8700,-0.02777559043839574,0,4995,1.14,0.96,8700,,,,,,,0.10994604229927063,-0.040666837617754935,0.001,140,2.3755304076544802e-05,0.20520104169845582,0.0,0.2,1.4901161e-08,0.12398308515548706
,,,,,,8700,29,-0.18978043,1.49,13303,0,0.8,,,,,,,,,,
9000,-0.09173534744884819,0,5186,1.3,0.88,9000,,,,,,,0.055301483720541,-0.04934642054140568,0.001,145,-0.0012608515693997902,0.1685127504169941,0.0022727273404598235,0.2,0.00024127691,0.21561193466186523
,,,,,,9000,30,-0.21090643999999995,1.56,13767,0,0.75,,,,,,,,,,
9300,-0.054307941738516094,0,5364,1.26,0.9,9300,,,,,,,0.07104399800300598,-0.03430258966982365,0.001,150,-0.0003417404792763534,0.17802323698997496,0.000390625,0.2,7.701495e-05,0.19530797004699707
,,,,,,9300,31,-0.31021933,1.71,14219,0,0.7,,,,,,,,,,
9600,-0.06981830264441669,0,5547,1.28,0.9,9600,,,,,,,0.07840150594711304,-0.028873028233647346,0.001,155,-0.0020678646904835674,0.20023081451654434,0.005326704680919647,0.2,0.00017204566,0.21342819929122925
,,,,,,9600,32,-0.26892496,1.65,14674,0,0.72,,,,,,,,,,
9900,-0.048268498708494006,0,5731,1.12,0.96,9900,,,,,,,0.09090875834226608,-0.03090989086776972,0.001,160,-0.0009607170031145529,0.18798208981752396,0.001953125,0.2,0.007017212,0.21494120359420776
,,,,,,9900,33,-0.26649447,1.65,15102,0,0.72,,,,,,,,,,
10200,-0.04840954885818064,0,5919,1.14,0.94,10200,,,,,,,0.07151558250188828,-0.02041743937879801,0.001,165,-9.708614445713692e-08,0.18432431370019914,0.0,0.2,0.0,0.1897713541984558
,,,,,,10200,34,-0.21985205000000005,1.56,15544,0,0.77,,,,,,,,,,
10500,-0.1318912239326164,0,6101,1.32,0.86,10500,,,,,,,0.08883240073919296,-0.019028275460004806,0.001,170,-0.00013169034976829864,0.1854051634669304,0.0,0.2,1.1034543e-05,0.19601762294769287
,,,,,,10500,35,-0.24499611000000004,1.68,15995,0,0.72,,,,,,,,,,
10800,-0.09075781006831676,0,6298,1.34,0.88,10800,,,,,,,0.09359587728977203,-0.018035777285695075,0.001,175,-0.0002877843898284382,0.21002394706010818,0.0,0.2,8.6675165e-05,0.11431419849395752
,,,,,,10800,36,-0.19262836,1.49,16469,0,0.79,,,,,,,,,,
11100,-0.11077559490688145,0,6489,1.24,0.9,11100,,,,,,,0.0713857114315033,-0.019296733289957048,0.001,180,-2.033245896697622e-05,0.16742000132799148,0.0,0.2,6.615142e-06,0.2450709342956543
,,,,,,11100,37,-0.19929536999999997,1.58,16949,0,0.77,,,,,,,,,,
11400,-0.11415999491233379,0,6670,1.42,0.8,11400,,,,,,,0.10937012732028961,-0.01969255581498146,0.001,185,-1.7923726591817514e-08,0.19160355925559996,0.0,0.2,0.0,0.1905115842819214
,,,,,,11400,38,-0.24286763,1.65,17439,0,0.71,,,,,,,,,,
11700,-0.11095225263386965,0,6856,1.32,0.86,11700,,,,,,,0.08463213592767715,-0.019523714296519758,0.001,190,-8.498318759819768e-09,0.19013801366090774,0.0,0.2,0.0,0.21917492151260376
,,,,,,11700,39,-0.18956256,1.55,17905,0,0.76,,,,,,,,,,
12000,-0.10978023497853429,0,7051,1.34,0.88,12000,,,,,,,0.07834839075803757,-0.019465451873838902,0.001,195,-5.5964020084786625e-09,0.17457603067159652,0.0,0.2,0.0,0.21457481384277344
,,,,,,12000,40,-0.18873705000000005,1.51,18354,0,0.78,,,,,,,,,,
12300,-0.06839885947294533,0,7245,1.16,0.94,12300,,,,,,,0.06605938076972961,-0.02145521845668554,0.001,200,-0.0005011416357862508,0.18476178199052812,0.0,0.2,0.00014962166,0.1857243776321411
,,,,,,12300,41,-0.20574994,1.54,18817,0,0.76,,,,,,,,,,
12600,-0.07011626975610852,0,7429,1.32,0.9,12600,,,,,,,0.06849268078804016,-0.019321981817483902,0.001,205,2.116472877844444e-07,0.16973189264535904,0.0,0.2,0.0,0.22802734375
,,,,,,12600,42,-0.30512487,1.78,19267,0,0.66,,,,,,,,,,
12900,-0.07181430925615132,0,7624,1.32,0.88,12900,,,,,,,0.06495998799800873,-0.020840212516486645,0.001,210,5.109706835249028e-05,0.1715405061841011,0.0,0.2,7.4402724e-06,0.2621382474899292
,,,,,,12900,43,-0.24336334999999998,1.56,19725,0,0.75,,,,,,,,,,
13200,-0.06987864598166198,0,7808,1.24,0.92,13200,,,,,,,0.07333540916442871,-0.02036417219787836,0.001,215,-9.5406767320938e-05,0.1780350387096405,0.0,0.2,4.2772153e-06,0.2504621744155884
,,,,,,13200,44,-0.16817519999999997,1.53,20168,0,0.8,,,,,,,,,,
13500,-0.048667763518169524,0,8001,1.16,0.94,13500,,,,,,,0.08560782670974731,-0.020418989844620226,0.001,220,-1.6861172680293635e-08,0.1816653162240982,0.0,0.2,0.0,0.21809738874435425
