time/total_timesteps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_reward,env/n_steps,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,rollout/success_rate,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/learning_rate,train/entropy_loss,train/clip_range,train/value_loss
300,0.86,127,0,-0.13157747954130172,300,1.36,,,,,,,,,,,,,,,,
300,,,,,,,1,0,2.36,0.37,-0.6420484699999999,452,,,,,,,,,,
600,0.88,262,0,-0.12930757831316442,600,1.26,,,,,,,-0.41878068447113037,0.008824127,5,-0.013189197605242953,0.03545767813920975,0.035475853085517886,0.001,-1.9430609703063966,0.2,0.2958372518420219
600,,,,,,,2,0,2.25,0.46,-0.54738175,872,,,,,,,,,,
900,0.88,402,0,-0.10981858265586197,900,1.3,,,,,,,-0.023047685623168945,0.031343758,10,-0.0264026272110641,0.020417269319295883,0.20312499925494193,0.001,-1.9025170445442199,0.2,0.21713603138923646
900,,,,,,,3,0,2.12,0.52,-0.47305835000000007,1290,,,,,,,,,,
1200,0.92,547,0,-0.051023525199852884,1200,1.24,,,,,,,-0.13520634174346924,0.018812995,15,-0.022343130712397397,0.04743163287639618,0.10000000149011612,0.001,-1.826999020576477,0.2,0.26219639629125596
1200,,,,,,,4,0,2.02,0.58,-0.40024904000000006,1707,,,,,,,,,,
1500,0.92,706,0,-0.06883507560938597,1500,1.2,,,,,,,0.09305906295776367,0.028813485,20,-0.022179348091594876,0.03764350712299347,0.29928977489471437,0.001,-1.68991562128067,0.2,0.217114095389843
1500,,,,,,,5,0,1.88,0.59,-0.41724299000000004,2125,,,,,,,,,,
1800,0.88,869,0,-0.09191354868467898,1800,1.3,,,,,,,0.0107041597366333,0.019746186,25,-0.023310487589333205,0.02055077999830246,0.11672585010528565,0.001,-1.5707721710205078,0.2,0.23492279946804046
1800,,,,,,,6,0,1.85,0.7,-0.28627819,2555,,,,,,,,,,
2100,0.88,1032,0,-0.09031437885016202,2100,1.32,,,,,,,0.1079106330871582,0.03557644,30,-0.02831197960767895,0.031252648681402206,0.2638139188289642,0.001,-1.2780998706817628,0.2,0.19767691940069199
2100,,,,,,,7,0,1.88,0.63,-0.39321455,2997,,,,,,,,,,
2400,0.86,1197,0,-0.07219477188773453,2400,1.34,,,,,,,0.08725917339324951,0.0096708005,35,-0.006051578666665591,0.10595919191837311,0.053480114042758944,0.001,-1.0663396000862122,0.2,0.22624842524528505
2400,,,,,,,8,0,1.81,0.68,-0.31706357999999996,3428,,,,,,,,,,
2700,0.92,1375,0,-0.06824359534308315,2700,1.2,,,,,,,0.14466261863708496,0.011806415,40,-0.009019072784576565,0.08566032350063324,0.0681818187236786,0.001,-0.8809995830059052,0.2,0.20474113523960114
2700,,,,,,,9,0,1.68,0.73,-0.24647718000000002,3856,,,,,,,,,,
3000,0.98,1552,0,-0.027555899452418087,3000,1.1,,,,,,,0.10810083150863647,0.014786186,45,-0.011558889562729746,0.0890812799334526,0.074573864787817,0.001,-0.6952454745769501,0.2,0.19896168261766434
3000,,,,,,,10,0,1.77,0.69,-0.29887729,4271,,,,,,,,,,
3300,0.9,1745,0,-0.08974159855395555,3300,1.24,,,,,,,0.07791084051132202,0.0036937767,50,-0.003169930580770597,0.07570753991603851,0.015269886702299118,0.001,-0.5463542461395263,0.2,0.20869162529706956
3300,,,,,,,11,0,1.63,0.73,-0.25653079,4703,,,,,,,,,,
3600,0.92,1925,0,-0.09510154595598579,3600,1.2,,,,,,,0.1432926058769226,0.00262557,55,-0.0029553982545621692,0.0712132453918457,0.010795454680919647,0.001,-0.4550078481435776,0.2,0.1874401718378067
3600,,,,,,,12,0,1.57,0.81,-0.17753273999999997,5125,,,,,,,,,,
3900,0.88,2114,0,-0.09339118877891452,3900,1.32,,,,,,,0.22119122743606567,0.0016139243,60,-0.002222078085469548,0.09798775613307953,0.007741477340459824,0.001,-0.3608609765768051,0.2,0.18278018534183502
3900,,,,,,,13,0,1.56,0.78,-0.21667326000000003,5559,,,,,,,,,,
4200,0.94,2309,0,-0.07055397577118129,4200,1.14,,,,,,,0.09255260229110718,0.00025736607,65,0.0015116139460587875,0.08937602490186691,0.0,0.001,-0.29613175988197327,0.2,0.19721902906894684
4200,,,,,,,14,0,1.55,0.79,-0.18092935000000002,6007,,,,,,,,,,
4500,0.94,2491,0,-0.05092434118967503,4500,1.2,,,,,,,0.17286330461502075,0.0006565063,70,-0.000733529088756768,0.08218580484390259,0.004545454680919647,0.001,-0.28093296885490415,0.2,0.17008089274168015
4500,,,,,,,15,0,1.68,0.7,-0.28721779999999997,6450,,,,,,,,,,
4800,0.84,2673,0,-0.15066276737954468,4800,1.36,,,,,,,0.1740664839744568,0.0005204837,75,-0.0014004685574036558,0.07857396453619003,0.000390625,0.001,-0.2461459994316101,0.2,0.19681783765554428
4800,,,,,,,16,0,1.59,0.77,-0.22969381999999997,6913,,,,,,,,,,
